[28.175] tmnr2384: DinoDance
[29.748] jinro_hope: やあ
[30.891] kari_wr: やあ
[31.120] faintheart1129: やあ
[33.675] udon877: やあ
[35.121] かわせさん: おめでとう
[38.704] oncen15: やあマッチングしてよかったな
[38.731] がんばるぞ: やあ
[46.910] ainya____: つれてよかった
[48.262] Rikka015: つれたと聞いて
[48.781] twinmenn: ぴろぴろぴーく
[56.996] 家臣竹: カスアベ卒業おめでとう
[61.265] yuudamu86: やあ
[69.330] かんおっちゃん: やあ
[73.280] jerky939: 味方smth jingggデュオ！？
[90.380] jinro_hope: アイソ熱い
[97.565] aaaaa_____826: やあ
[102.050] faintheart1129: 昨日の楽天カップでムラゲメンバーがオーナー56しまくってて笑った
[105.775] mob_9: えぐいな
[144.470] れおんヌ: こんちわ
[150.338] fallguizi55: やあアブ
[152.353] jinro_hope: 歴代楽天カップで一番面白かった
[152.566] 寝落ちくん: またxdll敵にいるじゃん
[158.748] yuudamu86: スミスアブソルのムラゲデュオですか？
[165.477] christiandior0805: ウォーランダー部門
[184.450] 坂本勇人: ほーせいくんなんよ
[185.106] faintheart1129: 前回楽天カップが長すぎでgmすぎたね
[196.917] edabstyzmnabrskl: FL４人vs アブsmth forsaken
[209.093] すめりん: tonboNyo
[236.500] めたるこあ: れおに構ってくれてありがとねぇ
[248.041] mob_9: アジア最強の男
[278.552] komugi_hxh: 強すぎやろw
[283.875] ainya____: やばすぎw
[295.849] mob_9: 暇じゃんアブ
[306.153] SekkaBdo: 来年ボコボコにする奴らの声をしっかり脳裏に焼き付けるんだアブ
[344.170] astert_: !rank
[399.034] ドンタケシ: !sens
[399.128] Nightbot: dpi 800 0.39
[411.194] ドンタケシ: 感度結構落としたんだね
[412.131] マイマイン: ボコじゃん
[484.779] mob_9: つよ
[488.733] hagukirin: つっよ
[492.812] すめりん: ！？
[500.069] kuc1105: メンツめっちゃ豪華
[500.707] mob_9: おし
[502.559] すめりん: おっしい
[503.259] jinro_hope: おしい
[504.287] わをんわをんわをんん: おっし
[504.664] マイマイン: nt
[513.898] SekkaBdo: スミスならなぁ
[524.527] 153767_: 今のはスミスが悪いか
[528.320] 家臣竹: フェンネル4人か
[575.250] らいーーーーむ: !mouse
[575.426] Nightbot: G PRO SUPERLIGHT
[589.630] hakase9999: !duo
[598.777] mob_9: テンポいいね
[604.664] jinro_hope: 逆サイで一生破壊してる
[609.125] hagukirin: アイソつよ
[642.347] きのこすこ: つっよw
[643.556] mob_9: えぐすぎ
[647.920] acane1102: することねーや
[647.975] 15796479: 味方つえーや
[658.362] hagukirin: fennelボコしてるのやばいな
[668.359] yoro_493: 敵に遭遇しないねw
[704.091] ekurea1212: isoいい声してるな
[733.428] マイマイン: えぇ…
[737.874] めたるこあ: フェニックスがフォーセイクンか
[737.880] 家臣竹: 良い立ち回り
[739.131] hagukirin: 噛み合いますよ、、と
[741.044] SekkaBdo: 来年はこいつらに勝つんだ
[752.506] daichi_daidai: これは良いvalo
[757.088] ハワイアン芸者: カスアベの実績作れ
[766.794] warriorslovee: すみすふぉーせいくんさいきょ
[769.357] ama2ka_angel: forsakenとスミスは度のキャラ？
[780.254] machacha12321: フェニ ふぉーせいくん
[791.131] 坂本勇人: フェニセイクン、ゲコスミス
[791.456] yuudamu86: つっよ
[794.804] ama2ka_angel: ty
[806.027] ハワイアン芸者: デュエ2人がアイソとフェニってわろける
[814.275] SekkaBdo: スミスはゲッコーじゃないか
[845.328] atumorin: フェニクソ強いのはそういうことか
[858.192] twinmenn: 味方つっよ
[876.674] かんおっちゃん: くそつえーやw
[887.762] ハワイアン芸者: PRXはやべえな
[902.489] yoro_493: フォーセイクンの視点観てきたけどやばかった
[903.792] tanukitsune44: 世界トップクラス2人いるだけでこんなに差がでるのか…
[904.766] komugi_hxh: なんもしなくても勝てそう
[908.819] maxmokou: 楽天カップ大活躍のアブソルさんこんにちわ
[910.591] hagukirin: まじで撃ち合いのレベル違うんだな…
[951.240] ハワイアン芸者: やる事なし
[989.730] すめりん: チームがつええや
[990.194] jinro_hope: で、こいつらは楽天カップで優勝できんのって話
[1001.084] poteti5111: またxdllと当たってるやん
[1017.810] atumorin: f0rsakeNからヘルプが出たぞ笑
[1032.730] AiedSw: これチーム誰？
[1037.262] マイマイン: 守り11-1マ？
[1042.426] 家臣竹: さすがにGGか
[1047.776] hagukirin: タコ勝ち
[1049.538] keita9325: f0rsakeNスミス
[1056.951] すめりん: ウォーランダーならPRXに勝てる
[1062.644] 15796479: 一生こいつらとやろう
[1067.879] tanukitsune44: FL４人vs アブsmth forsaken らしい
[1074.505] atumorin: ３人パーティにしよう
[1076.010] maxmokou: まじでｗｗ
[1077.495] SekkaBdo: ディルにかられるぞタイル言ったら
[1082.316] SekkaBdo: あ
[1088.959] maxmokou: 動画化してフェンネル倒しましたに使用
[1129.373] リン0811: GGか
[1143.293] すめりん: 13-1でポイントいっぱいもらおう
[1146.488] ハワイアン芸者: あっさり終わったな
[1146.684] atumorin: 全体チャットで煽れ
[1163.475] 坂本勇人: 味方が誰か隠してFL倒したって動画出すぞ！
[1174.748] SekkaBdo: ｇｇ
[1177.890] SekkaBdo: ナイス勝利
[1179.435] ~MISSING_COMMENTER_INFO~: FLぼっこぼこにしてらｗ
[1182.402] 153767_: gg
[1183.095] ハワイアン芸者: wwww
[1185.869] yuudamu86: ｗｗｗｗ
[1186.077] 家臣竹: www
[1189.850] ~MISSING_COMMENTER_INFO~: gg
[1190.889] 15796479: バチ切れ
[1191.461] ハワイアン芸者: GG
[1192.573] すめりん: www
[1192.665] komugi_hxh: ｗｗｗ
[1194.736] gmkk0000: もうこのチームでVCJ出ないか？
[1195.467] マイマイン: ww
[1196.275] SekkaBdo: はっや
[1196.513] jinro_hope: ww
[1197.570] hagukirin: これは相手が可哀想だwww
[1209.377] xxqq: ワイヤーくぐられてたよ
[1209.392] ~MISSING_COMMENTER_INFO~: フォーセイクンスミスやばいな
[1211.077] yuudamu86: これが破壊かあ
[1213.933] 坂本勇人: FLもこんなもんですか
[1222.014] 家臣竹: そろそろ2桁いくべ
[1222.766] すめりん: これ一生こいつらとマッチするんじゃないか？
[1222.767] 寝落ちくん: 2桁チャレンジ
[1224.406] manimani0418: ワイヤーしゃがんで抜けられてたyp
[1224.708] kuc1105: 100位いけるな
[1227.808] tomato_co: 2桁ある？
[1237.972] ~MISSING_COMMENTER_INFO~: FLに勝ったな
[1241.425] kuc1105: Smithを殺した男
[1243.400] ama2ka_angel: PRXを引くゲームですか
[1244.921] makoumakou3373: FLは世界で通用する！  
[1247.198] あて_8: 次で2桁行けなかったら楽天ポイントは預かるって話でいいか？
[1256.255] すめりん: あ、て
[1257.416] keita9325: MRGにf0rsakeNとスミス入るってほんと？
[1263.111] 北川だよ: ランク最高何位？
[1266.552] atumorin: FL倒して、スミスを殺したおとこ
[1267.170] すめりん: おおお
[1267.940] yuudamu86: おお
[1268.823] manimani0418: お
[1271.507] tanukitsune44: おおおおお
[1271.821] 家臣竹: 乱入兄
[1274.401] えぐらる: いいね
[1277.825] すめりん: 見せて❤️
[1279.514] kuc1105: 兄もゲーマー？
[1285.721] えぐらる: もんきーさんが紹介してたやつ？
[1287.846] dokyamu: モンキーがつけてたやつな
[1291.135] SekkaBdo: 楽天ポイントいくらもらったん
[1294.113] SekkaBdo: だっけ
[1298.953] 家臣竹: きちゃー
[1299.192] 寝落ちくん: あぶも椅子2個get?
[1304.494] あて_8: アームカバーだの椅子だのマイクだの
[1305.046] maxmokou: 次の試合つけよ
[1311.302] jerky939: もう来たの？
[1313.894] あくたん: カスアベンジャーズ苦しんでるけど助けにいかなくて大丈夫そ？
[1315.163] hagukirin: 何歳差？
[1322.118] kuc1105: そういう話もっと聞かせてくれ
[1324.034] gmkk0000: 兄弟いると大体そうなるよな
[1324.427] maxmokou: 弟のほうが優秀っと
[1329.691] yuudamu86: お兄さんもヴァロやってるの？
[1340.828] あくたん: KLMとミリオンもな
[1347.786] daichi_daidai: 20万の椅子届いたらレビュー頼む
[1353.920] 松の駿: !sens
[1354.022] Nightbot: dpi 800 0.39
[1355.807] シシリエンヌ好き: おかあさんよろこんでましたか？
[1361.710] きりのず: あの椅子20万なの？w
[1368.534] vmvmtmu: 純にもらえ
[1369.691] あくたん: ２０万のあの椅子まじでうらやましい ほんといい椅子
[1371.007] jinro_hope: トン兄マイク没収されてなかった？
[1372.787] あて_8: 一番は女だろ
[1376.320] SekkaBdo: オーナーにかってもらいな
[1376.726] maxmokou: 取りすぎたら出禁食らう
[1377.591] すめりん: 椅子はMRGオフィス寄贈な 
[1382.467] かんおっちゃん: 楽天のいいところ
[1383.256] maxmokou: 彼女ねｗｗ
[1403.433] atumorin: 兄っていうやつに感謝だ
[1410.962] keisoudo_: 椅子組み立て配信ありますか？
[1421.078] SekkaBdo: 椅子20万がちか
[1423.498] keita9325: さっきの試合のキャリアみして
[1423.569] あて_8: れいた昨日不貞腐れて朝の7時に泥酔でウイポしてたぞ
[1431.567] SekkaBdo: 転売して貯金すべ
[1446.315] agepoyochan: 萎えてやめた
[1448.774] carefreed: 解散
[1448.976] じょうかまん: w
[1451.779] yuudamu86: VCJ見るんじゃね
[1454.711] すめりん: カスアベンジャーズ戻ろっか
[1454.821] しけいだ: レオももういない
[1458.009] yuudamu86: VCTか
[1460.522] flau_blanc: パシフィック始まるから
[1464.658] kuc1105: vct見ないの？
[1467.234] enngannk: 試合の方が短い😩
[1470.815] ty353255: おまえもｖｃｊみろ
[1473.530] poteti5111: dfmの試合あるからそれ見るんだろ
[1473.559] 坂本勇人: !sens
[1473.666] Nightbot: dpi 800 0.39
[1476.857] あくたん: 芋１くらいのやつとデュエすれば多分マッチングする
[1479.642] ama2ka_angel: DFM楽しみだな
[1480.809] yukiyukiyuki1514: DFMあるからね
[1486.118] ufe514: レディって釣れないから、人多い時間狙ってやったりすんの？
[1489.525] atumorin: デトネーション勝てると思うか？
[1491.574] 坂本勇人: アブってハイセンシって言われてるけど割とミドルやんけ
[1498.088] yuudamu86: ；；
[1514.043] SekkaBdo: 負けてるやｎ
[1520.796] yuudamu86: さすが和製smth
[1520.820] nokemonn: いいねえ
[1522.427] じょうかまん: 和製smith
[1524.546] あくたん: ナイフは仕上がってる？
[1531.433] keita9325: 実質マブス
[1534.968] poteti5111: smthを超えていこう
[1543.700] tanukitsune44: SP2って来月からだっけ
[1552.613] gmkk0000: sp2早く見てえなあ
[1555.651] ~MISSING_COMMENTER_INFO~: はやくマッチしてください
[1558.642] ty353255: 本番では結果だせません 
[1559.878] あくたん: でも、アブソル未成年だからタバコ係できないぞ
[1560.378] yuudamu86: smthを露製absolにしてやれ
[1576.735] SekkaBdo: Ascension優勝を現地で見るのが今から楽しみだよアブ
[1577.106] tomato_co: sp2って予選配信ある？
[1577.965] さわよばァ: million3Hi
[1578.860] chocoballmukai123: さっきの天界マッチFLボコってたのすげーや
[1596.518] jinro_hope: 誰もいない
[1599.237] ama2ka_angel: sp2favとのリベンジマッチみたいな
[1612.302] hagukirin: レオたちは釣れてるのかな
[1612.960] あくたん: まじでレオのフルパ混ぜてもらったほうがマッチングしそう
[1641.843] ~MISSING_COMMENTER_INFO~: スイフト一戦出来るだけの時間が経ちました
[1642.752] さわよばァ: この時間シス単やろう 
[1644.394] udon877: r
[1646.845] (S)misaki_pu: 優勝おめでとうございます！6万ポイント何に使うんですか！？
[1668.611] すめりん: BibleThump
[1685.679] さわよばァ: アブをハブ
[1691.201] dokyamu: 椅子買え
[1691.454] あくたん: おすすめはふるさと納税
[1700.287] maxmokou: ふるさと納税いいよね
[1702.788] すめりん: NISA
[1708.170] gmkk0000: 楽天証券に突っ込め
[1710.524] あくたん: アブソルも今年からふるさと納税できるんじゃないか？？
[1713.129] (S)misaki_pu: ふるさと納税天才！
[1714.635] さわよばァ: 17歳でふるさと納税やってたらビビる
[1730.162] ~MISSING_COMMENTER_INFO~: ふるさと納税でお母さんと美味しいもの食おうぜ
[1735.661] maxmokou: めちゃめちゃお得よ
[1740.069] さわよばァ: NISAが現実的にいいぞ
[1742.992] ぽこぽこびーにー: もうすぐ2桁
[1744.491] SekkaBdo: お父さんに優勝した報告したか？
[1754.962] maxmokou: えぐなにこいつｗｗｗ
[1768.589] gmkk0000: これ一生マッチしないやつ
[1787.243] あくたん: ムラゲ入って初めての優勝がウォーランダーな件
[1794.748] kagamind: ｗｗｗｗｗ
[1795.462] さわよばァ: アブ、一旦6万ポイント見せてくれないか？
[1798.022] ぽこぽこびーにー: ｗｗｗ
[1799.540] えぐらる: ごめん
[1801.566] kagamind: 母親面ね
[1802.654] maxmokou: ｗｗｗ
[1803.184] twilightveo: キレろ
[1803.685] enngannk: ふふ
[1803.960] juiahj: 反抗期か？
[1805.894] さわよばァ: 子供だぞまだw
[1806.619] SekkaBdo: 俺の一個下やん
[1807.547] ~MISSING_COMMENTER_INFO~: 童貞だからかな
[1808.502] じょうかまん: ママ
[1809.560] kagamind: アブママ
[1811.561] gmkk0000: 反抗期やん
[1811.723] yuudamu86: ごめんねあぶちゃん…
[1813.537] aaaa1345: 18はまだガキ
[1815.261] okutinko: 同い年や
[1815.525] fallguizi55: アブママ
[1816.992] すめりん: アブパパアブママ
[1820.030] (S)misaki_pu: ごめん
[1821.438] あくたん: そこでキレ返しちゃうのがガキなんよ＾＾
[1824.735] mihononnn2: まだ17？
[1826.027] kuc1105: コメント欄のジジイには若く見えるんや
[1826.036] migawarichan: 俺の半分やん
[1827.108] vwmtjtj: こっちは40やぞ？あ？
[1828.297] ぽこぽこびーにー: うおｗ
[1829.102] jinro_hope: いいね
[1830.999] maxmokou: まだまだ青いねｗｗ
[1832.881] ~MISSING_COMMENTER_INFO~: 最近活動は順調ですか？
[1838.645] udon877: あぶきゅん
[1839.948] さわよばァ: ジジイがいっぱい釣れらぁ^^
