[62.770] れんてぃーん: MercyWing1
[99.821] niyo2524: 頑張れアブソル
[125.723] (S)なおしい: なおしい subscribed at Tier 1. They've subscribed for 2 months, currently on a 2 month streak! sp2もうすぐですね！応援してます！
[165.878] SekkaBdo: ミリオンにナイフ癖指摘されてたぞアブ
[185.527] (S)misaki_pu: アブやあ
[196.574] ikaros_00: あぶohayo
[243.413] (S)misaki_pu: 今日もエイムビッタビタですね
[274.708] mouko00625: やあ
[323.091] SekkaBdo: ムラゲってオフィス作るらしいけど韓国にも作らないといけないから大変だな
[461.321] (S)misaki_pu: 今日は何十分待つんだ？
[502.239] SekkaBdo: アドバンスステージ1勝すればメインだし一回負けても次のローワー勝てば進出出来るけど2連敗したら笑うしかないな
[564.127] ti_amo_123: sp2どこがあがってくんだろ
[605.269] SekkaBdo: リドル fav cgz 辺りじゃね
[624.770] SekkaBdo: bcswellも良い感じらしい
[635.804] SekkaBdo: あとsidの居る所？
[707.818] ニューカレドニア: やあ
[737.127] jinro_hope: やあ
[740.906] jinro_hope: 今気がついたぜ
[744.046] ti_amo_123: sz vlはメンバー変わるしキツそうだなあ
[753.825] 地球外生命体: 配信たすかる～
[807.943] ニューカレドニア: あぶ的に今一番熱い選手は誰？
[814.437] SekkaBdo: そういえばバンナンどこいくんだろうな
[821.706] (S)misaki_pu: この時間デスマできたらいいのにねー
[843.950] モロニウム: 初戦負けたら総当たりか
[874.820] nanashin050nbe_: ムラゲの配信試合何月くらい？
[883.204] jinro_hope: ムラゲは5/7
[886.342] モロニウム: 5月7
[892.756] nanashin050nbe_: あざす
[903.305] yuuuuuhooooo: このゲームってマッチ時間競うゲーム？
[916.269] SekkaBdo: アドバンスステージの決勝から配信試合あるから初戦から配信ありやね
[920.401] SekkaBdo: たしか
[978.935] (S)misaki_pu: 車の免許とる予定ありますか？
[992.960] SekkaBdo: 一回負けてローワー落ちての翌日の試合も配信ある
[1037.211] SekkaBdo: アブはムラゲとしてtier1行くのか何処かしらのチームに引き抜かれて行くのかどっちが良いと思ってるんだ？
[1065.313] jinro_hope: アブに選ぶ権利はないよやるだけ
[1103.833] SekkaBdo: (´；ω；`)ｳｩｩ
[1124.051] (S)misaki_pu: 新潟でも栄えてる所にすんでるのね！羨ましい
[1172.326] (S)misaki_pu: 田舎は車ないとコンビニも行けない
[1190.357] ニューカレドニア: 配信外でのマッチ待ち時間って何してるの？
[1230.655] sir4sag1: アブソルファンボーイ用スキン教えてくれ！ 
[1246.041] mugicha1210: !sesn
[1246.133] SekkaBdo: しかし日本でジェット使って暴れまわってたizuもt1ではオーメンで下積みだもんな
[1256.660] jinro_hope: 周りがスクリムする時間だから全然マッチしねえや
[1257.444] mugicha1210: !sens
[1257.559] Nightbot: dpi 800 0.45
[1273.122] SekkaBdo: センシ上げたんや
[1306.949] 虚無ぷりん: 確かにクロナミのイメージあるわ
[1333.169] jinro_hope: izuは改造されてモクまでできるようになっちまったよ
[1336.487] yuuuuuhooooo: デュエ教の方ね
[1353.572] osakanafish_: セカンドデュエリストとかいうよねオーメン
[1360.623] banana_9935: ヨル使ってたよねいず
[1366.553] ~MISSING_COMMENTER_INFO~: あぶさんこんにちは
[1378.983] SekkaBdo: やっぱデュエが野球でいうショートピッチャーみたいなイメージがある
[1387.314] final_extreme: アブもizuの同じようなロールになるん？
[1404.867] かまぼこ23: まだマッチしないんだ
[1509.610] yuuuuuhooooo: きたー
[1509.810] (S)misaki_pu: きたー
[1516.008] SekkaBdo: depの跡継ぐのはアブなのか
[1519.635] SekkaBdo: お きた
[1574.199] さわよばァ: yaa
[1576.106] banana_9935: アブはジェットとレイズどっちが得意なんや
[1580.446] (S)misaki_pu: 手ひえひえ
