[25.884] わいゆーしーえぬ: 今日かっこよかったぞ
[26.438] asahi558: やあ
[26.911] yuki_majima: unkochanYaa
[27.202] 寿司打: おつ
[27.417] mameshibaaaaa: やあ
[27.884] plcino: やあ
[27.980] spavee: unkochanYaa
[28.893] machodunk: おめでとおおおおおおおお
[28.983] kari_wr: やあ
[29.206] hiro_ool: やあ
[29.962] 池田さいだー: やあ
[30.002] にゃおにゃおにゃお: にょっす
[30.200] laco_77: やあ
[30.211] astert_: おめでと！
[30.242] mokotanlove1121: にょっ
[30.273] brack_pepper_: やあ
[30.352] chochochoko: おめでとう
[30.452] KAiChANnElPp: やあ
[30.781] tommy5648: おめ
[30.801] bbbblueg: おつかれ
[31.014] はめつ: unkochanYaa
[31.059] yama_wasab1: おめでとう！！
[31.239] unrei_rei: お疲れ様〜
[31.250] utaro987: おめ
[31.641] akkinachan: おつ
[31.848] sanba8090: unkochanYaa
[31.890] わいせい: おつかれええええええええ！！！！
[31.911] fqm9: アブ良かったぞ!
[32.008] ユルマド: おつかれー
[32.181] ディグダトリオ: unkochanYaa
[32.400] sp1cyuuu: やあ
[32.426] aimboy893: million3Yametene
[32.680] gloomy6578: やあやあやあ
[32.931] おばけだよ: おめでとう！！！
[33.401] 雛見沢のやべーやつ: おつー
[33.587] rama_adg: おめでとう
[33.903] Sei5432: やあ
[34.063] denkikesanai: おめでとう！！
[34.113] 池田さいだー: ナイス
[34.114] kusarikake: おつかれ
[34.140] ほへふ: yaa
[34.155] panricolub: おめ
[34.179] ちんまり: やあ
[34.199] pinodx: やあ
[34.441] だいごろう6876: unkochanYaa
[34.451] laco_77: おつかれ
[34.654] Yuuki_thurstone: おめでとう！！
[35.042] yuusai_: おめおめ
[35.084] watioku: お疲れ様
[35.138] mii000555: おつかれぇー
[35.411] いしじま: ないす！
[35.457] odaikon77p: あぶ！！おめでとう；；；；；；
[35.646] わいせい: 54
[35.785] sllivian: おめ
[35.865] 穀潰し: おまえ、やるな
[35.873] dorugaba_eito: おつかれ！おめでとう！！
[35.939] ikitetegomen: おつかれさまやで
[36.155] じょわじょわ3: おめ！
[36.177] すてらあかいぎゅう: unkochanYaa
[36.373] papaiya2211: タフ
[36.394] ホーホー: やあ
[36.679] rama_adg: おめでとう！！
[36.743] tofu_1128: やあ
[36.825] hope_e65: おめ
[36.825] 正岡子規_公式: tonboWin
[36.848] kjj0522: unkochanYaa
[36.877] rupx01: おつ
[36.878] knight398: おめでとう！
[36.971] ほへふ: やあ
[36.973] dobby0009: まぶそるー！
[37.242] きよまろーん: unkochanYaa
[37.487] アオイケシ: やあ
[38.414] 4th_clover: やあ！おめでとう
[38.421] tri00009: おめでとうや！！！
[38.566] timemachinejerry: おめ
[38.620] tikuwa2911: お母さんに報告したか？
[38.633] チンゲマリファナ: unkochanYaa
[38.742] yakisoba423: おつあぶ
[38.755] うまい肉食わせろ: おめでとうあぶ！
[38.940] namusun1: おめでとう！！！！！！
[39.043] 銀時です: 気にすんなこっからあげてけ
[39.097] るいるいいいいい: おめ
[39.165] kiseki255418: おめでとぉぉぉぉぉぁ！！！！
[39.305] dkiooon: 俺泣いちまったよ
[39.382] onpo11: unkochanYaa
[39.385] sukantu10nenmati: おめでとあ
[39.561] 128444: unkochanYaa
[39.673] 飯野加奈: ないす！！！
[39.841] mesikorin: おめ！！
[39.939] hanasoora: おめー
[40.026] towar2525: デュエ3種類使えてすごい
[40.048] sp1cyuuu: unkochanPower
[40.189] kjj0522: おめ
[40.340] twinmenn: あ
[40.411] mrgwin_: おめでとう!!!!
[40.538] miyagi_jk: おめでとおおおおおおおおおおおお！！
[40.899] odaikon77p: おつかれ
[41.127] special__delivery_: million34771
[41.322] ken0817y: unkochanYaa
[41.385] koukishukusei: おめ！！
[41.393] rama_adg: ガチおめでとう
[41.722] 好きな言葉は森林伐採: お前は強い！お前は強い！お前は強い！お前は強い！お前は強い！
[42.338] brack_pepper_: ようやった
[42.448] ちんまり: おめ
[42.565] usuneko417: おめ
[42.671] 北川だよ: 彼は休みません
[42.876] saimitto: unkochanYaa
[43.161] jinro_hope: よお
[43.718] seraphim_7: 頑張った！
[43.866] bato451919: とりあえずおめ
[43.888] s0ngline: タフ
[43.925] chochochoko: 感動した
[43.925] mii000555: おめでとぉぉ！
[43.986] 2005iori: DinoDance
[43.992] かまぼこ23: よくやったな！！！！
[44.286] hosaka333: やあ
[44.753] さいな3: お疲れさまメインステージおめでとう！！！
[44.851] niconico01234: やあ
[44.903] rama_adg: また見れる
[45.129] onokimd: おめでとう
[45.346] yokocha07: お疲れ
[45.533] (S)ふらわーわん: おめでとう！
[45.757] 銀時です: お前はネイス
[45.831] わいせい: だりゃあああああああああああああ
[46.097] hey8_gg: 楽しそうでなにより
[46.210] すてらあかいぎゅう: やほ
[46.437] zyubisan: 集金きたあ！
[46.471] takakenwatch: BloodTrail
[46.890] ken0817y: おめでとううう
[47.059] (S)なおしい: おめでとう！！！
[47.091] 池田さいだー: メインステージまでには覚醒出来そうか？
[47.277] ponyatta13: おめでとうもっとキャリーしてくれ！
[47.533] astert_: おめでお
[47.743] yaaqwwase: やあ
[48.014] jinro_hope: メインステージ進出おめでとう！！！
[48.062] ほしな: お疲れ様
[48.090] kusarikake: アブがんばれよ！
[48.268] 品川区街頭演説: unkochanYaa
[48.507] こんにちわ根岸: unkochanYaa
[48.734] たまきインザハウス: おめでとう！！🎉🎉🎉
[48.739] かまぼこ23: 泣くなよ！
[48.922] まんぜう軍の歩兵: ようやった
[48.932] kyopsy3821: ランクモンスターやん
[48.964] pinodx: よくやった
[49.019] seraphim_7: よくやりました！！
[49.208] marlboroman0414: unkochanYaa
[49.468] ほへふ: もうちょっと頑張ってください
[49.897] 猫マムシ: よくやったべ
[50.457] ロビンソン7: マブソル
[50.496] えりく531: お前最高や
[50.498] ukyo258: おつ
[50.638] ainya____: BibleThump1 BibleThump1 BibleThump1 BibleThump1 BibleThump1 BibleThump1 BibleThump1 BibleThump1 BibleThump1
[50.740] kiseki255418: やあやあ
[50.913] よしっしゃー: おめでおおおおおおおおおおおおおおおお
[51.052] dfmw223: ナイス！！！！
[51.112] niconico01234: おめでとうびっくり
[51.184] himawari4444: おめでとう！
[51.836] chin_kawa: あぶううううううううう
[51.973] suya221: やあ
[51.997] shiominti: おめえら心臓にわりいよ
[52.094] フレペ: ナイス
[53.741] yakisoba423: そしてコンペへ
[53.791] KAiChANnElPp: スナイパー縛りしてくれ頼む
[53.882] teri_desu_: やああああああああああああああああああ
[54.112] tk161718: おめでとう
[54.952] わいせい: ナイス!
[55.086] ainya____: cheerwhal1 cheerwhal1 cheerwhal1 cheerwhal1 cheerwhal1 cheerwhal1
[55.365] munimang: unkochanPower
[55.774] gargantuansaltcure: hanjouGg
[55.806] まんぜう軍の歩兵: お前最強や
[56.039] ちるたす: おめでとうだよ！！
[56.075] chin_kawa: あぶうううううううううつうつうう
[56.214] 小林貴方: unkochanYaa
[56.542] oncen15: アブナイス！
[56.851] (S)ふらわーわん: がちないす
[56.933] Kos_4ki: メインステージおめ！
[57.359] natomaki: 強かった!
[57.982] gorira12121212: 悔しい？これからもがんばれ
[58.275] nayutan7777: おめでとう！
[58.475] tia1230: おめでと！！！
[58.856] towar2525: メインステージまで練習がんざろう
[58.996] ちんまり: Cheer100マジでお疲れ様、ありがと
[59.340] よしっしゃー: 泣いていいぞ
[59.373] dfmw223: あぶも良かったよ！！
[59.541] いしじま: オフライン行くぞ！
[59.688] yuya926: お疲れ様
[59.771] 110_it: おめでとおおおおおお
[59.896] ainya____: Cheer1 Cheer1 Cheer1 Cheer1 Cheer1
[60.012] 正岡子規_公式: tonboKansya
[60.367] ~MISSING_COMMENTER_INFO~: レオから
[61.086] orion_na: おつかれ
[61.252] gargantuansaltcure: hanjouBudda
[61.469] 山口くうき: おめでとう
[61.777] odaikon77p: まだ試合見れるの嬉しいよ
[62.227] 6181818: DinoDance
[62.774] goki0101: おめでと
[63.012] seraphim_7: 最高や！！
[63.371] わいせい: べりゃああああああ
[63.490] ainya____: あぶありがとう
[63.550] chochochoko: おめでとう
[64.243] 好きな言葉は森林伐採: お前は強い！お前は強い！お前は強い！お前は強い！お前は強い！お前は強い！お前は強い！お前は強い！
[64.255] reochi_: yooyoo
[65.420] yokocha07: dep見返そうぜ
[65.640] meishou_poichi: Split1より成長してる姿見せてくれて嬉しいぞ！！
[65.644] ジンフィズ: 劇場型やめてね
[65.855] okamotoooooooooooooooooo: !sens
[65.923] wtmkm: おめでと
[65.971] Nightbot: dpi 800 0.35~0.45
[66.319] ちんまり: Cheer100
[66.676] usuneko417: とんにい怖いよ
[66.730] hallelujah5757: ようやったアブ！！！！！お疲れ様！！！！
[67.458] dobby0009: 今日寝れそう？
[67.896] ~MISSING_COMMENTER_INFO~: sexyin1Neko
[68.059] zuma090807: おめ
[68.542] ガエック: おめでとう！！
[68.721] tskm25: unkochanPower
[69.236] kitten0531: 来たよ♡
[69.886] chan_okome: ようやった
[69.902] はお105: レオ注意⚠️
[70.035] 鳥取り: マジでおめ
[70.059] 6181818: GoatEmotey
[70.107] fukazume6sec: ランク？タフやな
[70.301] meishou_poichi: アブ！ Split1より成長してる姿見せてくれて嬉しいぞ！！
[71.907] chin_kawa: おめでとうおめでとうおめでとうおめでとうおめでとうおめでとうおめでとうおめでとうおめでとうおめでとうおめでとうおめでとうおめでとうおめでとうおめでとうおめでとうおめでとうおめでとうおめでとうおめでとうおめでとうおめでとうおめでとうおめでとうおめでとうおめでとうおめでとうおめでとうおめでとうおめでとうおめでとうおめでとうおめでとうおめでとうおめでとうおめでとうおめでとうおめでとうおめでとうおめでとうおめでとうおめでとう
[71.968] リン0811: よくやったよ；；
[72.072] migu024: おつ
[72.619] (S)misaki_pu: あぶーおめでとう！！
[72.715] colok5643: おめでとう
[73.256] mutta333: サンセット強かったぞ！
[73.382] kiseki255418: お前はムラゲの心臓だ。
[74.518] chan_okome: million34771
[75.234] aettmopet: センシ下げるべ
[75.422] ひろっと: million34771
[75.690] まよなかの: メインステージおめでとー！
[76.131] trefun: Cheer100
[76.857] sukantu10nenmati: オペ外しすぎや！！！w
[77.235] ~MISSING_COMMENTER_INFO~: レオき、たわ
[78.651] takakenwatch: おいアブ オペ当ててくれ；；
[78.671] DancingSheep1119: お疲れ様
[78.904] (S)すてらあかいぎゅう: おい！サブｸｶしてやったぞ！
[79.060] hanasoora: アブソルおめー
[79.966] zuma090807: はにょから
[80.496] fushigi_da_nee: おめでと！！！！
[80.702] utatane107: おめでとう！！！！！
[83.342] Moguin_u: お疲れ様ー！
[84.611] nyossuyametene: アブ焦ってるとしゃがみ撃ちする癖ある？
[85.124] faintheart1129: unkochanYaa
[85.299] meishou_poichi: Split1より成長してる姿見せてくれて嬉しいぞ！！
[86.954] osarubaby3104: お疲れ様！！！！
[87.117] しがたび: おめでとう！！
[87.144] chin_kawa: うおおおおおおおお
[87.847] okamotoooooooooooooooooo: ひと安心したわ おめでとう🎊
[88.013] kasatama7389: 不死鳥構成🐦‍🔥
[88.119] kinpooge: ネイス 
[88.407] ほへふ: 常時覚醒できるようにしてくれ
[89.473] (S)mrgwin_: mrgwin_ subscribed at Tier 1. They've subscribed for 9 months! 
[89.474] human238: お母さんにちゃんと報告したか？！
[89.950] aettmopet: 伸び代ですねえ
[90.798] ainya____: おめでとう Cheer1 Cheer1 Cheer1 Cheer1
[90.969] ポコポコヴァンダル: 普通にコンペやん
[90.995] まよなかの: サブスクください！
[92.682] faintheart1129: おめでとう🎊🎊🎊🎉
[93.171] yuiiitooo: やあ
[93.197] TwitchReo: 335 raiders from TwitchReo have joined! 
[93.767] naporitan16: おつかれ！！ナイス！！
[93.793] twinmenn: ｗｗ
[94.024] maigo91: やあ
[94.107] kanaria_ria: やあ
[94.441] いずち: おめ！
[95.036] 110_it: メインステージも楽しみだよ
[95.194] Syu_goal: unkochanYaa
[95.416] すめりん: サンセット強かったやん
[95.550] toroi_merai: unkochanYaa
[95.580] teri_desu_: あぶおめ！！！！
[95.599] ないこと: ランクやってんのやばすぎる
[95.614] ~MISSING_COMMENTER_INFO~: million3Yametene
[95.668] 柳です: BloodTrail
