[12.383] ぷぴぽぺぷぱぴぷぽ: おめえええ
[18.418] junchankato: 4444444
[22.303] n3o119tm: やあ
[24.797] elmo_appler: おい
[25.039] papaiya2211: やあ
[25.732] kitkat0291: おめでとう
[25.851] niconico01234: やあ
[26.719] さいちゃん__: やあ！！
[26.980] rentyabin: やあ
[27.172] syafutan: やあ
[27.243] shuuuuuunn: やああああああ
[27.442] junosuke12: やあ
[27.683] azumaou1: unkochanYaa
[27.718] えぐらる: unkochanYaa
[27.771] Ka1tyou: やあ
[27.793] desiren2717: やあ
[28.005] sugoi_hayasa: おいおいおいおい
[28.007] yama_wasab1: unkochanYaa
[28.011] decodecco: やあ
[28.048] dmjagt: やあ
[28.222] wallabeemochi: やあ
[28.223] (S)jinro_hope: やあ
[28.254] mumi470: やああああああ
[28.426] imforwhat: おめでとう！
[28.484] wataame_1011: やぁ
[28.544] shinniku0308: やあ
[28.671] rerere0505: やあ
[28.931] Rikka015: やあ
[28.944] mentionkimo: おめ
[29.121] elmo_appler: よくやった
[29.135] hin4t4th: やあ
[29.329] kiik1003: やあ
[29.503] oniru_1234567: やあ！！！
[29.517] tubudora_7: やあ
[29.537] pasokonnmaru: おつかれ
[29.645] minitiiii: やぁ
[29.752] peperorin: おめでとー！！
[29.857] じっぽです: あぶー！！！！！
[29.907] hagukirin: やあ
[30.070] hoshi_243: やあ
[30.153] faifo888: unkochanYaa
[30.227] sorajiyuu: やあ
[30.236] aesthetic_suzuki: やあやあ
[30.290] deathburger4: おめええええ
[30.291] sealvhv: あぶ〜
[30.562] reiagod: おめでとうー！！！！！
[30.606] マスクビクターモア: おめ
[30.802] KOKUJIN_IS_POWER: unkochanYaa
[30.822] amaooh: やあ！！！！！
[30.836] plcino: カミソルきたーーー
[30.853] seraphim_7: すごいよ
[31.029] tio0000: やぁ英雄
[31.056] げんかしょうきゃく: やぁ
[31.061] nacir_3651: やあ
[31.079] ocixyowhuyu: おめでとう！
[31.131] takanamentay: やあ
[31.233] moom102: おめでとう！！
[31.338] hin4t4th: マブソルきたああ
[31.369] osakimori: チケット取ったよ〜
[31.450] tkg1yuki: やあ！
[31.537] nanooreo: やあ
[31.556] ken0817y: unkochanYaa
[31.739] sua__2580: やあ
[31.755] 2005iori: やあ
[31.855] yama_wasab1: おめでとう！！
[32.045] ~MISSING_COMMENTER_INFO~: カミソル
[32.064] ぁっぉ: あぶ❤️
[32.185] habaren: unkochanYaa
[32.260] static_konnyaku: uoooooooooooooooooooooo
[32.308] daylight2024: やあ
[32.332] buriburizaemon0328: 神ソルやあ
[32.344] ホリック: やあ
[32.557] elmo_appler: おまえ、さいこうだぜ
[32.724] hamajyodesu: mattetaz
[32.818] かくりん: どるああああああああああああああ
[32.910] masjdj: unkochanYaa
[33.364] hiro_ool: やあ
[33.510] ocixyowhuyu: ！！！！！！！！！！！
[33.529] route_228: やあ、おめでとう！
[33.572] sugoi_hayasa: おい！！！！！！！！！！！！！！！！！！！！！！
[33.598] pasokonnmaru: やあ
[33.692] toufu9211: おめ
[33.716] うまい肉食わせろ: unkochanYaa
[33.719] genmai_08: おめでとう！！！
[33.730] kari_wr: やあ
[33.784] (S)なおしい: おめでとー！
[33.801] rkstyle_1: BloodTrail
[33.831] elmo_appler: さいこ
[33.944] ｱﾝﾇｺ: やあ
[34.119] aaaa41sho: お前神だよ
[34.212] shaywwdo2512: やあ
[34.257] namusun1: おめええええええ
[34.513] surumina: やあおめ
[34.545] 勘定奉行: やったあああああああああああ
[34.554] じょわじょわ3: yaaa
[34.674] singerfinger_3232: やあああああああああ
[34.731] tasosteP: やあ
[34.734] binder765: million34771
[34.939] moa102: やあ
[35.178] dan_aventyr: お疲れ様
[35.252] kurikuri0304: あぶぅ
[35.280] kuccchane: unkochanYaa
[35.371] takaegg: おつかれ
[35.396] ほしな: uooooooooooo
[35.414] shiominti: やあ
[35.424] seraphim_7: 流石よ
[35.448] elmo_appler: さいこう
[35.459] はにゅうー: unkochanYaa
[35.507] piyoyoyo_: おめ
[35.510] さいな3: おめでとう強かったよ！！
[35.609] tanakada111oooo: DinoDance
[35.746] Yuuu1729: おめでとおおおおお
[36.048] しーる2: おめでとう！！！！！
[36.121] (S)jinro_hope: 最強デュエリストきたあああああ
[36.225] reysolsupporter: 2マップ目良かったぞ！！
[36.274] aaaa1112221121212: kitayd
[36.286] hagukirin: マブソルおめでとう
[36.288] joelg3468: やぁ
[36.298] ちんまり: おめ
[36.298] 蒼韋駄天: 集金配信きたー
[36.348] sun_light12345: やあ
[36.488] pisu333: やあ
[36.493] maigo91: おまえ最高だよ
[36.497] 47todohuken: 凄すぎて
[36.522] law_savage7: unkochanYaa
[36.570] ホリック: さいこう
[36.869] whatever_it_means: おめでとう！！！大好きだよ
[36.905] yakozenn: あぶおめでとー！
[36.984] じゅびす: やあああああ
[37.001] nor1tama76: unkochanYaa
[37.069] sorajiyuu: おめでとう🎊🎊
[37.069] syafutan: おめでとう
[37.073] tamakorokoro: アブ強すぎんだろ！！！
[37.237] kyo1234567: よくやった！！！！！！！
[37.242] wataame_1011: おめ！！！！
[37.321] sugoi_hayasa: やべえよ
[37.419] amaooh: 神ソル
[37.552] tskm25: unkochanPower
[37.630] 紫キャベツ42: おめでとう！！！！！！
[37.631] Ka1tyou: お前が日本最強デュエリストだよ
[37.635] ｱﾝﾇｺ: おめでとう
[37.774] sanad_7711: やぁ
[37.776] こんにチワワ316: おめでとう！！！！
[38.338] naranyorai: 神ソルきたーーーーー
[38.420] ポクモソ: つよかった
[38.535] grrgotyo: まってたぜえええええ
[38.557] senkoubiyori: やあ
[38.688] ないこと2: ようマブ
[38.771] moka2333: おめでとう
[38.941] (S)ikaros_00: おめでとーー！
[39.387] kagamind: unkochanYaa
[39.394] takanamentay: tonboYametenme
[39.423] tamago1106_: 感動しました
[39.472] pasokonnmaru: マブソル名乗ってくれ
[39.614] kitten0531: JP HOPE！！！！
[39.743] reimeenn: どりゃああああああ
[39.832] taronu1214: アブ、強くなったな！
[40.035] ピロット: GG
[40.550] ken0817y: アブソル最高でした！！
[40.739] じょうかまん: おめでとう！
[40.758] エンタメゲーミング: xqq荒れてるぞ！
[40.762] ストップザシーズンインザ: お疲れ様でした
[40.763] reiagod: 次も応援するからなぁー！！！！！！！！！
[40.865] Cai_desu011: おめでとう！！！
[40.865] (S)misaki_pu: アブ最強😢
[40.889] gggiiib: DinoDance
[41.043] static_konnyaku: おめでとおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおお
[41.124] oncen15: ナイスWIN！今日も強かった！
[41.253] moa102: おめでとー！！
[41.271] sua__2580: DinoDance
[41.553] bononowo: アブつよすぎ
[41.612] amaooh: まじすごい
[41.767] sugoi_hayasa: えぐいよ
[41.788] mt_kyoko: やあ
[41.828] ankopanchan: おいみにきたぞ！
[41.862] junchankato: 神ソルやあ
[41.995] s4tetsu_TK: よくやった！
[42.051] yama3399: おめでとう！
[42.093] 若衆: 偉かったぞおおおおおおお
[42.144] tomo_0789: BloodTrail
[42.202] kotaro_46: おめ
[42.262] santaisyo: 日本no1デュエリストさんこんにちわ
[42.327] masabashi: おめでとう
[42.342] 勘定奉行: やばいよまじで
[42.408] pomu46pomu: 日本最強デュエリスト
[42.417] babylover893: 神ソル
[42.539] jpa_kima: あぶー！！！
[42.755] momoco_t6: 神ソルきたあああああああ
[42.830] stag_beetle8: おめでとう つよかったぞー
[42.887] aabctyu: おめでとう
[42.952] v5225: おめでとう！！！！
[43.139] マンデー: reitatYeiyei
[43.361] isseichels: よーやった
[43.569] youyoutei: お前がＮｏ．１だ
[43.578] 平等院ラクシュミー: あぶ！
[43.581] hoshi_243: やばいよ
[43.582] txijx566: FortOne
[43.591] meishou_poichi: なあ、お前すごくね？
[43.674] aesthetic_suzuki: Cheer1
[43.781] fish11190: 涙出た
[43.782] ぴょんさゃ: おめでとー！
[43.944] Rikka015: 日本一のデュエリストの配信
[44.276] kumaz_y: unkochanPower
[44.295] 石田ぁ: おめでとーーー
[44.339] ysay888: よっ！日本一！
[44.389] げんかしょうきゃく: お前がNo.1だ
[44.403] valas94: おめでとう！！
[44.785] かくりん: unkochanPower
[44.809] ｱﾝﾇｺ: 最高だった
[45.031] kisakireinapoke: やあ
[45.058] twilightveo: jp hopeきたあああああああ
[45.063] takanamentay: 成ったな。
[45.130] makase0823: unkochanYaa
[45.261] (S)家臣竹: absoldGGabsoldGG￼￼ 
[45.430] まあぷり: やぁ神
[45.470] anonimo7156: きちゃった❤️
[45.477] aaaa1112221121212: 勝っちまったなあ！？
[45.489] amaooh: million34771
[45.628] cheru0saaaaaaan: やあああああああああ
[45.811] sugoi_hayasa: 祭りや！！！！！！
[45.811] Y_marufoy: 神ソル！
[46.449] nannanw: unkochanYaa
[46.506] wallabeemochi: 今日強かったぞ
[46.536] jpa_kima: よかったよ！！！
[46.654] フギ: おめ
[46.901] KUROPOTETI: お疲れ様！！！！！
[47.137] kusatu123: やぁヒーロー
