[8.031] (S)山田亮介: きた
[8.798] honbanodike: TwitchConHYPE
[9.634] zasiko: お
[10.048] (S)ぺぺ2: ワ、ンダー
[10.447] さはたやはた: あ
[10.585] フィヨルドランドペンギン: PopNemo
[11.091] やつはし: ！？
[11.173] aiu441: わ、んだー
[11.290] よるもち: よお
[11.717] (S)tired_maan: うおw
[12.068] capsulej0402: あ、触れた
[12.823] ikuragenn: あ
[13.020] reirei_1130: きｔらあああああああああああああああああああああ
[13.370] ケ口: あ
[14.501] 熟成カルボナーラ: ワ、ンダー！？
[14.565] yabu055: あ
[14.687] (S)babakokoga: よお
[14.693] (S)srai213: きたああああああああああああああああ
[15.139] かぼうんち: 誰？
[15.216] nattu773: あ
[15.441] さはたやはた: スタンプ解除
[15.927] koimas3: ワ、ンダー
[15.944] noromaaa: batoraShino
[16.065] (S)saya_do: batoraSuki
[16.115] honbanodike: TwitchConHYPE
[16.253] batraishou163: わ、わんだ！？！？
[16.485] kasa814: ワソダー
[16.501] hapipipipipi: ありがとう
[16.699] green222777: やったああああああああああああああああああああ
[16.956] harakiridrive765: ワ、ンダー
[17.074] ムッチッチ: まじか
[17.112] 古のインターネットに取り残: 外れ枠
[17.282] damecha: w
[17.373] pochibukuro0: ワ、ンダー
[17.614] (S)kamado_s: ワ、ンダー
[17.616] dfours2: よおバルト
[17.712] Osamix_xyz: よお
[18.235] (S)shisyamo271: きtらああああああああああ
[18.601] yama_wasab1: きたあああああああああああい
[18.619] acnabeat: あ
[18.803] akinorimuroi1209: 100％クリアお願いします
[18.838] mintia5555: あ、触れた
[18.975] honbanodike: TwitchConHYPE
[19.011] sasa5916: ワ、ンダー
[19.077] 3lolow: ワ、！？
[19.309] black_0921: わ
[20.012] natadetulip: ワ、ンダー
[20.085] ケ口: あ、触れた
[20.203] (S)srai213: やったああああああああああああああああああああ
[20.603] (S)todo_19: ワンダー！？
[20.745] 1st2nd3rdjpjpjp: よお
[21.367] (S)dasukusuda_: よおバー坊
[21.611] kotono_ha: ガチ⁉︎
[21.817] (S)aisu_so: batoraSushi
[22.195] mizuiro5j: あ
[23.237] (S)komiya_kaho: あ、触れた
[23.392] batraishou163: 外れ枠！？
[23.407] kjbkby: batoraNagare
[23.975] yabu055: 今日はハズレ枠か
[24.082] sess_y: ワ
[25.086] wagmj: 触れちゃった感じかw
[25.093] hach1coh: ワ、ンダーマジ？
[25.338] (S)babakokoga: ちょうど今から帰宅だよ、嬉しいよ
[25.503] sijimi7518: ワ、ンダー
[26.288] kagomeuta: ワ、ンダー
[26.508] ばくすい: わ、んだー
[26.691] (S)まぐちゃだよ: ワ、ンダーはまずい
[26.820] st0096552: あ
[26.852] nattu773: ワ、ンダーはまずい
[26.965] INkey_001: よお
[26.994] kamkamen: あ
[27.200] 3lolow: とうとう触れたね・・・・・・
[27.419] gureisiasuki: あ
[27.671] (S)どどんこどん: よお
[28.120] (S)gu9qsa1h7vz1: きたあああああああああああああああああああああああ
[28.256] (S)桜えな: ワ、ンダー
[28.263] うんちまる: わ、んだー！？
[28.487] mizuiro5j: DinoDance
[28.674] ryouranmaru: ワ、ンダー
[28.736] Suronzo: ワ
[28.824] taminin: 🍣
[28.887] (S)tired_maan: ワ、ンダー👈うおw
[29.075] ftacoyaki: ワ、ンダー
[29.098] 海軍大将黄ギャル: あワ、ンドー
[29.394] (S)ちゅんたたた: ワ、ンダー
[29.429] ssss215: まずい
[29.575] guerui: ワ、ンダー
[29.600] バトラ大好きティアーモ: あ
[29.904] ムッチッチ: 約束されたハズレ枠
[30.118] reihono: よお
[30.180] leaf0229: あ
[30.293] (S)岸麺: よお
[30.331] さはたやはた: スタンプ限定もう辞めないか？
[30.468] eripiyo_: 神ゲーきたああああああああ
[30.514] honbanodike: PopNemo
[30.610] rerere1786: あ
[30.747] adwtjm_: やったあああああああああああああああああああああああああああ
[30.770] velvet_024: きtらああああああああああああああ
[30.819] hach1coh: あ、触れた
[30.823] (S)kinpon_: わ、んだー
[30.844] (S)retasu4649_: きｔらあああああああああああああああああ
[30.927] babajin2: うおおお
[30.955] natadetulip: ワ、ンダーまじか
[30.958] (S)サかね: わ、んだー
[31.107] 小鳥遊222: あ
[31.329] white6530: ワ、ンダー
[31.530] kamkamen: あまずい
[31.546] (S)zero23fighters: まじかw
[31.704] leaf0229: ワ、ンダー
[31.876] シフォン1046: あ
[31.951] (S)かのん3737: あ
[32.119] (S)fuyu__21: よお
[32.367] hidekazu_k: えっ
[32.492] noromaaa: あ、触れた
[32.566] はんぺん太郎: ども
[32.569] sora021306: ワ、ンダー
[32.583] maucha1206: ワ、ンダー
[32.587] (S)ぽっぽい: わ、んだー
[32.710] balance_091: ワ、
[32.739] (S)chienpao30: ワ、ンダーきtらあああああああああああああああ
[32.824] makura136: ワンダーかよ
[33.040] (S)gu9qsa1h7vz1: ワ、ンダー
[33.238] gureisiasuki: 当たり枠
[33.279] (S)ふじわらもとお: おっそ
[33.365] nuooo6: ワンダー！？
[33.441] momoo_mgmg: ワ、ンダー！？
[33.459] (S)todo_19: 🐮🏓💥にょれい❗️🐮🏓💥にょれい❗️🐮🏓💥にょれい❗️🐮🏓💥にょれい❗️🐮🏓💥にょれい❗️🐮🏓💥にょれい❗️🐮🏓💥にょれい❗️🐮🏓💥にょれい❗️🐮🏓💥にょれい❗️🐮🏓💥にょれい❗️🐮🏓💥にょれい❗️🐮🏓💥にょれい❗️🐮🏓💥にょれい❗️🐮🏓💥にょれい❗️🐮🏓💥にょれい❗️🐮🏓💥にょれい❗️
[33.499] みそカツうま男: あれ？
[33.507] towar2525: キャプテンムラッシュ見てるから待っててね
[33.544] かぷかぷか: ワ、ンダー
[33.649] ーいきしちにー: ワ、ンダー
[33.668] verovero204838: ワ、ンダー！？
[33.854] (S)gzelle02: ハズレ枠
[33.965] cafy_23: わ、んだー
[34.052] ougust__: どうした！？気でもくるったか！？
[34.054] meizar: ワ、ンダー
