[11.524] pyanpyan12: だれ？？？
[11.954] (S)aboooonn: 流れ
[13.413] kotono_ha: あ
[14.051] migiuechan: batoraNagare
[14.367] kuriyama_t_aki: 当たり枠
[14.576] lemonyam: あ
[14.607] suger4628: あ
[14.988] 熟成カルボナーラ: え？
[15.101] (S)teityan: batoraNagare
[15.112] yami_1224_: 結婚！？
[15.277] batoneyazof: 🍣
[15.374] natadetulip: 流れ
[15.617] tenp101: え！？
[15.841] mikuri334: あ
[16.063] nattu773: あ
[16.162] surume_77: おめでとう
[16.781] anarandiysurs6: おめでとう
[16.830] nochino9123: あ
[16.870] gerupa: batoraNagare
[16.903] (S)はるまくん: なに？
[16.975] gorochan_893: 流れ
[17.011] パレスキ: 結婚おめでとう！！！！
[17.017] shisyamooooo: batoraNagare
[17.181] mimi9862: あ
[17.319] asouya: あ
[17.497] ryou1813150: マジか
[17.567] suger4628: batoraNagare
[17.788] purin8457: HeyGuys
[17.895] irohasu84: まって
[17.975] アリエス__: え
[18.438] ynwnnbf: 結婚
[18.538] sess_y: ！？
[18.564] bato451919: 広告4
[18.616] kanochanman1: けこん
[18.644] pippi12321: 結婚？？
[18.905] (S)aiueo_zzz: あ
[19.172] batora314: 結婚じゃん
[19.401] tenp101: おめでとう
[19.408] ギド0526: 広告4
[19.567] (S)shisyamo271: batoraNagare
[19.611] aaaa1345: 結婚おめ
[20.082] (S)ワンダー明日やります: 結婚おめでとう
[20.159] kubisimeron: きtらあああああああああああああ
[20.162] k_chqrry: だれ
[20.237] mikuri334: おめでとう
[20.287] (S)nikkapokka: 結婚おめでとう
[20.293] 出所しました: 結婚おめでとう！
[20.297] (S)mirulia33: batoraNagare
[20.299] rinko__o: おめでとう
[20.504] gorochan_893: おめでとう
[20.584] nappingalice: 式はいつだ！？！？
[20.639] 保存ランキング1位: あ
[20.670] untimusyamusya: 結婚おめ
[20.692] やつはし: 流れ
[20.699] ぺぺ2: く、くる
[20.769] (S)tikuwabu83: 結婚きｔらああああああああああああああああああああああああああああああああああああああああ
[20.784] sirinibakudan: おめでとう！
[20.940] (S)saya_do: batoraSudachikunAnimation
[20.989] 3lolow: 結婚おめでとう
[21.086] jim1209200: 流れ
[21.189] ファンブル: 結婚結婚結婚結婚結婚結婚結婚結婚結婚結婚結婚結婚結婚
[21.312] danielkintaro: それはおめ
[21.860] gnu__2690: 広告4444444
[21.899] konatu1118: おめでとう
[21.986] こさけけ: 結婚おめでとう！！
[21.988] (S)はるまくん: 結婚おめでとう！！！！
[22.079] ronron1658: 流れ
[22.282] satakemaruru: こんばんは
[22.491] s1phore: おめでとう
[22.615] 久慈川: batoraNagare
[22.721] twzzzzzz: 結婚式行くわ
[22.813] coleus1024: おめでとう！！！！
[22.848] ネッカリッチ: 結婚か！！
[22.904] ikenuma_go: 545454
[23.108] シアンだ: なんだ！？
[23.163] ringosan101: おめでとう
[23.319] bato451919: まてと
[23.330] (S)claude__debussy: 結婚おｍでとう！！！！！！！
