[11.034] ジャングルル: きった
[12.012] (S)hiyokomame0906: batoraValo
[12.173] pochibukuro0: え？
[12.387] (S)mutimutigai: きｔらあああああああああああああああああああああああああああああ
[17.524] toky1348: うん、こちゃん
[18.123] y_submarine: よお
[20.197] (S)823aaa: 入団おめでとう
[22.761] wonderboy_9: きtらあああああああああ
[24.918] hatoland: お前ウキウキで草なんよ
[25.345] emuze: よかったな
[25.859] (B)バトラ: yabgai
[26.272] pochibukuro0: びっくりしちゃったよ
[26.487] water_melon200: 加藤純一軍団入り
[27.078] lalabot11632: よお
[27.759] (B)バトラ: yabai
[27.871] choco_ptotq: きたね
[28.489] lpffvbmh4f: きたああああ
[28.848] yuriyurisankaku: a
[29.052] (S)fuyu__21: よお
[29.526] gula00852: え
[30.021] トラ_さん: BloodTrail
[30.033] cthlyy: おめでとう
[30.536] momoo_mgmg: よお
[30.621] みやなぎ: BloodTrail
[31.225] taiyakisan3: BloodTrail
[31.432] 熟成カルボナーラ: あ
[31.500] (S)からーげくん: よお
[31.805] ブロンズです: よおおおおおおおおおおおおおおおおおおお
[31.948] pineapoo: おっそ
[31.980] Hsnik_: おい
[32.179] (S)魑魑魑魑: ふざけんな
[32.385] たーちん: やあ
[32.853] ちくわぶさんたろう: まじかよ
[33.038] (S)repo_10x: あ
[33.067] todo_19: ！？
[33.275] j_craod: おめ
[33.329] ねねと: バトラ失禁中
[33.383] (S)からーげくん: は？
[33.609] (S)elferia226: きｔらあああ
[33.889] iris9120: きｔらああああああああああああああああ
[34.055] 岩谷翔平: よぉ
[34.060] gula00852: やば
[34.077] (S)nagato4510: batoraValo
[34.189] (S)harumakiudon: batoraValo
[34.247] 3532184: きｔらああああああああああああああああああああああああああああ
[34.271] (S)草なんよ: こんばとらー 
[34.399] (S)村紗あざらし: いま？
[34.467] verovero204838: あ
[34.471] mozuzu_5425: よお
[34.758] kanegon_dayo: やめてくれ
[34.913] pepe_reme: 英雄団きたああああああああs
[34.945] kirasaku104: うわ
[34.991] かねちょー: wwwwww
[35.065] hanehane2: batoraValo
[35.278] chyame: BloodTrail
[35.380] water_melon200: BloodTrail
[35.522] (S)かまめし1523: batoraValo
[35.530] typewith: AFKかよ
[35.538] y_submarine: yabgai
[35.628] (S)サナギ55: きたああああああああ
[35.720] (S)くれいむ: うおおおおおお
[35.737] marumarurinkota: きちゃぁぁあ
[35.744] (S)hituzi333: あ
[35.836] nezar777777: ふざけんな
[35.838] (S)tatatatao22: うわ
[35.927] ビートきよし: うおw
[35.947] (S)chiripiyoko: よお
[36.087] yuriyurisankaku: BloodTrail
[36.101] junkie_392: きたあああ
[36.132] gage_grandfinal: ヴっさん
[36.135] (S)pon_pon_bomb_: batoraValo
[36.312] kiu8132: うん、こちゃん
[36.405] (S)なか77: よかったねばとら
[36.593] motopei: お前まじか
[36.797] (S)mirulia33: BloodTrail
[37.231] 義務ティアーモ: BloodTrail
[37.253] sdxse: hanjouJ
[37.425] nodoame1030: バロ4
[37.453] (S)extreme_speed_suicune1: batoraSudachikunAnimation
[37.662] batraishou163: おめでとう
[37.679] chimiminchi: うんこちゃんはじ...えーっと...いつもっ...昔から...あのー...あのっ...パワポケ8のときからほんとに...あの〜...見させてｲﾀﾀﾞｲﾃ......
[37.805] (S)mutimutigai: わろた
[37.867] chikapayamanotami: 嬉しそうだなーおい！
[37.883] (S)ドラゴン城ヶ崎: おめ
[38.026] あんソロ: BloodTrail
[38.535] lalabot11632: 軍団入りおめ
[38.606] ブロンズです: うおｗ
[38.653] ~MISSING_COMMENTER_INFO~: うんこちゃんはじ…えーっと…いつもっ…昔から、あのー…あのっ！…パワポケ8のときからほんとに、あの～…見させてｲﾀﾀﾞｲﾃ…
[39.237] ikanosashimiiiii: 加藤軍団
[39.252] iris9120: batoraValo
[39.447] (S)はんぺん太郎: おめでとう
[39.472] ちいかまです: うん こ
[39.665] y_submarine: 3人だしな
[39.991] runa_b13: うきうきのバトラよお
[39.998] (S)見るやつ: よお
[40.150] (S)~MISSING_COMMENTER_INFO~: batoraValo
[40.393] harakiridrive765: うん、こちゃん！？
[40.443] (S)pandasan_power: きtらああああああああああああああああ
[40.594] groovy_gozila: よかったね
[40.847] komatsu0829: batoraValo
[40.913] (S)extreme_speed_suicune1: batoraValo
[41.059] ougust__: 明日仕事やぞ！
[41.068] momoo_mgmg: おめでとう
[41.122] (S)823aaa: なあ夜配信なしで深夜にヴァロっていくらなんでも酷くないか？
[41.172] kanakana6: ばっさん！？
[41.198] lpffvbmh4f: バトラ絶頂中！！！
[41.261] makura136: ヴァロ4
[41.280] ちくわぶさんたろう: 英雄団きたああああああ
[41.413] balance_091: バトラ失禁中
[41.642] ブロンズです: やぁ
[41.690] たーちん: よかったな
[41.760] taiyakisan3: BloodTrail
[41.961] d1_dayo: ば、ろ
[42.077] (S)soralira: バトラああああああああ
[42.190] ame319: ウキウキでワロタ
[42.247] sdxse: eheheheh
[42.406] (S)千倉ン大学卒業生: カトさん！？
[42.492] lita_amz: BloodTrail
[42.629] あんソロ: batoraValo
[42.669] (S)pon_pon_bomb_: batoraValo
[42.689] (S)komiya_kaho: うお
[42.723] yyyuuna: あ
[42.743] 英傑ダルケル: batoraValo
[42.766] (S)イチタスイチワ: 誰？
[42.786] sakamotto_12: うわ
[42.843] (S)monouliszt1: batoraSudachikunAnimation
[42.859] mattttin: おめ
[42.881] batraishou163: バトラよかったね
[42.919] kanakana6: あ
[43.086] eehimemikan: さいこうだや
[43.204] (S)なぁマリパしないか: おめ
[43.210] (S)からーげくん: batoraValo
[43.418] (S)キズモ: batoraValo
[43.616] usagisan00: BloodTrail
[43.704] taro_17: batoraSudachikunAnimation
[43.840] todo_19: 🐮🏓💥にょれい❗️🐮🏓💥にょれい❗️🐮🏓💥にょれい❗️🐮🏓💥にょれい❗️🐮🏓💥にょれい❗️🐮🏓💥にょれい❗️🐮🏓💥にょれい❗️🐮🏓💥にょれい❗️🐮🏓💥にょれい❗️🐮🏓💥にょれい❗️🐮🏓💥にょれい❗️🐮🏓💥にょれい❗️🐮🏓💥にょれい❗️🐮🏓💥にょれい❗️🐮🏓💥にょれい❗️🐮🏓💥にょれい❗️
[43.845] afcthchtctydty: きtらああああああああああ
[43.851] 雑壇: よかったじゃん
[43.853] ll_cc_002: よかったね
[43.919] washio7: 小僧
[43.929] sono_1611: うわ
[44.435] ajtmmtbgp: おめ
[44.965] (S)もこうやぞ: batoraSudachikun7
[44.994] (S)gardenpo: batoraValo
[45.123] (S)yff32415: batoraValo
[45.126] mb2sy: なあ音量さげてくんね？うるさいよ
[45.161] gr3y_h3art: エヘエヘ言いすぎだぞ！
[45.167] (S)miyamori7209: batoraValo
[45.821] tak191812: 連投お願いします
[46.063] おさかなさーもん: BloodTrail
[46.068] konbini7: 配信もせずに裏でコソコソとたのしそうだったな
[46.190] あのにも: きてぃーら
[46.278] (S)ユーエスケー: batoraValo
[46.281] (S)魑魑魑魑: 義務笑い
[46.420] kanakana6: 仕事は?
[46.528] ikoooru: バトラ好きー 
[46.541] (S)tyiramisu3314: やったああああああああああああああああああああああああああああああああああ
[46.545] nishio0: BloodTrail
