[32.781] sejimoribe: パンツマン？
[32.798] lunussatu: 🐮
[32.877] (S)ti_amo_123: batoraValo
[33.082] (S)myo_an0v0: おせえぞ、アーロン
[33.094] tasin110: こんにちはー
[33.194] いかいかなん: 待ってたんだよ
[33.237] kirute1062: おっせ
[33.284] tontonpi: あもーれ
[33.304] guran_ner: ムラゲ負けちまったじゃねーかおい！！！
[33.348] (S)neon00143: Switchの後続期について
[33.372] wacky0000: おっそ
[33.406] ishimaru0519: おっそ
[33.528] (S)ワンダー明日やります: うんこちゃんはじ...えーっと...いつもっ...昔から...あのー...あのっ...パワポケ8のときからほんとに...あの〜...見させてｲﾀﾀﾞｲﾃ......
[33.601] おもち_2113: おそ
[33.677] (S)ファンブル: themus62MarioDance
[33.739] (S)shihori1017: BloodTrail
[33.739] (S)mom17321: おっそ
[33.908] (S)106manK: BloodTrail
[33.918] holly_923: よお
[34.555] (S)Riz126: よお
[34.634] Magu_champ: おやすみ
[34.722] mango_mango9: おっそ
[34.723] kubisimeron: 発表まだ？
[34.728] chomu0919: きtらああああああああああい
[34.763] nyo_tio: batoraValo
[35.263] nezar777777: おっそwおっそw
[35.426] (S)moyashi_amore: batoraSudachikunAnimation
[35.438] ikuragenn: 待たせんなっつーの
[35.460] (S)oh856: 5億まじか
[35.464] (S)村紗あざらし: 昨日の配信、あれはなんだ
[35.472] bigbaby0529: よお
[35.483] (S)あかつき07: こんばんは
[35.512] bugque23: おっそ 
[35.519] kp0001: ちび
[35.567] (S)ふじわらもとお: え？俺8年振り
[35.644] (S)komiya_kaho: よお
[35.834] l0l0io: おっそwおっせえw
[36.100] (S)shihori1017: BloodTrail
[36.104] roast43: おっそ
[36.128] デブホビチー牛: にょっす
[36.131] spongycake74722: よお
[36.373] amethystbeet: よう筒香
[36.527] sumiokp: よお
[36.532] ML_156451: よお
[36.723] bossneko616: bossneko616 subscribed at Tier 1. They've subscribed for 18 months, currently on a 18 month streak! 
[36.809] gerupa: 5億マジかw
[36.818] (S)ti_amo_123: batoraValo
[37.153] (S)chienpao30: くららから来ました
[37.355] aena_ao: BGMなっつ
[37.355] makura136: もっとはやく配信できたよね
[37.387] kabakabao3: てめえ、遅すぎだろ
[37.401] bato451919: おっせぇw
[37.552] (S)minatoyssy: おそ
[37.559] rin182949: よお
[37.568] kunurisu: よぉ
[37.583] kjbkby: 結婚おめでとう
[37.589] (S)reyheart5: ムラゲ見てたろ
[37.619] 食券です: にぃに♡
[37.626] トロンケン: batoraValo
[37.786] makou2023: やる気ある？
[38.336] cercatore769: やあ
[38.368] (S)shihori1017: batoraSudachikun2
[38.382] aiiiiioi: 寝るよばーーーーーーーか！！
[38.496] ririri1721: おせえよ！
[38.534] maecradioh: 無職のバトラさんこんばんは
[38.585] 追放されて反転囲い: くららから
[38.758] (S)ユーミンはアモーレ派: ミートボーイ見ようと思ったのに
[38.803] (S)pandasan_power: だれ？
[38.958] tot_harry: 遅いって！！！！
[39.262] (S)あずにゃんペろペろ: よお
[39.479] (S)尾晶蠍: BloodTrail
[39.506] (S)うしょー: batoraSudachikunAnimation
[39.539] (S)richard_starrky: おせぇよ何してんたお前
[39.701] (S)47_oz: よお
[39.738] たーちん: やあ
[39.829] (S)れくんさ: batoraKirai
[40.096] ejejm: やっとか
[40.170] (S)soralira: 待ってたよバトラ 寝ちゃうところだった
[40.234] (S)さえきあああああ: batoraSudachikun3
[40.309] (S)わんぱく: batoraSuki
[40.325] chyame: あのー、遅すぎます
[40.373] (S)えすふろ: 寝てたやろあんた
[40.604] hach1coh: 5億まじかｗ
[40.623] aishiteruyo1104: よぉ
[40.671] (S)Ribaryu10: おっすバトラ
[40.695] shiro_noir31: よぉ
[40.701] ANAPA0000: 誰なの？
[40.725] (S)苗木: 深夜に急に当たり枠始めないでくれ
[40.817] leaf0229: Switch後継機きたな
[40.932] Magu_champ: おやすみ〜
[40.951] (S)バターのカルピス: よ！
[41.024] jjyabetr: くららから
[41.035] okookookome: おせーぞ小僧
[41.049] (S)ふじわらもとお: 俺7年振り
[41.064] groovy_gozila: 発表お願いします
[41.068] daiku_man: よお
[41.162] (S)ゆかり飲んで落雷轟轟: こんくらいら
[41.170] batoneyazof: w
[41.193] noromaaa: おせーぞ イチ
[41.324] (S)s0ys0urce: batoraKyo
[41.460] (S)shihori1017: BloodTrail
[41.806] (S)ti_amo_123: batoraValo
[42.015] (S)魑魑魑魑: よくない先輩と絡むな
[42.228] rezona_to: よお
[42.229] ban_xxxx: それでも社会人？？
[42.308] usuneko417: 仕事したフリやめてね
[42.385] (S)donnnpennn: よお
[42.509] (S)neji_ki: batoraValo
[42.710] (S)named_silva: 出所したのか？
[42.710] (S)あーあか: おい！！！！バトラのせいでムラゲ負けたぞ！！！！
[42.887] (S)kk_fff: BloodTrail
[42.914] nyo_tio: batoraValo
[42.933] ふじぱん_: よお
[43.136] (S)konronmaru: batoraValo
[43.154] こもりだいすけ: 俺は5億
[43.191] (S)イモトです: おそすぎ 舐めてもいいか？
[43.199] unununchiwww: おっそ
[43.254] toppo_2525: ５年まじかｗ
[43.426] haco3dayo: 名を名乗れ
[43.453] makura136: なにしてた？？？？
[43.456] bloodtrail__: BloodTrail
[43.569] ookubo35: 配信初見
[43.687] hiro_see07: よお
[43.830] kokororo556: おっそ
[44.077] todo_19: サブスクください
[44.145] さむ256: ちくらいぶから
[44.155] mis0kk4s: BloodTrail
[44.159] (S)みずはらなぎさ: batoraSudachikun5
[44.294] yochubeats: やめてね 
[44.296] (S)namanieru: くらーらから
[44.517] kjbkby: batoraValo
[44.731] (S)mom17321: 5年も待たせやがって
[44.732] (S)shihori1017: batoraSudachikun3
[44.810] gianfrancozo1a: おっそ
[44.998] nibenikawa: 生きてたか
[45.024] gogotea_____: BloodTrail
[45.029] (S)tarupoppo: 今日は何のゲームやるの
[45.107] ぐんたいあり: batoraValo
[45.211] jim1209200: 誰？
[45.490] (S)satsi045: batoraSudachikunAnimation
[45.537] sasuke15266: 結婚おめでとう！
[45.559] あおすじ吾郎: batoraValo
[45.664] 1648942: BloodTrail
[45.724] (S)richard_starrky: どうせムラゲ見てたんだろ？
[45.748] (S)neon00143: おい！！Switchについて話せよ！！！
[45.765] (S)あえい_: ウス
[46.259] uoxou_zzz: Switch？
[46.322] keseranpasaran7: BloodTrail
[46.329] oplm_qzr: 待ってたよ
[46.418] xocsn: 仕事やってる設定やめてね 
[46.535] (S)aburi_saamon: おっそwwwwおっせぇwwww
[46.758] hiwaii: 小さき者よ
[47.427] seimaiky: おっそ
