[28.464] (S)velvet_024: マリオ64は？
[28.643] chubbydove: わこですw
[28.651] (S)claude__debussy: 仕事の時間だああああああああああ
[28.672] inu_uoaoj: ばー
[29.432] kokororo556: おしっこぉ！💢
[29.433] プラマリ: マリオ64←やりません 
[29.487] apple_pie0827: ここでは名前を名乗るんだろ
[29.560] ミルフィーユショコラ: えっど
[29.588] choco_ptotq: ツイガキこら
[29.637] sukosukonbu: あ
[30.124] 二番手の女: よぉ
[30.333] 炙りエンガワ: おちっこ！w
[30.352] 山田亮介: あ
[30.387] (S)qmapa: よお
[30.682] toti153: よお
[30.810] yff32415: だれ？
[30.927] yokogeko66: おしっこ！ｗ
[30.996] (S)fatman_3434: よお
[31.037] roxas_sorakun: 義務ッチ
[31.262] riya0343: DinoDance
[31.705] b_s_q_s: ニコ生でやれニコ生でやれニコ生でやれニコ生でやれニコ生でやれニコ生でやれニコ生でやれニコ生でやれニコ生でやれニコ生でやれニコ生でやれニコ生でやれニコ生でやれ
[31.755] iris_ck: ニコ生に帰れよｇｍ
[31.813] (S)みずはらなぎさ: みずはらなぎさ subscribed at Tier 1. They've subscribed for 7 months! 
[31.951] mogimogi5: ニコ生ならなぁ…
[32.066] ougust__: ニコ生に帰ろうよ
[32.251] zasiko: 誰？
[32.283] guerui: あ
[32.391] irohasu84: PRIDE OF ニコ生
[32.454] 戸斤: わこつw
[32.668] 雪ザラシ: よおニート
[32.729] (S)フェネル: 誰？
[32.852] capsulej0402: ニコ生に帰ろう
[32.995] Osamix_xyz: よお
[33.186] アルカン_: 54
[33.240] ayaka162: バトラさん！荒れてます！
[33.411] bullgame1234: やあ
[33.594] wi3slrb70b: 🍣
[33.812] (S)zeroyon_db: batoraShino
[33.831] arco_chan0: おっそ
[33.862] 朝昼晩あーあああ: よお
[33.881] totopopo2525: 開幕おしっこ
[34.041] sudachi161: BloodTrail
[34.385] gaku0x0: gaku0x0 subscribed with Prime. They've subscribed for 29 months, currently on a 15 month streak! おせーぞスーパーニートボーイ 
[34.561] 始祖ちゃ: 誰？
[34.570] nyo_tio: ニコニコジジイ・・・ｗ
[34.597] ドーピングさかな: よお
[34.660] (S)~MISSING_COMMENTER_INFO~: よぉ
[34.789] みそカツうま男: 妹は
[34.814] ジョニーでっぷ: よお
[35.028] (S)shamanstrip: わこつー
[35.178] saturate_ray_: ニコ生から
[35.247] chyame: ニコ生ならなあ
[35.288] onigiri_ageru: I LOVE YOU
[35.345] hanehane2: よお
[35.408] tm951amo: 誰？
[35.423] (S)暇人の欠番: ニコ生から
[35.694] momoo_mgmg: よお
[35.719] leaso451: 今更ニコ生ｗｗｗｗｗｗｗｗｗｗｗｗｗ
[35.863] yuten_p: よおおちっこ
[35.930] (S)れくんさ: ニコ生サイコーーーー
[36.153] あたりめ666: https://kou-ryaku.net/SuperMarioParty/チャレンジロード
[36.169] (S)gorochan_893: よお
[36.406] (S)korsaken: ツイガキにバレるからやめろ
[36.730] pikuminn2B: DinoDance
[36.917] (S)kqreh: ニコ生の老害さんきたー 
[36.962] tamaco_5: きtらあああああああああああああああああああああああああああああ
[37.049] (S)gu9qsa1h7vz1: きたあああああああああああああ
[37.137] chyame: ニコ生から
[37.327] (S)もこうやぞ: 嘘だろお前
[37.420] _いちか: 誰？
[37.540] sukosukonbu: 金稼ぎの時間だああああああああああああああ
[37.677] (S)letsplayomori: 濃厚おしっこ
[37.862] muraosansei: だれ？
[37.873] (S)azatohenry: 初手トレイ
[37.973] Turuturu3: よお
[38.070] gohan__22: こんばんは〜
[38.084] (S)suzuka_ze: よぉニート
[38.115] glumitane: ItsBoshyTime
[38.188] pikuminn2B: PopNemo
[38.441] ぼぼぼぼぼぼ: 広告長すぎ
[38.547] egre_gregre: egre_gregre subscribed at Tier 1. They've subscribed for 9 months! にこなまやめてね
[38.597] (S)frorida_22: わこつー
[38.938] soflan_em: よぉ
[39.036] ねね紅茶: 64は？
[39.039] (S)じゃでさん: よお
[39.146] yakitate30: よお
[39.148] rin182949: よお
[39.154] (S)gorochan_893: ニコ生ならなぁ
[39.155] まぜんた_: 名を名乗れ
[39.289] satakemaruru: 無理だよ
[39.353] guerui: ニコ生ならなあ
[39.549] takeshimashingan315: よお
[39.800] (S)バターのカルピス: よぉ、仕事終わるの早いな
[39.807] suger4628: 義務ツイッチ
[39.810] 枯らし明太子: ｙｌ
[39.818] (S)nakano1308: 小僧
[39.833] (S)yukimaru0701: お前はいいよな仕事してないで
[39.847] Turuturu3: 誰？
[39.993] nann_075: よお
[40.005] gobouchan1234: よお無職
[40.123] langerhansislands: ほらな？
[40.209] jinseiken: よお
[40.257] takenad: 999連勝するまで寝るな
[40.266] (S)岸麺: よお
[40.304] バトラ大好きティアーモ: よお
[40.308] あーたん8: ニコ生から
[40.899] (S)不器用かつ貧乏: おしっこ！
[41.005] kein_ntt: BloodTrail
[41.014] (S)リスナーってほんと金づる: やぁ
[41.341] pepeci_: くっせえ空気だな
[41.574] まさたか1999: マ、リオ64
[41.593] arco_chan0: arco_chan0 subscribed with Prime. They've subscribed for 14 months! 
[41.600] (S)neetbd: よおニート！
[41.746] (S)SMiTh0817: 仕事の時間です
[41.764] chyame: ニコ生プライド
[42.015] 枯らし明太子: よお
[42.244] ayataka1201: ヒモ
[42.360] hubuking7: 誰？
[42.403] mintia765: よお
[42.460] (S)syouta1992: やあ
[42.591] ahiruch: ニコ生ならなあ
[42.624] flowergameman: 広告かよ
[42.645] sigmataityo: BloodTrail
[42.655] lovekomer: よぉ
[43.036] yasaiprince: 誰？
[43.758] (S)tamagopan113: ニコ生から
[43.834] (S)もこうやぞ: ツイガキきtらああああああああああ
[44.065] Reborn7031: ツイガキよお
[44.286] (S)bobnmi_5: batoraKokosuki
[44.394] tm951amo: みなさん！
[44.516] 山田亮介: ニコ生って何？
[44.531] ひーらぎです: マリオ64は…？
[44.536] きっぺ: バッさん仕事
[44.685] (S)yukimaru0701: よお無職
[44.840] 苗木: ニコ生・・・？
[45.315] natto0141: よっ
[45.413] ち_____: よぉ
[45.459] (S)teityan: batoraSudachikunAnimation
[45.513] auntyko: 名を名乗れ
[45.859] (S)strfjj: 故郷に帰れ
[45.868] (S)つくね66: よお
[46.369] ねね紅茶: 64するっていったよね？
[46.435] (S)firakku2034: よお
[46.505] aoo_uwu: よおクソニート
[46.512] (S)けーわいぱーぷる: BloodTrail
[47.142] (S)ParaUniphs: ここで漏らすって選択肢はないのか
[47.605] chikuwa2323: 誰？
[47.758] かまめし1523: 誰？
[47.927] (S)adgjmptwwtpm: ニートだ！！！
[48.027] zuborazabora: 誰？
[48.467] (S)yukimaru0701: 無職アモーレ
