[38.814] (S)はやれう2: ぞっす
[267.975] maripe_oo: ゾッス
[607.756] サクラオオカミ: ゾス！
[652.525] (S)8854jojo: ゾス
[689.372] (S)8854jojo: 聞いてくれ！レギュgの仲間大会で今俺1位だぞ！ガハハ！
[735.320] (S)8854jojo: ホワイトキュレムやで
[755.807] maripe_oo: ミルキは競馬以外にギャンブルやってたりする？
[772.090] (S)8854jojo: シングルやで
[917.805] maripe_oo: 確かにwww
[992.291] maripe_oo: 馬の方が可愛いしな
[1505.645] maripe_oo: こーすけ！？
[1806.685] maripe_oo: 流石に草
[2400.967] maripe_oo: wwww
[2434.510] maripe_oo: どりゃぁぁあ
[2598.528] maripe_oo: 色違い良いね👍
[2699.729] maripe_oo: 負けられないなぁ！？
[2862.215] maripe_oo: そういう時もある
[3382.891] ritsu1231: ゾス
[3722.770] amuritan121: 女性専用車両は...いる
[3735.213] ritsu1231: 席奪われちまったじゃん！
[4152.929] ritsu1231: まあクレセだしって思えるのが一番えぐい
[4730.105] (S)8854jojo: 普通にあれから2敗して1位から落ちたわ 二度とやらない
[4754.457] maripe_oo: スト6全然マッチしなくて萎えてるぞ！
[5206.201] 3あかつき3: こんばんわ
[5284.256] 3あかつき3: フリーレンの小説よかった
[5297.339] 3あかつき3: 地震もあったで
[5299.993] 3あかつき3: 四国
[6283.866] tynzelf35: 最終ラスト
[6441.383] tynzelf35: エルフーンを許すな
[6446.378] ritsu1231: これがラストかーｗ
[6887.301] tynzelf35: 泣きの一回
[6897.277] ritsu1231: コーチングよりハリーマンでツボを付くとかのほうが良くね？
[6973.522] ritsu1231: 全員にやる予定なのかｗ
[7436.816] ritsu1231: ｗｗｗｗ
