[28.767] とあい: a
[29.593] サバぐし: こんばんは
[29.713] kuroma_san: わこさか
[30.314] (S)アントサン: おつです
[30.438] nnmiio: わこさか〜！
[30.754] makao_joma: わこさか〜
[30.967] noise__26: わこさか〜！
[31.171] halfo__o: わこさか
[31.589] (S)okome_taberu: わこさか
[32.669] (S)うなやま: わこさか〜
[33.259] (S)matsuhe2022: こんばんは～。
[33.298] lliiiillliiiilll: こんばんは
[33.320] (S)まり㌠: こんばんはー
[33.504] (S)oji1chan: こんばんはー！
[33.705] (S)kuzu_00: わこさかー
[33.719] むーちん: わこさか！
[34.610] bint4su: おいすー
[34.679] (S)おるた_: わこさか
[35.172] (S)maru_mochiko: わこさかー
[35.269] (S)a1ten0: わこさか～
[35.397] (S)sasa_nha: わこさかー
[35.610] (S)まめ___: こんばんは〜！
[35.841] ankoromotixx: わこさかー
[36.026] (S)野兎ネコ: わこさかー
[36.048] hamati__: わこさか
[36.258] (S)ayu_tmm: わこさか
[36.452] (S)ふき__: こんばんは〜
[36.617] (S)maga_1897: わこさかです
[36.678] yuzuriym: わこさかー！
[36.683] sakumasaku029: わこさかー！
[36.797] yuba1818: わこさか！
[36.866] (S)pipipipipi_piiiii: わこさーかー！
[37.103] お_か_ら: こんばんは
[37.265] fumuumu: わこさか
[37.545] syake04230423: わこ！
[37.548] (S)tokievi: わこさかー
[37.562] tora424: きたー
[37.882] (S)are_ya_kore_ya: わこさか
[38.159] aalenvvv: わこさかー！
[38.999] yuriuuu2: わこさかー！
[39.350] (S)fu4im1: わこさか〜 Cheer100
[39.567] NanNan0610: わこさかです
[39.742] (S)ssqqmmee: わこさか〜
[39.748] (S)ur0co: こんばんは
[40.189] (S)キレる17秒前: わこさかあああああ
[40.336] (S)yukidayo8: わこさかー！
[40.395] kurumipannnn: わこさかーー
[40.437] tem71816: こんばんは〜
[40.540] (S)07FZK: わこさかー！！
[40.662] (S)野兎ネコ: 野兎ネコ subscribed with Prime. They've subscribed for 10 months! 
[40.769] (S)쫄깃쫄깃냥이: こんばんは
[40.982] (S)b_chizu: わこさか
[40.991] (S)kanachanko: わこさかー！
[41.186] (S)noinim_bable: こんばんは
[41.420] (S)ゆてぃ_: わこさかー！
[41.620] (S)えびちり11: わこさか！
[41.667] yuta8547: わこさか
[41.761] rodiura: わこさかー
[42.014] (S)chi1ibo: わこさかー
[42.142] (S)満月: わこさか
[42.238] errrs02: わこさかー
[42.330] (S)希乃0107: わこさか〜
[42.339] (S)ak6141126: わこさか〜
[42.492] ringring_rin: 新PCきちゃーーー
[42.694] mnrnmochi: わこさかーー
[42.740] ishi_aityou: わこさかです
[42.742] (S)zawaco: わこさかーー
[42.905] (S)はるさんさん_: Cheer1000
[43.130] _ゆりゆり: わこさか〜
[43.881] うしおねこ: わこさか〜
[43.994] kaaaaa1024: わこさかー
[44.152] bint4su: ついに変えたのか！
[44.211] taro56_twitch: わこさかです
[44.894] きぬん: たこわさ
[45.010] waga_boco: こんばんは〜
[45.209] (S)かぐらちゃん_: こんばんはー！ Corgo500
[45.437] (S)yunicoo25: わこさかー！
[45.761] (S)満月: こんばんは
[45.878] (S)kyumekumu: Windows11きたーーー！
[45.929] (S)kii_25: わこさか～
[45.948] 2otea2: わこさかー
[45.953] (S)ニックネム: わこさか〜
[45.957] (S)io_ne55428: わこさかです！
[45.970] (S)キレる17秒前: pc変えたのか！！！！
[46.121] (S)habutae_mochi: わこさか
[46.275] うた_: わこさか〜
[46.387] (S)ゆゆすけです: わこさかー！
[46.444] (S)risaaachannn: わこさか！
[46.758] (S)sudachim: わこさか〜
[47.068] n_n_room: わこさか
[47.138] (S)kirikaaa2971: わこさか〜
[47.363] (S)かるぼなーら: わこ～
[48.052] 1r000: わこさかーー
[48.285] yorunun: わこさか
[48.411] (S)akiponpon_k: こんばんはー
[48.516] みんみんみんみ: わこさかー！
[48.957] (S)てけぽん00: わこさかー
[48.967] (S)yanagino3: わこさかー
[49.147] karasimayon: わこさかー
[49.182] (S)ぼっち2825: わこさか〜
[49.197] (S)haiku100: わこさか〜
[49.198] (S)momomochi_: わこさか~
[49.354] akanee125: わこさかー！
[49.814] まっささん: わこさか〜
[49.911] (S)おるた_: ついにpc変えたんだお疲れ様
[49.931] (S)imady_imady: わこさかー
[50.019] (S)にゃるろーる: わこさかー！！
[50.308] ankodx: わこはかー！
[50.326] hnkjntm: わこさか～！
[50.465] (S)fuu_nya: わこさか〜
[50.620] (S)mamii8686: わこさか〜
[50.844] (S)aaa__nn: わこさか〜
[50.853] ぉばけちゃん: わこさか〜
[50.858] (S)misa0915: わこさか
[50.900] あぃりす: わこさかー
[51.049] lliiiillliiiilll: 新しいPCだ
[51.258] (S)machika0413: わこさか～
[51.534] さとみ_1014: わこさか！
[51.538] yuzuriym: 新PCおめめめめ
[51.939] (S)kuro_nekotan: わこさかー！
[52.361] はるまきスロット: こんばんは
[52.496] seira_0110: わこさかー
[52.511] (S)pi_enn: わこさか
[52.564] (S)L__0u0: わこさかー！
[52.592] (S)荒木なぎさ: こんばんは！
[52.597] るなたそ: パソコン変えたのー？！！
[52.599] mayumayuuuu: わこさかー！
[52.621] (S)sapasa: わこさかーPC新調？
[52.678] (S)ゆてぃ_: PC変えたのね
[52.749] しいかさん: わこさかー
[52.819] michippe: こんばんわ〜
[53.617] (S)aftergrow32: わこさかー
[53.685] (S)nugget3150: わこさか～
[53.696] aisu2424: Windows11ですか！？！？
[53.707] (S)_あいす__: わこさか〜
[53.947] mintia0731: 新pcや〜
[54.076] (S)matsuhe2022: おおー、pcどうよー
[54.149] (S)oji1chan: 新しいPCの調子良いすか
[54.161] (S)たかたに: わこさかー
[54.274] (S)にゃるろーる: ついに！！
[54.328] semosemay: 新PCきた〜
[54.344] パんパんダ: わこさかー
[54.488] (S)なかじ___: わこさか〜
[54.509] ruamelon: わこさかー
[54.519] けいぱる: わこさか！
[54.772] (S)如月はちこ: わこさかー
[55.014] sirokuro_713: あたらしいありさかさんだああ
[55.075] (S)新鮮なシャコ: わこさか！
[55.164] (S)naeko1123: わこさかー！
[55.233] omiso_sansan: わこさかー！
[55.323] しゃけいくら: わこさか〜
[55.465] (S)omo_chi7: わこさか！
[55.646] (S)kazunoko016: わこさかー！
[55.732] (S)maga_1897: おニューPCおめでとー
[56.203] rodiura: ついに新時代に！？
[56.407] asari__misosiru: わこさかー
[56.542] o__m__i: わこさかー
[56.637] syodo2: わこさかー
[56.786] (S)アントサン: おニューです、か。
[56.817] (S)anzubo: わこさか！
[56.963] neco_888: わこさか！
[57.005] no2ko: こんばんは🌛
[57.175] ma__mu1: わこさかー！
[57.306] (S)うなやま: Cheer100
[58.163] (S)hiiiiro_o: わこさかー！
[58.226] けー353: わー
[58.249] sara_sara7131: わこさかー！
[58.366] haruuta2: わこさかー！
[58.368] (S)まいめろ5: わのさかですー
[58.560] __紬: わこさかー
[58.671] (S)かいわれ王子: わこさか～
[58.750] うた_: 新PCくんどうよ
[58.817] ume4372: わこさか〜
[58.848] mupatto: わこさか！
[59.156] yui_kmn: わこさか〜
[59.514] (S)あかノ: こんばんは〜
[59.960] (S)risaaachannn: 新PCきちゃ
[60.053] (S)mochiwarabi_: わこさか〜
[60.134] ankodx: PCどうですか？？
[60.163] (S)io_ne55428: ついにWindows11になったんですね
[60.195] suguro32: わこさか〜
[60.330] かのかも: わこさか！
[60.443] (S)まり㌠: Win11じゃあ～！！
[60.683] hybs__8823: わこさか
[60.956] (S)ruto1225: ありちゃんもついに11か
[61.008] karin_911: わこさか〜
[61.387] (S)ユリトス: わこさか
[61.657] kaaaaa1024: 新生ありさんだぁ
[62.217] (S)ponpoooo: わこさか〜
[62.286] kanqmo: 11か？
[62.617] (S)oavow: ちわー
[62.776] (S)wadd___: わこさかー！
[62.781] syake04230423: 聞こえてる！
[63.471] rafaeru_god: やったのか､､､ついに､､､
[63.769] 激辛麻婆プディング: わこさかー
[64.005] (S)サナ93: こんばんは〜
[64.207] Miyu_chan___: わこさかー！
[64.427] (S)ぴくみん_: わこさかです
[64.629] mayumayuuuu: 新pcきちゃー
[64.901] (S)redgoya: わこさか〜
[65.022] nekoze_nekojita: わこさか〜
[65.121] (S)ayu_tmm: おおおお
[65.593] haruuta2: 設定出来ました？
[66.343] (S)yanagino3: ついに11きたか
[66.579] (S)moracle101205: わこさかー
[66.630] mii_micchii: わこさかー
[66.632] gemarurampage: いいですよ
[67.007] ayakaka94: わこさかー！！！
[67.093] 星詠せれね: わこ！ちゃんとPC変えたのね！
[67.140] (S)maga_1897: きこえるよー
[67.202] non_i: わこさかー！
[67.289] (S)にゃるろーる: きこえる！
[67.315] (S)くろりか: わこさかー！
[67.519] あぃりす: 声が小さくなりましたねー
[67.536] (S)はちねこ: わこさかです
[67.589] どんどーん: わこさか～
[67.759] (S)キレる17秒前: きこえます
[67.803] (S)pi_enn: いい感じ
[67.808] (S)おるた_: いい感じ
[68.091] (S)まり㌠: きこえます
[68.165] ryokucha47: こんばんはです！
[68.165] (S)かいわれ王子: Cheer100 Cheer100
[68.233] nico253_: わこさかー
[68.294] (S)sapasa: きこえます
[68.323] hnkjntm: 聞こえるよ～
[68.545] (S)mayyysaaa: こんばんはー！
[68.754] (S)kohki_s: Newありさかさんだー！
[68.770] sirokuro_713: 👍⭐️
[68.829] choco_chan1031: わこさか
[68.996] chat__noir08: わこさか！
[69.029] (S)nugget3150: いい感じ！
[69.170] (S)ゆてぃ_: 良さげ
[69.208] (S)荒木なぎさ: 全然大丈夫です！
[69.655] 1r000: いい感じー
[69.678] (S)aaa__nn: 聞こえます
[69.814] (S)pipipipipi_piiiii: よい感じです
[69.853] (S)ayu_tmm: いい感じです
[69.872] てるたです: 聞こえるー
[69.882] (S)imady_imady: 大丈夫そう
[69.889] daruma0665: きこえるー！
[69.902] (S)matsuhe2022: 大丈夫
[70.037] hamati__: お
[70.076] anpan5002: わこさか〜
[70.240] chinaaatu: わこさかー！
[70.437] fumuumu: いつも通り
[70.439] (S)希乃0107: いい感じです！
[70.453] syodo2: きこえるー
