[25.235] kaw0nashi: うぃー
[29.200] adv333a: お疲れ様でした！
[31.064] nikonikosannn: わこさか！！
[31.135] hanaya1202: わこつ！
[31.271] 2otea2: わこさかー！
[31.346] takekyo2021: こんちゃ
[31.483] banana39z: わこさかー！
[32.363] naru_naruto: わこさか〜
[32.398] (S)Juno_06: わこさか
[32.561] (S)쫄깃쫄깃냥이: こんばんは
[32.881] うしおねこ: わこさか〜！
[33.101] omame_tora: わこさか
[33.175] (S)たろ49: わこさか
[33.398] (S)鳴坂: わこさか
[33.814] (S)oji1chan: こんばんはー！
[34.144] (S)co_oooo: わこさか～！
[34.150] (S)maru_a_s_: こんばんは！
[34.154] (S)うなやま: わこさか〜
[34.336] (S)tokievi: わこさかー
[34.881] kuzu_00: わこさかー
[35.029] glakfl: わこつ
[35.095] (S)mirei_1202: わこさかー！
[35.113] かのかも: わこさかー！！
[35.232] mako_lam: わこはかー！
[35.237] ゆにゃ__: わこさかー
[35.257] hayabusa0619: わこさかー
[35.317] ritomai: わこさかー！
[35.497] しらいしぐれ: わこさかーー！
[35.521] sakurakon1: わこさか！
[35.524] えびふらいかも: わこさか〜！
[35.532] こんでんすみるく: わこさか
[35.668] のるにる_08: わこさかですーっ
[35.743] nao_as: わこさか！
[35.763] baku_tin: わこさか
[36.001] rickrinlily: わこさかー
[36.198] (S)ふき__: こんばんは〜
[36.440] (S)lily__1301: わこさかー
[36.676] duraray22: わこさかー
[36.859] (S)chikuzen_n1: わこさか〜
[36.903] nanami_0706: わこさかー
[36.929] jun4167: わこさか〜
[37.028] (S)maru_a_s_: maru_a_s_ subscribed at Tier 1. They've subscribed for 13 months! 
[37.061] enbunnnnn: わこさか！
[37.079] (S)kanachanko: わこさか！！
[37.085] (S)yh_hiro: わこさかー
[37.091] けいぱる: わこさかー！
[37.100] sapasa: わこさかー！
[37.101] sachan1209: わこさか！
[37.172] avocado_tofu: わこさかー
[37.288] makao_joma: わこさか〜
[37.299] oto_swim: わこさかー！！！
[37.306] (S)kohki_s: わこさかー！
[37.411] mipporiin: こんばんわー
[37.787] mnrnmochi: わこさか！
[38.069] とね_: わこさかー！
[38.192] (S)matsuhe2022: こんばんは～。
[38.295] alinkonoyousei: わこさか〜！！
[38.310] waga_boco: こんばんは〜
[38.385] (S)papainapple: わこさか！！！
[38.397] (S)ゆゆすけです: わこさかー！
[38.450] (S)なみこさん: わこさかーーー！！
[38.452] (S)yuri_404n: わこさかー！
[38.510] (S)awato_maru: わこさかー
[38.527] ともみにかぬ: わこさかー
[38.531] djcfilx: わこさかー
[38.616] (S)sazanami28: わこさか〜
[38.669] (S)momo0159: わこさか！
[38.692] てりやき_2000: わこさか！
[38.723] satoukef: わこさかー
[38.729] arinnzi: わこさかーー！！！！！
[38.756] (S)kuro_nekotan: わこさか！ありさんおつかれ様でした！！
[38.760] pyoko_n: わこさかお疲れ様でした！
[38.832] (S)momoeternal07: わこさかあああ
[38.849] (S)dudu7246: こんばんは！
[38.951] yuriuuu2: わこさか！
[39.137] (S)鳴坂: 鳴坂 subscribed with Prime. They've subscribed for 17 months! 
[40.223] chisato_on: わこさか！！
[40.232] (S)Juno_06: フェスお疲れ様でした！
[40.288] (S)キレる17秒前: わこさかあああああ
[40.387] hakohima: わこさかー
[40.471] (S)ur0co: こんばんは
[40.600] nikonikosannn: お疲れ様でした！ふぇす！
[40.605] いけポン: わこさかー
[40.672] (S)くろばれお: わこさかー
[40.672] o__m__i: わこさかー！
[40.806] sapiiiiio: わこさかでーす！！
[40.811] 芽キャベツ: わこさか！
[40.877] (S)月原遡: わこさかー！
[40.893] (S)mamii8686: わこさか〜
[40.895] (S)寧々_: わこさか〜！
[41.086] nico253_: わこさかー！
[41.156] rililir: わこさか
[41.191] misaki2008yo: こわさか
[41.240] puchan_s2: わこさか！
[41.300] (S)mayyysaaa: こんばんはー！
[41.455] (S)こまつなち子: わこさか〜
[41.673] パんパんダ: わこさか〜
[41.674] geni_n: わこさか
[41.922] aotonkoturaman: わこさかー！
[42.129] suumou2501: タルコフ！？
[42.133] 激辛麻婆プディング: わかさかー
[42.150] (S)ちぴ_ぴ: こんばんはー
[42.158] (S)are_ya_kore_ya: わこさか
[42.171] merino_4989: わこさかー！
[42.332] america_game: ついにロシアの時期来たか
[42.344] kado_113: わこさかー！
[42.429] xxonq7: わこさか！
[42.540] minaru0304: ありぴー
[42.545] (S)nugget3150: わこさか〜
[42.566] _ゆりゆり: わこさか〜
[42.569] (S)unoooo_e: わこさか！
[42.713] cii_nii: わこさかですー
[42.739] lrmigi: わこさか〜
[42.800] rickrinlily: お疲れ様です〜
[42.912] kiki_46497: こんばんはー
[42.924] shu_pi_: わこさかああああああああ
[42.963] (S)fu4im1: わこさか〜 Cheer100
[43.486] そんちょです: わこさか！
[43.506] mikann225: わこさか
[43.619] (S)ゆてぃ_: わこさかー！
