[10.153] (S)くろばれお: わこさかーーーー
[11.761] (S)neet_master: わこさかです
[11.998] asari__misosiru: わこさかー
[19.720] (S)hnmy68: わこさか〜
[20.149] ikanoan: わこさかーーー
[20.906] (S)kanachanko: わこさか！
[24.309] (S)かるぼなーら: わこさか～
[24.463] (S)yuri_404n: わこさかー！
[25.135] karin_911: わこさか〜
[25.153] (S)Juno_06: わこさか
[25.476] _ゆりゆり: わこさか〜
[25.598] (S)b_chizu: わこさか
[26.450] ikayakidayo: わこさかー！
[27.490] (S)sudachim: わこさか〜
[27.571] (S)pi_enn: わこさか
[27.769] あーーーちゃ: わこー
[27.961] (S)おるた_: わこさか
[28.183] (S)悪魔の手羽先: わこさかー
[28.505] (S)まこよ: わこさか〜
[28.966] (S)kuzu_00: わこさかー
[29.337] (S)megezoo: わこさか
[29.806] (S)naeko1123: わこさかー！
[29.951] (S)ksnt007: わこさかー
[30.262] (S)寧々_: わこさか〜
[30.796] (S)_みき: わこさかー
[30.908] (S)かぐらちゃん_: こんばんはー！！ Corgo500
[31.028] (S)ぱっぷる: わこさか~‼︎
[31.475] (S)96wuroncha: わこさかー
[31.518] nasunasuuuuuuu: わこさか〜〜
[31.685] naru_naruto: わこさか〜
[31.690] lliiiillliiiilll: こんばんは
[31.710] (S)まめ___: こんばんは〜
[31.832] mai_clpc: わこさかー！
[31.844] hamati__: わこさかー！
[31.915] (S)たろ49: わこさかー
[32.004] makao_joma: わこさか〜
[32.135] (S)key__owo: わこさか～！
[32.138] (S)e_ten1120: わこさか〜
[32.304] mic_chon_key: わこさかー
[32.428] (S)みか_미카: わこさかー！
[32.655] (S)mi_koo1230: わかさかー
[32.759] (S)momochomo_: わこさか！
[34.060] (S)ssqqmmee: わこさか〜
[34.263] nnmiio: わこさかー！
[34.278] ゆきめろ: わこさかー！
[34.353] 87hanaz: わこさか〜
[34.463] (S)Mokaaa65: わこさか
[34.467] (S)kakumakun: わこさかー！
[34.467] (S)yukkeke__: わこさか〜！
[35.029] どんどーん: わこさか～
[35.084] (S)쫄깃쫄깃냥이: こんばんは
[35.103] shamomokan: わこさか~
[35.249] おもちもちさん: わこさかー！
[35.249] AkaNe_2574: わこさか〜
[35.472] (S)うなやま: わこさか〜
[36.442] taro56_twitch: こんばんは
[36.633] _ひゅーす: わこさか！
[36.676] (S)nnk_pop: わさかー
[36.778] (S)co_oooo: わこさか～！
[36.832] hani_uka: わこさか〜
[37.424] shirakou4: オーバーウォッチ？！
[37.592] (S)lily0947: わこさかー
[37.803] karink03: わこさかー
[38.050] yuina_113: わこさかー！
[38.734] めいっち: わこさか～
[39.414] tadano_Rin: きたー
[39.486] やきとりぱんち: わこさか！
[39.652] valen_0214_love: わこー
[40.396] タラコぱすた: わこさか！
[41.529] ちろりろる: わこさかー
[41.625] (S)maru_mochiko: わこさかー
[41.783] (S)youazz4242: わこさかー
[41.906] (S)uc_uni: こんばんわこさかーー！！！
[42.059] (S)はるさんさん_: わこさか！ Cheer1000
[42.805] (S)あかノ: こんばんは〜
[42.856] 1234gengen: わかさか
[42.873] (S)yuta04345: わこさか
[43.027] (S)ゆうひ__: わこさかー
[43.047] (S)アマミユラ: わこさか～
[43.441] damenako_00: わこさかー
[43.513] ringooo0502: わこさか！
[43.966] tem71816: こんばんは！
[44.091] (S)満月: わこさか
[44.420] (S)yunicoo25: わこさかー！
[44.587] (S)a1ten0: わこさか～
[44.596] (S)みか_미카: こかげさん！
[45.201] sakurakon1: わこさか！
[45.438] (S)ﾁｲ: わこさかーー
[45.510] (S)ひばり1226: wakosaka~
[45.643] (S)まいめろ5: わこさかですー
[46.211] (S)07FZK: わこさかー！！
[46.447] (S)act_1091: わこさかー！
[46.544] (S)michikaaa_: わこさか～
[46.760] (S)WARUGI12257: わこさか~~~
[46.824] paru1628: わこさか！
[46.982] kuuu__uu222: わこさかー
[47.582] (S)awato_maru: わこさかー！OWだーー！
[48.393] 新玉です: わこさかー
[48.521] ゆちま: わこさかー！！！！
[48.598] asami717: わこさか〜
[48.638] (S)くろぉばぁぁ: わこさか
[48.720] (S)ユリトス: わこさか
[48.857] (S)sai_0w0: わこさかです
[48.919] (S)nnk_pop: cheer500
[49.063] (S)nugget3150: わこさか〜
[49.301] valen_0214_love: こかげちゃん！？
[49.716] (S)ゆうひ__: Cheer100
[49.862] datsu_3366: こんばんは
[49.884] wakana18: わこさかー
[49.946] メロンぱん田: わこさか！
[50.059] (S)ぱらぱら__: わこさかー！
[50.313] shiichan3: わこさかー
[50.552] (S)ふき__: こんばんは〜
[50.606] hollowjello: わこさかー
[50.876] (S)りあ㌨: わこさか〜
[51.044] lliiiillliiiilll: owきたー
[51.117] hana_summer72: わこさかー
[51.200] ngy00: こかげちゃんだ！！！！！
[51.294] ぽんちゃんやで: わこさかー
[51.506] (S)komon_azarashiiii: わこー
[51.554] (S)sudachim: OW強者に放り込まれたありさん
[51.616] (S)てんてん37: わこさか〜
[52.205] hamati__: OWきちゃー！！
[52.389] しょくぱんまん: わこさかー
[52.897] (S)荒木なぎさ: こんばんは
[53.183] うほにゃん: わーーーーーー
[53.470] konakonaka: わこさかー！！
[53.508] (S)fuu_nya: わこさか〜！
[53.667] (S)rinnnn_6: わこさかー！
[54.106] (S)kuro_nekotan: わこさか！
[54.256] (S)youazz4242: おお、ぶいすぽっの新人さんのこかげさんもおる！
[54.458] (S)新鮮なシャコ: わこさか！
[54.667] wakana18: 久しぶりのow!
[54.799] むーちん: わこさか！
[55.273] ruru2398: 初心者です！こんにちは
[55.507] (S)chikuzen_n1: わこさか〜
[55.576] sinkitirou: こんばんわ
[56.380] nakka_11: わこさかー！
[57.884] sakurako_1730: わこさか〜
[58.343] runa_1122_: わこさかー
[60.325] hamati__: こかげちゃんだ！！
[60.850] shichuanmei93gmailcom: わこさか！
[61.399] syodo2: わこさかーー
[62.045] wakana18: こかげちゃんもいる！
[62.771] (S)くろぉばぁぁ: わーい!!!!配信感謝
[64.439] (S)07FZK: しすー！
[65.190] lrmigi: きちゃー
[65.517] rinne_daru: わこさかぁ
[65.876] syodo2: ついにきた
[66.525] (S)ささみ_35: わこさか〜！
[66.748] (S)e_ten1120: メンツ珍しい！
