[7.769] (S)くろばれお: わこさかーーー
[8.326] トリテイ: わこさかこんちゃ～
[14.853] (S)まる_社畜: わこさかー！
[15.303] (S)Juno_06: わこさか
[15.946] unini__: わこさか！
[17.152] asari__misosiru: わこさかー
[18.451] (S)maru_a_s_: こんばんはー！
[19.268] (S)悪魔の手羽先: わこさかーー
[19.760] mochi__32: わこさかー！
[19.957] _ゆりゆり: わこさか〜
[20.022] mic_chon_key: わこさかー
[20.343] sapasa: わこさか！！
[20.550] (S)pi_enn: わこさか
[20.635] hi_na__31: わこさか！
[21.303] hamati__: わこさかー！
[21.511] (S)oji1chan: こんばんはー！
[21.895] (S)kanachanko: わこさか！
[22.489] _ひゅーす: わこさか！
[22.491] nao_as: わこさか！
[23.084] azu_azuuu: わこさか！
[23.763] 一ノ葉: わこさかー！
[24.286] はなるる: わこさかー！
[24.554] (S)yunicoo25: わこさかー
[24.797] (S)にぃぃぃ: わこさかー！
[25.296] (S)かるぼなーら: わこさか～
[25.416] しいかさん: わこさかー
[25.477] (S)kazunoko016: わこさかー！
[25.795] (S)ayu_tmm: わこさか
[26.384] (S)たかたに: わこさかー
[26.502] (S)sazanami28: わこさか〜
[26.555] (S)荒木なぎさ: こんばんは！
[26.873] taro56_twitch: わこさか
[26.891] sakurakon1: わこさか！
[27.079] (S)o__m__i: わこさかー！
[27.099] うしおねこ: わこさかー！！
[27.136] (S)うなやま: わこさか〜
[27.166] mouhuu: わこさか！！！
[27.184] mizunaaan: わこさかー
[27.277] (S)dudu7246: こんばんは！
[27.287] (S)momo0159: わこさか！
[27.679] (S)b_chizu: わこさか
[27.788] (S)しゃぱ: わこさか！
[27.820] (S)ur0co: こんばんは
[27.888] (S)さやねぇこ: わこさか！
[28.312] (S)かろめはゆ: わこさかー
[28.699] (S)fu4im1: わこさか〜 Cheer100
[28.901] valen_0214_love: わこ！
[28.909] (S)kii_25: わこさかー
[28.933] tamunika: わこさか
[29.110] s_h1234567: わこさか
[29.141] yuzuriym: わこさかー！
[29.151] (S)pipipipipi_piiiii: わこさかー！
[29.363] (S)キレる17秒前: わこさかああああ
[29.475] (S)hsu8181: わこさか！
[29.556] (S)maru_a_s_: maru_a_s_ subscribed at Tier 1. They've subscribed for 14 months! 
[29.586] えびふらいかも: わこさか～
[29.617] foozi1217: わこさか！！！
[29.684] buchinek07: こんばんはー
[29.708] あーーーちゃ: わこー
[29.726] (S)ssqqmmee: わこさか〜
[30.359] (S)ニックネム: わこさか〜
[30.421] sek0520: わこさか～
[30.481] (S)寧々_: わこさか〜
[30.976] (S)nugget3150: わこさか〜
[31.070] yuriuuu2: わこさか！
[31.100] mai0426: わこさか
[31.621] azu_azuuu: デドバ嬉しい！
[31.696] ぽよねこしろ: わこさかー
[32.365] mai0426: きたー
[32.441] jun4167: わこさか〜
[32.619] cfzhi: わこさかー！
[32.639] るるちゃんさん: わこさか
[32.880] (S)a1ten0: わこさか～
[33.422] kaaaaa1024: わこさかー
[33.803] (S)xxsakuyaxxx: わこさかー
[33.806] (S)_みき: わこさかー
[33.961] (S)tokievi: わこさか
[34.387] annko1231: わこさか〜
[34.516] sakurako_1730: わこさか〜
[34.568] karin_911: わこさか〜
