[13.738] 愛睡覺: おはよお~ 
[13.824] 星詠せれね: わこさかー！
[14.870] 045451: こん〜
[21.186] haa8chi: ありぴ～
[23.413] (S)Gon_zalezZ: わこさかー
[30.168] (S)mitasomam: わこさか〜
[31.388] (S)かるぼなーら: わこさか～
[31.545] (S)ぱっぷる: わこさか~‼︎
[32.837] makao_joma: わこさか〜
[34.157] yatogachi: わこさか
[34.184] (S)kuzu_00: わこさかー
[34.986] n_n_room: わこさか！
[35.038] oud0on: わこさかあ
[35.214] まっささん: わこさか〜
[35.360] (S)如月はちこ: 如月はちこ subscribed at Tier 1. They've subscribed for 21 months! 
[35.993] saganstick: わこさかー
[36.113] (S)noaonnn: わこさかですー
[36.155] zerumo373: こんにちはー
[36.199] おとの810: ヾ(｡･ｪ･)(｡･ｪ･)ﾉこんばんわです
[37.022] sapiiiiio: わこさかでーす！
[37.076] phantomae6923: わこさかー
[37.145] ryoxm: こんにちわー
[37.283] (S)ngongo88: わこさか〜
[37.370] (S)c_ha22: わこさかー！
[37.562] harunonanakusa02: わこさかー
[37.813] (S)em0622: Corgo100
[38.062] (S)lily0947: わこさか～
[38.279] rei__sgg: わこさかー
[38.674] (S)mirei_1202: わこさか〜！
[38.779] (S)yunicoo25: わこさかー！
[39.016] avocado_s2: こん〜
[39.123] (S)uc_uni: こんばんわこさかー！！！
[39.782] (S)momo0159: わこさか！
[39.949] えびふらいかも: わこさか～！
[40.000] (S)荒木なぎさ: こんにちはー
[40.090] (S)romiwooo: romiwooo subscribed at Tier 1. They've subscribed for 17 months, currently on a 16 month streak! 
[40.202] ucha_y6: わこさか
[40.412] (S)kosunako: わこさかー
[40.446] clonecosmos: わこさか〜
[40.632] (S)mirei_1202: mirei_1202 subscribed at Tier 1. They've subscribed for 7 months! 
[40.636] (S)motisaka8686: わこさかぁ！！
[41.240] (S)あうあうちゃん: わこさか〜❗️
[41.325] (S)ur0co: こんにちは
[41.349] (S)sudachim: わこさか〜
[41.438] のぶ様: PowerUpL
[41.531] unigohan02: わこさか
[41.622] karin_911: わこさか〜！
[41.659] むーちん: わこさか！
[41.933] あーーーちゃ: わこー
[41.970] h_a25526: わこさかー
[42.136] f___non: わこさかー
[42.220] (S)_ちーちゃん: わこさかー！
[42.368] (S)まめ___: こんにちは〜
