[18.770] kai_0825_: おはよう！
[24.303] nekomaru_sui: こんばんは
[25.063] rena0026: こんばんは〜
[25.741] ゆっけたや: crvaniHello
[26.680] repnica: こんばんはー
[27.313] (S)あいすくりんく: crvaniHello
[27.359] reeeeeen_: crvaniHello
[28.085] (S)bear_00_: crvaniHello
[28.288] yukakak: crvaniHello
[28.297] k1u4k: こんばんは！
[28.473] tukudanidani: お疲れ様ー
[29.387] (S)ろぷちゃん: crvaniHello
[29.454] (S)wakachiko_: わーい🙌 
[29.463] なみしちゃん: crvaniHello
[29.616] (S)risa0gg: crvaniHello
[30.000] (S)a__ul: crvaniHello
[30.122] coc0na2: こんばんはー！
[30.140] (S)pote_b: crvaniHello
[30.177] (S)3ina_m: crvaniHello
[30.671] みゆさ: crvaniHello
[30.682] (S)うさぎばーにー: crvaniHello
[30.784] (S)rqngelhqns: crvaniHello
[31.287] (S)rioto_s2: crvaniHello
[31.386] (S)tt_oua: crvaniHello
[31.431] (S)ねるね00: crvaniHello￼ 
[31.534] (S)nyansamajayo: crvaniHello
[31.599] kmrh3_: crvaniHello
[31.676] nue__38: crvaniHello
[31.739] kagiesss: こんばにー！
[31.748] みをみを: crvaniHello
[31.836] いたた: こんばんはー
[31.913] tibisaku: crvaniHello
[32.066] suguro32: こんばんは〜
[32.210] ぐるふぁ: こんばんはー
[32.304] (S)lo3zz_: crvaniHello
[32.382] choco_79425: こんばんはー
[32.393] (S)89_yakumo: crvaniHello
[32.416] milktea35: こんばんはー
[32.493] mimuwo: crvaniHello
[32.588] nemui_yoyo: こんばんは~！
[32.822] マリト: おはよー
[32.928] あーーーちゃ: こんー
[32.928] (S)kawach_824: kawach_824 subscribed at Tier 1. They've subscribed for 6 months, currently on a 4 month streak! 
[33.031] (S)ころさく: crvaniHello
[33.059] (S)俺ですか: お疲れ様でした
[33.103] (S)しいらぎ: crvaniHello
[33.201] 6647dghbtdey: こんばんはー！
[33.263] cottoon_: こんばんは〜
[33.263] wakana18: こんー
[33.306] naaa0914: おつかれ！
[33.468] ___ここ: crvaniHello
[33.526] (S)noa_448: crvaniHello
[33.537] (S)ekko2225: crvaniHello
[33.557] rodanta: crvaniHello
[33.754] (S)koqocha: crvaniHello
[33.804] li_ly___: こんばんわー
[34.311] niboshi221b: crvaniHello
[34.417] ときれいな: お疲れ様ー
[34.494] (S)ｻﾝｿ: crvaniHello
[34.672] (S)るうるう: crvaniHello
[34.684] はるこっこ: crvaniHello
[34.701] (S)うなちゃんまん: crvaniHello
[34.886] ringochqqqn: crvaniHello
