[-43.032] okkun0719: ＣＥＯが１７日あたりだから、せめてそれまでは頼む！
[-41.890] (B)(S)DaigoTheBeasTV: it's on?
[-41.123] ~MISSING_COMMENTER_INFO~: んっ無理
[-40.881] kazumikun: 鉄拳マジでロードながい。そして画質悪い、Proでないとダメかな。
[-39.643] zako1919: ３日でダイエットやめて笑いを取りにいけ
[-37.923] すぐるん: ウメハラああああああ
[-37.220] Sorachan1144: ゲームの話を期待します。お願いします
[-36.991] おかりゅう: 始まった？
[-36.657] blct2: あ
[-36.597] come2gou: ふーどはともかくウメチャンはまたまじめにジム通いすれば痩せるんちゃうんか？ｗ
[-36.166] stainless304: うおおおおおおおお
[-35.516] eoru55: 酒飲んでリバースダイエットだな
[-33.973] GsyOps: it is ! 
[-33.611] cyclops_opticblast: 酒飲むならウィスキーだな
[-32.177] ROSSO2000: ok
[-28.941] yamicuro: kumite後に絶対軽く飲んでるでしょ
[-27.687] kokemomomomo: 体脂肪は戻ってきます
[-27.479] himaz213: アンドリューおかえり
[-27.335] bobumakihara1212: 楽しみすぎて震えてきた
[-21.557] fujikof3: 痩せてえ
[-21.099] (M)Moobot: 音声別れてます。The audio in this channel is split. 「Left= English, 右＝日本語」 Playback Devices > Properties > Levels > Balance to change (or take out one earphone).
[-19.444] unbrean: ダイエットコーチがボンちゃんだってさ
[-18.034] Morbid_deth: KonCha
[-14.822] hosp1990: 禁酒つーか飲み方ｎ問題だな
[-11.854] mutuizumi: JIYUNAおかえり
[-7.658] dsadsa454654: ウメちゃん 頼むから松本人志みたいなマッチョ方向には行かないでくれ・・・
[-7.088] すぐるん: なんかコメント重複してない？
[-7.019] ぱらだいす12345: 頼むぞウメちゃん硬派なウメちゃん取り戻していけ
[-0.846] bobumakihara1212: 今日は有酸素運動やるの？
[1.133] ぷっち: 禁酒・ザ・ビースト
[1.815] yakiniku96: 痩せなくていいからゲーム頑張ってえええ
[3.552] helloselektah: KonCha
[6.793] Eyonth: TBTacoBag
[8.558] samka29: ん
[9.756] zako1919: おめーが太ろうが太らないがどうでもいい配信をやれ
[10.624] mutuizumi: おいビースト
[15.407] lookeezy: wake up our lord and saviour !!
[19.805] ganva: コメ稼ぎ
[20.890] kousen17: KonCha
[23.136] hkfj0: ウメちゃん
[23.653] rtmt: リアルトレモはじめるってマジ？
[24.836] refrain87: sober daigo hype!!
[29.308] papami_typhoon: ゼロはきついだろうから飲酒制限でよかろうに
[29.321] meltonyoxtuva: hi
[29.950] ぎこ屋: ありがたやー
[31.613] kokemomomomo: ダイゴ・ザ・ビースト・キャンプ
[31.719] (S)TheRealHikiki: umeSnooze
[32.376] (B)(S)DaigoTheBeasTV: It's been a while, I forget how to do this
[33.437] umeguile: やあ
[34.503] lookeezy: buff daigo hype
[35.267] ~MISSING_COMMENTER_INFO~: ひさしぶり
[36.159] hituji_: 糖質制限&有酸素運動で勝つる
[40.427] rtmt: ビーストキャンプｗ
[42.110] nekoputa: 配信あんまやる気ないんでしょ？
[43.938] (S)daruma2597: umeWhat
[44.463] tenshi_ch: バーディーも痩せろ
[46.096] Memo____: jiyuFit
[46.548] helloselektah: HUH?
[48.345] mizuhiro1224: 久しぶりTV
[50.907] refrain87: okaeri jiyuna @daigothebeastv
[51.829] nacciman: ！
[52.760] まままままま: ダイエット？w
[52.779] yuto0819: ふっとてもいいよ
[52.848] Shobon_nu_: 間に合った！
[54.246] gmmcom: きたああ
[60.991] marumaru6: アル中デブでウメって分かってしまうのが悲しいよ・・・
[61.332] Sorachan1144: 色々と飽きてる気がする
[62.536] tobibako: ウメちゃんまだかなー
