[-32.411] gorg1122: まだなの
[-31.736] Sorachan1144: ウメちゃんスッキリした？
[-31.491] pachinkasuneko777: うひょおおおおお
[-31.028] nihonsyu_: ちょっと痩せてる・・？
[-28.856] koma2007: はじまったーーー
[-27.100] いお餅: 髪切った
[-26.678] lookeezy: Ayyy
[-23.987] 8sushialot: こんばんは
[-22.939] issyoneko: あ、髪がみじかなったやん
[-21.957] ta3z_: エコーかかってる？
[-18.717] masuo_da: 痩せハラ
[-16.363] nocholien: おばんですー
[-15.463] g3kob_: ウメちゃんやせた？
[-13.874] 田中休: こんばんは
[-10.777] SUUKUN_: おお痩せてる
[-7.734] ta3z_: 大丈夫かな
[-1.504] 56ne5656: きたー
[-0.426] ~MISSING_COMMENTER_INFO~: やせてる
[2.155] meajikan: 顔痩せてるな
[2.641] sublinear: ウメちゃんげっそりしたな
[3.069] g3179: ほっそりしてる・・・
[4.946] uma11: アンドリューの声ちょっと大きい
[6.478] ロディア8: 音やばくない？
[9.453] taroumaruh: お、ウメちゃん髪もだけど若干痩せたね
[9.459] ユンボ: うおおおおおおおおおおおおおおお
[10.892] fululun: アンドリューマイク割れとる
[12.626] unheil619: 英語おっきいな
[13.016] cetasika: 二年前のうめちゃんみたい
[13.883] lookeezy: Fresh haircut 
[14.767] conscell: 細いぞ
[22.992] (M)(S)ANIMEILLUMINATI: !audio
[23.119] (M)Moobot: 音声別れてます。The audio in this channel is split. 「Left= English, 右＝日本語」 Playback Devices > Properties > Levels > Balance to change (or take out one earphone).
[31.670] nuuto12: こんばんは～
[39.469] okamasa456: 髪切った
[39.549] DoogieCometh: He's a new man
[40.548] opbmklo: ウメちゃん輪郭がはっきりしてきたね
[42.809] parupuhakusyonn: アンドリューのマイクちょっとだけ下げて!
[44.684] dai58: ウメ髪切ってさっぱりしたじゃん
[44.976] zenzen108: カクってない？
[48.150] kinpren: きーん
[56.399] Papapadad: ウメちゃん若返った？
[59.674] caloria777: ラスボスより強いと噂の門番
[61.015] ユンボ: ウメちゃん…勝ってぇ
[61.227] fushimomo: ウメちゃんシュッとしてんじゃん
[64.832] taroumaruh: 日本語の方はエコーかかってる
[71.016] brocco999: www
[72.312] kinpren: 正直だねーｗｗ
[72.924] suhr0917: ｗｗｗ
[74.242] tm2525: ウメちゃん髪型いいね
[77.081] ユンボ: あっ…
[78.442] okamasa456: ウメちゃんやせたか
[80.909] Papapadad: それは継続しないからだよ
[82.954] ロディア8: ゲーム音聞こえるね
[84.021] maguru: ウメ痩せたね
[84.923] shiba400: 今日ドネコロ最終回？
[85.271] 帝王大貫: ほっそりした？
[87.162] scarDlee: 声聞こえずらくない？
[90.815] rin_p15: ウメちゃんおはゆ～
[92.592] taroumaruh: セミファイナル
[92.829] shikamaru123456: 勝敗予想事前アンケとって
[97.140] memenki: お前が盛り上げる気がねえからだろ
[97.359] tenshi_ch: 相変わらず英語の方がでかいな、左右わけるにしても
[104.464] spade0325: イヤホンで聴けば問題ないよ
[105.279] bakuya8: 英語と日本語まざってうぜえ・・・
[107.670] lookeezy: if itazan lose what happens?
[108.961] nhhhe: 板ザンのほうが勝つモチベ高い
[118.436] ﾃﾄﾗﾝ: 英語の音量いくらなんでもデカすぎる
[119.543] こてさん: 梅が盛り上げる気がないとかよく言えるな
[123.926] (S)burisuke: ウメちゃん若々しくなってええやん！
[125.078] ombiezon: 会場の音から無理やりマイク音拾ってるん？
[126.645] h2hiroyuki: それならプロの板ザンが出ちゃいけなかったんじゃ、板ザンが出てなければもっとスムーズに進行できてたわけだし
[127.032] asyl_tekno: 調整しても英語でかい
[130.616] callinchicken: daigo 
[132.694] kokemomomomo: 一回一回賞金出せばいい
[132.892] taroumaruh: そっかいつもと配信環境違うからか
[133.549] kinpren: いいね
[134.923] ロディア8: お
[135.215] thefrozensun_: 分けると英語全く聞こえないけど
[135.730] Gordstorm: お
[135.944] あとぅ: マイク頑張れ
[136.430] Papapadad: 良くなった
[136.651] daruma2597: お
[136.896] allornothing4: 痩せてるー
[137.138] mikomiko3: なおった
[137.312] taroumaruh: お
[137.396] littlestory4: 音おｋ
[138.808] ロディア8: 変わった
[139.115] zenzen108: 音ズレとカクりでてない？
[139.320] Planetrollcall: いいね
[139.434] asakura3dayo: マイク安定した
[139.926] tomochima_k3: じゃあなんで板ザン出させたの？おかしいでしょ
[141.307] taroumaruh: ありがとーーーー
[143.998] ikaika345: ウメちゃんちょっと痩せた？
[144.671] fushimomo: ッケイ！
[146.950] scarDlee: 聞こえやすくなった‼
[147.556] gmmcom: いつも思うけど英語で聴いてる人いるの？
[149.033] (M)(S)ANIMEILLUMINATI: ok?
[152.100] ta3z_: マイク良くなった
[152.527] taroumaruh: good
[153.235] jaco8210: おｋ
[153.303] tenshi_ch: びっくりするほどよくなった
[153.770] Fine25: 痩せた？
[154.044] (S)burisuke: マイクＯＫ
[154.594] gnm1616: おｋ
[155.039] metoxys: audio is ok @ANIMEILLUMINATI
[156.218] ombiezon: お、きれいに聴こえる！
[156.436] daruma2597: おｋ
[156.702] lookeezy: Fine to me
[157.271] meajikan: 雑音がきえた
[158.368] Gordstorm: さんきゅー
[159.257] tottoko326: ウメちゃんやせてる！
[159.521] ロディア8: おｋ
[161.970] ユンボ: うおおおおおおおおおおおお
[162.943] shikamaru123456: ウメちゃんシミとっちゃおう
[164.984] Papapadad: アンドリュー有能
[165.764] act_ruka: 音量で左消してイヤホン半分だけジャック差し込めば快適だよ
[167.086] ta3z_: ぐー
[167.389] adawong123: ウメちゃん髪切ったね
[169.976] parupuhakusyonn: べりぐ!
[172.456] ぷっち: やせすぎじゃない・・・
[172.460] nocholien: いいね
[173.092] Gharphield: hello everyone
[175.934] thefrozensun_: さすがアンドリュー！
[176.352] f0rty1: ほんまアンドリュー有能
[176.870] callinchicken: キレイなウメちゃん
[182.055] こてさん: プロだからダメとかのが意味わからん
[185.118] unheil619: ウメちゃんオトン感出てきたな
[186.108] ikaika345: ウメちゃんヒゲも剃ればもっと若くなれるで
[187.510] taketake122: アールはいない
[189.156] kinpren: いいね
[190.444] Planetrollcall: ｗｗｗ
[191.113] bene1201: アールリスペクト？
[191.238] ユンボ: うおおおおおおおおおおおおおおおおおおおおおおおおおおおおおお
[192.095] nhhhe: ｗｗｗ
[192.776] lucita_lapita: 大会っぽいな
[193.591] taroumaruh: ｗ
[193.746] caloria777: 止まりかけていた
[195.059] auroradon5: うおおおおおおお
[195.413] jikiru6: ぐるぐる
[196.559] jaco8210: 号泣
[197.408] Gordstorm: 板橋が生んだモンスター
[197.954] 56ne5656: ハメコさんすげぇなｗ
[198.098] asakura3dayo: いいねいいね
[198.666] brocco999: 歌っていただきましょう
[199.703] tenshi_ch: セクシィイィイイイイイイイ
[200.356] amicitia07: 仕上げてきたなｗ
[201.430] サメカツ1999: すげーやつ
[202.114] Planetrollcall: なげえｗｗｗｗ
[203.733] auroradon5: ”繊細なキャラ”
[204.605] ロディア8: うおおおおおおおおおおおお
[204.681] Papapadad: 最初からこういう風にちゃんとした大会ぽくやっとけばよかったのに
[205.560] callinchicken: 盛り上げるねぇ
[206.005] taira4564: 号泣
