[30.764] shaconoko: こっから先はアンドリューにペイしないと見れない～
[31.438] LillyRoma: 最近回線おかしくない？
[32.247] sublinear: 戻った
[32.583] mushikinoko: 戻った
[32.817] fox_boe: ちょっとぉ 折笠さーん
[33.355] (B)(S)DaigoTheBeasTV: インターネットおかしいぞー
[37.143] Kanquez05: カスタネットみたいに言うな
[39.354] kngjo: F5で
[41.295] thicchaser: EleGiggle
[44.238] sublinear: インターネットおかしぃぞぉー
[48.017] MadEggMania: みんなRB買ってないから回線がー
[48.024] samuragi: 4g time LUL
[50.243] miso123451: いやー楽しかったね
[55.533] 3blab: 傘を献上しないと見れない
[56.201] misopotato: ええで
[60.107] kngjo: 折笠、掃除でPSのコード抜く
[61.395] kun4twitch: チャットのコネクションもよく切れるな〜、これはtwitchのせいだけど
[79.379] King_Fuudo: 元ジョニィさん
[81.495] ぐぐっす: また折笠さんのしわざ〜？
[81.907] qq_taro: 元ジョニー
[85.718] fox_boe: えｗ
[88.062] vesitermbtl: 元ジョニィ
[91.955] yamanekojiro: 元ジョニー定着したな
[99.009] (S)balthazar000: ジョンはまず5onの駆けつけから
[106.650] fox_boe: 元ジョニーか
[150.882] bakedonion: だいこくも処って、と…
[206.903] omedetroit: リュウは…
[207.754] mushikinoko: ｗｗｗｗ
[214.880] MadEggMania: リュウ使いの闇出たな
[216.450] kbti: ３回はいける
[218.053] qq_taro: サイコしていけ
[225.161] (S)Giichigi11109: 3回いけるんだ…
[226.603] よだき: 弱キャラバリア
[227.679] mushikinoko: ryu's darkside
[227.935] omedetroit: 背景軍人以下…
[237.819] vesitermbtl: 背景軍人は三回行ける
[252.332] 先日助けてもらった鶴です: インタネットええかげんにせえよ
[255.385] ミルッちゃん: キチパーム？
[306.111] 先日助けてもらった鶴です: 粉砕した感じだ
[310.960] nup1965: I'm disappointed that jiyuna complained to his army friend about daigo
[375.935] samuragi: 無職無念w
[394.297] サメカツ1999: どぐら史上最強のどぐら
[404.985] spclink: 信用できない男どぐら
[405.646] omedetroit: 史上最強だからしゃーない
[446.304] Cut01: rip framerates
[454.931] samuragi: 怒りのしゃがみ大P
[499.888] サメカツ1999: 気持ちよくなった形
[520.347] Coron___: 出遅れたー、昨日はおつかれさまでしたー
[522.985] (S)balthazar000: どぐらの折檻
[526.257] samuragi: 犯罪者式w
[531.029] Yasuda12: かわいいｗｗ
