[25.185] omedetroit: オリ オリ
[39.683] kurob1: オラオラ
[45.771] takeiteasy55: 来たのか？
[53.615] dsadsa454654: PogChamp
[61.141] omedetroit: チャリティ活躍した折笠を信じろ
[82.108] 日雇いゴリラ: 折笠さんつおい
[123.649] kaedekuno1: ダイエット企画どうなったんでしょう CC来週です
[142.651] hkfj0: 折笠説明しろ
[145.708] omedetroit: CC終わってからウメふーで一緒に測るんじゃない？
[154.144] goodriser: 企画がポシャるなんていつもどおりじゃないの
[161.456] nop360: もう終わった？
[163.611] hctiwtfgc: ダイエット企画は無かった 無かった
[168.714] dead_eye0126: PogChamp
[188.208] torobaba: 月一で測定って言ってたけど企画がなくなったっぽいね
[188.249] chooobo_o: GTChimp
[194.682] 寝るポイント: 優勝、準優勝で逆転豪遊配信になるんでしょ？
[195.990] 絕悲特: GTChimp
[217.838] yakiniku96: こばは
[233.131] omedetroit: スターウォーズも始まったな
[252.637] goodriser: ツイッチシャツw
[256.548] RicQuaresma7: 今日は鈴木さん最初からか
[257.958] cityzenone: ハンサムチャリティー活躍してたね
[259.380] dsadsa454654: ふ～どツイッチ所属？
[262.123] momiji4431: ツイッチシャツ
[265.875] hoehoeR: 無いのかよｗ
[299.043] dan4909: この企画好きだから頑張って
[300.683] psionicpsi: あのハシビロウTシャツ買いたい
[301.069] ぷっち: 黒烏龍茶 | ふーど
[304.843] passpo1: pubgやろ
[309.516] omedetroit: ふーど似合うな
[318.509] umechin777: 真ん中の人だれ？ふーどの弟子？
[324.961] user0511: 駒かい
[328.325] coralbeaf: 回を重ねるごとに少しずつオシャレになる鈴木
[328.396] dead_eye0126: Is that Jiyuna?
[330.169] ぷっち: １０００の壁突破かー
[333.352] RicQuaresma7: 早くないっすか
[338.976] (B)(S)DaigoTheBeasTV: !audio
[339.068] (M)Moobot: 音声別れてます。The audio in this channel is split. 「Left= English, 右＝日本語」 Playback Devices > Properties > Levels > Balance to change (or take out one earphone).
[343.110] 寝るポイント: すっかりコマ投げジャンキーになった？
[348.186] omedetroit: ほとんどハイタニと変わんねー
[358.969] dsadsa454654: がんばれ～
[368.471] dan4909: がんばれー
[371.347] current_06: リュウチョイスを止めてくれてありがとうは笑うｗ
[389.367] kousen17: HeyGuys
[389.381] Aria_lovely94: ツイッチ|ふーど
[397.977] 日雇いゴリラ: 折笠さん褒めたあげて
[401.566] user0511: ビースTV/ふーど
[429.175] 寝るポイント: スト５は近距離戦が重要だから、フレームから逃れられないゲームだね。
[431.181] pukeshi: 知ってた
[436.058] 風呂でフルーチェ: フレームは必須だなー
[457.102] dan4909: VF勢はフレームにうるさい
[457.335] typewild9: 折笠に対する講座は終わったの？
[463.974] umechin777: 3Fは速いとか、体感したほうがいいよ
[470.043] risutaa3: それは良いね
[476.899] user0511: １８０フレーム
[491.388] 先日助けてもらった鶴です: ３秒コパン
[495.019] GelidiumJellyCat: 専門用語来たぞ…？
[504.702] user0511: ふーどの３Fコパ
[506.354] umechin777: 右手は３Ｆ 左手は５Ｆ
[511.220] psionicpsi: なんか面白そう
[521.409] GelidiumJellyCat: ？
[524.054] user0511: ？
[526.116] dan4909: 重量級かな？
[534.001] lucita_lapita: 体で覚えさせるスタイル
[540.666] 寝るポイント: 発生までと、持続と、ガード後orヒット後って３つの要素を理解しないとだからね
[544.038] 絕悲特: quick maf
[545.781] goodriser: ハンターハンターみたいだな
[548.416] user0511: ？？？？
[553.093] Akito_Soma: Bonjour
[554.681] ~MISSING_COMMENTER_INFO~: 無職になったから毎日できるなふ～ど
[556.103] GelidiumJellyCat: 本気になりすぎて眼鏡叩き割ったら面白い
[556.689] カレー: もうわからないのかｗ
[561.285] risutaa3: 俺もわかってない
[564.178] 56ne5656: 分かりにくくない？ｗ
[569.076] coralbeaf: ビスケ感
[585.345] 寝るポイント: 今のところ疑問しかないｗ
[586.996] 先日助けてもらった鶴です: すっげえ、逆にわかりにくい
[596.587] user0511: 有利不利の話わからんとダメじゃない？
[597.788] vU_Vu: lol raw sauce
[599.675] hakogata: ？？？
[603.894] momiji4431: ？？？
[605.863] unknown00kuv: (・ω・`)？
[616.613] risutaa3: ｗ
[617.378] RicQuaresma7: 勝敗考えてくれってこと？
[618.930] Aatyu: おーん
[619.056] umechin777: 同じ3Fでも、ふーどのが有利つってやれ
[623.723] fululun: ？
[625.440] kurage88: ww
[626.681] sasaya_: すごいわかりやすい！
[626.685] dan4909: わかってんじゃん鈴木さん
[626.739] 56ne5656: 1/60の方が分かりやすくない？ｗ
[630.369] user0511: せめて折笠と打ち合わせておかない？ｗ
[631.216] kousen17: あーなるほど
[631.609] psionicpsi: まず２つでやろうよｗ
[641.723] ~MISSING_COMMENTER_INFO~: んーなるほどー
[643.111] GelidiumJellyCat: 強度
[644.315] ぷっち: 格ゲーごっこ
[645.198] omedetroit: ふーどのやりたい事は分かるww
[661.699] nipopo2682: もう普通に格ゲーやりながら説明したほうがよくない？
[666.271] kakikukekokko123: サウスポーか！
[666.305] ~MISSING_COMMENTER_INFO~: 言おうとしてる事は分かるけど、鈴木さんには厳しいと思う
[668.090] user0511: 複雑なゲームだ
[672.553] kaedekuno1: こんがらがるぜ
[680.696] risutaa3: 覚えれない
[683.177] カレー: やってるうちに理解できる可能性もあるな
[683.668] nihonsyu_: なんかアンドリューしか聞こえないななんでやり
[693.658] can073: 余計ややこしくなってない?
[695.630] 流川棚: フレーム理解してる人しか理解できない話なんじゃが
[704.988] (B)(S)DaigoTheBeasTV: !audio
[705.081] (M)Moobot: 音声別れてます。The audio in this channel is split. 「Left= English, 右＝日本語」 Playback Devices > Properties > Levels > Balance to change (or take out one earphone).
[711.602] (S)イナゴ0213: 理解してない人に理解してもうゲームやぞ
[712.010] RicQuaresma7: ｗｗｗ
[724.312] dan4909: －５じゃ確定じゃんｗ
[725.619] user0511: ５は３ダメ確定しない？ｗ
[732.420] 寝るポイント: マイナスだと死ぬ
[742.227] dsadsa454654: PogChamp
[745.193] kakikukekokko123: !blanket
[747.847] user0511: ｗｗｗｗ
[748.579] psionicpsi: きびしー
[748.593] カレー: ｗｗｗｗｗ
[753.606] kurage88: シビアｗ
[753.756] korejanai: 厳しーｗｗ
[754.875] RicQuaresma7: きびちぃ
[759.862] dan4909: お前の気分しだいやんかｗ
[760.664] SUZURANation: 暴れが早い
[769.703] 寝るポイント: まちゃぼー助けてー！
[772.126] omedetroit: これサジ加減じゃね？ww
[780.274] CoreY_M__: maths 
[783.811] metoro3: ”格ゲーは待ってくれない”
[789.918] MakenXsoul: they throwing hands 
[801.816] kurage88: 鈴木 もう"理解"してるな
[805.493] papapoppapa: ゲームで覚えたほうが早くねｗ
[811.692] dan4909: もう理解できてるよね
[812.350] dead_eye0126: GTChimp
[826.825] (S)イナゴ0213: なるほど
[832.660] umechin777: わかってきた感じだ？
[834.400] nhhhe: もう”理解”したのか！？
[851.569] kobakoba_yy: Hunterhunter感
[853.173] かぺるみゅーる: でも左選んでも３点確定じゃねーか
[855.880] muryokuka: なるほど
[863.238] RicQuaresma7: 入った
[882.310] psionicpsi: いいよいいよ
[887.652] kamisimeru: 完全に理解しました
[897.704] risutaa3: 全部３Ｆでいいじゃん
[898.935] user0511: 折笠ｗ
[907.854] muryokuka: 鈴木さん理解力高いなあ
[909.388] syuto1112: これあんま意味無くない？
[916.690] kurage88: 確定
[924.544] psionicpsi: うんうん
[938.438] doesntmeananything: FUUDO 
[938.532] (M)Moobot: 音声別れてます。The audio in this channel is split. 「Left= English, 右＝日本語」 Playback Devices > Properties > Levels > Balance to change (or take out one earphone).
[947.824] mambo969: Fucking adds
[952.412] mambo969: Turn them off
[956.178] psionicpsi: 折笠できるな
[956.217] lucita_lapita: 距離によって届かなかったりするから注意な
[959.393] mambo969: Every 5 minutes
[963.811] doesntmeananything: Yeah it makes a lot of sense
[964.593] user0511: もうムックってないよね
[965.387] mambo969: Fucking bullshit
[966.036] (B)(S)DaigoTheBeasTV: 8 minutes
[967.835] かぺるみゅーる: ガード１Ｆも選択肢にいれません？
[968.114] omedetroit: これアンドリュー訳すのめっちゃ大変じゃね？ww
[1003.805] CoreY_M__: adblock does not work on twitch anymore lol
[1007.128] 寝るポイント: いつのまにか、フレームって理解してること前提になってるからね
[1014.493] kakikukekokko123: !blanket !uptime
[1016.128] GrewUpWatchingRio: i will buy goose when tekkenbot is updated 
[1018.268] Raydawgms: Twitch 5 extension = no ads 
[1024.443] hakogata: GGPO
[1040.347] kurage88: 押したその瞬間は0Fじゃないかね
[1044.298] arfenhouse: get good at adblock scrub
[1071.741] yakiniku96: まるでポリウレタンだな
[1075.828] dan4909: ジャストがあるから０Fだね
[1075.839] psionicpsi: なるほどなぁ
[1080.511] Fux7722: 押した瞬間が1Fじゃ0Fコンボできないやん
[1081.306] risutaa3: バクステに良いぞ
[1093.667] にぃ: iyasiroyo
[1094.613] DoogieCometh: streamlink 
[1099.437] kamisimeru: 世の中に浸透してるのは押した瞬間は0Fで3F目に攻撃判定だと思う
[1101.185] unknown00kuv: 相手も同じルールって考えれば押した瞬間が0Fでも1Fでも関係ないってことじゃないの？
[1103.139] 寝るポイント: えいたの動画がわかりやすい
[1105.918] hdmi100: くっそわかりやすいな
[1112.131] fatcatz: 鈴木ってみぃたむじゃないんだ・・・
[1134.593] sasaya_: 基準が一緒なら同じってはなしでしょ
[1135.918] かぺるみゅーる: みぃたむだよ？
[1142.284] psionicpsi: もう1400あるのか
[1155.189] dan4909: みぃたむかわいいなあ
[1157.667] pukeshi: ひろたむ
[1160.671] Real_Zenith: Where is Daigod
[1166.016] impairr: right 
[1172.982] omedetroit: みぃたむと思って見ていけ
[1176.542] Fux7722: 明日のライブはこの鈴木さんが来るのか…
[1189.796] amadorhi: Does Daigo have a social life?
