[16.342] あんだんて456: こんにちは
[20.251] YuHaruka: こんにちわ！
[23.291] Maxxyy_m: Kreygasm
[27.802] もけたわけ: かわいい
[27.917] akiaki0612: お
[28.999] hockt_s_jmond_9joe: PrimeRlyTho
[30.620] sephiraEX: んんっ？
[46.772] menpati: v
[47.074] sanika95: @daigothebeastv I came here for Daigod 
[47.919] sakusakuz: ん？
[54.466] kamara001: お？
[54.914] NAOjpp: ときどがルーザーズへ(´;ω;｀)
[56.220] omedetroit: ウメちゃんプール始まる？
[62.923] imurilove: zhiおにぎり食ったか？
[68.905] mochitap: zhiiiiiiii
[70.880] Papapadad: ウメちゃん！ウメちゃん？
[76.544] sakusakuz: なんと！ときんす....
[77.129] さぶろ: zhiか
[78.098] ライム_: ウメちゃんどこ？
[79.286] ddonbei7845: うぇいよー
[80.777] yutashun: zhiか
[81.227] pukeshi: うぇーい
[84.353] _リオン_: 遅刻した？
[84.939] tw_numa: アンドリューは？
[85.032] arisugawakoen: omg
[87.173] SSAA5963: ウメちゃん迷子？
[88.216] imurilove: ドトールに居るよ
[88.961] 56ne5656: zhiか
[90.790] suwatei: きたー
[91.395] gm0230: uhauhauahua
[93.549] obo_006: スマッグ
[94.256] Caviles: なにこれ
[94.932] moriyo: Smug～！
[97.333] トゥーピー神: 遅刻け
[102.403] tw_numa: ヘッドセットないと無音ってマジですか？
[108.144] obo_006: ウメちゃんどこー
[109.009] akiaki0612: スマッグ！
[111.758] _リオン_: zhi外人プレイヤーどんどん捕まえてくれ
[113.959] kurob1: 主役不在！
[119.441] akiaki0612: ウメハラ探しからスタート！
[138.423] firewalkwith: シノさん
[144.537] Festival_Laguza: ウメちゃん今回はちゃんと受付してるよね？
[147.726] pukeshi: マネージャーさん大変そうだなｗ
[149.964] prefabcat: TTours
[150.471] ayataka33: ウメちゃんどこー？
[161.033] Crujiente_23: LETS GO DAIGO!!!!
[168.266] RicQuaresma7: ウメちゃん追ってくれるのかな？
[170.772] akanagi: おなじみのzhiさん
[171.355] king_kou: マスクだらけ
[171.622] obo_006: だいごー
[175.770] sakusakuz: ふーどとかどうなった？
[182.533] obo_006: マゴももち！
[182.868] Papapadad: マゴしぃ
[190.945] moriyo: 仲いいなきみたち！
[191.211] akiaki0612: ふーどは残った
[194.658] staystrong95: What id this event ?
[196.345] yutashun: ｗ
[197.615] catseye16: ウメちゃん行方不明ってマジ？
[198.930] akanagi: なんちゅうやつらだ
[199.347] obo_006: 昇天の仲間いうなｗ
[199.355] ~MISSING_COMMENTER_INFO~: ＳＨＯＴＥＮ
[199.664] moriyo: やめんか！
[200.012] okamasa456: 昇天の仲間
[200.486] _リオン_: 昇天の仲間やめろw
[201.152] vercinget: おい
[202.036] prefabcat: 仲間じゃない
[202.145] lookeezy: evojapan
[204.575] imurilove: やめたれ…
[205.244] NekoPunchKick: 喫茶店さがそー
[207.775] pukeshi: 昇天仲間
[209.724] ライム_: 昇天のフレンズおったか
[209.951] prosciu: 別の会場かな？
[211.073] ayataka33: w
[216.791] lookeezy: zhi?
[218.765] 56ne5656: そもそもウメちゃんもう居るの？
[219.026] RicQuaresma7: すげー人気
[219.066] gm0230: wut
[219.707] NAOjpp: ふーどはウィナーズプール抜けたぞ
[220.000] mochitap: ！？
[220.979] menpati: 昇天言うなw
[221.079] obo_006: 以上な注目度
[221.951] okamasa456: コリチキ→昇天の仲間
[223.011] Papapadad: ？！
[227.317] Maxxyy_m: わかるわｗ
[228.362] sanika95: WutFace
[233.836] imurilove: he is she?
[234.883] catseye16: あれはダイゴでは…ないなｗ
[242.563] もけたわけ: なりくん
[243.331] SaoudTV: Daigo is in jail Zhi, You already know this 
[248.682] Sotomawari: ウメちゃんちょっと髪伸びた？
[250.787] scottie_ver03: ウメちゃん女になっちゃった！？
[256.517] okamasa456: 真大吾どこよ
[259.871] redrumjun: 監督選手で出てるの！？
[267.798] NekoPunchKick: マイクでアナウンスしよ
[271.809] obo_006: わかるかｗ
[276.433] JUJUTHEKID1007: whats up
[289.944] adgjmptw3: 迷子センターとかないの？
[295.472] indigomame: 人口密度すごいね
[295.575] memenki: なにこの配信？ウメちゃんでるの？
[306.097] トゥーピー神: 迷子センターは草
[307.078] RicQuaresma7: ｗｗｗｗ
[309.190] okamasa456: ｗｗｗｗ
[312.159] obo_006: 誰も見てないダイゴ
[312.580] imurilove: お前凄いなｗ
[316.370] eoru55: ｗｗｗｗ
[318.765] scottie_ver03: こんなとこにいるかｗ
[319.152] しる__: あ
[319.829] vercinget: 適当に聞くなw
[320.828] blackie_1988: フランクだなあ
[324.744] ~MISSING_COMMENTER_INFO~: ダイゴ探してるんだけどｗ
[324.770] _リオン_: アンドリューにきこ？
[326.350] akanagi: 見知らぬ人に聞いてくスタイル
[327.496] akiaki0612: 試合前だろw
[330.320] Mayumix1025: zhiさん頑張れ！
[330.730] ~MISSING_COMMENTER_INFO~: 知らんでしょw
[332.304] okamasa456: ウメちゃん0回戦なの？
[332.792] ライム_: 山？
[333.517] NAOjpp: ウメハラ３７才迷子
[333.571] prefabcat: なにあのブース、アベマ？
[334.053] obo_006: 吉田山ｗ
[336.126] adawong123: 社長に呼んでもらおう
[337.418] pukeshi: まだ家まである
[339.218] SSAA5963: 吉田山やんｗ
[339.272] kitagawakun: 「迷子のお知らせをいたします」
[340.652] ogiogi0122: ふつうに電話しよw
[341.124] lowspec777: 誰も見てないなら来てないんじゃ
[342.159] n242f45aa: ウメちゃん・・・どうして・・・
[344.112] umwitch: なぁにぃ！ウメハラがいない！？
[344.688] しる__: ドトール？
[346.036] トゥーピー神: ラスベガスに飛びました
[346.571] Festival_Laguza: またドトールか
[348.205] sakusakuz: チェンおじかよ！！！
[361.767] imurilove: 豊田氏に呼び出ししてもらおう
[363.377] (S)goodriser: いやむしろ迷子はzhiのほうでしょ
[366.346] ﾃﾄﾗﾝ: 人のスマホいきなり映すなよｗ
[367.158] prefabcat: 配信台って別ホールじゃなかった
[367.393] Sotomawari: 迷子のチラシつくるか
[378.786] sasami_11111: スマッグも迷子か？
[378.791] juwattone: シカトw
[380.556] okamasa456: 捜索願出して
[386.811] bachop: 折笠みして
[390.102] cooper0201: いまきた！ウメの試合は？？
[390.362] akiaki0612: ピカチュー
[393.971] dame_yen: atpSolid
[395.106] j2abg5ew: しぇりーたむぅ
[395.533] obo_006: まねーじゃー？
[398.086] NAOjpp: プロ勢のルーザーズってときどだけ？？
[400.213] トゥーピー神: スマッグも焦ってる
[401.925] Papapadad: ぴかー
[409.243] catseye16: sakoさんもじゃなかった？
[410.437] せりわーむ: sakoさんもルーザーズ
[413.140] さぶろ: サコさんもかな
[413.218] firewalkwith: 30分前にでてったの見たって
[413.984] モリト: sakoさんもLやで
[424.279] ~MISSING_COMMENTER_INFO~: うめちゃあああああああああああああああああああああああん
[424.694] obo_006: 女のとこきただけかい！
[426.749] ライム_: 基本近い
[428.618] ~MISSING_COMMENTER_INFO~: なんでsakoだけ いつもさん付けなのか、
[437.601] sanika95: Kreygasm
[437.765] okamasa456: ウメちゃん行方不明
[438.799] NAOjpp: サコさんとときどがルーザーズですね。
[440.589] juvenile0707: ウメちゃんねてるねこれ
[441.489] haoo888: 電話すればいいやん
[445.492] jimmycustom: 目撃者すらいない…
[448.464] okamasa456: まさか・・・
[452.845] salad_maki: まーた遅刻
[453.716] LT123456: 一応waoさんも
[454.903] prosciu: 現地いるけどホールAにウメちゃんいるよ
[457.794] RicQuaresma7: 多分スト５の周辺に座ってると思うんだけど
[458.806] NAOjpp: 失格はないわーーｗｗ
[459.016] Brizaemon: なんではじめたんだろ
[464.337] imurilove: ダイゴザ迷子TV
[466.264] NAOjpp: もう１７時だよ？？
[466.483] pukeshi: 酒の匂いでおびきよせよう
[472.715] じゅうざ: また盗まれたんか？
[475.061] akiaki0612: いたらすぐわかりそうなもんだが
[475.857] chamomile21: ケイン
[477.474] NAOjpp: もうC始まってるだろ
[477.892] okamasa456: 0回戦敗退
[478.303] firewalkwith: ホールAだって
[482.012] kurob1: ウメハラ捜索配信
[482.276] scottie_ver03: ホールＡか
[482.499] francetaro: スパンキングアス
[487.990] prosciu: ホールAの588
[488.399] _リオン_: ホールAだって
[489.527] sakusakuz: 行きたかったわ〜
[492.481] ~MISSING_COMMENTER_INFO~: えｗ
[495.399] obo_006: ここじゃないんだな
[499.899] sanika95: @daigothebeastv Peasant you do not find gods with peasants. Look in the VVVVIP
[503.554] nosingfer: Zhi 
[503.893] prosciu: 今、終わってたぶん勝ったかな
[508.263] akiaki0612: ホールAだって
[508.548] okamasa456: 群れてるとこにウメハラ
[511.258] Planetrollcall: ウメちゃーん
[511.631] NAOjpp: マジ失格ワンちゃんあるよ心配
