[34.280] (S)hdkshjm: みてます
[35.616] (S)fdsfdddd: きたー
[36.354] imojisan: うおおおおおおおおおお
[36.378] (S)aidachrome: きたー
[40.293] cafe_gondo: おはよございます！
[40.729] dwbh0220: HeyGuys
[43.395] りむ105: ウメちゃーーーーーん
[45.711] ディン: BloodTrail
[46.513] パチーノ: ウメちゃん
[46.546] 臀部ふとし: ウメちゃーん！
[52.811] tw_numa: ほう
[58.742] (S)co2tan99: いる！！
[60.244] (S)fdsfdddd: 龍ちゃん
[60.935] myaaaaaa123: 応援きたーーーーーーーーーーーーー
[61.188] 6878bbz: おいｗ
[64.439] b_oka5: 野田きちぃわ
[64.747] kazehiki: 一瞬ウメちゃんが帽子被ってるのかと思った
[67.926] endlesswaltzdayo: 後ろの二人よりは必要だわ
[72.722] (S)へたれないず: HeyGuys
[74.178] heishosann: いらないかw
[80.883] tw_numa: いってみましょーー
[88.555] tw_numa: 25000アール
[92.401] memenki: これ何配信？
[98.873] toshioj: 龍 龍
[106.813] Imaise: ふーど応援配信
[111.503] heishosann: これ野試合かな？
[131.705] Imaise: サブスクライブ？
[141.264] (S)papami_typhoon: またサブスクを獲得していく
[142.710] LogicalDashGG: 始まってたー
[143.639] 數數: OP
[157.786] (S)MadEggMania: umePout
[161.845] kumatedd: 一応
[162.692] hoehoeR: ツイッチプライムを利用してる人は無料でスポンサー登録できる ってだけよね
[163.288] satoukazuma777: 今日は最後までいくんか？
[170.757] tw_numa: メナトの可愛さ
[172.853] (S)aidachrome: twitchプライムの方h
[182.001] gypsy2603: 左の人は柏木さん？
[183.851] hoehoeR: アマゾンプレイムだ
[185.699] (B)(S)DaigoTheBeasTV: Sound OK?
[187.688] Imaise: ツイッチプライムの、一か月ごとのサブスクライブ登録してくれたら嬉しいな！っていうアレ
[189.651] (S)aidachrome: OK
[190.163] (S)papami_typhoon: fine
[200.517] 泣けるぜ: cant hear game
[204.422] tw_numa: Amazon primeサイッキョ
[204.801] (B)(S)DaigoTheBeasTV: ゲームの音も聞こえる？
[204.890] Imaise: アマプラだね、間違えた
[207.692] kinpren: 今野試合
[208.684] (B)(S)DaigoTheBeasTV: oh one sec
[208.969] (S)poki_frappe: 野試合っぽい
[209.989] kaedekuno1: 今日一日で最後までやるのかな
[211.451] (S)ohnumakunio: umeRoad
[217.345] (S)たけおか: あまぞんありがとー
[218.889] 超アンディー: カブ
[223.878] (S)papami_typhoon: i can
[224.096] emrld_s: バイソンって調整後も強い感じですかね？
[229.144] (S)じゃんじゃじゃん: やあ
[231.071] fine287: 緑のtシャツの人だれ？
[232.218] tw_numa: めなとのかわいさ
[234.687] (S)ohnumakunio: umeHandsome
[235.892] みずさわ: 今日は早稲田？
[242.363] matuzawa826: 超林健二？
[243.634] (S)papami_typhoon: w
[244.922] Imaise: ゲーム音、かなり小さめですね
[245.179] n242f45aa: ww
[246.561] hoehoeR: それとだけはｗ
[246.849] ~MISSING_COMMENTER_INFO~: サイゴンてことはベトナムか
[246.985] (S)Papapadad: ウメちゃんおはよ
[248.230] mejiro_: ゲームの音はかなり小さいけど聞こえます
[255.540] Imaise: 林さんだ
[256.721] heishosann: 柏木w
[259.807] tw_numa: ZERO3強い人？
[264.020] (S)cram3324moevius: umeYung
[273.024] Mitarashi0406: キチパ？
[273.977] Heracles_12: 音でかくするとあっちの実況の声が入るから
[274.140] juukinrou: 開始からスケジュール押してるってマジ？
[274.318] (B)(S)DaigoTheBeasTV: did the game sound go up?
[276.603] tk44444: ボンボンは負けたんや
[283.449] OKA_RYU_: えいたいてるね
[283.661] (S)ohnumakunio: umeYung
[290.683] gypsy2603: 漫画雑誌の時の人か
[298.496] kinpren: なんこし
[305.617] fine287: ゲーム音かすかに聞こえるくらいでええよ
[306.994] tw_numa: 南越谷
[320.839] masakiti42: 折笠とウメハラの出会いは？
[332.743] Mitarashi0406: ふーど13時開始予定がこの時間・・・w
[339.401] tw_numa: 超林真須美は？
[340.209] Imaise: ゲーム音でかくなりました。
[342.311] kumatedd: ！？
[343.153] roytaly: おめでとおおおおお
[344.891] We_are_in_rock: おめでとーーー
[345.137] (S)たけおか: 888888
[346.992] sstrfd: ハピバ
[348.484] sagecomand: おめ！
[349.058] curryricemaster: 8888888888888
[349.316] (S)co2tan99: ８８８８８８
[349.659] mejiro_: アンドリューおめでとー！
[349.825] cafe_gondo: おめでとーーーー！！
[350.146] (S)papami_typhoon: おめでとーーー
[350.157] NAOjpp: ｗｗ
[350.341] burisuke: あめでと～～
[350.645] numberball9: アンドリューおめでとーーーーー！
[350.694] matuzawa826: おめでとーーーーーーーーーーーー
[350.700] kumanobed: おめでとー！！
[350.936] emrld_s: てってれーてーてーてー
[351.006] (S)イガ: おめでと！！
[351.116] フラスク: おめでとーーーーー
[351.734] dokkorashot: おめでとおおおおおおおおおおおおお
[352.623] tw_numa: アンドリュー！
[352.842] kumatedd: ハッピバースデー♪
[352.926] sasasf5: アンドリューー！おめでとーーーーー！
[353.235] Imaise: おめでとう！！
[353.339] (S)poki_frappe: おめでとーーー
[353.962] (S)aidachrome: おめでとーーーーーーーーー
[355.975] Mitarashi0406: おめでとーーーーー！
[356.897] 6878bbz: おめです
[358.753] NAOjpp: おめでとうあんどりゅ！！
[358.985] Imaise: ハピバー！
[359.425] Ceciltaisa: おめでとおおおおおおおおおおお
[360.773] matanitan: おおー
[360.932] 何も知らないジョンスノウ: おめでとー
