[20.678] gajpmwtdpw: きたー
[23.196] おちゃこだお: KonCha
[25.900] saviorr_mic: きた！
[29.743] 2sec_1sec_death: よしもと？
[34.287] (S)Brizaemon: なにこれ
[38.314] WhollyMacaroni: PogChamp
[52.745] kotonekoko: ？
[54.852] Nied7: konnichiwa
[54.890] (S)SKPseconds: 謎配信
[58.477] (S)ta3z_: まままま
[63.963] (S)パチーノ: なんでここで放送なの？
[65.717] ricardo_raul: Ya Vine 
[69.940] saviorr_mic: よしもと
[72.339] (S)un_punch: お
[76.553] ricardo_raul: Hi 
[76.904] (S)ミヤ0085: イースクじゃないの？
[78.161] myaaaaaa123: ジョビンか
[79.728] (S)台パン丸: ジョビン来るか
[89.105] 參柒: BloodTrail
[91.261] (S)ミヤ0085: ジョビンはいいかな
[93.090] (S)アルベドモマキ: umeRoad
[100.872] cafe_gondo: あーよしもとのか
[101.006] (S)maryjazz: きた！！
[103.642] (S)kumatedd: もう１時か…
[123.026] (S)りあ仮称: 何かと思ったら吉本か
[128.878] (S)w4m1_54: umeYay
[130.814] (S)kumatedd: バチバチの戦いが見れるんです？
[163.116] Alex__Baia: KonCha
[176.926] (S)SKPseconds: チャンネル借りるだけ？ウメ出演あるん？
[195.304] (S)maryjazz: オフラインなのかな？
[199.550] (S)miharasan: なにー？
[204.344] (S)samohata: 応援配信では無いよね?
[224.954] (S)ta3z_: 吉本のスポンサーで、EVOに送り込む人を決める大会・・・かな？
[228.851] 名無しベータ: オンライントーナメント
[228.871] tottoko326: ウメちゃん出るの？
[230.975] kemononeko: よしもとゲーミング見てきたら
[239.282] (S)Lazzberry: そういえば吉本となんかやるみたいなこと言ってたな
[247.055] (S)ta3z_: ウメちゃん、さりげなく出てたら笑うなｗ
[259.208] McGuffinHK: 有人吗
[282.215] king_katsuhisa: PrimeRlyTho
[293.451] MachoMandolf: the red bull can on the side should be empty?
[298.697] (S)ぐぐっす: umeSnooze
[298.859] inouni: PartyPopper
[299.938] shibaponz: 今日またプロが誕生してしまうのか
[306.998] (S)recycle4: umeYay
[314.327] quququ12345: yes,
[315.427] kalupas: なんだなんだ
[317.968] kotonekoko: ？
[318.880] moromororo: 優勝した２９才以下の人をEVOに送り込む大会か
[319.119] namenamekonkon: Eリーグでさえつまらなさそうに見てたウメが出てるは無い
[320.111] mayamikio: akiramenaide
[332.739] (S)mizumizushiinattougohan: 見たくないでも。みたい
[371.619] zakuronabatame: 始まらないな
[388.319] kotonekoko: 一時からかな？
[393.352] shibaponz: 一時からだと思ってた
[419.241] (S)recycle4: ジョビンは13時からってツイートしてる
[433.564] KyoBASIC: redbull-boi 
[436.355] TimelessGFX: Daigo has a picture of himself
[449.783] (S)SKPseconds: さすがにウメちゃん出ないよな。最初だけ見てみるか
[453.229] yeaosh: This screen is only used at the end of a stream, right>
[463.783] kazeyama: please send daigo to e3 with kenny omega
[466.446] g3lily: cirLaugh
[479.536] TheYoungMrT: @yeaosh it says “we’ll be back”
[479.627] (S)あと1983: 名のある人が参加するのかな。
[495.221] yeaosh: Oh, nice.
[502.428] cafe_gondo: 若手が活躍するとええね
[514.788] pmpmpmpmpmp: 企業案件ですか？
[532.073] mayamikio: PokMachamp
[538.517] ぬるぽ: 何だこれ
[543.450] Meso999: ？？「もう誰でもプロになれる時代だね…」
[544.245] balthazar000: お、配信あるんか
[548.615] 増田ジゴロウ: なんでこのチャンネルなんだろ
[554.358] quququ12345: StinkyCheese
[554.675] fourper212: 急にはじまったね
[566.254] Futomaru_kun: 優勝した人が30歳以上で失格になったら面白そう
[571.447] hizahashin: ジョビンさんのつてかな
[572.800] hadogamosenpai: どないしたと?
[574.100] (S)あと1983: コサクさんとか出る？
[576.534] (S)obo_006: ジョン君見てたらこっち始まった
[581.535] ~MISSING_COMMENTER_INFO~: TPFufun
[584.183] lutz001: ウメちゃんでんの？
[585.701] TimelessGFX: CurseLit
[594.609] mdz_jimmys_shrink: are you there jiyuna?
[603.113] (M)ayuha167: Jiyuna is not here
[611.186] quququ12345: No
[616.561] fourper212: ウメ解説なら見るけどさすがにないよね
[624.836] balthazar000: アンドリュー実況になるんかな
[629.764] (S)obo_006: ビースト関連誰もいないっしょ
[631.489] asdtzg: ジョビンはいるだろうけどどうだろ
[638.253] (S)rdstus: ウメ出るなら見るけど・・
[640.084] mdz_jimmys_shrink: is it an all japanese stream?
[647.897] ~MISSING_COMMENTER_INFO~: 吉本に頼まれたのかな？このチャンネルで配信してくれって
[659.605] quququ12345: maybe
[660.618] 高橋絶対ワール止める正人: 何これ
[666.520] asdtzg: ジョビンに頼まれたんでしょ
[675.100] (S)長老さん: ジョビン解説だってー
