[20.219] ricardo_raul: Ya vine 
[21.842] (S)臀部ふとし: オッ
[22.937] ~MISSING_COMMENTER_INFO~: やあ
[23.487] ricardo_raul: Hi
[23.753] (S)nonnon1990: ジコケンか
[27.053] ricardo_raul: BloodTrail
[30.862] (S)kumatedd: せんせぇおはようございまーす
[35.480] ricardo_raul: Hola Hola 
[38.455] Yuns_n_Roses: capcomRyu
[40.195] TOPAKUMA: うおおお
[43.888] ニテスキ: hello
[44.133] yhkd: じこけん
[47.399] omedetroit: オリ オリ
[48.237] (S)ersansu: umePout
[48.972] (S)eshikistein: umePout
[49.411] (S)kumatedd: umeJam
[60.774] omedetroit: ふ〜 ふ〜
[61.894] Kazunoko35: こんばんは〜
[64.606] (S)nonnon1990: umePout
[67.133] (S)kumatedd: 今日はどのキャラ対策です？
[74.998] (S)diego_ohunabara: umeYay
[83.560] (S)kumatedd: umeYay
[83.692] munehiro67: こんばんは～初見です(*´ω`*)
[86.264] Yuns_n_Roses: PowerUpL
[87.378] Kazunoko35: たのしみ
[107.729] xyz3864: HeyGuys
[115.195] hoehoeR: ララって書いてあるな
[124.947] yusan090: おや
[126.583] (S)eshikistein: ときどフレイム応援してるぞ
[147.695] hitmehitme: ハメます
[154.485] Chiago_: capcomDanChamp
[155.485] (S)kumatedd: ハメやでｗ
[164.031] vvhatsBracken: mangoBleh
[194.069] Kazunoko35: お
[194.183] MAGIC1110: あ
[194.666] tamanoi: きたぁ
[196.319] fapfapjpn: GOWKratos
[197.589] Memo____: jiyuDaigasm
[211.507] (S)風呂でフルーチェ: こんばんは
[213.604] dwenm: オシャレハンサム
[213.698] okitotoro: 髭ハンサム
[214.847] (S)kumatedd: 今日は英語もありなんだね～
[249.138] (S)ersansu: 折笠さんラシードみが増した
[254.599] kenitama: 昨日はなー
[263.848] (S)itichan: umePout
[266.700] lythgohammy: left/
[266.933] (S)kumatedd: 右に人が…？
[269.657] (S)nonnon1990: 面白い試合は多かったな勝てなかっただけで
[275.618] shun0318: rageおもろかったよ
[279.863] okitotoro: マゴ状態か
[285.389] hoehoeR: マゴに見せようｗ
[291.272] (S)obo_006: レイジの話かな？
[298.193] dwenm: 最近目立つね
[306.177] (S)kumatedd: メンタル面強化のフェーズかぁ
[306.526] ~MISSING_COMMENTER_INFO~: マゴは呪い
[311.923] (S)yoinio: umePout
[314.660] blanco_riders: マゴさんのことか
[329.913] (S)kumatedd: やったぜ。
[330.100] ヘルプさん: 海外ララ多い
[338.507] (S)kumatedd: 海外ってララ人気なんすね
[347.691] ﾃﾄﾗﾝ: アンドリュー久々やなぁ
[349.109] shibaponz: 味をしめたな！？
[351.874] okitotoro: ニヤニヤすな！
[352.327] (M)Moobot: No excessive use of emotes allowed (sugar__sato) (warning)
[354.233] (S)kagiyoshi: umePout
[355.992] (S)yoinio: umeYay
[358.650] (S)lucita_lapita: umeYay
[359.462] (S)nonnon1990: umeFail
[362.261] (S)sugarsato_: umeRoad
[365.003] (S)kumatedd: 動画でしかできないやべーやつ期待してます
[372.693] maemaemaema: むむ
[377.862] tusk_3821: BloodTrail
[386.572] (S)hideto007: umeJam
[407.809] ~MISSING_COMMENTER_INFO~: なるほど
[418.105] okitotoro: 今日画質いいな、低遅延設定入れた？
