[16.455] tai142005: こんちゃーす
[17.366] guile_head: きたー
[23.402] (S)xenys3: うん？
[31.818] rukialove: 何配信？
[35.259] (S)momochan6: 応援配信？
[44.769] LT123456: 何やるんだ
[51.256] (S)Brizaemon: 自己顕示
[56.528] gaga328: hi
[60.348] maemaemaema: おはようございます！
[60.597] (S)55_rabbit: 自己顕示
[70.547] (S)SEKITAKA: よろしくお願いしますー
[73.270] ぎこ屋: ジコケンTV
[74.547] コーゼット: こんばんはー！じこけん！
[82.733] yhkd: ふーどさん
[84.971] Yuns_n_Roses: capcomChan
[86.952] yoshikawa_yo: おつ
[89.408] (S)momochan6: ジコケンなのか
[90.813] hamatahadoudai: これほかのチャンネルでやって
[93.273] flac: 配信タイトルにだまされた
[95.098] (S)xenys3: じこけんはちょっと…
[96.746] (S)55_rabbit: スズキさん
[117.904] mattarisk: なんか暗くない？
[118.036] (M)Moobot: 音声別れてます。The audio in this channel is split. 「Left= English, 右＝日本語」 Playback Devices > Properties > Levels > Balance to change (or take out one earphone).
[135.182] snkvscop123: ジコケンは見る意味ないな
[136.160] psionicpsi: 普及は大切やな
[139.708] psionicpsi: え？
[140.437] コーゼット: え？！
[140.579] brittle0724: あら
[140.675] (S)sugarsato_: え？
[142.232] maemaemaema: でたwww
[142.888] (S)口ロロ: おいｗｗｗ
[143.400] (S)NAOjpp: え？ｗ
[145.285] (S)SEKITAKA: そうなの！？
[150.793] maemaemaema: さびしーよーw
[151.447] (S)風呂でフルーチェ: なんだと…
[153.020] (S)NAOjpp: 育成失敗？ｗ
[155.740] (S)55_rabbit: え！
[158.875] yoshikawa_yo: はい？
[159.118] mattarisk: え、どうするのこれから
[163.144] surokun777: 育成失敗
[163.450] (S)kanpell: なぬ？
[163.513] catsandcats256: 思い出 思い出
[163.656] typewild9: ラストスズキ
[166.367] yhkd: まじかい
[166.772] (S)体調不良は背中をほぐせ: まーじかw
[168.670] (S)sugarsato_: ジコケンTVの意義が・・・
[170.346] conscell: ？！
[170.552] (S)obo_006: じゃ代わり要りますね？
[173.974] psionicpsi: 卒業して中級コースに入学？
[174.814] maemaemaema: 漫画コーナー待ってます！！！！
[180.236] (S)momochan6: ｗｗｗｗ
[181.715] surokun777: 付き田中さん呼んで
[183.610] guile_head: 許さんww
[191.960] surokun777: 次田中さんね
[192.149] コーゼット: 『ストⅤ』をやめちゃうの？
[201.010] psionicpsi: 引越しかな
[206.568] maemaemaema: これも一つのカタチ
[206.757] (S)sugarsato_: 鈴木さん早まるな
[212.700] mattarisk: いい感じで学んでたのに惜しいなあ
[219.671] (S)もけたわけ: 八田さん？
[222.917] (S)kumatedd: 鈴木さんいなくなるってま？
[226.750] guile_head: 病気？
[229.291] (S)風呂でフルーチェ: 悲しいなぁ
[235.027] (S)kumatedd: イラストコーナーもなくなるんすね…
[237.317] catsandcats256: 直球
[238.362] (S)toshikuuun: 八田ねぇ、アリやね
[240.174] surokun777: 悲しいな
[240.767] typewild9: 鈴木美咲になって帰ってくる
[240.997] maemaemaema: そっちの意見も聞きたい
[246.089] (S)体調不良は背中をほぐせ: www
[246.232] yoshikawa_yo: こんなに生徒力の高い人材探すの大変だ
[247.560] ShimoyamaP: んっ
[248.946] mattarisk: なんで辞めるんすか？
[249.973] (S)kumatedd: 先生の圧迫面談きたぞ！！！
[251.493] psionicpsi: 八田さんマジ？鈴木サヨナラ
[263.339] surokun777: ヌキさんつぎから呼んで欲しい
[265.972] (S)obo_006: はつめが戻るって事も？ｗ
[271.595] mattarisk: アプデしてないのはさすがに？
[278.667] (S)ttp_hayato: 八田さんマジで来て欲しい
[282.504] surokun777: こういうのはヌキさんがいいよヌキさん呼んで
[288.725] (S)sugarsato_: 扉を開いた鈴木
[291.343] ShimoyamaP: アプデできんかー
[292.517] typewild9: 面接 面接
[300.468] (S)kumatedd: 上司による圧迫
[310.112] (S)NAOjpp: 裏方に回りたいのかな
[311.876] (S)momochan6: へえー
[313.040] (S)体調不良は背中をほぐせ: 飛び立つか
[320.268] psionicpsi: 自分の夢にか
[323.824] psionicpsi: ええな
[324.943] (S)kumatedd: おおお
[325.106] (S)sugarsato_: うおおおおおおおおおお
[325.219] (S)toshikuuun: プレイヤーじゃなくて運営側行きたいってこと？
[326.814] (S)体調不良は背中をほぐせ: うおおおおお
[330.124] salt_360: いい話
[330.707] Moriboro: まわりうるさくない？
[334.107] yoshikawa_yo: なんだこのアイドル脱退みたいな理由
[334.555] (S)kumatedd: そういうことなら全力応援
[334.635] (S)momochan6: 火をつけられたか
[334.875] mattarisk: ゴザ氏原作しちゃう？
[339.039] sora_neko09: なるほど
[339.761] psionicpsi: うおおおおおおお
[345.716] surokun777: ヌキさんは寿司職人🍣
[348.391] typewild9: うおおおおおおおおおおお
[352.421] ShimoyamaP: たしかに
[354.310] (S)kumatedd: プロゲーマーの輝きに自分も触発されたかー
