[3.558] garfunkel99: ふ～どの初見格ゲー、楽しみだな
[13.610] King_Fuudo: きたあああああああああ
[13.881] あんだんて456: こんばんは
[14.191] Fixunder: アリもん開門
[14.946] デス: PogChamp
[15.521] (S)bancho710: 戻ってきます
[19.053] (S)ンチャ: おはよ
[21.708] ~MISSING_COMMENTER_INFO~: 큰형 반갑습니다
[27.544] (S)NAOjpp: ウメさんいるかな
[30.651] (S)kumatedd: 暑すぎな
[40.754] runtasusu: ウメちゃんの家配信めっちゃ途切れない？
[43.542] ta3z_: 戻ってきた？
[45.683] Fux7722: ウメちゃんはいないでしょ
[45.894] (S)domontyan: 正確に言うと初見ではないんだよね 去年のくれか？ネモさんとやってる公式放送で
[45.988] (S)sugarsato_: umeSnooze
[46.879] runtasusu: アーカイブ
[52.489] King_Fuudo: 早く早く早く早く早く
[59.025] (S)ほげええ: 今日はEXレイヤーか
[70.840] Imaise: PokPikachu
[73.027] j2abg5ew: Twitch自体録画調子悪い事たまにあるよね
[74.829] kachikachitamago: ジコケン
[74.974] (S)nonnon1990: 期待してるで
[75.300] (S)domontyan: 全く途切れないね
[78.664] みっちゃん_999: アリもん
[78.684] タナたな: ウメちゃんどうした？
[81.374] (S)hato_pizza: アレンがみたい
[85.221] King_Fuudo: うおおおおおおおおおお
[85.454] moymoy12: 裂けるチーズうめぇ
[86.407] (S)amicitia07: umeYay
[89.460] (S)bancho710: 西谷さーん
[92.970] LogicalDashGG: きたか
[96.393] runtasusu: そっかー ありがとー
[101.448] (S)sugarsato_: うおおおおおおおおお
[106.541] King_Fuudo: 西谷さんいたぁ！！！
[106.639] imurilove: あなたが神か
[108.271] (S)NAOjpp: うぇーーーいい
[108.359] masahirorin: うおおおおおおおおおおお
[111.045] kurage88: 事情通
[111.511] always_1_3: きたああああああああああああ
[113.194] (S)kumatedd: 白いシャツの方がすごいゲスト！？
[113.439] (S)domontyan: えっちい足
[116.348] タナたな: また右からしか音出ないのか
[117.738] Imaise: 神様いたあ
[118.652] King_Fuudo: んっ！無音！
[119.183] RelaO_424: 過疎ゲーか
[120.295] suzume31: 西谷さああああああん
[123.163] (S)kumatedd: すごーい
[125.542] (S)AtomPeter: ウメちゃんより上
[130.891] ~MISSING_COMMENTER_INFO~: 長兄tvで兄が出ないなんて
[131.923] j2abg5ew: アンドリューめちゃ久々だな
[133.377] dsadsa454654: ウメちゃんどこー
[133.898] kamisimeru: 神中の神
[135.498] 金ゆで玉太郎: 美脚王！？
[144.116] King_Fuudo: アンドリューの声しかしなくない？
[144.684] fujikof3: 創造主
[146.038] (S)domontyan: 全王
[150.645] roytaly: 右から聞こえるよ
[151.564] okitotoro: 獣道で出てた小川信者の人いるやん
[153.599] (S)hato_pizza: cheer100
[154.326] (S)rdstus: 創造神か
[156.493] (S)lucita_lapita: やりこみ勢はEBI
[157.056] kamisimeru: 攻略が日本一早い人
[158.952] dwbh0220: うおおおおおおおおお
[163.754] fukasideppa: プロ連中誰もやりこんでない悲しい話やめろ
