[20.689] chaopura: ウメちゃん
[26.863] vfenk: PogChamp
[29.239] hosp1990: ウメちゃん？
[35.899] (S)Brizaemon: umeZen
[37.599] (S)hisimari: やるの？
[38.517] inaxtoto: 自己顕示欲
[41.297] ikisugi1: んっ！
[43.466] (S)ayuka_game: 今日台風とか煙やらで電車遅延してるけど大丈夫かな
[46.380] kenken99999: ん？
[46.989] kachikachitamago: じこけん？
[47.276] (S)danny_love_danny: 今日は自己顕
[57.231] Yuns_n_Roses: jiyuDaigasm
[58.261] (S)ayuka_game: 対ネカリらしい
[69.722] ORANGE_KICKS: じこけんー
[69.949] higatti: 自己顕TV？
[84.304] (S)jama4man: 1げっと
[94.117] suren_game: GayPride
[101.394] ~MISSING_COMMENTER_INFO~: stormk1A
[102.685] atari141: 店に来た素人さんに1から教える誰も来なければ企画倒れ
[103.518] munehiro67: お疲れ様です(*´ω`*)
[105.098] (S)danny_love_danny: Twitterで教える人募集してたよね
[114.583] kusare_gedou: なんの配信かな
[122.867] hadogamosenpai: KonCha
[123.291] (S)ayuka_game: くるみたいだけどね
[125.464] (S)spring__thief: 1000からなかなか上がらんから行けば良かったな
[129.754] ghostf2f: live stream?
[138.368] (S)ayuka_game: 山手線とまってるのが痛そう
[153.455] atari141: 電車とまってるの？
[159.446] (S)ayuka_game: 煙がでたらしい
[166.143] kasumiforever: DansGame
[172.618] atari141: 台風じゃなく煙かぁ
[193.409] munehiro67: HSCheers
[212.617] (S)ayuka_game: 教える人複数人きたらどうするんだろ？先着１名？
[222.133] Imaise: 東京は今回はそんな影響出てないん？
[235.564] (S)ayuka_game: 東京はこれからだね台風の影響でるの
[246.917] pompeyo: Yoooooo
[254.554] (S)しいたけもぐもぐ: 人来た？
[274.111] Imaise: 大阪はどこも早仕舞い。ありがと。
[279.082] pompeyo: Daigoo 
[282.190] ~MISSING_COMMENTER_INFO~: KonCha
[303.366] H_SLaSH: !uptime
[313.651] gamuq: 今回からそこらへんにいる人捕まえて配信するんだっけ
[340.146] (S)ayuka_game: いなくてもオリカサがいるから前回みたいにへいきそうだけどね
[349.067] hamatahadoudai: これ折笠のチャンネルでやってくれない？
[351.180] ~MISSING_COMMENTER_INFO~: m9 
[351.768] Imaise: 中野に来てる初心者に教えるとかそんな感じ。
[357.859] 田中休: 俺も捕まりに木曜行きたい
[378.722] cubgasukidesu: 折笠さんのポエム、わかりにくいよ
[383.544] Imaise: ハンサムチャンネルでもええよね
[392.450] gamuq: 割と真剣に出たいな
[394.054] (S)NagOutSide: umeHandsome
[412.068] (S)ayuka_game: 今日は台風なのもあっていく人少なそうだけど普通の日とか休日だったらめっちゃいきそうだけど…
[428.344] (S)ayuka_game: 1人１０分とかかな？さすがにみじかいかｗ
[433.091] cozy312: どないなっとんねん…
[468.380] metalface_05: umePout
[480.045] ~MISSING_COMMENTER_INFO~: 暑い…
[501.959] metalface_05: アンドリューいるかな
[513.730] hadogamosenpai: TehePelo
[530.295] metalface_05: おお
