[11.144] sansiki205: きたか
[14.158] 二丁目: お
[16.741] カエル君: きた！
[23.986] ayataka33: きたあああああ
[25.694] ranmaru_12345: お？
[33.662] (S)tyanko0927: umeYay
[38.217] sasakumadrops: 今日はまともな配信がされているのだろうか・・・・
[38.500] (M)Moobot: 音声別れてます。The audio in this channel is split. 「Left= English, 右＝日本語」 Playback Devices > Properties > Levels > Balance to change (or take out one earphone).
[41.430] (S)コキリ族: umeLaugh
[42.304] (S)yaiti81: umePout
[47.092] (S)diego_ohunabara: umeYay
[55.257] カエル君: 昨日はマジで雑談配信だった
[57.454] takechan27: うす
[59.071] (S)oginox99: umeYung
[62.411] (S)titilrin: ハローダイゴ
[65.819] takahasibonchanmasato: 中国ほんま
[66.624] peppers103: んっ
[66.839] (S)iakira777: 888888
[70.426] (S)user0511: 今日は野田氏か
[74.585] pubg_daisuki: KonCha
[74.877] しゅごいよ: PokPikachu
[75.818] ~MISSING_COMMENTER_INFO~: こんにちわー
[78.967] sasakumadrops: まってたよ～
[79.373] カエル君: アールさんだ
[81.027] takahasibonchanmasato: りゅう！
[85.111] (S)kamiyashiro: 折笠さんデコ広くなってない？
[86.315] (S)yamanekojiro: いつもの
[86.672] (S)hateinme6: 今日音量良いっすね！！
[92.446] (S)ttp_hayato: 寝癖ｗ
[95.917] (S)りんごとバナナ: ウメちゃんテンション低くない？
[96.658] okitotoro: キターーー
[98.085] (S)ちゃやこ: ｗ
[98.851] (S)user0511: 梅ちゃん寝てた？
[99.094] sora_neko09: 今日はアール氏合流か
[99.527] (S)zyagamon: アールさん昨日どうだった？
[101.818] ぐぐっす: パパチワワ
[102.052] takahasibonchanmasato: ウメちゃん作画悪くない？
[107.228] (S)titilrin: 寝癖がすごい
[108.865] ~MISSING_COMMENTER_INFO~: ウメちゃんｗｗｗｗ
[109.086] (S)v401: うめちゃんの作画わりーなｗ
[111.336] (S)user0511: ｗｗｗ
[114.269] 二丁目: 自由
[116.001] GYAKUBANE: jpにbeastv映ってて草
[116.094] ~MISSING_COMMENTER_INFO~: ｗｗｗｗ
[116.570] (S)ttp_hayato: テンションｗｗｗ
[117.371] sora_neko09: ウメちゃん寝癖，，，
[117.599] hucars: Hi ✌🏻
[118.660] カエル君: ウメちゃんふてくされ？
[119.803] (S)user0511: ビースト
[121.992] pubg_daisuki: www
[123.473] tannkai: 混乱した
[124.207] (S)yamanekojiro: げすといないの？
[131.349] n242f45aa: 寝癖ビースト
[132.354] burisuke: umeSad
[132.557] 6878bbz: まじでひどかったからなｗ
[135.305] devilishblack: アールさんのダックスフンドみたいな髪型好き
[137.164] (S)コキリ族: ハードボイルド
[137.441] (S)co2tan99: ｗｗｗ
[139.506] 二丁目: 流石に起こっていいと思うよ。プロ勢は。
[142.059] onesolo52: 麦茶飲めないからテンション低いです
[147.512] ayataka33: ｗｗｗｗｗｗ
[153.544] tw_numa: ねぐせ？
[153.798] カエル君: 話すだけのお仕事
[155.018] (S)ttp_hayato: 水派いなかったらそうとうヤバかっただろｗ
[161.348] ~MISSING_COMMENTER_INFO~: 昨日は雑談配信でしたね
[163.390] owaiwaiwai: 水派に助けられた
[169.129] (S)iakira777: 今日も雑談で
[169.240] モンコ: こんにちは
[171.275] (S)titilrin: キャプテン読んだよ 谷口くんよかったわ
[172.805] dsadsa454654: ウメちゃんどこ～
[177.032] dora2212: あーるさんこっちおるやん
[178.597] sora_neko09: でも２万人近く視聴者行ったからなぁ
[182.023] (S)~MISSING_COMMENTER_INFO~: 水派が面白かった
[182.931] huumu2: 昨日水派っちと何食べましたか？
[193.658] カエル君: 中国にいるプロ達ブチ切れ
[193.663] daoko0721: 寝起きハラ
[199.844] tk44444: 今日のゲストは何派？
[201.067] devilishblack: 目がゴロゴロするのか
[201.233] たぬきおん: ウメちゃん寝癖すごくね？
[201.286] (S)hanzou3: umeYay
[203.490] takahasibonchanmasato: 視聴数あればぐってたろ 普通にありえない数字だった
[205.920] burisuke: メタスラやり過ぎか～
[206.014] onesolo52: 久保も応援してあげてｗ今回プロ生命掛かってる
[206.145] (S)乱火隊長: 今回ウメちゃんは行ってなかったのか
[207.527] yonco: KonCha
[209.535] れく太: 相当面白かった
[210.696] dwbh0220: 寝癖いいね
[218.674] sora_neko09: 本家は藤村ｖｓももち
[221.301] daoko0721: いきなり
[223.446] ~MISSING_COMMENTER_INFO~: お
[229.509] vcdva: 本家いきま～す
[229.926] sasakumadrops: 最近よく見る対戦ｗ
[232.440] dominix111: 昨日本家なんかトラブルあったの？
[238.889] (S)butasyabu: 社長VS社員か
[240.688] kent34_f: 早速きたね
[241.514] takahasibonchanmasato: 絶対オーナー殺すマン
[247.007] dsadsa454654: すぐはじまるのか
[247.578] sora_neko09: 昨日の本家はトラブルしかなかった
[249.045] モンコ: 最近おおいよねw
[256.738] fina_thankyou: 場数で解決するかね
[263.162] pubg_daisuki: 毎回この2人戦ってね
[267.729] imurilove: 早速下剋上対決
[268.955] (S)ttp_hayato: 藤村わかってるな？（圧力）
[270.569] (S)rdstus: この二人いつも対戦してるな
[271.869] カエル君: 折笠さんいじられてたけどね
[283.778] (S)コキリ族: くじ引き！？
[285.414] (S)ピンボケ10円ハゲ: ふ～ど今回も優勝してくれ～～～
[286.438] (S)v401: オーナー絶対倒すマン
[289.014] (S)user0511: すごいトナメ偏ってたよね
[289.772] (S)ttp_hayato: やっぱケンなのか
[293.744] (S)コキリ族: それプレミアでええの？
[297.230] (S)x_abu_xx: オーナーに忖度しないことに定評のある藤村
[302.028] dora2212: ももちがんば！！！
[302.350] Sorachan1144: コーディーどうなったの
