[28.563] (S)xenys3: じこけん？
[31.166] (S)Brizaemon: jikokenn
[42.724] kyo967: 早くない！？
[50.298] カエル君: 今日は最初からリアルタイム！
[66.762] NHK11NHK: おばんでがす。
[85.654] romeshipo: んちゃす！
[95.450] (S)varoshi: pumpumcityGuileMask
[99.108] romeshipo: 1個目のロメシポどぅえーす！
[100.588] (S)areg392: umeSalute
[110.411] tarako7016: 今日はブロンズ初心者講座だっけ？
[124.716] yuji_game: すでに300人以上見てる！
[129.980] (S)vovovoooooo: (^^3
[155.564] lla_all: imGlitch
[179.806] (S)vovovoooooo: (^^3
[189.343] msnbt: 電車でノート開いて視聴、ちとハズいｗ
[192.476] カエル君: 伸び悩んでる自分には初心者講座はありがたい
[210.610] faradramir_old_school: capcomOno
[229.863] yuji_game: 何でノート？スマホで見てｗ
[238.378] tarako7016: お？
[242.384] Zenkunen: Fuudo - Sama 
[246.510] 東北のスロカス: 獣
[254.534] tarako7016: ｷﾀ━━━━(ﾟ∀ﾟ)━━━━!!
[256.371] kyo967: 8888
[256.733] msnbt: スマホの充電切れたｗ
[275.583] msnbt: しかも１５インチｗ
[281.135] cubgasukidesu: またラーメン食べてたね
[292.489] yuji_game: ラーメン......
[305.952] faradramir_old_school: why is daigo never there 
[309.106] (S)areg392: umeGross
[309.590] セスの丹田エンジンは良臭: 折笠！！！！ふ～どっちに教えてもらいながら情けないぞ！！！！！
[326.220] (S)varoshi: pumpumcityISDD
[336.033] fgcMashHarder: he forgot his apartment password and he cannot go out
[336.941] tarako7016: NL道場の人だ
[358.295] セスの丹田エンジンは良臭: 初心者とは
[361.320] msnbt: いいね
[364.188] カエル君: 折笠さんは絶対もっと強くなれる
[395.409] tarako7016: そこが一番いないもんね ０～１５００の人
[396.715] yuji_game: やってないんだ・・・
[400.222] (S)areg392: umeStare
[489.552] legopowa: rip memememe
[533.126] ask4exe: 最近1000越えた初心者だからうれしい
[533.734] renoa0521: なんでいつもまとめたがるの
[613.125] panorama1013: バーディー来てくれんかな
[636.233] rtmt: NL教祖の宗教団体所属か相手
[636.380] (M)Moobot: 音声別れてます。The audio in this channel is split. 「Left= English, 右＝日本語」 Playback Devices > Properties > Levels > Balance to change (or take out one earphone).
[689.243] hadogamosenpai: chiW
[695.154] (S)varoshi: umeGross
[712.108] burisuke: umeStare
[735.791] g3lily: capcomChan
[740.820] Bel_K: PogChamp
[754.790] kamadango: umeParry1
[776.435] BigBlueBottle: where is diego
[792.962] カエル君: 誰かー
[793.341] hamsterbird: pumpumcityGuilePunch
[808.798] ~MISSING_COMMENTER_INFO~: Will he use Ryu?
[833.191] へんたいりゅー: キャラはなんでもいいんですか？
[839.392] kazuki5556: リュウ大丈夫ですか？？
[842.460] muryokuka: ラウンジもトレモ待機できるようになれば良いのに
[853.888] cubgasukidesu: ゴールドはダメ？
[904.377] へんたいりゅー: ミカで入りたいです
[904.382] kazuki5556: スパダイないので、だめでした！笑
[913.804] kazuki5556: ごめんなさい！笑
[932.274] ~MISSING_COMMENTER_INFO~: Go Ryu!!
[951.847] ~MISSING_COMMENTER_INFO~: Akuma sucks!!
[987.415] kazuki5556: 折笠さん、来年のevo期待してます！！
[989.716] (S)canon_203: 是空さんから
[1004.781] カエル君: ジンオウガだ
[1019.958] hadogamosenpai: chiZ
[1068.371] burisuke: umeGross
[1081.161] kazuki5556: 折笠さんの健康診断まだ？？
[1107.009] (S)canon_203: umeHandsome
[1113.214] h2hiroyuki: もっと立Ｐこすっていいような
[1114.042] カエル君: 人間ドック配信とか見たみたい
[1119.557] (S)ミスターポポ: umeStare
[1129.143] astrogate_0: w
[1134.243] (S)もけたわけ: そうですね!
[1182.708] (S)diego_ohunabara: umeHat
[1191.061] (S)ミスターポポ: 投げまくり
[1196.674] (S)shochann: 変態なのか・・・・
[1224.571] (S)yuiaog: 折笠式
[1275.419] (S)canon_203: そうかトリガー潰しっていう発想なんすね
[1292.982] h2hiroyuki: 後ろがあればバックジャンプしてもいいのよ
[1387.077] カエル君: あぶね（ヒット）
[1412.953] (S)canon_203: アンドリューおつかれさまです。(=ﾟωﾟ)ﾉ
[1422.772] へんたいりゅー: ありがとうございました
[1449.280] レベルゼロ: へ、へんたいだーっ！
[1479.776] (S)canon_203: へんたい兄おつです
