[23.788] (S)かげでん: な、な、な、なぜ今ｗｗｗ
[26.796] (S)ilm0806: 一番のり！
[36.998] nabenights: わーい！
[37.679] (S)myuraly: 久しぶりのウメルーム
[41.114] (S)gogopimimi: びっくりした
[41.676] (S)natoooji: トラキアってなに？
[44.951] (S)IKEPON_: トラキアとは？
[45.011] kumihachan: もうお家にいるのね
[47.208] tagane6: はっきり聞こえる
[50.691] doyoubi256: 硬派だねー
[51.265] (S)IKEPON_: 声聞こえます
[51.674] (S)ilm0806: 聞こえますよ
[52.102] (S)kumatedd: うおおおおウメちゃんきたあああ
[54.395] (S)myuraly: 聞こえます
[57.099] (S)IKEPON_: ゲーム音もいい感じです
[58.268] (S)kumatedd: ばっちり
[58.772] (S)hachi_mitsu: ばっちりきこえます
[61.032] kamisimeru: ファイアーエンブレムてｗｗｗ
[61.345] yu53: おはよう
[64.031] yuu_tantan: おk
[65.621] ヌキンクス中年期: トラキアってなんですか？
[66.070] (S)ilm0806: 深夜にはでかいくらいです
[68.764] (S)umeharagodaigo: ｳﾒﾁﾞｬﾝ
[69.016] (S)ememeume: 家だーー
[70.669] yuu_tantan: おkおk
[70.959] (S)wasabeef_jp: トラキアてなに？
[71.363] (S)blackie_1988: 久々のお家
[71.490] matchgouki: 聞こえるよーw
[72.717] buchwald06: いよーっ
[72.762] come2gou: トラキア776ｗ
[73.027] balthazar000: 拍手喝采！
[73.323] (S)kumatedd: わーい！
[73.622] (S)myuraly: ファイアーエムブレム？
[75.544] (S)kumatedd: よっしゃああ
[75.873] nikkorogasi: いえーー
[76.192] konsatoshi: うーす
[76.225] doyoubi256: スマブラで盛り上がってますからね
[77.309] (S)wasabeef_jp: 音よし
[78.449] rainchan4: トラキアとは
[79.390] (S)ememeume: 懐かしの
[79.537] (S)yunyun_ada: どしたの？w
[79.807] kotonekoko: トラキア？
[80.028] blue_orbit10: FEのめっちゃむずかしいやつ？
[81.852] noai1234: 突然のトラキア笑った
[82.042] (S)kumatedd: umeParry1
[82.257] ororoin: PokPikachu
[82.262] (S)takeo_onakasuita: トラキアとは
[83.353] (S)ilm0806: 金がらみですか？
[83.461] ガイギー: え！なんでトラキア！？ｗｗ
[83.604] yuu_tantan: 大会頑張ってください！
[84.660] (S)cherimoyavr: トラキアかよｗｗｗ
[86.067] tsuufuudo: 風呂上り？
[86.377] balthazar000: レアソフトやったなー
[87.412] vcdva: むずいで
[87.936] shichousha72: なんでトラキア！？
[89.925] (S)kumatedd: umeYay
[92.186] atamagaparn2: 最後にまたジョイジョイやってくれーい
[96.125] (S)nukaduke91: 流石に？
[97.167] hosp1990: 家きたあ
[97.869] yuu_tantan: 気分転換？
[98.594] (S)myuraly: これがウメのCC対策……
[99.611] (S)hanzou3: umeYay
[100.197] (S)illmatic_buddha: カプコンカップ余裕かよー
[101.421] (S)blackie_1988: バランスさえ良ければ何でもいいんだよ
[101.809] balthazar000: そうかな？
[103.734] (S)kumatedd: おつまみありますか おつまみ
[105.073] (S)SEKITAKA: こんばんは
[105.335] (S)イガ: さんぽじゃなかったー
[105.834] (S)wasabeef_jp: いや、ちょうどいいよ
[105.911] (S)natoooji: 夜食用意しなきゃ
[106.813] (S)cherimoyavr: トラキアはファイアーエムブレムやで
[107.156] (S)diego_ohunabara: umeYay
[107.206] svcchaozu: 理由は？
[108.866] (S)varoshi: リセットありなし？
[109.340] AceKold: ウメちゃんひょっとして配信ノルマ消化しようとしてる？
[110.004] (S)河合惣五郎: 散歩ちゃんうんやな
[110.554] sora_neko09: 今日は散歩じゃないのね
[112.458] クズ220: まさかのトラキア
[113.192] (S)diego_ohunabara: umeRoad
[113.246] (S)ninsoku: こんばんわ
[114.955] (S)natsuxiv: てっきり今晩も散歩かと思ってた
[115.504] (S)ememeume: また散歩かと思ってたー
[120.060] kamisimeru: やったことないけど難しいって聞いたことある
[121.865] (S)diego_ohunabara: umeYay
[123.074] (S)anz121823: 出国前にまさかの別ゲーw
[126.724] boxdudly: 折笠いねーじゃんよかったー
[128.250] (S)atsu_240: なんか散歩じゃないのが久々に感じるねw
[129.833] (S)yunyun_ada: そりゃあいつも練習してるから気晴らしでええやん
[133.041] great_okada: 初見です！
[135.773] tagane6: 風邪ひかないようにね
[136.152] chanchankoi: 寒いからなー
[136.811] (S)kino883: 何やるのー
[138.434] goito_1117: あ～切ないストーリーのやつね
[141.855] (S)へたれないず: GivePLZ
[143.331] (S)oinari6: ファイアーエムブレム好きなの？
[144.519] (S)kumatedd: 寒すぎるから散歩なしかーって思ってたらまさかの家配信あり
[146.924] (S)IKEPON_: トラキアってファイアーエムブレムのやつか？
[147.170] balthazar000: 張り詰めた糸を緩めて余裕を持って臨む形か
[148.197] (S)myuraly: まさかこれがパンク対策になるとは
[149.220] kamisimeru: カプコンカップ前の伸びがこれかー
[151.067] (S)redman5656: テスト
[152.322] ヌキンクス中年期: トラキアってなんぞや？
[152.811] mildmiicha: 散歩は？
[153.388] ガイギー: よりによってトラキア
[153.571] ~MISSING_COMMENTER_INFO~: 紋章の謎より難易度高い感じ？
[154.071] (S)nukaduke91: 半袖は硬派だね
[154.164] kazuki5556: 急にやる気出してきたね
[155.948] omedetroit: お、久しぶりに家配信きた！！
[157.765] クズ220: リーフ強盗団
[158.133] (S)ememeume: ファブゲーミング
[158.999] mcdowell123: まーじか
[161.385] えすけーえふ: 精神を鍛えていこ
[161.435] (S)oinari6: 部屋の後ろさっぱりしたね？
[161.763] charcoal_filter: フルボイスでやって
[161.829] muryokuka: ウメ配信の突然ですが率は異常
[162.830] (S)takeo_onakasuita: へートラキアってファイヤーエンブレムなのか
[163.700] goito_1117: 主人公シグルドだよね
[163.746] avalon0528: スマブラやって
[163.917] garouakira1983: ファイヤーエンブレム？
[164.233] fina_thankyou: RPG好きなの？
[165.841] (S)yunyun_ada: なんでトラキア？
[166.449] (S)shomarusan: トラキアってなんですか？
[166.589] あごだし鍋つゆ: 散歩ちゃうんかいｗ
[167.456] panorama1013: スマブラやってほしい
[167.575] ぼんじゅ: 最近毎日はいしんしてますね
[168.019] adawong123: トラキアむずいですよ
[168.552] x_yashi: 久しぶりのリアルウメちゃん
[169.548] doyoubi256: トラキアはド硬派だね
[170.389] kamisimeru: ゲーム上手い人ほどゲームの休憩にゲームやる
[170.526] (S)cherimoyavr: シリーズ何やったことあんの？
[170.698] hhopeug: なんで今やるのｗ
[172.231] (S)やさいもん: 776やるんか
[172.955] (S)kyo967: こんばんは
[174.433] (S)varoshi: シリーズ難易度最高峰だよ
[175.091] goito_1117: でも一番面白いよ
[175.124] harrydevil95: 意外だ
[175.818] balthazar000: そっか、仕事だとゲームをがんばるになるのか。
[175.889] (S)gengoro1198: トラキアはハード何で出た奴？
[176.064] room13_tw: ばんはー
[177.275] naosansan: 難しいよそれ！
[177.430] (S)umeharagodaigo: ファイアーエムブレム
[177.689] (S)redman5656: 実機か？
[177.873] (S)kumatedd: ほー難しいんだ
[183.304] クズ220: 初プレイなの？
[184.193] Spacefisherman: Daigo, watch out for Korean women
[185.554] (S)tamachan0530: 息抜き？
[186.509] svcchaozu: スーファミ
[187.192] (S)varoshi: 時間もとられるよ。
[187.436] ガイギー: トラキアは国の名前
[189.145] (S)IKEPON_: サブスク動画いつになりますか？
[192.565] ORANGE_KICKS: まさかの配信！まさかの散歩じゃない！まさかのトラキア！
[192.771] naosansan: ぼくは詰んだ
[192.860] omedetroit: この寒さで散歩は死ぬww
[193.010] moromororo: トラキア難易度高いぞ～ｗ
[193.949] panorama1013: 主人公だれ
[194.217] nauti1us123: 久しぶりの家
[194.528] yuiyui1991: ウメちゃんにFEクリアできんの？ｗ
[194.768] (S)gengoro1198: スーファミか
[194.872] (S)kumatedd: ファイアーエムブレム自体が難しいイメージだけどさらに？
[194.978] 櫻井桃華: トラキアきたー！
[196.225] poto2panapa: 超楽しみ！！
[196.402] Planetrollcall: 意外ではないけど予想外過ぎて笑った
[197.447] balthazar000: ミニスーファミ？
[198.632] ヌキンクス中年期: 国名なんだ
[199.662] dora2212: レッドブル推し
[201.395] (S)oinari6: レトロフリーク？
[201.815] garouakira1983: 突然何でやろうとしたの
[203.897] (S)Nemu8132: umeSalute
[205.228] naosansan: 聖戦はあるの？
[206.457] (S)yunyun_ada: ウメちゃん配信頻度多くて好き
[208.685] 櫻井桃華: 初見殺しゲーですぞ
[209.625] vaggie666: hello Daigo from Houston Texas U.S.A.....PLEASE SAY HELLO HOUSTON
[210.089] atamagaparn2: アルテリオス式計算式
[211.586] ORANGE_KICKS: ねーのかよ！
[211.733] higashimurayama: ７７６ってなんのこと?
[211.873] shichousha72: プロのやり込み
[213.460] (S)varoshi: リセットしまくりでも恥ずかしくないよ。
[214.925] クズ220: マゾゲーよ
[215.348] (S)桜風かなた: こんばんわぁ
[217.695] ガイギー: トラキア国の776年の物語
[218.357] Taiki_Yamada: トラキアはFEの中でもむずいぞ
[220.640] zakuronabatame: 頼もしいなw
[220.866] (S)redman5656: どのハード
[221.210] kamisimeru: ファイアーエンブレムって死人出て積むやつ
[222.774] (S)ememeume: 頼もしやー
[223.062] (S)natoooji: ロード縛り？
[223.277] ORANGE_KICKS: 詰むぞ！
[223.965] ~MISSING_COMMENTER_INFO~: 聖戦の系譜ひくほどやりましたわ・・・
[224.010] hhopeug: 何版なの？
[224.158] imurilove: ナウマルスと戦うのか
[224.946] mic7777jpjp: さんぽじゃないのか
[228.077] come2gou: 776はリセットなしはきつい
[229.385] dora2212: プロゲーマー様やぞ
[230.360] relaw08: トラキアまーじか
[231.543] (S)illmatic_buddha: ウッ ダークソウル… 頭が…
[231.599] ~MISSING_COMMENTER_INFO~: マルスの奴か？
[233.998] dswlm: トラキアやったことないから楽しみ
[235.524] goito_1117: リーフ強かったよなぁ
[235.840] ガイギー: リーフ懐かしいｗ
[238.171] konsatoshi: ほんま
[238.293] ORANGE_KICKS: やめとこ！テトリスにしよ！
[238.370] harrydevil95: ファイアーエムブレムは面白いけどやるとは流石に思ってなかった
[240.586] avalon0528: fe のむずかしいってなに
[241.625] (S)oinari6: ダイエットと言うなの高難易度ゲーム挑戦してみない？
[241.849] (S)natoooji: 声に出して読んで
[244.726] FZ250: 最難関のトラキア
[245.137] ガイギー: フィン！！！
[245.198] ulbaha: かまへんかまへん
[245.903] (S)IKEPON_: 文書よんで？
[246.901] svcchaozu: 全飛ばし勢だと思ってたわ
[247.110] おじキッズ兄: フルボイス？
[247.204] kamisimeru: 飽きっぽいから
[247.229] (S)yunyun_ada: あのなんでトラキア始めたか教えて
[247.987] (S)kumatedd: 音読して♡
[248.228] moromororo: FEでトラキアだけ詰んだことあるわ
[248.760] (S)sugarsato_: うおおおおおおおおおおお
[249.674] dswlm: じっくり読んでや
[250.281] fina_thankyou: ウメ黙読
[252.745] kotonekoko: アプデなしデモンズ…
[252.780] 魔法_少女: マジでなついなw
[253.358] (S)illmatic_buddha: 音読お願いします
[253.424] (S)kyo967: feだ！やったー！
[253.981] (S)blackie_1988: 音読しよ
[259.714] ガイギー: フィン好きだったな～
[261.741] balthazar000: ストーリー大事
[271.935] (S)電動マッサージ器: umeYung
[273.336] kamisimeru: ソフトウェアの利用規約読むタイプ
[274.792] mic7777jpjp: 3ds版？
[276.670] 魔法_少女: リーフとかまじでなつい
[281.770] (S)IKEPON_: ウメちゃんスマブラやってる？
[289.057] (S)redman5656: なに版ですか？
[290.341] kamisimeru: どうやって取り込んでるの
[291.313] (S)tantan800: マサ見てるか？
[292.574] moromororo: 聖戦の系譜はやったことあるの？
[293.640] おいす_: なんで丸文字っぽいフォントなんだろうな
[294.106] poto2panapa: 弓矢にピュイってされるウメちゃん見たいよぉ
[295.554] ガイギー: 前世代の親たちが敗戦した後のストーリー
[301.501] naosansan: 聖戦やらないと話わけわかんないかも
[306.626] (S)河合惣五郎: スーファミミニのファイアーエンブレム放置してたな
[312.041] (S)ememeume: どうなったらクリア？
