[12.019] (S)gogopimimi: ウメちゃん
[18.174] bluesummer114: momochocoMOMOCHI
[29.902] dacho26: ちょうどいいですよ
[31.452] (S)natsuxiv: okです
[61.675] (S)GelidiumJellyCat: ウメちゃんおはよー
[105.258] Neifeel: おはようございます
[108.208] JarendMusic: Thank you for your hard work!
[110.408] houjichaa: へぇ、あんたもダイゴっていうんだ
[112.328] (S)toshioj: 配信まーーーーじか
[113.410] (S)xenys3: うす
[119.521] (S)syoryuking3933syoryuking: こんにちは！
[125.161] (S)山田たろう太郎: きたー
[125.177] MazicMozaic: オッスオッス
[127.398] Imaise: こんにちは
[128.601] balthazar000: さあ、ウメキアの時間ダァ！
[129.927] Ceciltaisa: トラキアはeスポーツ
[136.434] Agneemitra: Good morning Ume san
[144.907] (S)きあい: umeStare
[156.318] (S)syoryuking3933syoryuking: umeZen
[156.363] douguluskaien: おはこんばんちわ
[164.967] Ceciltaisa: サブスクラッシュゥ
[168.682] (S)頂き男子一平: パンパン
[185.608] MazicMozaic: ここからが本番だねー
[191.928] balthazar000: 今回は通常ステージ？
[192.012] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[213.350] crt0729: 自分もとうとうトラキア始めてしまいました
[223.918] ジュン0408: こんにちは
[267.373] MazicMozaic: 成長率ならマーティ
[309.001] megapisces89: daigo 
[311.508] dobakon: ウメちゃんおはよー
[325.087] ricardo_raul: Eseeeeeeee Daigo!!! 
[328.403] ricardo_raul: Hi 
[358.639] playatlas: おはようストリーマー
[380.341] ジュン0408: 格ゲー以外のゲームもやるんですね
[380.835] (S)ilm0806: ちわーす
[423.721] MazicMozaic: ワープなしで此処やるんだー
[430.314] ぼんぎ: こんにちは。スト５はいつしますか
[430.813] (S)rotonz: おはようございますー
[469.048] ジュン0408: Tシャツ一枚で寒くないですか？
[478.707] MazicMozaic: パーンはダイン、ネール持たせて育てよう
[499.621] ExtremTarz: i dont understand what you say but you are my idol my friend have a nice game
[515.610] (S)ゴリむそう: ボンちゃん、ウメさんのサブスク動画やるときいて秒でサブスクしました
[518.371] umechin7: ウメちゃんに俺の手作り餃子たべさせたい
[523.167] (S)bb08763: umeYay
[554.410] douguluskaien: グレイドの名前は既に出ているはずだが
[576.433] MazicMozaic: グレイドは指揮持ち
[580.058] balthazar000: 遠いなぁ
[595.540] MazicMozaic: カリン要る
[607.064] (S)ゴリむそう: FEはマジで難しいよなぁ…
[630.511] tamaow: グレイドの名前連呼してた女いなかったか？
[634.585] ~MISSING_COMMENTER_INFO~: たぶん一番難しいFEなんじゃないか
[637.717] MazicMozaic: トラキアだけ難しい
[662.905] gyahhaa: 槍ばっかり使ったからかなぁ
[667.341] tonpa323232: ウメ。カリオンは槍だ
[674.348] (S)ilm0806: ＠ExtremTarz he just is saying "his thinking" about game
[687.882] tonpa323232: カリオン乗るから槍だぞ
[693.402] tairano_boc: こんにちは
[698.959] umechin7: 13章？まだ中盤なんです？
[702.087] uncle_yam: 会話系は先に教えてって話ですっけ？
[709.849] ~MISSING_COMMENTER_INFO~: 草
[715.661] 10kio: あぁっ！！
[716.601] ~MISSING_COMMENTER_INFO~: 矢が尽きるまで待つ
[720.845] ジュン0408: コメント読まない人か
[720.971] MazicMozaic: 弓届く
[720.974] tronen: まさかいらないカリンちゃん？
[722.910] tonpa323232: 弓が届く
[725.396] (S)zyagamon: 会話系はオケ
[727.081] balthazar000: またアーチ？
[734.197] gyahhaa: 右上から弓が届く
[737.515] umechin7: ガチ勢たすけて
[748.640] ~MISSING_COMMENTER_INFO~: 待つと城が大変なことに
[751.239] MazicMozaic: 弓届くけどカリン要る
[754.708] uncle_yam: じゃ、この面セルフィナに会話イベあります
[755.874] ~MISSING_COMMENTER_INFO~: 強行突破だ
[756.092] (S)売れないバンドマン41: 今やっと前回のトラキア見終わったよ。これ何回いてぇよ？
[758.461] (S)ilm0806: ウメちゃんがコメント読んでるときに、流れてないので、無効なのだ
[760.768] keydashonline: hello daigo san
[763.941] keydashonline: umeeeee
[764.924] (S)ぐぐっす: 弾撃ち対戦始まるか
[767.354] tonpa323232: ウメ、どうして
[770.496] (S)zyagamon: 待ちは駄目なのね
[778.861] gyahhaa: グレイドの妻
[781.847] tronen: 突撃おばさん
[783.269] (S)denden173: 昼飯食った？
[786.057] (S)onedaan: 今日休みだから観れるぜ
[786.818] tonpa323232: セルフィナ別に入れなくていいぞ
[788.902] uncle_yam: 勇者の弓もらえる会話です
[791.720] gyahhaa: 会話あります
[803.584] ~MISSING_COMMENTER_INFO~: 草
[805.464] ダスティ: ｗｗｗｗｗｗｗ
[806.553] balthazar000: 勇者か〜
[807.666] tronen: ぽぴぃ；；
[812.163] daws2299: LUL
[813.798] (S)dokkorashot: とりあえず突っ込むのも一興
[815.378] (S)zyagamon: ですよねー
[817.932] JackNeko: 弓ほしぃ～～
[819.258] (S)ilm0806: ウメちゃんならいける
[826.952] uncle_yam: せめて彼女に突撃さえなければなぁ
[828.468] umechin7: 勇者が付いてるからつよそう
[829.197] MazicMozaic: アーチ潰せばいいの
[830.825] keydashonline: こんにちは
[831.428] (S)nagilay1: 声わろた
[831.876] balthazar000: 強欲を背負いし獣
[832.391] rapid881000: ロングアーチ無双をくぐるのは大変そうだ
[843.750] tronen: アーチに勝手に突っ込んで死ぬからなあの人
[844.387] (S)ilm0806: いやいや、神に特攻させればいいやん
[849.125] (S)dokkorashot: いけるいける
[865.445] fruitshop: AYAYA AYAYAKEK AYAYACD ZULUYAYA FeelsAyayaMan
[876.979] ~MISSING_COMMENTER_INFO~: このゲームのアーチは殺意高すぎる
[882.915] (S)toshioj: 風呂入ってる間にやり直してるな
[883.228] (M)Moobot: 音声別れてます。The audio in this channel is split. 「Left= English, 右＝日本語」 Playback Devices > Properties > Levels > Balance to change (or take out one earphone).
[884.988] MazicMozaic: 強い騎馬隊で特攻かけるの
[892.678] balthazar000: 前回は極端に狭かった、、、
[893.924] tronen: ナイトプルフを温めるだけの簡単なお仕事
[894.735] (S)zyagamon: オルエン育てようよ
[895.599] (S)ポンポン: 欲しいものいっぱい
[914.396] (S)ポンポン: ブライトン育てよう
[914.465] uncle_yam: 実際誰が使ってもハンデキャラのセルフィナさんｗ
[915.095] ~MISSING_COMMENTER_INFO~: オルエン撃たれ弱いので頓死しそう
[915.673] gyahhaa: ナンナの疲労には注意した方がいい
[920.166] tonpa323232: セイラム
[957.365] unachanmanz: 外れるのはカズ、三浦カズ
[959.097] ~MISSING_COMMENTER_INFO~: カリオンは槍だって誰かが言ってたよ
[964.446] (S)dokkorashot: Ａリーガー
[967.783] ~MISSING_COMMENTER_INFO~: カリオンは騎兵ゆえ
[974.687] ruku16: ここでクラスチェンジ作っときたいねぇ
[987.358] MazicMozaic: 次の章でナンナ出さないといけないですウメちゃん
[1003.093] ~MISSING_COMMENTER_INFO~: でも槍育てても使えないフロア多いんだよな
[1005.128] tonpa323232: ネタバレ寒いからいらない
[1012.420] tokorozawabeast: ウメさんこんにちは～
[1030.711] sayuha1: リアルでも人生の致命傷喰らわない書が欲しい
[1031.076] tamaow: 最悪Sドリあるんだから、黙ってても良くない？
[1034.085] (S)ビフィダス: 配信だー
[1044.780] keydashonline: 挨拶を送る
[1045.906] (S)kosumosu011226: 仕事サボりながら見てるで
[1054.134] tonpa323232: カリオンは馬に乗ると槍になる
[1062.333] ~MISSING_COMMENTER_INFO~: ラーラCCしたのか
[1062.917] (S)toshioj: 仲間はまぁウメちゃんが皆仲間にしたがってるっぽいから分かるけど、攻略法は寒い
[1081.442] ~MISSING_COMMENTER_INFO~: あれ トラキアって馬上で剣使えないんだっけ
[1083.111] gyahhaa: カリオンは馬上でも剣使えるんじゃないの
[1083.572] ~MISSING_COMMENTER_INFO~: カリオンのことカリンて言ってるから一瞬分からんかった
[1087.988] tokorozawabeast: ウメカリオン強いね。うちのカリオン全然だった。
[1093.305] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[1102.021] ruku16: カリオンは馬でも剣使えるよ降りると剣だけになる
[1114.159] sowhat77179: なんで俺はこんな時間の放送見られるんだよ
[1114.294] MazicMozaic: カリンはカリンだ
[1128.521] ~MISSING_COMMENTER_INFO~: なら剣も育てたいな
[1147.652] ~MISSING_COMMENTER_INFO~: こういう突入作戦はラーラも使えそう
[1169.402] (S)toshioj: うおおおおおおいけえええ
[1174.671] gyahhaa: オルエンは騎乗しましょう
[1177.675] tokorozawabeast: 後発組のユニット育成が難しいんだよね・・
[1177.762] tonpa323232: 騎乗せんのか
[1186.728] tronen: 後方で旦那の帰りを待ち続ける人妻
[1189.847] MazicMozaic: 馬、、、
[1191.419] ~MISSING_COMMENTER_INFO~: オルエンすぐ死ぬ
[1197.260] daws2299: kei
[1202.730] beehive3: 肉壁５
[1204.671] (S)売れないバンドマン41: でも後発のほうが成長いいんだっけ
[1213.726] (S)ポンポン: 敵多いな
[1228.980] ~MISSING_COMMENTER_INFO~: 後発が成長いい とも限らないような・・・
[1231.142] ruku16: 相変わらず痛いなシューター
[1237.853] MazicMozaic: オルエン剣持てる
[1239.036] ~MISSING_COMMENTER_INFO~: 神成長するやつは確かにいるけど
[1239.524] (S)ilm0806: この敵の多さ、いよいよ全面戦争？
[1248.222] ruku16: おとなしめ成長
[1254.741] (S)ilm0806: これ、やばくない？
[1255.342] sayuha1: スパロボじゃないからー
[1261.532] ~MISSING_COMMENTER_INFO~: 無双できないと敵がボリュームありすぎて吐く
[1263.271] (S)toshioj: ステータス画面で回避確認出来るで
[1273.805] okojo1991: おお、ステージ進んでる
[1291.196] tokorozawabeast: スーパーユニットが一人いるだけでも攻略と育成が楽になりますよね。
[1291.892] ~MISSING_COMMENTER_INFO~: つっよ
[1304.945] tonpa323232: ウメ。のろ
[1307.942] umechin7: なんな
[1314.408] h2hiroyuki: それにしてもこのところの配信頻度は凄いね
[1315.222] (S)kobayan86BRZ: マリータの剣は育成用って上手い人言うてたで
[1342.816] ~MISSING_COMMENTER_INFO~: 一歩間違えると手塩にかけたユニットが虐殺されるから困る
[1344.817] tokorozawabeast: ウメさんが楽しそうトラキアやるから自分もFE熱再燃してきたましたで・・！
[1351.704] (S)ilm0806: @h2hiroyuki 仕事人間だからだ、そうよ
[1362.529] ruku16: エース多いな今回
[1365.525] ~MISSING_COMMENTER_INFO~: マリータの剣って経験値補正あるやつだっけ
[1375.246] sayuha1: トラキアリメイクしてほしい
[1379.046] uncle_yam: ない、2回攻撃＋見切り
[1382.046] halu3: 久々に第5期トパンガリーグ見てたらウル4したくなってきた
[1383.797] ~MISSING_COMMENTER_INFO~: ないかー
[1384.675] (S)maetantan: こんちわーっす 
[1388.131] Ceciltaisa: マテハラ
[1395.580] ~MISSING_COMMENTER_INFO~: タニアつっよ
[1403.024] ruku16: オルエンも乗ってええんやで
[1404.524] (S)ilm0806: リメイクしたら、難易度下がって、ウメちゃん発狂だなあ
[1405.069] ~MISSING_COMMENTER_INFO~: そういや斧勢は使ってないんだね
[1407.693] (S)kobayan86BRZ: 育ったらぼろ剣でもめちゃくちゃ強いからね
[1411.323] tokorozawabeast: 自分は序盤でタニアに空打ちさせて、この辺りではもうスナイパーで特攻していたような記憶・・
[1411.934] (S)ぐぐっす: タニアカリカリに仕上がってる
[1412.981] saviorr_mic: トラキアきたー
[1413.350] MazicMozaic: トラキアの前に聖戦をリメイクだ
[1423.808] (S)pikachupikac: hello anime fans 
[1434.761] tronen: ゴミの集まり
[1436.458] beehive3: 負けイベントかな
[1436.555] ~MISSING_COMMENTER_INFO~: さすタニ
