[8.305] (S)gogopimimi: ウメちゃん
[8.821] 鉢植: umeYay
[12.004] (S)juuuunation: umeSalute
[19.532] (S)juuuunation: 聞こえるー
[91.883] (S)apapa1031: おはよーーーー
[92.990] (S)papipopon: おはようございます
[106.531] (S)クズ220: ウメちゃんおはよう
[112.450] ~MISSING_COMMENTER_INFO~: おっすおっす
[114.156] (S)manifu_: おはよー
[115.394] ko23458: トラキアだ―、わーい
[120.651] きのとのり: KonCha
[121.779] (S)shupii097: 押忍
[124.230] tw_numa: トラキアおじ
[125.183] woodmud: ジコケンになってるよ
[133.244] (S)エリ_10: おはようございます☀
[140.258] ぱーーまん: ザイル強くね？
[149.688] flow0111: タイトルが自己顕示欲tvになってるよ
[150.711] (S)shupii097: 力カンストしてら
[150.907] ~MISSING_COMMENTER_INFO~: 自己顕示欲TVになっとります
[159.269] ~MISSING_COMMENTER_INFO~: 久々に常識的なマップだぁ
[165.290] (S)クズ220: ここはあの流星イベントか
[171.179] うに休み: ヨツムン売ろう
[171.914] (S)山田たろう太郎: タイトルが自己顕になってる？
[188.183] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[190.304] ~MISSING_COMMENTER_INFO~: 学び、あるよな～
[193.742] (S)タイラーダーデン: タイトル変えないと
[206.007] ~MISSING_COMMENTER_INFO~: コメ見ないおじさん
[218.659] (S)kurataro: 今日も頑張りますねー
[222.726] (S)ruku16: おはようございます
[232.049] (S)ruku16: マリータのとこか
[233.126] (S)shiotama: ウメさんこんにちはー
[241.210] (S)Papapadad: ウメちゃんおはようございます
[251.100] balthazar000: おはようさん。サブスク動画楽しみにしてます。
[252.118] buffal0one: cheer100
[252.388] 鉢植: umeJam
[261.262] (S)Papapadad: ウメちゃんきた？
[263.636] zurumukeeveryday: 猫きた
[265.838] (S)kurataro: いつもんおｗｗｗ
[267.419] ~MISSING_COMMENTER_INFO~: マリータが10連コンボ
[271.457] (S)Kanquez05: カ～～～ン
[271.643] (S)ぐぐっす: ッカーン
[274.129] douguluskaien: ガシャーン癖が直ってないｗ
[274.867] buffal0one: ビッツ入れたし仕事します。
[277.291] woodmud: 猫ちゃんきた？
[279.754] (S)クズ220: また適当にヘッドホンおくう
[280.109] (S)kurataro: ピンポーンからのガッシャーン
[281.951] buffal0one: さよなら
[312.270] (S)ruku16: 流石に今日は苦戦しないだろう
[320.565] balthazar000: 猫ちゃんしばらく見てないな
[323.154] (S)zurumukeSunday: WutFace
[324.062] (S)kurataro: 目が腫れぼったいけど大丈夫？
[341.726] ~MISSING_COMMENTER_INFO~: イベントって自力で気付くようになってたっけ？
[349.625] (S)クズ220: エダ好きね
[350.885] douguluskaien: マリータが瞬獄殺を修得する章です
[388.838] balthazar000: 殺意に目覚めちまうのか
[399.860] (S)yuyu09250925: 剣士がいいよ
[408.001] balthazar000: ヨツムン屋かな？
[414.131] gyahhaa: 聖戦をやっていれば気付くかもしれないイベントだなぁ
[420.294] (S)ruku16: カリンエリート入れたのに育てないのかい？
[422.906] ~MISSING_COMMENTER_INFO~: レイドリックに対する殺意
[439.261] (S)harubou1123: まぁ稼いでれば
[454.701] (S)クズ220: 流星月光マリータの殺意好き
[473.481] fepro0: ここはぬるいマップ
[498.451] (S)shupii097: とりま偵察よ
[506.059] fepro0: ｗｗｗ
[506.347] balthazar000: へ〜
[509.838] ドア裏最高: 草
[511.855] ~MISSING_COMMENTER_INFO~: そんなことある？
[519.711] balthazar000: 不明
[523.524] (S)クズ220: 覚えてない
[525.549] fepro0: かなり重要なスキルアイテムだけど
[526.723] (S)harubou1123: 忘れてるwww
[528.230] (S)varoshi: うめちゃん。カリンにつかったよ
[533.308] (S)nukaduke91: さすがに？
[534.465] gyahhaa: エリートＭを使ったのか
[534.986] 鉢植: umeWhat
[535.582] ko23458: やっちゃった
[537.382] tamatama213: うめちゃんおはよー
[537.725] ~MISSING_COMMENTER_INFO~: まあ正解でしょ
[539.070] (S)varoshi: 別にいいよねとかいってた
[548.119] owa4gamer: 嘘でしょ？
[550.429] uncle_yam: 手に入ってすぐくらいじゃなかったっけ？
[552.151] ko23458: 忘却の達人
[554.243] balthazar000: 運搬屋さん大活躍させましょ
[555.299] ~MISSING_COMMENTER_INFO~: 作中一番重要なユニットなのでセーフ
[556.076] (S)クズ220: エダよりはカリンかなあ
[557.589] gyahhaa: アルツが始まった
[563.894] (S)タイラーダーデン: 健康診断いこ
[570.140] (S)varoshi: あと、突撃、誰かにつかおうよ
[575.527] fepro0: 屋外マップだとまぁ使える品
[578.727] ドア裏最高: アルコールは脳細胞を破壊するから
[586.308] (S)ruku16: 実用できるペガサスほぼカリンしか居ないしなぁ
[593.269] fepro0: 突撃は間接攻撃が主なキャラに使うのがいいかな
[611.118] ~MISSING_COMMENTER_INFO~: マーティに使えばおｋ
[620.538] gyahhaa: サガットだ
[622.704] makurag: サガットおるやん
[627.766] ぱーーまん: サガット最低だな
[631.622] showsbsp: 虎おった
[637.890] (S)ruku16: ようやくカリオンの進化が見れるかな
[639.480] bamfuller: Sagat
[646.723] (S)クズ220: ここは東西どっちでクリアするかで以降のルートが変わる
[654.199] (S)nukaduke91: どっちいくんや
[659.649] (S)varoshi: うめちゃん。ここは、お助けマップだよ。
[660.387] gaga328: くまさあーーーん！
[663.665] ko23458: 丹下段平
[669.246] (S)varoshi: 武器を刈りまくろう！
[672.595] (S)ruku16: 勝利条件見てね
[684.719] fepro0: 中央の教会訪問でも選べるよ
[690.383] gaga328: ウメちゃんのトラキアへのジャスティスはいつ炸裂するのよ
[691.767] uncle_yam: 伝統の分岐面
[694.240] rtmt: 控えめに言って神ゲーじゃね？これ
[698.795] (S)ruku16: 剣の補給だ
[700.267] (S)varoshi: 剣がたくさん手に入る
[710.358] ~MISSING_COMMENTER_INFO~: 左が正面突破 右が迷いの森 だっけ
[716.083] 鉢植: ・・・
[787.970] (S)yanai0213: サブスク動画って今日？
[791.865] uncle_yam: ウメさんPTに必要なのは詐欺師か杖Aか……どっちも微妙なとこね
[828.944] (S)komine58: はじまってた
[830.540] tamaow: (
[901.075] (S)shupii097: つよいー
[901.235] (M)Moobot: 音声別れてます。The audio in this channel is split. 「Left= English, 右＝日本語」 Playback Devices > Properties > Levels > Balance to change (or take out one earphone).
[904.217] turbo3996: おはようございますー！ウメハラボンちゃん対決のPVみましたが動画送信はいつでしょうか？
[907.067] (S)komine58: マーシナリーは上級職、オーシン、マチュアがなる
[921.121] fepro0: ハルヴァンもでしょ
[923.264] ~MISSING_COMMENTER_INFO~: キャラ的には不思議少女の方がいいけど マップ的にはテポドン面が見たい
[935.651] turbo3996: わかりましたありがとうございます！
[963.172] showsbsp: ボーナスステージだった
[969.808] (S)pompombomb: ちはー
[969.825] gyahhaa: 捕縛しまくろうぜ
[971.768] (S)garfunkel99: サブスク間に合ったぜ
[990.693] (S)へたれないず: GivePLZ
[994.296] ODSTr0y: DAIGO!
[1015.047] tamaow: 一応動画チェックするんだ
[1019.430] amadori3: 生でトラキア放送見たの初めて
[1032.091] (S)komine58: オーシンここでCCしときたい感じある
[1044.949] (S)~MISSING_COMMENTER_INFO~: わくわく 
[1077.073] turbo3996: 楽しみにしてますー！ウメボンの弾打ち戦早くみたいー(*'▽')
[1077.426] fepro0: 左の村誰もいってない？
[1082.116] (S)yanai0213: 松浦さんってどなた？
[1083.836] (S)juuuunation: 新規でサブスクした人、メール設定とか確認しといたほうがいいよ
[1089.765] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[1093.592] veil0ff: CorgiDerp
[1093.757] (S)varoshi: 左忘れてる
[1099.805] (S)ruku16: 後方で暇してる連中がw
[1111.223] (S)エリ_10: トラキアより先に動画チェックしてーw 早く見たい
[1132.399] (S)tamachan0530: サブスク動画受け取れない人いつもいるからメール設定確認してって言った方がよくない？
[1144.658] tamaow: まだ送られてきてないから
[1145.832] (S)pikachupikac: what Daigo said about komonoichi ?
[1145.981] (S)varoshi: 動画どうせ、届かないんだよなー。
[1150.436] (S)garfunkel99: 「AmazonPrimeと連携している場合、AmazonとTwitchで登録してあるメールアドレスが異なると、届かないことがあるようです。」 ここかなり重要
[1168.028] bousquet: キュードットで検索したらわかるよ
[1172.817] (S)kurataro: うっかり通知オフにしてたわ、ありがとう
[1189.298] (S)zakkn: 複雑なんすねー
[1190.582] (S)toshioj: まーーーーーーじか、アドレス変えとこ
[1204.247] (S)yanai0213: メールアドレス一緒じゃないんだけどダメなのかな？
[1205.227] (S)~MISSING_COMMENTER_INFO~: あったけぇ
[1212.614] (S)ぽんいち: まさの動画きてるのか
[1217.708] tamaow: ありがてぇ
[1228.289] friedebi: he said Mr.Matsuura is kemonomichis movie creator
[1250.698] (S)shupii097: メールアドレス一緒じゃないときはどうしたらいいんだろ
[1254.154] balthazar000: ゆっくり待つさ〜
[1276.360] (S)twtchid: 一緒じゃなくても届いてるけど届かない人もいるのか
[1282.603] (S)ruku16: ホメロスは追撃必殺マンだから軽い魔法の方がオススメ
[1292.438] (S)pikachupikac: oh thanks
[1319.430] ぱーーまん: 癒しマップ
[1321.260] (S)zakkn: いままできつかったもんねーｗ
[1322.122] gyahhaa: ボーナスステージだね
[1329.547] ~MISSING_COMMENTER_INFO~: フラグにしか聞こえないが実際難易度低い
[1329.865] (S)varoshi: そう、補給ステージ
[1330.491] (S)papami_typhoon: 前回が嘘のようなぬるさ
[1331.370] (S)zakkn: 稼いでいこう
[1340.444] (S)~MISSING_COMMENTER_INFO~: 折笠さんがボンちゃんの待ちをサインでうめちゃんに知らせて、ボンちゃんを破産に追い込むんですか？
[1359.811] balthazar000: オヒキの至
[1362.937] ~MISSING_COMMENTER_INFO~: 弓届いてない？
[1378.673] (S)ruku16: こわ
[1400.607] (S)zakkn: わらわらくるねー
[1404.785] ~MISSING_COMMENTER_INFO~: ギリセーフか
[1409.784] X_3400: One Piece is the greatest fictional story ever written
[1410.178] tamaow: ５、6ターン目で左の村がつぶれる
[1416.168] (S)ポンポン: ラルフがんばれ
[1426.479] ~MISSING_COMMENTER_INFO~: 左の方の民家気づいてる？
[1430.534] balthazar000: ウメさんは左右どっちに抜けます？
[1432.821] hamachi1996: ラルフ握手会
[1432.981] (S)ruku16: 左あかんのじゃ
[1446.659] (S)varoshi: 民家わすれてるぞ。
[1448.196] (S)zakkn: ウメを信じろ・・
[1450.843] (S)toshioj: あとで気づくから黙ってない？
[1455.109] tamaow: もしかして
[1459.305] kaeru100: そのとおりｗ
[1462.947] fepro0: うん
[1472.112] (S)pikachupikac: i am going to stream anime on my chenal afther this stream ends 
