[13.494] (S)gogopimimi: ウメちゃん
[16.867] pachinkasuneko777: ケイッ！
[22.776] (S)kumatedd: っこんちはーっす
[36.218] (S)kinokoyaki: こんちちは
[37.225] (S)Neifeel: きたー
[42.647] (S)samonyan: おはようございまーす
[52.448] (S)ナイアガラ55: あっ、トラキアおじさんだ
[53.046] (S)ilm0806: 猫は後ろで寝てないときは、どこにいるの？
[58.661] (S)tarantarantaran: こんにちは 
[58.993] cafe_gondo: ジャスティス！
[73.139] BrolyxCl: Hi
[73.710] riemann_: first
[74.934] (S)xenys3: 大貫遅刻しなかったよ
[76.727] avalon0528: しっかちゴボ終わりを待つ配慮の男
[77.970] (S)Neifeel: OKです
[78.940] (S)kyo967: きこえますー
[79.117] (S)dayakose: おｋ
[79.397] (S)むらちゃん: おはよー
[80.295] (S)atsu_240: おはよーっ
[80.699] kaeru100: こんちゃー
[83.456] (S)ememeume: ぃぇーぃ！
[88.534] kaeru100: 声大丈夫
[89.966] (S)kiraku08: サブスク動画楽しかったです！
[92.084] (S)さくらうめきち: おはこんちわ！
[93.936] (S)genshiken: 大丈夫！
[95.078] kikki1129: ohayo~~~
[95.911] (S)natsuxiv: どんもー
[97.777] (S)atsu_240: 音問題なしでーすっ
[100.926] (S)dayakose: 神龍がウメさん呼び出したん？
[100.994] (S)クズ220: ゴボに被せないウメちゃんさすが
[101.403] (S)karumenko6262: ウメちゃんこんにちは 
[102.070] (S)domontyan: サブスクおもろかったー
[102.222] (S)ukiyo55: ヌキさん遅刻しなかった
[112.559] (S)kino883: おもろー
[112.908] (S)actkamii: ドラゴンボールに被せない配慮
[115.668] one596: ドラゴンボールに配慮した形
[115.712] (S)takeo_onakasuita: こんにちや～
[116.238] (S)ーたまむしー: 電車の中で昨日のウメさん大爆笑見て、かな睨まれたわw
[121.161] (S)danny_love_danny: ゴボ大会面白かったね
[121.603] Gordstorm: さすがにさすがに
[122.071] avalon0528: かずのこおめでとう
[130.242] kaeru100: 2日連続は流石にね
[131.743] (S)actkamii: ヌキさんが遅刻人生初ってまじ？
[136.095] (S)ememeume: 私も大爆笑見た笑
[148.716] (S)zyagamon: 人生初って本当？
[150.622] irohas3: マイケルムーア
[151.434] (S)kurataro: こんちはーやりますか
[152.384] (S)クズ220: ウメちゃんそろそろ怒りマニュアルとか使お？
[153.254] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[157.953] (S)momomo00123: トラキアきたー
[161.372] debimaru72: サブスクがいっぱい飛んできたああああ
[167.829] nipopo2682: ウメちゃんジョジョアニメ最新話見た？
[169.529] (S)rt340: こんにちわー 
[176.928] (S)hachi_mitsu: あの教会は重要
[179.491] (S)shupii097: おっすおっす
[180.665] ぱーーまん: よく見る顔
[181.865] (S)kurataro: 量産型おじ
[187.987] (S)メピパラ: かずのこおめでとー
[190.539] カメタロウ: こんちわ 
[191.830] debimaru72: 量産型クマ
[193.416] (S)takeo_onakasuita: この顔
[197.955] siuva7: かじゅ優勝かぁ
[202.307] (S)takuan55213: え
[202.728] avalon0528: 草
[203.913] (S)domontyan: え？しらないのか
[207.026] (S)gasuto696: こんにちは～ 
[207.524] (S)zyagamon: 知らないは流石ですわ
[208.692] (S)dora2212: ゴボの配信にヌキに爆笑するウメのクリップ貼られててわろた
[209.308] (S)ミヤ0085: ドラゴンボール優勝
