[5.572] (S)gogopimimi: ウメちゃん
[9.312] (S)musictallica: ウメちゃんいたぁ！
[14.233] 泣き虫サクラ: 見えてるし聞こえてる
[19.839] (S)ttp_hayato: 聞こえるよー
[21.375] (S)Umechan55: 完全に寝起きの髪型
[26.017] (S)ttp_hayato: 風呂上がりでしょ
[29.094] (S)みねたけ: おはようございますー
[35.306] 泣き虫サクラ: わぁ！？
[44.796] (S)ttp_hayato: おぉ！
[45.991] (S)Sorachan1144: ビースト入りするといいなあ
[50.454] (S)ttp_hayato: 確かに綺麗だ
[51.918] (S)山田たろう太郎: いいのになった？
[54.057] avmajvm: カメラの位置が高いとは思った
[58.225] papuyan: なんか広角になった
[59.305] 泣き虫サクラ: 下から当てる芸能人用のライトも買おう
[67.718] mic7777jpjp: ときどフリーになったのか
[84.241] (S)ttp_hayato: メリハリがついたというか画面がシャキっとした感じある
[93.105] (S)Umechan55: エコフォ抜けたの？ときど
[94.361] (S)recycle4: ウメちゃんのカメラ映りよくなった
[95.888] NaNaNaiL: twitch18Moonchan
[96.755] (S)kiku1133: ちゃあああああああああああああん
[97.405] keroggu1: 大分進んでる～
[97.710] krtwitch2013: 今日って、スト5ありますか？？？
[104.218] avmajvm: 映る人もしゃきっとしよ
[104.467] (S)kiku1133: ぬけたというか契約満了
[107.275] krtwitch2013: スト5きょうやりますか？？？？？
[110.823] (S)ttp_hayato: しかしもうちょいアップにしてほしい
[112.766] zurumukeeveryday: ウメちゃんおはよう
[114.101] (S)twitchumehara: トラキア
[114.445] yellow01234: 朝トラ北ｷﾀ━━━━(ﾟ∀ﾟ)━━━━!!
[116.326] やっきちゃんねる: おはうめ
[118.688] (S)山田たろう太郎: エコフォもう格ゲーはバイバイなのかな
[120.672] akikunn_fenrir: おはよーございます
[123.120] (S)kyo967: おはようございます
[127.304] (S)Umechan55: ウメちゃん、ときどさんスカウトしようBeastに
[130.753] (S)テムおじ: ウメちゃんいたぁ！
[131.504] krtwitch2013: 今日ってスト5はやります？？？？？
[134.258] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[139.223] one596: エコフォ格ゲー撤退しそうね
[139.426] (S)shiotama: おはようございますー
[140.910] balthazar000: トラキアの時間だおらー
[141.267] peatted_racer: おはようございます！
[147.755] (S)yoinio: umeYay
[149.438] (S)Sorachan1144: ワイプ引きになったのか
[153.922] ShiroHojingu: おはようごさいます。
[164.373] (S)sushi_revolution: umeYay
[169.920] krtwitch2013: 今日ってスト5はやりますか？？？？？
[176.550] (S)西田敏行アウトレイジ: ウメさんおはよう
[186.679] (S)yattunohoo: umeSnooze
[186.960] (S)musictallica: ウメちゃんときどさんについてなにか
[189.958] mic7777jpjp: ときどお金に執着ないから安く契約できそう
[215.966] (S)genshiken: ウメちゃんEVOJAPAN行かないの？
[228.260] yellow01234: 9ヶ月連続とかやば
[232.095] (S)twitchumehara: ときどの話
[234.186] (S)shopynis: ワイプの画質変わったぽいね
[236.554] MazicMozaic: おは。ここで投げそうな悪寒
[243.897] Ceciltaisa: 結局海外のゲーム団体も上手くいかんのだねぇ
[247.969] (S)icyblue1985: ときんすはお金を投資に回したりするレベルだよ
[250.752] (S)shiotama: 最近撤退ってところ増えたね
[262.940] one596: いうてエコフォレベルの海外サポートしてくれるの日本だとサイゲぐらいでしょ
[265.204] (S)kurataro: おはようございまーす
[270.836] (S)Yokichi_68: とらっきあ～
[274.926] (S)Umechan55: Beast入りまったなしっしょ
[277.433] sasakumadrops: お話は聞いてたんだ？
[277.494] (S)kurataro: CCできそうなキャラいますね
[279.835] j2abg5ew: まーじか
[293.349] krtwitch2013: 今日ってスト5はやります？
[293.361] ~MISSING_COMMENTER_INFO~: カメラの画質上がったね
[296.895] (S)une3333: RAGE思いっきりエコフォのユニフォーム着てたけどまた変わるんだろうか
[303.488] (S)blackie_1988: 去年圧倒的に勝ってたのに厳しい世界だね
[306.623] mic7777jpjp: マゴサンもセットで
[312.578] papuyan: ソニフォ
[312.750] balthazar000: みたいっすなぁ
[313.516] (S)musictallica: ももちょこ
[316.540] fat600k: とっきーなら引く手あまたでしょ
[318.435] (S)anagram646: ソニフォ
[324.638] (S)harahara02: ときどがチーム立ち上げてもいいでしょ
[324.831] sasakumadrops: ソニフォか
[325.992] (S)recycle4: そにっくふぉっくす
[328.615] (S)動画勢: ソニフォ残留？
[329.106] nonnon1990: ときんすも抜けるとなるとソニフォも怪しいかもしれねえ
[335.843] krtwitch2013: ももち
[337.121] (S)yoinio: ”ドラゴンボール上手いやつ”
[340.663] (S)kurataro: Hello
[340.965] krtwitch2013: ももちも抜けた
[345.054] やっきちゃんねる: ドラゴンボールうまいやつは草
[347.272] (S)icyblue1985: マッドキャッツ3人は死にまで格ゲーやりそうだから心配してない
[353.148] krtwitch2013: wwwww
[353.720] elliotterodriguez: @daigothebeastv Hi
[354.024] (S)山田たろう太郎: いくらでも行き先あるだろ
[355.397] 037743: Sonic"ドラゴンボールうまいやつ"Fox
[356.084] makurag: ですわな
[361.737] (S)kurataro: 待ち構えてるぐらいでしょう
[370.196] ShiroHojingu: ももちは継続なの？
[370.555] (S)nukaduke91: サラ強いです
[371.673] papuyan: ジャスティンももう決まったしね
[377.480] playatlas: sekiHiW
[378.728] (S)西田敏行アウトレイジ: ウメハラゴールド入り
[381.920] SawayakaFaraday: KonCha
[384.660] 000105: 日本のスポンサーのがやりやすそうではある
[386.447] (S)kurataro: レッドブルだったりして
[386.472] (S)Kanquez05: 見た目良し＋アスリート系＝つまり・・・
[387.042] tololo86: ビーストときどはないのかなー
[390.589] (S)une3333: RAGEのとっきーのところ映像変わるのかねw
[391.980] nonnon1990: よっしゃばっちこーいって感じだよな
