[9.939] king_katsuhisa: ん
[10.074] ~MISSING_COMMENTER_INFO~: お
[10.783] (S)kurataro: おかえり
[10.834] megaga99: しゅう
[11.060] れく太: 再開おｋ
[11.307] (S)pompombomb: ちはー！
[13.675] icyblue1985: ＯＫ
[13.809] (S)kinpren: いけてる
[15.586] mariannnu: 再開しました！
[15.665] ティコマン5代目: っけい
[16.314] (S)apapa1031: みれるよーーー
[18.250] shikahige: ウメちゃんありがとーーーー
[19.443] hachikun99: あー楽しかったー！
[25.042] (S)kurataro: 17歩後編、ちゃんと届いてたよ
[25.294] megaga99: 終了？
[27.197] (S)takeo_onakasuita: いけてます
[28.071] (S)えーひろ: みえるよー！
[37.643] (S)taisa0131: 今どこや？
[39.474] megaga99: あ、みえた
[43.300] (S)ememeume: 飯田橋〜
[46.717] (S)prisira: うめちゃん格付けされたね・・・
[51.136] kousitekou: なんかヌルヌルしてきた
[53.250] shikahige: 飯田橋ザンギエフ
[59.450] (S)tarantarantaran: こんにちは 
[59.876] icyblue1985: 弾打ち対決かぁｗ
[63.169] (S)山田たろう太郎: １７歩面白かった
[70.969] (S)aram1234e: ロォォォン
[74.974] CaughtAFade: VoHiYo
[77.063] (S)taisa0131: 右が後楽園だね
[80.150] GYAKUBANE: さっき水道橋駅で見た
[82.326] (S)kinpren: やっぱボンちゃんのが麻雀強いんだね
[88.135] (S)えーひろ: サブスクしたんで限定動画貰いたいです！！
[98.111] れく太: 入った事あんの？
[101.291] fukuzawa1manyen: ボドゲカフェ？
[102.236] wash4: ストーム久保が行ったやつか？込み込みだったらしい
[108.146] (S)rotyokoro: 寄っていこう
[109.258] icyblue1985: アットホーム？
[114.099] SlackerZ_DC: Where's he going
[117.476] coralbeaf: 藤村
[118.263] 023023: ウメちゃんカタンとスコットランドヤードどっちが好き？
[118.561] woodmud: その店まだ残ってたのか
[120.441] (S)kurataro: 寒そうだねぇ
[120.604] tohofuhai: え？17歩後編届いてない！サブスクしてるのに！
[121.661] (S)ememeume: 色んなお店に入りたい病
[122.421] (S)prisira: ボードゲーム好きそうだしねｗ
[123.030] go_ttu: 麻雀とか？
[124.181] asdfiodadfs: ディスプレイを見ないでやるゲームは味がある
[125.331] (S)nukkatti: evo japan行かないの？
[128.287] さそび: ココイチ買って食べ歩きしない？
[129.679] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[133.917] kousitekou: わかるよ本当にゲームが好きな人が集まる雰囲気だろ
[135.040] (S)なかしょう: いろんなとこで流行ってるよね
[138.772] (S)ekus0y: 昔のゲーセン…
[143.341] guest56: ジョビンに注意した？
[144.231] tohofuhai: 17歩後編みんないつ届いた？？
[157.318] (S)ememeume: りゅうせいとは楽しみ
[169.213] (S)西田敏行アウトレイジ: 電子
[170.146] (S)kumatedd: こんな寒いのによう歩くな
[172.953] (S)tamachan0530: ラーメンついてないけどサブスク切れたない？
[176.723] (S)エリ_10: 保育園までさかのぼれるってすごいね
[181.773] (S)iakira777: 更新を忘れてサブスク動画みれない・・・
[186.088] (S)ememeume: 原体験
[186.150] fukuzawa1manyen: 麻雀好きな時点でね
[186.240] charcoal_filter: なんで最近トラキアやらんの？
[200.466] (S)ilm0806: Goto Iidabashi
[200.693] (S)pepsi888a: a
[206.885] (S)tetunari: お前らチャットバラバラやな
[208.183] (S)kinpren: ノスタルジー
[211.326] vectorla: ここ競馬場か いいところ住んでる
[221.489] asdfiodadfs: ボドゲはみんな対等だから良い気がする
[224.214] (S)prisira: rageもあるしね
[225.739] (S)ttp_hayato: りゅうせいとはの質問ってどうなるの？
[232.531] (S)uncle_yam: RAGEはあるし、EVO前ですし
[237.532] (S)西田敏行アウトレイジ: ウメさんも更新忘れんなよってツイートしてたね
[238.517] baku2miser: 学童でコロコロ読んだなぁ
[239.297] 12mos: sakoKao
[246.253] (S)川195の6515: オニキの肩を叩くシーンで泣きました。
[247.246] (S)oinari6: 気軽にはやれないよねトラキア
[253.191] (S)jony_avion: このまま未クリアでフェードアウトになったら悲しいなトラキア
[254.644] (S)ttp_hayato: ハイパーエックスまた出す？
[255.258] jack27789: bigjFLEXL bigjGAINZ bigjFLEXR
[271.061] (S)prisira: 今年ガイルでいけそうです？
[272.232] (S)ojisan222: ジョビンと話しました？何か言ってましたか？
[273.230] (S)urojin: トラキア飽きてないなら気長にまちます
[275.105] (S)tamachan0530: フードバーディ強かった？
[278.088] (S)kurataro: 毎週大会前状態じゃ仕方ないのかなぁ
[278.527] jack27789: bigjFLEXL 
[282.431] helicom: リーグ
[283.643] 023023: ジョビン
[284.497] fukuzawa1manyen: ジョビンの件どうなった？
[284.823] tohofuhai: サブスク再送予定ありますか？届いてないですー
[285.903] beastbeast: RAGE
[288.754] (S)takeo_onakasuita: ジョニィの時ってホントに質問いっぱいきたってことか
[290.266] (S)nukkatti: 今年のプロツアー自信あり？
[291.245] icyblue1985: ジョビンどやし
[291.299] matuzawa826: スト5三大天を決めるなら？
[293.580] (S)kumatedd: 理解してくれた？
[300.888] (S)ememeume: レイジ！
[305.130] higashimurayama: Rageについては
[307.379] tokitamun: ジョビン↑じゃなくてジョビン↓なのか
[307.694] (S)junichitanaka: 動画再送信してほしい・・配信日にサブスク切れてた
[310.461] icyblue1985: 違うんすよ、ウメさ～んって言ってた？
[313.269] shikahige: ジョビビビビビ
[318.261] (S)kurataro: Gガンダム懐かしい
[319.151] (S)ﾔﾐ: ｗ
[319.266] yellow01234: もうあいつとかかわるな
[319.432] xenys3: ジョビンが配信でめちゃくちゃ反省してたよ
[320.905] DaniloLopesx: BegWan
[321.198] NaNaNaiL: rage 期間中の配信は難しいよね
[330.968] (S)西田敏行アウトレイジ: ジョビンが油原呼ばわりしたんだっけ？
[331.430] (S)ememeume: ちゃんとみな更新せな
[333.392] (S)prisira: ジョビン何かしたん？
[334.954] (S)iakira777: 更新忘れたので再送お願いします
[335.135] (S)hachipochi: 再送してください〜〜
[336.651] (S)heterotopia3: 珍しく、ね
[337.811] (S)kumatedd: ふーん
[338.726] (S)cccyd: さすがにね
[340.992] efmaniac_jp: なんと
[342.567] asdfiodadfs: あのジョビンが反省するなんて
[342.575] (S)zerozero_00: サブスク更新うっかりしてて忘れてた・・・
[342.651] ティコマン5代目: 珍しく
[343.682] (S)orange88: 素面だったのかｗ
[346.735] (S)えーひろ: 再送お願いしたい！
[347.270] (S)桜風かなた: サブスク今日ちょうど切れたあぶなかった。
[349.239] しめめめ: ポーズだけだよ
[350.019] (S)なたぱん: 珍しく
[350.592] (S)kinpren: サブスク更新しないのが悪い
[359.131] (S)ememeume: まあ反省しててよかった
[360.238] (S)ojisan222: 他のゲーマーは怒ってた？？？
[363.694] fukuzawa1manyen: あー初心者が陥りがちの炎上パターン
[364.405] asdfiodadfs: たしかにそういう息苦しさはあるよね
[364.525] (S)kurataro: それは浅はかかなぁ
[364.783] (S)kinpira_555: 疎そう
[364.788] (S)caruvi: なんかあったんか
[366.654] tohofuhai: そうか。月1で登録しないといけないヤツだったのか。。
[371.446] moromororo: 他人のプライバシーぶっぱだからなぁ
[373.798] (S)AgaGuile: 17歩面白かったよー
[374.503] (S)shomarusan: バカッターする奴だ
[378.016] optedout731: コンプライアンス研修実施しような
[378.224] (S)takeo_onakasuita: 炎上したのか…
[381.484] donchan012345: アレはライン超え過ぎ。
[384.415] uki_ch: あらら
[389.907] efmaniac_jp: 配信人見てなくてもアーカイブ残るだろうに
[391.510] (S)prisira: ジョビン何したんだよｗ
[394.508] vcdva: だまされないで
[395.548] wash4: なにいったのか気になる...
[398.214] (S)kinpira_555: どんな発言したんだ
[398.312] (S)ememeume: 広がり方やばいですもんね
[404.549] yellow01234: 30こえててあれはねーわまーじでwww
[409.062] guest56: 全世界に発信してる自覚がね
[414.543] 先日助けてもらった鶴です: ジョビンってばかなんだなー
[415.718] (S)icyblue1985: 視聴者6人はさすがに？
[418.124] (S)西田敏行アウトレイジ: ジョビンは自分の携帯のパスコードすらさらしてたからなぁ・・・
[418.131] (S)caruvi: 分析
[418.843] (S)kurataro: 今の時代、一人だけに行ったって広まるんやし
[420.458] (S)urojin: ジョビンは好かれてないけど見られてるってこと自覚したほうがいい
[421.050] asdfiodadfs: あーーなるほどね
[421.095] (S)メピパラ: まじでネットに疎すぎる
[423.325] (S)ememeume: 格闘家だからか
[427.236] (S)orange88: ウメちゃん止まりなら御の字だ
[434.125] fukuzawa1manyen: プロは芸人ではないからなぁ
[439.233] shikahige: ウメは俳優だから
[440.271] pachinkasuneko777: ウメちゃんとか身内話だけならまだしも、歌にぃとか若手連中のプレイベートぶっぱは完全なやらかしだったなｗ
[440.468] さそび: ウメちゃん次はゲンコツお願いね
[440.794] (S)球根: 今更かよ…
[442.391] Globalos62: だから売れないんだろうね
[444.417] (S)ememeume: その認識はおかしいな
[452.301] helicom: 無茶すること＝おもしろい ではない
[457.315] (S)ojisan222: ジョビンの件で怒ってるゲーマーはいましたか？
[459.137] woodmud: ジョビンは自分のプライベートも切り売りしてたもんな勘違いしてたかも
[459.561] (S)icyblue1985: 格芸人
[462.137] (S)harahara02: やばいやつじゃん
[463.231] (S)jony_avion: 芸人同士ならいじってもいい
[469.317] h2hiroyuki: そもそも芸人気質自体が完全に時代遅れな性質になりつつあるのに感覚が古すぎるよ、本家の芸人さんですら叩かれる時代よ
[469.529] (S)junichitanaka: 低俗芸人の「面白い」の考え方
[470.086] しめめめ: 頭悪すぎない？
[473.116] ティコマン5代目: 排除されずにすんだ形
[474.184] ちょーーー: バカだからしゃあない
[476.164] rm_rf__: プロゲーマーのショービジネス問題は難しいよね
[478.542] (S)ememeume: 反省してしかるべき
[481.647] Globalos62: 売れない理由がよくわかる
[485.605] (S)西田敏行アウトレイジ: ジョビンの件、ネモ以外はスルーしてたみたいなことジョビンが言ってた
[489.402] (S)乱火隊長: ジョビンどおしたの？
[489.426] (S)orange88: 分析できてんなあ
[495.471] yuu_tantan: 雪数年ぶりに積もりました 都会は積もりますか？
[495.851] edaedaedage: 根に持ってるじゃねーか
[501.276] (S)takeo_onakasuita: よしもとの看板背負ってるプロだし自覚しないとね
[502.249] (S)山田たろう太郎: まあ特殊な人生ではあるね
[502.586] (S)jony_avion: 社会生活しておらず
[503.082] donchan012345: アレは流石に非常識すると思うよw
[511.513] fukuzawa1manyen: ウメちゃん油止まった？
[512.098] woodmud: ウメハラさんは一般の感覚忘れてない？
[512.895] (S)Hanahiro: オニキくんて緊張してる？
[512.954] Kaname_Tachibana: なにしたのよ
[514.362] yellow01234: だろうな
[514.666] lop_nur: テレビ見てても芸能人ってズレてんなーって思うもんね
[516.933] Globalos62: ジョニイとジョビン
[523.143] 先日助けてもらった鶴です: 単純にアタマが悪いだけかと
[524.697] (S)kumatedd: ピュアだった・・・？
[526.489] (S)spring__thief: ジョビンみたいなのが白滝口に入れてはしゃいじゃうんだよな
[526.933] shikahige: それは格ゲーマーも同じじゃ・・・・
[535.007] ちょーーー: 不穏分子おるな
[536.160] baku2miser: ジョビンが嫌われてる理由がわかったわ
[537.744] h2hiroyuki: もう時代が変わったんだから、芸人だって感覚変えていかないと生き残れないよ
[538.831] (S)ekus0y: 騒ぎにはなりましたけど大ごとにならなくて良かったです…。
[543.491] taru9999: 過去の散歩配信見てたら散歩配信やってた
[544.691] umechin7: トイレいっちゃいけないわけ？？人間だものいくでしょ・・
[555.447] (S)junichitanaka: 常識とか関係なく、物事をあまり考えない人っぽい。ゲーム業界のプラスになる人材とは思えない
[555.547] helicom: 某アーティストはダメ
[558.948] guest56: イジリは信頼関係がないと成立しないってさ
[570.561] (S)ojisan222: おっしゃるとおりやね
[570.674] (S)tohofuhai: ラーメンついたかな。これで
[571.595] ティコマン5代目: 俺はいいんだけどぉ
[574.599] (S)icyblue1985: しゅんとしてたか・・・
[576.617] (S)エリ_10: Line晒すとかはない
[576.799] (S)takeo_onakasuita: そうだね
[577.782] goejglsdf: ただの悪口になってしまう
[580.815] matuzawa826: 歌広場さんはヤバイよ
[581.871] (S)icyblue1985: 俺は良いよ？
[582.868] (S)えーひろ: ここで学べば次に繋がるんでない？？
[584.151] asdfiodadfs: 過疎配信ゆえの悲しさ出たな
[584.157] vcdva: わざとです
[585.682] (S)桜風かなた: 経験だなぁ
[585.710] h2hiroyuki: 芸人のイジリ自体が非難されるような時代になっちゃってるから、変えていかないと
[588.829] (S)orijin15: 当たり前のことだけどね
[593.020] (S)メピパラ: まじで非常識
[595.341] woodmud: 計算できなきゃ格闘技であそこまで勝てない
[598.460] (S)orange88: ちょっとお行儀悪いよな
[601.659] (S)メピパラ: いや悪いでしょw
[601.785] (S)球根: いや頭も悪いと思う
[603.420] (S)ememeume: 次あったらもう
[603.970] (S)jony_avion: 逆に最初のやらかしがこの程度で良かったんじゃない
[606.421] (S)takeo_onakasuita: 人は失敗して学んでいくからー
[608.425] (S)cubgasukidesu: またやるとおもうけど
[613.320] wash4: 別れた彼女のことを「おれのほうからフリました」って何度も強弁するような人ですが？
[614.083] makebuta: 反省したならもう批判しない
[615.477] fukuzawa1manyen: RAGEでふーどに負けてたけどバーディー戦どうですか？
[615.570] (S)maetantan: 炎上芸？
[615.711] dai58: ジョビンを好きになる要素が無い
[618.982] (S)ojisan222: 3月の講演満員でキャンセル待ち、悲しい
[620.762] hadogamosenpai: ジョビンに興味がないから どうでもいいかな。
[623.680] seiji141141: 反省するのはいいけど謝る相手ウメハラさんだけじゃないよね？
[623.703] (S)nagilay1: 話の腰を折って申し訳ないんだが、ちょうど土曜日だけサブスク切れてたんだけど、後半の再送ってない？前半見て後半見れないのきついんだが
[626.340] saikosaito: 裏でどんな酷い事言ってるの？
[627.120] (S)エリ_10: 吉本って研修しないんかねー
[628.514] Globalos62: あれでトークが得意とかいうジョビン
[628.685] (S)chinkalahoi: イジリ文化、イジラレキャラとかいうの、20年前から大嫌いだった
[629.168] asdfiodadfs: ジョビンはリアルであったら良いやつなのかもしれない
[629.440] (S)Hanahiro: EVO応援配信して
[629.452] askman85: まだプロゲーマーの外見とかいじる芸人もいるしな
[637.678] (S)ﾔﾐ: ちょっとの失敗を叩き続けてる方がおかしい
[638.137] (S)shomarusan: ジョビンも他の人も損するからね
[638.510] ~MISSING_COMMENTER_INFO~: ウメちゃん運動で痩せない？
[643.679] pfl2: EVOジャパン出ない理由は？
[645.513] (S)heterotopia3: FAVみたいに吉本もコンプライアンス研修せなあかんな
[646.239] funyatin: ジョビンはパンチドランカーなんだ許してやってくれ
[646.302] (S)icyblue1985: 再送はあると思うよ
[650.524] donchan012345: 頭は普通に悪いと思う。知らない人聞いても思うよw
[652.752] (S)ojisan222: 講演の話はもう決まった？？？
[657.466] kousitekou: あーあウメちゃん怒らせたなジョビン
[659.852] tamago0326: まあ薬はみんな心配してるから普通にダイエットしようよ、そこだけだよ本当に
[660.057] (M)Moobot: 音声別れてます。The audio in this channel is split. 「Left= English, 右＝日本語」 Playback Devices > Properties > Levels > Balance to change (or take out one earphone).
[661.050] (S)blankey3104: dena
[661.450] optedout731: バーディー対策聞きたい
[662.355] (S)kumatedd: 遠いし宿が無い？
[662.971] h2hiroyuki: 単純にまだ仕上がってないっしょ
[663.204] xenys3: 今田耕司に見初められた男なんだがなジョビン
[664.506] (S)urojin: ジョビンってどういう意味?
[666.697] goejglsdf: めんどうくさいんでしょ？福岡行くのがｗ
[667.586] (S)blankey3104: 出ないんだ１？
[668.337] (S)山田たろう太郎: 気になるなぁ
[668.995] (S)メピパラ: ジョビンは悪気なしでブッパしてるからたちが悪いんだよ
[671.368] (S)じゃんじゃじゃん: 10先企画で見直した部分あったのに残念です
[680.480] しきやん: ジョビンは、投げ間合いじゃないのに一生投げボタンコスってアピってるイメージしかない
[681.796] (S)Rector0675: 反省してるならまぁ
[681.801] asdfiodadfs: だって誰がやってるかわかんなかったし
[682.916] goejglsdf: わかるぅー
[683.756] Globalos62: 直接謝れない人を的にすべきではない
[684.275] (S)jony_avion: んっノリッ
[685.066] shichousha72: 裏切られた感じだ？
[685.792] woodmud: そうだよね最初プロゲーマーの動きにぶかったよね
[686.845] asdfiodadfs: 草
[687.052] makebuta: evo Japan 
[687.298] charcoal_filter: みんな裏切った
[687.865] h2hiroyuki: 賞金発表されたからね
[688.155] ~MISSING_COMMENTER_INFO~: ときどのハメ
[689.878] goejglsdf: あれ？
[690.316] (S)ojisan222: 福岡行った事ある？？
[690.458] (S)球根: w
[690.687] ocelote95: また騙された感じだ？
[691.010] 栢木メイ: ウメさんがいないと寂しいね
[691.050] keiki001: 出場人数1/3になっててひどいことになってるね
[691.319] shikahige: 福岡のホテルが破裂的だからね
[691.822] (S)kumatedd: 裏切りｗ
[692.002] (S)tamachan0530: ｗｗｗ
[692.071] (S)icyblue1985: ハメやｗ
[692.369] cobebell: ハメ
[693.126] asdfiodadfs: 読み合い負けた感じだ？
[694.040] (S)cccyd: ハメ
[694.703] matuzawa826: ときど式
[694.971] (S)chinkalahoi: ん！ハメ！
