[70.621] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[73.206] shupii0907: おっすおっす
[78.788] ememeume: きたーー
[85.410] Shoketsu: きたーー
[86.427] あと1983: こんなじかんに！？
[90.019] tw_numa: シャドバ ？
[91.131] heishosann: きたー
[91.721] monstakakarot: Play Guile
[92.424] (S)kametori: こんな時間に！？
[93.584] (S)5don: umeLaugh
[95.044] (S)siotah: こんばんは
[96.502] (S)NIVEA1: お帰りなさい
[97.619] kenitama: きた
[98.312] siuva7: え？
[100.459] typewild9: ふーどでしょ
[101.011] (S)Kanedabike: 寝ようと思ったのに
[102.311] grahatia9432: こんばんわ
[103.047] kino883: ウメちゃん？
[103.347] co2tan99: きたー
[103.611] (S)guile_head: umeWhat
[105.199] poyoyon915: 板zの家からすか？
[107.798] penitarou0515: 画面見えず？
[110.786] (S)shupii097: おそいよふーど氏
[112.399] (S)しいたけもぐもぐ: こんばんは
[113.227] takastoz: 何をやるの？
[114.136] typewild9: ふーどのツイート見てみん
[116.017] (S)kametori: 音だけ？
[116.203] ~MISSING_COMMENTER_INFO~: まってましたーー
[116.288] (S)guile_head: 画面が 
[116.616] one596: ふ〜どさんやぞ
[117.218] naa777: スト5になってるよ
[117.760] (S)cocolo33322: ふ~どさんの個人配信来た？
[119.198] Mopuulapo: Diego uneharez
[119.278] tamago0326: どうも
[120.226] (S)しいたけもぐもぐ: ぴろーん
[120.416] (S)shupii097: シャドバやで
[123.367] omaturiwasshoi5: 何時までやるつもり？
[123.692] penitarou0515: この音はシャドパ
[123.983] tsurioji_san: 黒いよ
[125.601] heartless_pc: tokido sensei help me get better with akuma 
[127.846] kenitama: 表示が
[129.912] tw_numa: シャドバよなぁ
[130.064] xenys3: すげー時間にやるんすね
[132.303] (S)danny_love_danny: ふーどきた！
[132.619] kino883: フードさん？
[135.204] ymdmad: フドウ？
[138.984] (S)NIVEA1: ねむねむ
[139.049] heishosann: 画面見えず
[139.458] yamanekojiro: ！？
[142.763] momomo00123: 眠い
[148.715] 歯抜けじじぃ: ウメちゃんならこの時間、酒飲んで寝てる
[150.028] (S)tera_rei: 画面きてない
[151.572] gantzman: こんばんは！
[152.614] mamenoki: 真っ暗
[152.661] omaturiwasshoi5: ふ〜ど？
[153.250] xenys3: 画面映ってないし声も聞こえない
[154.405] ShiroHojingu: オープニングの演出だよ、きっと。
[155.309] gouki74: why so late??
[157.369] tw_numa: 配信お漏らし説？
[157.417] kenitama: 配信カテゴリーもスト５自己けんになってるよ
[159.438] (S)danny_love_danny: ハイタニと2窓します
[163.464] ememeume: シャドバは知らず😫
[165.590] (S)salad_maki: umeSalute
[172.264] jacofrost: 夜明け的な
[174.666] naa777: 真っ暗
[181.827] tw_numa: シャドバ は知らんでも楽しめる（てきとう
[182.192] (S)danny_love_danny: umeSalute
[186.964] dominix111: 瞑想配信やぞ
[187.239] (S)loveladoll35: 暗い
[188.765] (S)NIVEA1: 始まったよwww
[192.388] (S)domontyan: ふ～きゅんの個人配信だああああああああああああ
[192.931] tw_numa: 心眼
[194.488] ememeume: あ！ラーメン無くなってる
[196.320] Red_Cuco: DxCat
[196.615] xenys3: 多分今あーあーあーってやってるだろうけど声聞こえない
[198.140] omaturiwasshoi5: 中本行ったの？
[200.972] (S)loveladoll35: umeMika
[204.107] (S)guile_head: umeWhat
[204.324] Red_Cuco: StinkyCheese
[205.613] (S)salad_maki: 板ｚ
[205.834] gantzman: 聞こえます！
[206.232] kenitama: きこえる
[206.582] (S)domontyan: Z?
[206.734] (S)たけちの: 聞こえた
[207.043] pi_dayo: いまだに配信不慣れ？？？
[207.066] (S)danny_love_danny: きこえた
[207.170] (S)みっかぼうず: OK
[207.386] kuromi_0: シャドバだー
[209.633] (S)sutoku94: きたよ
[212.451] oden_tw: 聞こえた
[212.512] (S)NIVEA1: きこえる
[212.913] (S)maemaemaema: びっくりした
[213.234] naa777: いけんく
[214.313] (S)danny_love_danny: Zさんいるの？
[214.682] always_1_3: Z!
[215.447] yamanekojiro: 板Z いたあ
[215.573] 0miss: 聞こえてる
[215.906] あと1983: きこえるよー
[216.625] omaturiwasshoi5: おーい
[219.031] (S)kametori: きたー
[219.065] (S)kyo967: こんばんは。シャドバの音きたー
[219.248] mamenoki: 板Z
[219.505] ツカポン: ほんとに配信なん？
[220.541] (S)guile_head: 声が聞こえる 
[221.305] (S)loveladoll35: きこえます
[222.024] (S)inoitami: umeSalute
[222.271] (S)kametori: zさん！
[222.631] (S)NIVEA1: 真っ暗だよ
[222.911] tw_numa: 音はな
[226.296] cafe_gondo: 遅いよー、暗いよー、眠いよー
[226.896] jacofrost: んおー
[228.748] tw_numa: 画面来てねーよ
[228.812] sora_neko09: 声だけ聞こえるよ
[229.536] (M)hameko: mirunjaneeIkenk
[230.039] heishosann: 声は聞こえる
[230.431] (S)maemaemaema: 右上にプンレク
[230.657] (S)guile_head: 画面が見えない
[230.924] (S)danny_love_danny: プンレクってでてる
[231.624] oolongtea12: 右上Openrecのロゴでてるでｗｗｗ
[231.749] (S)loveladoll35: 暗いよ？
[232.757] maryellow4: ザンギさんだー
[235.268] poyoyon915: 板zとふーどとパウエルさんやな
[239.061] omaturiwasshoi5: 真っ暗
[239.171] tw_numa: ラジオかな？
[239.908] (S)jugo_hazuki: umeSalute
[240.571] (S)madaraindra: 魂の10先？
[240.603] naa777: オープンレック
[241.316] (S)sutoku94: 上オープンレック tvてでてるよ
[243.287] (S)saitamanohoshi: プンレクのロゴはまずいww
[246.806] あと1983: シャドバ軽うち？
[248.111] andy_088: シャドバかｗ
[250.724] cafe_gondo: おーん？
[252.174] (S)guile_head: openrecでてる
[252.209] tw_numa: オープンレックは草
[254.532] (S)salad_maki: umeSalute
[256.140] mamenoki: ロゴｗ
[257.283] 0miss: なんでまたｼｬﾄﾞｳﾊﾞｰｽなん
[261.562] robou_no_ishi: これはグローバルアンバサダー
[263.288] (S)NIVEA1: 音でわかっちゃうよ…
[264.682] heishosann: ロゴw
[265.009] tw_numa: 宗教戦争かぁ？
[265.650] xenys3: ツイッチプチ切れ
[271.548] (S)danny_love_danny: 音だけ？
[275.030] poyoyon915: パウ兄みてるー？？
[275.947] (S)sutoku94: だろうよ
[276.129] (S)maemaemaema: 仲良くやろうず
[280.326] omaturiwasshoi5: こら！
[281.185] あと1983: 大丈夫、こっちもわかってない
[282.866] (S)inoitami: スト５でいいよ
[282.904] (S)danny_love_danny: パウエルさんもいる？
[286.083] (S)loveladoll35: ラジオ配信？
[287.981] tw_numa: 心眼でみろと？
[288.911] (S)tera_rei: 画面きてねぇぞ
[289.015] (S)NIVEA1: 声で分かるから、まあw
[292.532] cafe_gondo: 板Zありがとー！
[295.177] urabey: ついでに自分のチャンネルもつくってもらえばいいのに
[295.196] (S)inoitami: 何も見えないけど！！！！！！
[295.315] kenitama: いんじゃない別に
[295.502] mameneko1124: 板さんか
[295.678] oden_tw: プロゲーマーって感じだ
[299.510] (S)triton11519: Ｚさん？
[302.190] (S)dosukebeboy: 全然いいと思うよ
[304.932] (S)NIVEA1: いいよ
[305.509] (S)danny_love_danny: 画像ないよお
[306.769] あと1983: 何時まで？
[307.192] (S)shupii097: 問題ないやろ
[307.404] (S)guile_head: いいよ
[309.344] (S)renon_fg: ふーきゅんきた
[309.873] mameneko1124: いいんじゃね
[311.437] (S)saitamanohoshi: 問題ないですね
[312.512] (S)catseye16: 規約的には怪しいラインだけど、まあいいでしょ
[313.747] balthazar000: たぶん大丈夫だと思うけど
[316.679] (S)tera_rei: 問題なし
[316.784] naa777: 今の時期シャドバけっこう中途半端だよな新パックなわけじゃないし
[317.797] omaturiwasshoi5: いいね！
[317.950] andy_088: いいよ しらんけど
[317.969] ~MISSING_COMMENTER_INFO~: 画面見えねーぞ！
[318.200] firmhand: この時間はラジオもあり
[318.891] yPunchline: BibleThump
[320.324] (S)みっかぼうず: 888888888888888
[322.997] tw_numa: ふ〜ど板Zのeオールナイトニッポン
[323.230] gantzman: おっおっおっ
[324.897] yamanekojiro: がめんきた
[325.019] (S)aruma1007: シャドバ配信まじか。うれしい
[325.026] (S)danny_love_danny: みんな酔ってる？
[325.874] あと1983: きた
[328.318] cafe_gondo: お、きた
[330.234] xenys3: 問題起きたらそん時はそん時でいいじゃん
[330.384] poyoyon915: シャドバは知らんなー？LOLはダメだけど
[330.491] (S)loveladoll35: シャドバかー
[330.517] (S)tera_rei: お
[330.811] (S)inoitami: ワイプないの？
[331.427] (S)catseye16: なんかうーーーーーーーーんって音入ってるけど
[331.561] (S)gotchxx: お！きた！
