[4.188] leeeeja: 助けを求めるための配信だったらしい
[7.402] playatlas: おかえり
[7.457] (S)rhayader_alone: おかえり
[8.047] easter6620: おっ
[8.568] (S)山田たろう太郎: かえってきたー
[9.292] BCAA_1006: あ
[11.246] shiotama: お
[12.448] (S)Aatyu: umeJam
[12.485] gengoro1198: 深夜徘徊おじさん
[12.559] (S)ohigara: おかえり
[13.338] (S)prism_tarou: 戻ったー
[14.126] fapfapjpn: PogChamp
[15.666] shiotama: おかえりー
[15.752] aprikola: おっけー
[18.241] げろげろまる: ゴオオオオオオオォ
[20.164] (S)takeo_onakasuita: きたー
[20.267] peatted_racer: おかえりー
[21.074] playatlas: SeemsGood
[21.996] あと1983: きこえるよー
[23.914] piyopiyomaru555: いいかんじっす
[24.083] playatlas: うっさい
[25.004] (S)rhayader_alone: ましになった
[25.189] (S)kumatedd: まあ...まあうん
[25.776] (S)heterotopia3: うるさめです
[27.018] mohumonn120: わぁ？！
[27.193] shiotama: さっきよりはいいかな
[27.510] (S)nagilay1: まぁまぁかな
[28.107] (S)triton11519: ブボボボボボ
[28.524] イヌとくちぶえ: きた
[28.860] (S)jugo_hazuki: umeBoom
[29.738] easter6620: ルーザーズ抜け
[31.452] あと1983: すこしいい
[32.281] (S)ememeume: 今日風強いですよね
[33.775] (S)shirotam: おつかれさまです！
[34.251] beastbeast: さっきよりはいい
[36.349] (S)あかの: そこそこボフッてる
[36.842] BCAA_1006: さっきより良くなってる
[38.350] sora_neko09: 風音もあるけど、大丈夫
[38.696] rugalgenocidecutter: Daigo in Silent Hill
[39.034] 高田健志最強: ごおおおおおおおお
[39.226] (S)poki_frappe: 少し軽減された
[39.747] playatlas: 後ろ向きで歩こう
[40.032] (S)shimanchu0: umeJam
[40.450] 高田健志最強: うおおおおおおおおおおおおおおおおおおお
[42.466] (S)takeo_onakasuita: 吹いてる割には大丈夫です！
[44.753] mohumonn120: ロボの声で話すなよ！アイザック！！
[45.510] (S)ememeume: でも声聞こえるから！
[47.242] (S)nukkatti: 少しうるさいです
[47.898] (S)shirotam: わりと大丈夫
[48.513] peatted_racer: ウィンドガード欲しいなぁ
[49.489] 高田健志最強: かぜすごい
[50.204] (S)noinoinoinoinoi: 今日風強め
[50.855] playatlas: WutFace
[52.589] (S)yoinio: yoinio subscribed with Twitch Prime. They've subscribed for 11 months, currently on a 11 month streak! 
[54.801] aprikola: どこか目的地はあるんですか？
[56.228] cafe_gondo: まあ大丈夫です
[58.159] あと1983: ato1983 subscribed with Twitch Prime. They've subscribed for 13 months! 
[59.458] gengoro1198: さっきよりちょっとだけマシ
[59.805] tonbuo: さっきよりはマシだと思いますよ
[65.672] easter6620: 春だねぇ
[70.851] n_yuki244: 暖かくなってきましたね〜
[73.726] shiotama: 声聞こえるから良いのでは
[74.913] あと1983: 慣れると思います
[80.218] playatlas: 声は聞こえるから全然OKだと 思う
[82.326] (S)natoooji: 道路の真ん中を歩いていく
[82.542] (S)~MISSING_COMMENTER_INFO~: 半袖で？
[83.974] ぼんじゅ: ウメさんゲーセンいってますか？
[85.920] (S)ememeume: 今日暖かかったですね〜
[96.499] wtw4t2: ジョニーについて
[97.006] (S)shiotama: shiotama subscribed with Twitch Prime. 
[97.377] (S)takeo_onakasuita: そろそろ遠征で忙しい時期かー
[97.825] doragenight11: アケのストⅤやりこまないんですか？
[98.607] 高田健志最強: 何分くらい？
[100.198] rugalgenocidecutter: If you hear sirens, run daigo
[100.567] イヌとくちぶえ: 急にあったかくなったよね
[104.626] XxYusakuxX: miilyHello
[105.459] sora_neko09: 声が聞こえるからO.K.
[114.245] (S)cocolo33322: ウメさんはゲーセンでアーケード版やりますか？
[115.554] (S)nanmi__: umeSalute
[119.090] tonbuo: 遅いから変な人に襲われないようにしてくださいね
[119.970] 高田健志最強: あ
[121.027] (S)usa451: マレーシアいかんのか
[122.531] (S)shiotama: ほう
[123.759] イヌとくちぶえ: 多忙やなぁ
[124.013] gengoro1198: 今年はランキングも廻るの？
[133.769] kitkat0315: ホラーゲームみてーだな
[133.983] (S)triton11519: いそがしい
[134.208] (S)ememeume: 日本にいないのかぁ
[136.017] (S)salad_maki: サラダ巻き subscribed with Twitch Prime. 
[138.444] ぼんじゅ: 今年はプレミア以外も廻るの？
[139.843] n_yuki244: めちゃくちゃマーレェシアァ
[141.215] (S)shiotama: ベルギーですね
[142.163] (S)kumatedd: 世界中行くの身体強くないと無理だ…
[142.888] gnm1616: 忙しいね
[144.389] ggking789: hello!!!!!!!!! Daigo hello from Taiwan
[145.767] XxYusakuxX: ケルンや
[145.824] playloveu: tá falando japonês sem legenda po
[147.142] (S)sutoku94: ベルギーよ
[147.607] harahara02: 体ぶっ壊れそう
[152.936] playatlas: トラキア 
[154.828] (S)ememeume: ドイツビール
[155.520] (S)atsu_240: 忙しいねっ
[159.056] (S)heterotopia3: 世界一周する勢いだ
[162.225] (S)ememeume: 体調、、
[164.964] (S)shiotama: フランスまで連続参戦なんですね
[165.876] coralbeaf: 今年は結構ランキングも行く感じなの？
[167.024] (S)kumatedd: ドイツのグルメ
[170.954] あと1983: クレイジージャーニーですわ
[174.988] (S)takeo_onakasuita: 大会だけじゃないのが大変だなー
[176.779] (S)rindou_22: 飛行機のエコノミー症対策してますか？
[176.887] (S)atsu_240: 体内時計おかしくなりそうね。。
[179.358] (S)shiotama: ランキング回るんですね
[181.428] nacci516: 隻狼のダウンロード長え
[184.992] (S)domontyan: 一週間に一回海外はしんどすぎる
[185.224] (S)rhayader_alone: ボクサー対策なんとかしないと
[185.535] (S)mochy0: umeBoom
[186.037] (S)usa451: 逆に日本戻らんほうがいいんじゃ
[188.389] (S)triton11519: マイル溜めてますか？
[193.979] ぼんじゅ: そんなに回って体調大丈夫なの？
[194.027] げろげろまる: 安心ラインは800ぐらいかな
[196.138] (S)shiotama: ほほー
[202.548] playloveu: Essa live é gravada , tá de dia agora 
[203.110] (S)shiotama: なるほど
[204.469] easter6620: あっという間にEVO
[209.058] (S)ememeume: カワノくん、、
[209.235] あと1983: ありがとーーわ
[211.224] nacci516: カワノって誰や？
[211.269] (S)poki_frappe: ほほう
[212.499] (S)なかしょう: なるほどー
[215.441] (S)heterotopia3: パイナポー…
[216.775] saburou777: 弱体化のガイルじゃキツくない？
[220.457] (S)domontyan: なぜにかわの選んだの
[222.418] gnm1616: 大会出てみて手応えはどうだったんだろう
[225.783] 名無しベータ: 忙しいのにありがとー
[229.281] (S)heatup8: カワノくんうれしい
[230.059] (S)usa451: カワノ東京いるの？
[231.853] (S)ememeume: 楽しみにしてますー
[232.459] (S)piyopiyomaru555: 質問送ったよ Tシャツあたりますように
[233.920] (S)tombo_rider123: rag観ました？
[234.204] spclink: カワノとはとは？状態
[238.132] easter6620: 誰だよｗ
[240.935] (S)何も知らないジョンスノウ: 忙しすぎるねー
[243.553] あと1983: 生きるハリができた
[244.241] (S)salad_maki: 不遜カワノ
[247.459] coralbeaf: 配信も大会も両立するスタイル
[248.327] (S)shiotama: CPT出てみてガイルはどんな感じですか？
[248.677] (S)aznyan_nyan: 長島パイナポーとはもみたいな
[249.131] wtw4t2: 需要ないでしょ
[250.093] nacci516: カリンで優勝ってやっぱりすごい？
[250.443] (S)takeo_onakasuita: パイナポーより先にカワノがきたか
[252.682] (S)myruju: カワノとは？やる意味とは？
[255.861] soscrub: PogChamp
[256.605] dsadsa454654: 深夜の路地裏
[257.465] (S)atsu_240: 多忙な中ありがたいですよっ
[257.564] (S)ememeume: 歩くことで体調整えていく
[261.617] xenys3: パイナポーのノート読んでる？
[265.024] aprikola: どうしてカワノを選んだんですか？
[265.254] (S)usa451: ジョニィとはタイミングちがったな
[265.594] (S)joshua_cat: 金のかかった板ザンはなかなかに強いらしい
[267.736] (S)oinari6: 相変わらずガイル一本？
[268.092] あと1983: 円がかかるとつよいねー
[270.060] (S)ememeume: 二連覇
[272.563] (S)takeo_onakasuita: パイナポーの前説よかったです
[272.873] ken783: 板ザンさん国内大会で強いよな
[277.492] izumih71128: FRの感想聞かせてください
[278.182] (S)heatup8: カワノくん何でも答えてくれるから面白くなりそうw
[283.175] (S)van__houten: umeGuile
[283.275] (S)ememeume: パイナポーのブログとても良いです
[283.560] (S)tombo_rider123: ネモさんがグツってそうな内容で面白かった
[285.218] (S)triton11519: パイナポーとは
[286.969] runtasusu: カワノは期待の新人だからな 立川臭がすごいけど
[288.497] (S)kumatedd: へえー
[288.786] (S)平本: パイナポーノートよかったね
[293.779] TEIKETTO: RAGEはノンスタの井上がすごく良かった。
[295.006] doragenight11: 新キャラでユン出て強かったらガイルから変える？
[302.622] Unzaree: monkaS
[308.935] clearasahi500: これどこ？
[309.045] nacci516: 新キャラ来なかったね
[309.279] runtasusu: 家から近いんだっけ
[311.498] (S)shiotama: した
[312.119] alm1rc: 00:00?
[312.292] balthazar000: VIPルーム？
[313.611] (S)kumatedd: イタリアン？
[314.178] あと1983: したね
[316.926] (S)takeo_onakasuita: しました
[319.655] (S)atsu_240: ゆってたねっ
[319.702] (S)usa451: 日暮里かと思ってたわ
[331.054] (S)ememeume: PS4貸してあげましょー
[334.236] ken783: ネモさん、八田さんに裏切られたときの顔が面白かったｗ
[335.552] gmmcom: めっちゃリアル
[336.062] gengoro1198: 板ザンチーム、唯一全員活躍してたね。
[342.583] (S)でかくん: umeGuile
[352.945] (S)nukkatti: バイソンは鬼門ですね
[359.660] nacci516: 板ザンはチーム戦強いね
[361.691] easter6620: イチロー引退
[370.651] wtw4t2: ジョニー
[373.006] (S)aori37: イチロー会見と同時に見てる
[373.356] (S)niemalsaufgeben: 今後のCPT
[374.187] dsadsa454654: バイソンどうする
[377.691] shupii097: バイソンに是空はなし？
[378.474] nacci516: ファイナルラウンド
[380.718] runtasusu: ジョニーの大躍進について
[381.931] ken783: punkが凄かった
[384.785] (S)ememeume: Beastv効果
[385.566] TEIKETTO: イチローが引退してしまう
[386.393] aprikola: ジョニィ
[387.865] gengoro1198: ブライアンFとは
[391.315] renoa0521: 海外でガイル使った感じはどうでしたか
[395.893] xenys3: ガイル相当弱ってるけど大丈夫？
[397.103] mohumonn120: やっぱガイル一本なのですか？
[398.422] (S)shiotama: ガイルの手応えはどうですか？
[402.561] doragenight11: イチロー４５歳で現役引退だって
[403.200] (S)rhayader_alone: ガイルはお得意様
[408.217] nacci516: 海外やたらG多くなかった？
[411.664] (S)usa451: G多かったな
[417.527] ken783: punkの確認制度が高すぎてももちが後ろ下がり出来なくなってた
[418.134] TEIKETTO: やっぱ弾抜けきちぃですか？
[421.998] (S)aori37: イチローと梅さん言うこと同じ
[423.808] (S)triton11519: ガイルどうなのかな～1シーズン戦い抜ける？
[424.091] gengoro1198: オアーつえーな
[430.056] (S)aryupaka: 去年の組手ではスマッグに勝てたのに
[431.286] saburou777: 2キャラないと厳しい感じだ
[432.406] coralbeaf: 組手のスマッグ戦はいい感じだったから克服したかと思ってたね
[434.502] (S)niemalsaufgeben: イチローに負けてらんねーぞ
[434.711] 高田健志最強: パンク優勝について語れ
[435.811] (S)でかくん: イチローの歳まではプロやれるな？
[436.358] john888k: Gだいぶ暴れてたね
[437.533] kumanobed: 海外だとGの評価がかなり高いらしいですね
[447.480] runtasusu: 結構劣勢なのか
[450.174] (S)shiotama: なるほど
[455.232] (S)壱万円札: 試合見たかったです 配信なく残念でした
[455.473] (S)akiaki0612: ももち是空観た？？
[464.773] あと1983: 2先はねー
[466.201] agemochi: ファミ通部屋組は散々な結果だったね
[467.275] (S)NIVEA1: お疲れさまでした！
[467.781] (S)ememeume: 結果論的な
[469.551] nacci516: さすがにももち是空見たでしょ
[473.059] rakio: 運絡むしなあ
[475.044] (S)rhayader_alone: ボクサー対策は？
[486.807] (S)何も知らないジョンスノウ: 配信無くて敗退は悲しい
[492.642] easter6620: 大将軍補正
[493.642] (S)atsu_240: いけてる気はするけどねっ
[494.406] giefnerfplese: 5先でも？
[494.805] あと1983: 皆対策してないのかな
[496.004] xenys3: それは朗報
[496.395] triskeal: 決勝残ったのもキャラそのまま勢な感じ
