[5.844] (S)山田たろう太郎: きた
[14.502] (S)ilm0806: おつー
[18.627] nhhajgd: はい
[22.963] (S)あさつき教: 聞こえます
[25.277] (S)ilm0806: 音声、音ＯＫよ
[26.048] (S)壱万円札: こんにちは きこえます
[29.052] nhhajgd: きこえますゆ
[46.044] (S)ビフィダス: どこ～？
[63.570] (S)yosinis: サムスピ発表会見てました？
[72.167] (S)shupii097: おつかれっす
[84.518] cafe_gondo: おはざーす
[87.506] benizakuratosaken: だいごさんこんにちわ
[89.406] (S)kyo967: おつかれさまですー
[90.229] (S)shiotama: ウメさんこんにちはー
[92.617] (S)hinomotoani: cafe san! 
[94.253] ~MISSING_COMMENTER_INFO~: なんかぶらさがってる
[95.406] kotarooooooooo: うめちゃーん
[95.420] Lplp6lkhp: 色出るよ色
[99.675] (S)あさつき教: やった事ないです？
[99.858] (S)van__houten: van__houten subscribed with Twitch Prime. They've subscribed for 11 months! 
[99.925] (S)__空色__: お疲れ様です
[100.607] (S)kyo967: PS4ででます
[100.792] (S)shiotama: 今日は暖かいですねー
[102.749] (S)ememeume: やった！お昼に入ったらちょうど配信♪
[105.738] (S)guile_head: umeYay
[105.837] (S)gomesu: お疲れ様です。
[106.480] ken783: PS4とかSwitchででる
[108.229] ﾃﾄﾗﾝ: スト5よりグラフィック良かった
[112.648] nipopo2682: ウメちゃんのAIと戦いたいからやってね
[119.679] (S)nabe_labo: 夏にアーケードも稼働
[122.363] nauti1us123: 幻十郎使おうよ
[122.576] (S)MotomaN: アケ版も出る
[122.601] mutuizumi: どういう状況だ
[127.181] ken783: チョコちゃんが声優と対戦してた
[127.918] (S)ちぶるすきー: アーケードとpc switch
[132.775] keeyking: こんにちは。サムスピみました？
[136.020] (S)ememeume: 今日風邪強いですねー
[136.399] toyboze: 6月27日発売
[138.084] houjichaa: 花粉つらいお
[141.079] sora_neko09: こんにちは。
[143.566] (S)shupii097: 強いねぇ
[151.450] mutuizumi: サムスピとか他の格ゲ見たいお
[152.757] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[164.263] (S)ememeume: 隠し撮りっぽい
[169.792] harahara02: サムスピよさそうだけどあれ立ち回りゲー？
[172.808] (S)shupii097: いいんじゃね
