[23.851] (S)contami_san: licenseplate0 subscribed with Twitch Prime. They've subscribed for 3 months! 
[64.361] (S)山田たろう太郎: 声がない？
[69.996] (S)kurataro: 音が無ですね
[70.564] ako484848: 無音
[83.110] kotarooooooooo: うめちゃーん
[83.311] ako484848: おｋ
[83.576] (S)une3333: こんにちはー
[85.136] efmaniac_jp: ういっす
[85.312] (S)ememeume: きたーー
[85.963] (S)MofuTamu: ウメちゃんおはゆ～＾ー＾ノ
[90.147] IKEPON_: きたきた
[91.247] (S)spring__thief: umeSalute
[92.707] ~MISSING_COMMENTER_INFO~: おっすおっす
[97.205] efmaniac_jp: おときた
[97.334] ビフィダス: ウメちゃんだー！！
[97.789] 東北のスロカス: おはざっす
[98.547] (S)ememeume: 朝シャン後です？
[99.010] XXXXXXXXXXXXXXXXXXXXXXXx: grassPlz
[99.328] hateinme6: どもー
[99.350] (S)superrecogniser: こんちゃ
[99.841] beerstandstoop: おはようございます！
[101.650] keeyking: おっすすー
[101.859] (S)nabenights: 音ッケイ！
[102.482] Imaise: おはようございます
[107.976] gyahhaa: 風呂上り感が凄い
[111.177] XXXXXXXXXXXXXXXXXXXXXXXx: grassMonkaS
[112.037] butitibu: ども
[116.673] (S)AzuuuL42: azuuuul subscribed with Twitch Prime. They've subscribed for 7 months! 
[120.530] (S)aori37: うめめめめめめ
[125.443] van__houten: van__houten subscribed with Twitch Prime. They've subscribed for 12 months! 
[129.362] (S)spring__thief: umeGuile
[130.106] datami3: おはようございます！
[132.432] もりお_7: はようめ
[134.184] (S)kurataro: カワノベスト8入ってましたねベルギー
[137.737] (S)kiku1133: ちゃあああああああああん
[141.590] (S)Yokichi_68: Yokichi_68 subscribed with Twitch Prime. They've subscribed for 6 months! ウメさんおはよー
[148.431] (S)dfhik: カワノおめでとう
[149.954] (S)ememeume: 昨日スフィアの対戦会でパイナポーさんと対戦しましたよ〜
[154.529] efmaniac_jp: カワノかなり活躍した
[155.740] (S)cqc2018: おはようございます
[157.503] ~MISSING_COMMENTER_INFO~: やべーマップきた
[159.151] (S)kurataro: しかも勝った相手が
[162.480] (S)shiotama: おはようございますー
[164.919] one596: ベルギーボンちゃん残れず、カワノはビビる
[169.904] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[170.341] (S)ーたまむしー: エイリアン蟲 subscribed with Twitch Prime. They've subscribed for 11 months! 
[171.150] wash4: カワノはアメイジング
[179.570] IKEPON_: ボンちゃんに勝ってた
