[68.624] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[88.815] NoiseBancho: <3
[94.024] diego_ohunabara: Squid1
[97.604] (S)shinichi_fukuda: 楽しみ
[106.245] tyohu246: BloodTrail
[106.822] (S)kyo967: こんばんは～
[107.099] 人の健康: RalpherZ
[107.227] IKEPON_: ポキポキ
[109.465] lunasolnars: 今日のじこけんなにすんのー？
[117.036] diego_ohunabara: umeCat
[127.120] (S)guile_head: umeCat2
[129.064] (S)kub122: こんばんは
[135.682] IKEPON_: 今日のメニューは
[181.777] ponta_ryuzaburo: ミートたけしさんが出ると聞いて。。。
[210.523] (M)ANIMEILLUMINATI: 会場うるさすぎて、来週からヘッドセット使わないと。。
[215.737] (S)ﾔﾐ: ウメさんの配信も見てたよー
[223.906] 豊洲: トパンガ、梅ちゃん個人配信と続けて面白かったなあ・・・。さて、
[295.683] sansiki205: もぺ
[299.098] (S)sora_neko09: アンドリューお疲れ様
[348.519] (M)ANIMEILLUMINATI: 音楽流すのでサウンド気をつけて
[356.104] (S)エリ_10: オッケー
[360.837] トルコ石: こんばんは
[360.888] (S)kyo967: はーい
[367.688] cafe_gondo: PartyPopper
[369.787] obo_006: イントロドン
[372.223] (S)JoseHardbody: What is this music?
[372.978] (S)動くわんわん: まさかのジャズ
[374.171] IKEPON_: ミュート推奨
[376.565] (S)sora_neko09: ん？
[377.785] (S)papipopon: umeJam
[379.909] (S)kyo967: お洒落
[383.558] Kobahage: WutFace
[384.121] (M)Moobot: That's a tad too many emotes, @JoseHardbody (warning)
[384.150] (S)エリ_10: w
[387.410] charcoal_filter: ResidentSleeper
[388.148] (S)ﾔﾐ: umeMika
[391.599] (S)JoseHardbody: umeYay
[393.226] IKEPON_: w
[393.879] tomato1618: PogChamp
[397.935] greendayo: ResidentSleeper
[401.945] (S)エリ_10: どうしたw
[402.575] (S)sei_6: かっこよい
[406.148] NagOutSide: umeGrin
[408.246] IKEPON_: lol
[408.951] (S)JoseHardbody: umeYay
[411.054] kumanobed: オープニング曲
[411.184] (S)エリ_10: カッコいいw
[412.990] (S)Kanquez05: umeGuile
[415.067] masaizoku3: WutFace
[415.296] (S)JoseHardbody: umeYay
[418.338] (S)JoseHardbody: umeYay
[419.966] (S)ﾔﾐ: バトルミュージックいいね
[425.462] banchooonuking: これウメちゃんいないやつ？
[425.682] (S)しはなふ: umeSalute
[427.794] IKEPON_: ｶﾁﾀｶﾞﾘﾃｨﾋﾞｨー
[429.763] obo_006: ミートさん？？？
[430.503] (S)kyo967: 8888
[431.839] (S)sora_neko09: きたー
[433.101] tomato1618: ミート兄！
[433.175] juuuunation: umeCat
[433.407] (S)ﾔﾐ: 髪型進化してる！
[436.115] (S)JoseHardbody: umeSalute
[439.221] NagOutSide: カイデー!
[439.475] (S)ﾔﾐ: おつ
[439.810] obo_006: 今のミートさん作ったの？？
[444.197] (S)JoseHardbody: umeMika
[444.363] (S)papipopon: メガネ３人
[446.005] (S)kyo967: ミートさんこんばんは
[447.457] (S)heterotopia3: 肉肉しい
[448.693] baragasu: 3匹の子豚
[450.582] (S)ﾔﾐ: 結構かっこよかった
[453.736] yamame: すげえ
[456.196] (S)JoseHardbody: umeSalute
[457.460] greendayo: ぽっちゃり三人組
[459.821] (S)メピパラ: こんちゃ！
[477.340] 豊洲: 画面アス比、まちがって。。。ないｗｗ
[497.593] (S)JoseHardbody: umeSalute
[498.969] obo_006: いいっすねｗ
[499.791] diego_ohunabara: umeGrin
[501.772] yamame: 画面の占有率ええな
[502.954] gnm1616: 歌っちゃうか
[504.941] (S)JoseHardbody: umeSalute
[506.575] NAOjpp: 誰＞＞
[507.486] diego_ohunabara: umeCat2
[508.607] (S)JoseHardbody: umeSalute
[511.121] (S)エリ_10: カッコよくてビックリしたw
[517.699] (S)JoseHardbody: umeSalute
[521.051] (S)エリ_10: 歌えw
[521.347] (S)kyo967: umeMika
[522.074] (S)tenten2156: umeSalute
[525.336] diego_ohunabara: umeCat2
[527.992] NAOjpp: だれ？石川？
[530.838] (S)JoseHardbody: umeYay
[535.576] (S)heterotopia3: スウィングからロックに変わるの、面白いけどふれ幅が…
[537.523] ponta_ryuzaburo: 88888888
[538.281] kumanobed: ミートたけしさん
[540.982] Unkunchi: フードが細くみえる
[541.764] (S)satomo0916: umeMika
[551.760] (S)tenten2156: かっこよかった
[553.928] (S)sora_neko09: ミートたけしさん，オープニング音楽を作ってもらってる
[558.034] (S)ﾔﾐ: 受け狙いだったのｗ
[562.776] (S)エリ_10: カッコよかったよ
[567.997] (S)Kanquez05: ふ～どのカモン！ナデシコ！！ 
[584.589] ガイ長: HeyGuys
[587.687] cafe_gondo: 番組感出て良かですね
[591.495] (S)JoseHardbody: アメリカからこんにちは！私は日本語が話せませんが、私は大ファンです。
[591.764] miharasan: なんで川村さんいるの？ｗ
[601.251] yamame: ｗｗｗ
