[65.005] (S)kobayan86BRZ: きたああああ
[66.284] ~MISSING_COMMENTER_INFO~: 久しぶり
[71.503] gengoro1198: gengoro1198 subscribed with Twitch Prime. They've subscribed for 13 months, currently on a 13 month streak! 
[77.800] kuromisama21: PogChamp
[78.065] omedetroit: ウメちゃんおはよ
[83.045] nacci516: こんちは
[83.170] (S)山田たろう太郎: umeGrin
[86.278] omedetroit: 誕生日おめでとうだよ
[91.084] yhkd: トラキアー
[93.880] とりあえずちさと: 応援配信のあと寝たのかな？
[97.715] ぴりとぅ: トラキア！？
[102.153] stainless304: SeemsGood
[104.430] (S)shiotama: umeCat2
[104.534] (S)guile_head: umeYung
[107.554] 電動マッサージ器: umeCat
[110.386] balthazar000: おはよう？
[110.643] Stimpj: evoMindBlown
[114.013] (S)クズ220: ウメキア？
[118.340] tw_numa: ひとねむりしたぁ？
[119.734] (S)satomo0916: umeGrin
[131.302] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[141.440] あと1983: おかえり？
[147.542] omedetroit: ウメちゃん寝ながらヒットボックス触ってそう
[195.939] jigokunonekomatu: 昼寝完了か
[207.192] Jaguar_kick: おはようございます
[215.423] (S)BananaMonkey1986: おはようございます
[228.799] あと1983: 昼寝最強！
[272.430] (S)rat_2442: おかえりなさい
[272.868] あと1983: うつってるよ
[275.253] (S)crusade893: おかえりー
[281.637] あと1983: 声もok
[283.270] (S)shiotama: きたっ
[289.141] (S)routetsu: おはようございます
[296.392] (S)shinichi_fukuda: 自分で準備してるの草
[296.462] (S)shiotama: こんにちはー
[299.584] (S)LocoMundo: umeGrin
[300.341] 左派: PogChamp
[301.148] masuo_da: ハピバスデ
[301.527] tsukikage_saga: ウメちゃんおはよう、お誕生日おめでとう
[302.582] 000105: 誕生日おめでとおおおお
[305.445] (S)shiotama: それは良かった
[311.399] kuromisama21: 🎂🎂🎂 
[311.712] あと1983: 画面なし
[319.329] (S)tm3fan: 今日二度目まして
[319.697] tw_numa: トラキア
[323.659] (S)crusade893: 睡眠最強
[324.495] あと1983: キャットさんきゅー
[325.615] (S)shiotama: ゲーム画面きた
[335.948] tw_numa: 睡眠ってすごない？
[336.557] (S)rat_2442: 今日のスト5は有りそうですか？
[337.268] balthazar000: 睡魔対策は寝る一強
[340.442] (S)shiotama: 睡眠不足はキツいですもんね
[351.839] (S)crusade893: まちゃぼーおめでとー
[355.778] (S)tomorock21: oosiba subscribed with Twitch Prime. They've subscribed for 10 months, currently on a 1 month streak! やったね
[356.260] とりあえずちさと: もうそろそろ全クリ？
[356.527] dsadsa454654: モチベたけーなウメちゃん
[358.071] あと1983: 寝るはtier1
[361.534] (S)rat_2442: ありがとうございます 待ってまーす
[367.535] hoehoeR: トラキアは仕事だったのですか
[370.489] xenys3: 1日2回の配信は初めてかな
[370.711] (S)shiotama: モチベーション高いですね
[378.006] (S)farronef: ウメチャンよく寝た？
[381.709] (S)dayakose: カワノの自分の手に合わせたヒットボックス良いな。
[387.287] king_katsuhisa: 働くねえ
[421.629] (S)Kanquez05: 残り2章
[429.746] komine58: どこまで進んだ？
[436.452] diego_ohunabara: umeCat2
[441.387] (S)るぅの: ウメちゃん今日2回目の配信ありがとー
[441.952] (S)クズ220: マチュア斧持てるで
[454.955] balthazar000: 加賀がそんなにやさしいかな？
[456.056] あと1983: 大盤振る舞いじゃあ！
[456.507] りあ仮称: Disco見たら始まってた
[461.327] shikauma: ツイートした？
[481.142] (S)shiotama: ツイートはしてない気がする
[482.655] (S)shinichi_fukuda: 誕生日ディナー準備中asmr
[483.700] メリアス: cheer500 
[512.913] user81023: ナイスビッツ！
[524.149] (S)rat_2442: nice
[527.117] (S)shinichi_fukuda: ありがとー
[535.985] あと1983: ディスコードのほうはok
[559.535] (S)るぅの: ツイート 
[577.062] (S)shiotama: ツイートきたっ
[587.427] (S)Kanquez05: 誕生日おめでとう bday100
[604.172] (S)超アンディー: トラキアきたあああ
[605.399] (S)あさつき教: 早起きっすね
[618.968] (S)agoani: umeCat
[634.406] burisuke: 38歳の抱負はありますか？
[642.342] (S)zgundam46: 誕生日おめでとうございます🎉
[655.709] ぼぜ: ウメさんおはよう
[657.053] metalface_05: party100 party100 umecheer100 party100 party100 俺と同い年のウメちゃん誕生日おめでとう～
[657.949] (S)mhnaoyuki: 誕生日おめでとう🎉🎊
[686.251] komine58: それは努力でどうにでもｗ
[687.262] (S)あさつき教: 可愛らしく言ってるｗｗｗ
[689.983] あと1983: かわいい、かよ！
[694.448] じゃんじゃじゃん: 寝た？
[694.506] gengoro1198: 1日1キロ肉喰おう。
[695.204] nokotch: ウメちゃんハピバｗ
[701.561] (S)sora_neko09: 誕生日ビッツが飛び交ってるな
[702.512] (S)kurataro: こんにちわー
[717.778] snowX23: 35歳過ぎてからホント痩せづらくなった・・・
[725.560] inubow: ライザップのやる前写真がすごい似合いそう
[736.589] burisuke: 今日は稼ぎ時ね。時々誕生日アピールしていきましょ
[742.126] thabroace: lets go daigo
[743.588] (S)クズ220: もうゼーベイア以外槍使えんで
[748.795] (S)Kanquez05: まあ、ダイエットは無理しすぎない程度に
[764.132] じゃんじゃじゃん: cheer100 cheer100 cheer100 cheer100 cheer100 誕生日おめでとう
[764.438] fourper212: まーじか
[769.132] あと1983: ゼーベイアの生きる道
[785.105] (S)ソルダ: 役に立たないゆうしゃのやりとドラゴンンランスさん
[800.108] prisira: また暗黒ステージかｗ
[801.272] nozomaro: 基本的に室内だと槍を振り回せないルール
[817.827] (S)山田たろう太郎: でけえええ
[819.240] prisira: 耳が
[819.347] bghnzst: でかい！
[820.347] burisuke: ぎゃあああああ
[820.666] 110no110: みみが
[822.119] taroumaruh: ぎゃ
[823.455] 이카실: WutFace
[825.997] diego_ohunabara: umeWhat
[826.639] thabroace: this is online ? multiplayer ? or story solo
[827.104] (S)routetsu: 聞こえない
[827.585] rhayader_alone: 耳がぶっ壊れた
[834.667] (S)山田たろう太郎: ウメちゃんきょくたんだよ
[834.732] (S)クズ220: ScaredyCat
[836.984] (S)kemononeko: NotLikeThis
[838.880] gengoro1198: 残り2章なら、もう武器出し惜しみする必要はなさそう。
[842.447] (S)shinichi_fukuda: でけぇw
[845.974] (S)syu1213_: TableHere
[852.586] gengoro1198: ノイズがー
[853.111] (S)超アンディー: ｷｰｰｰｰｰｰｰｰﾝ
[857.063] もりお_7: umeFail
[857.708] (S)あさつき教: 声聞こえなくなった
[861.155] (S)Kanquez05: 俺らの鼓膜破れたっぽいな何も聞こえない
[864.230] (S)山田たろう太郎: 接触悪い
[867.098] (S)るぅの: umeZen
[870.285] (S)あさつき教: あ聞こえた
[871.707] prisira: 接触か
[872.324] (S)rat_2442: 直ったね
[873.446] squall2017: ウメちゃんが聞こえてないのか
[873.983] (S)routetsu: ok
[876.829] tw_numa: ウメちゃんの声が聞こえない
[880.578] McsPwr: SeemsGood
[881.707] じゃんじゃじゃん: janseaben subscribed with Twitch Prime. They've subscribed for 13 months, currently on a 1 month streak! 
[882.296] SEA_doukei: なおった
[887.732] (S)motos128: おかえりウメちゃん
[887.882] shikauma: プラグぐりぐり回せば？
[889.648] fukuzawa1manyen: マゴさん10ポイントで終わっちゃいました・・・ウメちゃん助けて・・・
[896.375] scottiever06: 一番といっていいぼどの極悪ステージきたなw
[915.922] tw_numa: 安国
[921.102] (S)クズ220: クソマップ注意
[928.973] niva_niva: 今日は誕生日のイベント的なことはもうしたの？
[943.881] sayuha1: 新ステージ何ヵ月ぶりよ
[945.111] tw_numa: あんこ食う
[961.607] とりあえずちさと: ケーキ
[963.612] balthazar000: 久しぶりの暗闇ステージ？
[963.892] (S)farronef: 自分にケーキ買おう
[964.319] (S)ソルダ: バーサーカーはやばい
[967.524] (S)あさつき教: はっぴばーすでーとぅーゆー♪
[974.679] (S)るぅの: umeCat
[975.970] burisuke: 誕生日パーティー配信すればビッツの嵐
[976.215] tw_numa: 祝ってくれる人は…？
[976.417] tganyma: HolidayPresent
[977.107] とりあえずちさと: 一番好きなケーキ何？
[977.393] じゃんじゃじゃん: 猫はケーキ買ってくれないの？
[978.365] (S)harubou1123: 怒りで死ぬ光景が見えるw
[984.052] jikiru6: サプライズがあるから気がついても気が付かないふりしなきゃだめだよ
[994.833] batorubaa: 接近してたらワンチャン死んでた
[997.500] (S)titilrin: 自分もウメ世代です。今年38だよね
[998.439] tw_numa: レッドブルスタッフー！
[1004.589] balthazar000: サプライズがサブスクライブに見えた
[1009.373] (S)valhalla5555: umeCat2
[1015.496] じゃんじゃじゃん: umeCat2
[1018.558] (S)あさつき教: この配信中にサプライズ乱入あったら笑っちゃうｗｗｗ
[1033.467] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[1033.604] じゃんじゃじゃん: HAPPYBIRTHDAYつーゆー
[1057.427] (S)のな: ゲーマーって若く見えるな
