[33.633] Stay_Hydrated_Bot: @daigothebeastv 
[87.161] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[92.180] pokimabaze: よお
[95.608] banchooonuking: なんだ自己顕か
[98.174] greendayo: ウメちゃん！
[101.487] (S)tarako7016: お？
[135.476] syururun: umeSalute
[140.032] (M)ANIMEILLUMINATI: umeCatGlare
[150.498] sora_neko09: ジコケンやからウメちゃんはいないはず
[164.877] juuuunation: umeCatSleep
[171.007] cozy312: はじまらへんやん
[174.337] (S)verdict5557: umeCat
[175.711] (M)ANIMEILLUMINATI: EVO楽しみだな～
[181.824] moccchi: estmxrPoopin
[182.966] pokimabaze: またま？
[192.055] greendayo: BibleThump
[213.433] (S)danny_love_danny: こんばんはー
[247.867] (S)kyo967: 8888
[249.007] sora_neko09: こんばんは。
[250.296] prosciu: こんばんはー
[260.349] (S)桜風かなた: umeMika
[263.572] (S)sei_6: マイク？
[266.479] sora_neko09: ノイズがすごいな
[268.012] (S)sh1zuku716: PrideParty
[270.707] pukeshi: マイク入ってる？
[273.820] (S)山田たろう太郎: Dの髪の色いつの間にかすごいことになってる
[277.518] prosciu: 外の音拾ってるね
[278.402] (S)kyo967: マイク今回もなし？？
[286.890] paleman_voice: ピンマイクはいってないんじゃない？
[293.225] 無心に: 声遠いよ
[296.093] おまぺーろ: 声は聞こえるけど雑音がすごく聞こえる
[299.248] pokimabaze: よお
[301.284] (S)sh1zuku716: マイク遠いね
[308.372] (S)sei_6: 遠いっす
[308.594] pokimabaze: はいってない
[312.533] butch1008: 他のマイクで拾ってるのかな？
[316.455] avmajvm: 遠いみたい
[316.469] fumixxxxx: 近づけたらよく聞こえた
[325.658] prosciu: 声は聞こえるけど、他のマイクかな？
[327.273] kazukitaiga: はいってるっしょ
[331.262] sora_neko09: 入ってはいるみたいだが
[334.319] (S)sei_6: 近ずけたら聞こえる
[338.639] 無心に: アンドリューの声きこえる
[354.838] (S)sh1zuku716: 入ってるけど対戦会の音が結構入ってる感じ
[356.270] (S)rotyokoro: rotyokoro subscribed at Tier 1. They've subscribed for 7 months! 
[356.397] (M)Moobot: Thanks for subbing for 7 months, @ROTYOKORO 
[358.161] pokimabaze: まあ聞こえるからいいよ
[364.183] (S)yoshikawa_yo: 対戦のバチバチボタン押す音が声よりでかい
[379.026] xwillmm: 雑音おおきすぎてなにいってるかわかんねぇ・・・
[379.228] sora_neko09: 周辺音は仕方ないけど，キンキンしたノイズが乗ってんのはなんとかならんかな
[379.304] (S)ask4exe: エアーで拾ってる感じでノイズが酷い
[408.670] cafe_gondo: おつかれさまですー
[422.504] cafe_gondo: だんごさん銀髪なっとる
[428.705] (S)yoshikawa_yo: ナンパwww
[437.428] さっぽさんぽ: マイクなんとかしないとダメやろこれは。
[439.840] avmajvm: 全然だめだと思う
[442.439] prosciu: ピンマイクじゃないマイクで声拾ってるね
[444.420] 無心に: 雑音が大きいのかな
[445.015] radeforce: 遠くのマイクでひろってる？
[445.207] (M)Moobot: Twitch Prime は30日ごとの更新が必要です。お忘れなく！
[458.199] metal_hellion: 自己研ってなんでこんなに配信環境悪くなったの？
[459.965] おまぺーろ: 別のマイクで他の音拾ってない？
[465.545] (S)sh1zuku716: 対戦会の方が音デカい感じする
[467.172] (S)風来のリュウ: ねも？
[479.854] (S)ask4exe: 接続不良？
[481.645] avmajvm: 折笠いなくなって以降、なんかひどいよね
[483.973] さっぽさんぽ: なんとなくカメラのマイクで拾ってる説
[489.311] (S)壱万円札: ハンドマイク入った
[492.363] おまぺーろ: 手持ちマイクだけ正常に聞こえる
[494.849] paleman_voice: ハンドマイクが一番ちゃんと聞こえる
[497.874] (S)liblie: 手持ちはよくなった
[499.323] sasakumadrops: 良く聞こえないけど、、何言ってるの？？
[504.225] xwillmm: きこえるけどぜんぜんきこえねぇわ
[514.358] 風呂でフルーチェ: ハンドマイクはおｋ
[518.914] 無心に: 聞き取れない
[532.532] sora_neko09: ハンドマイクはええのかな。アンドリューの声が結構聞こえるね
[535.321] (S)sh1zuku716: アケコンのプロ？
[541.023] (S)touajyuukou: touajyuukou subscribed with Twitch Prime. They've subscribed for 3 months! 
[541.153] (M)Moobot: Thanks for subbing for 3 months, @TOUAJYUUKOU 
[542.653] (S)yoshikawa_yo: アケコン博士？
[545.344] (S)ask4exe: ジジジジってノイズがずっとのってる
[553.006] xwillmm: このままつづけるの？きついんだけど
[559.674] おまぺーろ: ふーどさんのマイクが弱いんだろうか？
[560.923] (S)桜風かなた: 環境音の拾いこみが凄い
[562.274] aisaka0301: この音声じゃ見れないわーさよなら
