[3.246] itinitizaku: 俺たちのTEPPENはこれからだ～！
[5.289] kurokimi1234: きんぐくりむぞん！！
[5.481] junpei5110: すごかったね
[6.135] mameneko1124: 遊戯王の遅延とおなじ？
[6.579] (S)papipopon: おかえり
[7.638] (S)u_anna: うごいたっ
[8.561] niemalsaufgeben: おかえり
[10.584] (S)中群かずふみ: きたああああああ
[11.718] (S)redbull_daisuki: 次回TEPPEN大会にご期待下さい
[13.573] metoro3: ただいま
[15.421] りあ仮称: 再開したあああああ
[17.039] oguricapg1: おかえり
[21.374] (B)DaigoTheBeasTV: 上の方はandroidでしたのでキャプできずです
[21.448] mocacc1no: PogChamp
[26.305] kahaku91: 再開
[28.073] ~MISSING_COMMENTER_INFO~: adoken
[30.866] (S)ﾔﾐ: 画面凄い凝ってるうぅぅ！
[34.787] ~MISSING_COMMENTER_INFO~: Kappa
[50.222] lunasolnars: 泥勢はキャプ出来ないの？
[53.442] sansiki205: 両方アンドロイドだったらやばいのでは
[55.475] shikauma: なんかすごい静か
[66.454] danny_love_danny: BGMきたー
[78.018] (S)une3333: 両方アンドロイドとか普通にありそうだけどｗ
[84.414] jtopnbsd: 英語版 Pog
[92.807] spoooooo: spoooooo subscribed with Twitch Prime. They've subscribed for 16 months, currently on a 16 month streak! 
[92.905] (M)Moobot: @SPOOOOOOさん、16ヶ月目のサブスク登録更新！ありがとうございます！
[96.317] (S)redbull_daisuki: 淡々と、そして粛々と進行して行く感じかな
[104.204] 000105: 直撮りだなぁ
[111.863] (S)のな: 始めたてで英文だと効果がわかんないんだけどプレイヤーの端末依存かな？
[136.000] かささぎ: リベンジ後もMP1バックはほんま優秀
[139.785] (S)pooh012345: キリンはたる爆弾で
[151.292] ヤギー: 散弾ハメした思い出
[174.116] ryou7144: 貯めても出さないスタイルとかあるんやな
[178.086] kagamin177: まともにやるのきついモンスター筆頭
[178.506] sagecomand: ゲージ管理癖が
[182.527] かささぎ: 出さないプレイほんま大事
[201.453] ~MISSING_COMMENTER_INFO~: どっちもうまいなあ
[221.264] niemalsaufgeben: ラグなし
[226.765] metoro3: ゲージ効率にうるさい
[238.485] kagamin177: レディ強い
[246.537] (S)四国エスハ: 説明文が英語なんだけど日本語にできない？
[262.775] user81023: 小声実況
[267.400] lunasolnars: 小声のウメちゃんエロい
[267.582] 不渡哲也: 海外勢なんじゃない？
[271.416] (S)tokuji928: なんでヒソヒソｗ
[275.517] jtopnbsd: やってる人が日本語にしてたら日本語になるよ
[279.475] かささぎ: TEPPENは後出し有利なことが多いから('ω')
[279.702] rat_2442: こんにちは
[279.870] ~MISSING_COMMENTER_INFO~: 予知したｗ
[283.689] (S)redbull_daisuki: なんで二人とも声小さいの？
[285.805] (S)ﾔﾐ: 実況がひそひそは斬新ｗ
[285.856] kahaku91: 英語表記は端末依存だね
[291.551] gnm1616: 会場に配慮して小声なんでしょ
[303.194] (S)中群かずふみ: 二人共見てるだけｗ
[307.210] curryko: このカードヤバイね
[307.445] (S)四国エスハ: 端末依存か
[314.136] (S)ememeume: すごいヒソヒソしてますね笑
[315.844] hanpamon: バルログｗ
[318.411] kahaku91: 選手のスマホでやってるから
[322.452] ryou7144: ﾚｯﾂｺﾞｰｼﾞｬｽﾃｨｰﾝ
[338.885] lunasolnars: リュウ調整はよ
[340.296] (S)中群かずふみ: ああ、近くで対戦してるからかｗ
[355.970] かささぎ: ２先いいですね
[358.740] rat_2442: リュウ強いの？
[368.851] (S)hisotensokuzei: 強いで
[370.133] かささぎ: かぶせで４モリくるか！
[377.104] cashafter: CAPCOMキャラだから余計おもろいわー
[383.929] tusk_3821: 今来たんですけど誰と誰がやってるんです？
[395.750] angardgg: がげつさんとだれか
[399.893] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[399.979] (S)llflyingfish: ２先の戦略だね
[404.984] (S)のな: ４モリってどういうデッキなの？
[405.103] ~MISSING_COMMENTER_INFO~: moegiさん
[408.573] UMECHi_DONO: morrigan 
[416.497] amadori3: やっぱTCG勢が有利なゲーム？
[418.023] sei_6: これはかぶせかぶせになるのか
[420.830] (S)hisotensokuzei: ４コスばっかりのシナジー入れたモリガン
[424.183] (B)DaigoTheBeasTV: https://smash.gg/tournament/beastv-cup-teppen-1/events
[466.424] (S)のな: ありがとうございます
[474.146] zyagamon: 今日、ザンギ来るの？
