[49.476] ParaSea: shakaHi
[59.496] rtmt: umeLaugh
[64.351] (S)matsu_zalem: きた
[67.036] jama4man: 1げっと
[73.871] tomatomatouma: こんばんはー
[76.399] nikkorogasi: いいいーーえーーーい
[94.402] (S)naka105: ウメハラがー！
[94.483] (S)agyou_3e456: こんばんは
[97.384] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[99.411] ejimaeri_: umeSalute
[103.190] (S)su_neco: umeCatSleep
[110.017] rotonz: 毎週の楽しみです
[110.137] かげでん: …ｩﾒﾊ…ｩメハラジォ…ウメハラジオ！
[111.432] delay1989: umeBoom
[113.876] greendayo: TableHere
[119.780] cjsc0: hi
[137.419] (S)naka105: umeSalute
[170.504] かげでん: 毎週ハガキの出し方調べるのめんどくさくて次の週が来る
[173.135] kumatedd: もうラジオの時間かー
[199.953] suginaka56: きたか
[201.032] (S)matsu_zalem: ハガキ買おう、と思って、次の週がくる。
[201.773] (S)lyo0822: きた
[203.283] かささぎ: ｷﾀ――(ﾟ∀ﾟ)――!!
[210.625] rotonz: キュードット ウメハラジオで検索すると出てくるよ
[220.815] (S)kenken_sebatex: kenken_sebatex subscribed with Twitch Prime. They've subscribed for 6 months! 
[220.916] (M)Moobot: Thanks for subbing for 6 months, @KENKEN_SEBATEX 
[225.897] rotonz: こんばんはー
[226.724] rfnd4936: 声おかしいぞｗ
[238.424] takuyatakuyatakuya: ウメちゃんの声遠いい
[239.188] 多抜深夜: 聞こえない
[239.656] higashimurayama: 安定の音小ささ
[240.510] (S)lyo0822: ウメさんの声が
[242.016] suginaka56: ウメちゃんの声遠い
[243.022] トルコ石: 声遠いです
[245.821] Kanquez05: ウメマイク入ってなさそう
[248.834] popo2322: ウメだけ風呂の中で配信してる
[248.882] かげでん: 遠いっすね
[249.440] rotonz: 声が遠いいですんｗ
[252.823] (S)PolymoZZ: 梅原さんなんか遠い
[253.499] otibana_ame: ウメちゃん声遠いよ
[255.738] (S)cubespin: ウメちゃんの声遠い
[261.210] rotonz: おｋっす！
[262.552] (S)sdy_hs: きたああああ
[262.754] (S)lyo0822: おｋ
[267.398] (S)西田敏行アウトレイジ: 毎週楽しみな唯一の娯楽です
[267.418] かげでん: 折笠レベルだろw
[267.774] kumatedd: きたきた
[267.969] higashimurayama: おk
[272.681] (S)blackcoffee0821: よっ
[275.671] (S)PolymoZZ: きたー
[276.243] (S)matsu_zalem: 偶然マッドキャッツのTシャツきてます
[289.527] (S)tea2yeah: umeCat2
[292.654] Hexx_chan: スト5配信もっとして
[308.112] (S)une3333: こんばんはー
[319.553] (S)zak1818: Twitter のアイコン変わってるw
[359.129] cooper0201: 恋愛の話めっちゃよかった。自分もガンガンいこうと思えた。
[376.135] (S)une3333: まーーた酒かいw
[402.288] (S)une3333: こだわりの「こ」の字もないでしょw
[442.525] kanpell: momochocoKami
[449.125] (S)matsu_zalem: ウ×ハラ
[460.995] rotonz: 俺梅さんのサイン３つ持ってるけれど全部同じｗ
[463.156] じゃんじゃじゃん: janseaben subscribed with Twitch Prime. They've subscribed for 17 months, currently on a 1 month streak! 
[463.517] (M)Moobot: @JANSEABENさん、17ヶ月目のサブスク登録更新！ありがとうございます！
[465.255] ぼぜ: 今日はラジオの日か
[466.900] (S)redbull_daisuki: umeYay
[498.083] (S)matsu_zalem: ウメさんは、ほぼ照れ回避
[513.871] (S)mochy0: umeFail
[515.819] rotonz: もとは土地や物や銀行とかの取引の証明だと思う
[522.257] yuyu09250925: 恩赦とか
[526.031] 桜風かなた: 写真もなかったから会った記念みたいだったんじゃないかなぁ
[543.817] NagOutSide: umeMad
[580.637] NagOutSide: umeCatHope
[581.712] gamuq: ？
[601.972] tarantarantaran: umeYay
[616.218] のな: のな subscribed with Twitch Prime. They've subscribed for 12 months! hi
[616.326] (M)Moobot: Thanks @DUSK12 with the 1 year subscription!
[617.548] gamuq: 出会ったことへの記念では？
[620.585] 阿修羅サムライ: umeShave
[656.332] orange016: 唯一無二かも、
[693.375] chappy_mgmg: そもそもサインは証って意味では
[694.552] (S)Hitode_noko: Hitode_noko subscribed with Twitch Prime. They've subscribed for 5 months! 
[694.706] (M)Moobot: Thanks for subbing for 5 months, @HITODE_NOKO 
[706.591] tarantarantaran: サインもらうの嬉しいけどな〜 
[714.793] coralbeaf: 旅先でお土産買うみたいなもんだと思ってたわ
[729.990] (S)kskfarksk: kskfarksk subscribed with Twitch Prime. They've subscribed for 5 months, currently on a 1 month streak! うめちゃん！こんばんは
[730.156] (M)Moobot: @KSKFARKSKさん、サブスク登録5ヶ月目！
[742.884] (S)redbull_daisuki: まぁ、正直サイン貰ってもその後の扱いに困る
[749.288] tarantarantaran: テリーマン 
[755.068] 阿修羅サムライ: これって生なのかな
[755.217] 桜風かなた: 出会えた証だなぁ
[758.733] (S)フォグ: サインより ツーショット写真の方がよいかな
[777.641] tarantarantaran: サイン部屋に飾ってます 
[792.801] 桜風かなた: 写真がなかった時代だとツーショット写真は絶対に無理だからサイン一択なわけだね
[795.929] chappy_mgmg: 俺はジャスティンにサインしてもらったPS4大切にしてるよ
[797.983] すなかわかのん: サインと違うけど御朱印集めってよくわかんないんですよね
[799.981] NagOutSide: ゴージャス☆のサイン2つあるんだよなぁ
[801.422] 山田たろう太郎: 憧れの存在との接点の象徴がサインだとしたら、常用する自分のものに書いてもらったほうがうれしいというのはあるのでは
[819.159] h2hiroyuki: エピソード見てたらかなり斜に構えた子供だったっぽいもんね
[835.555] kirsch_jing: 御朱印集めはともかく、スタンプラリーは好き
[838.940] hachi_mitsu: 会った記念というのはわかる。だからサインボールを懸賞で当てるとかはわからないかも。
[855.427] tabibitox: 本来所有物に書くものが別の形になってるのが嫌なんだろう
[857.298] hachi_mitsu: 外科医ｗ
[867.087] kirsch_jing: そうか？
[868.331] (S)lyo0822: マウンテンバイク持ちは外科医
[871.396] (S)sdy_hs: わかるよw
[881.037] amadori3: フロントサスとかね
[892.262] 動画勢: ６段！！
[895.358] ぐのたお: あったわ
[901.865] fox_boe: 無駄に６段くらいあったなｗ
[902.241] (S)redbull_daisuki: タイヤの感じとかね
[903.166] (S)フォグ: 何段変速とか
[904.800] ぼぜ: 中間部のシフトレバーみたいなのはクソかっこよく見えたな、当時ｗ
[904.879] myyah0999: Ｔ字ww
[908.649] rotonz: がち古いやつｗｗ
[916.248] balthazar000: T字懐かしいなぁ
[918.003] kirsch_jing: 今思うとダサいw
[929.645] tm3fan: でた、エレクトロボーイ
[940.874] amadori3: あれ今やレアなんよね
[951.356] 桜風かなた: 実際にプレゼント用意してない事件あったよね
