[60.525] balthazar000: おー
[73.007] (S)blackcoffee0821: おはようございます
[76.124] (S)shiotama: umeCatSleep
[80.444] ~MISSING_COMMENTER_INFO~: ゼルダか
[80.489] (S)acdcfandesu: ウマハラウマハラ
[81.542] ranrannbi: わーい
[85.016] (S)snooks55: きたー
[85.218] Nishi_Poteto: きたよ
[85.556] 157655: うおおおお
[86.522] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[87.601] (S)5don: ごぶーんを
[92.215] (S)cubespin: まさかの
[95.773] (S)kumanobed: こんばんは
[99.225] delay1989: umeBoom
[106.436] (S)lunasolnars: ラジオ？
[110.304] (S)はとぽっぽ: umeSnooze
[112.666] (S)supernova_412: ゼルダ
[122.784] (S)kurenai976: 来たか
[131.553] (S)snooks55: umeYung
[134.100] (S)ganmatiojisan: umeWhat
[135.706] あちかちゃん: オプションをいじってほしい
[139.569] oden_shin: 待ってました
[142.841] oimo: うおおおお
[143.751] (S)shiotama: こんばんはー
[145.346] higan1983: こんばんわ
[145.635] cormorrCRM: Daigoooooo
[146.683] BananaMonkey1986: こんばんは
[151.312] ranrannbi: こんばんは
[151.442] (S)lunasolnars: 声聞こえる
[151.510] (S)でぃーでぃーえむ: umeSnooze
[152.362] (S)redbull_daisuki: ゼルダ続けるとは思わなかった
[153.155] (S)kurenai976: おk
[155.312] (S)shiotama: 聞こえますー
[155.775] prototypeie: お、始まったか
[156.995] 小槙: うん
[158.561] shibuya42: ハマった？
[159.936] (S)blackcoffee0821: よっ
[160.063] SarriPotterNAP: やったぜ
[163.235] (S)degajun: きこえますー
[166.138] (S)不渡哲也: こんばんは！
[166.277] みょうぎ: 聞こえるー！
[167.048] フラスマ: ウメ・ゲームきたああああああ
[171.253] hakuchi11: こんばんは
[172.139] higan1983: ハイラルの風が聞こえる
[181.194] mozzi_com: リンク…リンク…
[184.618] ranrannbi: これがモリゲームですか
[188.132] falandc: 夕焼けだぁ
[189.303] prototypeie: 今日も冒険していこ
[192.587] フラスマ: 進んでる
[194.743] ranrannbi: きれいだなぁ
[202.917] orange016: よし、いっちょやっか
[204.010] ホナウド: 今日も飲み物は9パーセントですか
[211.280] gengoro1198: 髭はやし始めたの？
[216.123] ranrannbi: とべるじゃん！！
[217.773] prototypeie: 飛んじゃうか
[227.044] prisira: 飛べ！
[230.180] ~MISSING_COMMENTER_INFO~: いぶき
[231.889] falandc: うめマントあるやん！！！
[233.546] 157655: パラセールありがとー
[234.207] (S)redbull_daisuki: ストーリーとか全然興味なさそうなのに続けるとは本当に思ってなかった
[237.789] べーこん118: ちゃんウメゼルダと聞いて
[238.901] ranrannbi: ｗｗｗ
[240.439] (S)higashimurayama: 「俺にはマントがある」
[242.044] yuzrih: ゼルダ配信ありがとうございます
[248.896] cozy312: ゼルダとか45分あれば全クリ出来るし
[263.042] yi8128: なぜいまさらゼルダ
[279.913] rm_rf__: ラスボスまでロックかけてないって結構挑戦的な作りだよね
[280.498] hiro_minorin: 最近はみんなオープンワールドだな
[283.815] prisira: リベンジｗｗｗ
[290.273] べーこん118: 戦え原始人ｗｗ
[293.736] oimo: 謎ゲーやるのか
[294.272] (S)lunasolnars: むしろそっちが楽しみだわ
[294.947] hosuhosu: 世直し
[295.924] 157655: 恐竜の背中リベンジ
[296.005] lapistaxx: コンボイは？
[297.098] あと1983: ato1983 subscribed with Twitch Prime. They've subscribed for 21 months! 
[297.233] b_oka5: 原人ゲーム・・・・？？？
[298.051] (M)Moobot: @ATO1983さん、21ヶ月目のサブスク登録更新！ありがとうございます！
[298.301] 電動マッサージ器: wwwww
[301.435] prototypeie: 原始人ゲーム？
[302.249] (S)cubespin: ハマってるw
[302.508] yoruwamijikashi: 原始人ゲームみたいw
[304.889] (S)higashimurayama: コンボイかと思ったら違うのか
[316.249] 左派: qttGa
[317.258] (S)lunasolnars: 言うてゼルダはみんな多分クリアしてそうだし
[318.118] levokuma66: Wazzup DAIGO !!!!!
[319.225] Aaerox: Aaerox subscribed at Tier 1. They've subscribed for 46 months, currently on a 46 month streak! 
[319.385] ranrannbi: 武器とか盾は左の十字キーで素早くかえることができますよ
