[29.768] (S)naka105: きこえます
[31.701] 稲川淳子: おｋ
[32.159] kumatedd: きこえてまーす
[33.098] beastbeast: 声OK
[35.958] ナイアガラ55: きこえてます
[76.064] (S)ganmatiojisan: umeGuile
[86.660] justinyukiwo: きたー！
[91.528] おじキッズ兄: ラジオあるのか
[92.581] Nishi_Poteto: 神
[97.458] ぐのたお: okです
[100.018] rotonz: お疲れ様です
[100.333] 楚々: まってました！
[106.428] triskeal: 聴きやすい
[107.059] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[115.171] masapaka: 見てやるからちゃんとやれよ
[119.051] rotonz: えー
[124.293] ナイアガラ55: 永遠のエンディング
[129.239] (S)sengoku_cyber: ラスボスよ
[137.374] balthazar000: とはED
[138.199] (S)triton11519: クラハシさんが出ると全部頂点になってしまう
[153.085] ゅり: もときだよ subscribed with Twitch Prime. They've subscribed for 20 months! 
[153.236] (M)Moobot: @SHRINP_SHRINP with the 20 months re-sub! 
[154.274] ゅり: もときだよ's Sub shared rewards to 5 others in Chat! 
[160.993] balthazar000: あれは強烈だった
[181.185] ロンレン: show_business subscribed with Twitch Prime. They've subscribed for 17 months! 
[181.310] (M)Moobot: @SHOW_BUSINESS with the 17 months re-sub! 
[182.511] ロンレン: show_business's Sub shared rewards to 5 others in Chat! 
[188.469] (S)mozeib: たしかに
[195.851] kakino: クラハシ永久
[202.931] (S)myanokun: オオヌキとは…
[208.657] ナイアガラ55: ドラクエやるとカジノとかコイン集めに夢中になるタイプですかね
[214.279] (S)triton11519: 大貫とは は裏ボス
[234.431] balthazar000: にゃん師とは
[241.210] (S)diediedying: sakoとはやるとか前言ってたような…
[260.936] (S)triton11519: マンガの方が抑えた表現だった
[274.490] michi0482: sakoとはは熱いねぇ
[288.701] (S)triton11519: マイルド調整
[299.386] sdy_hs: トッププロの「とは」はやらんだろう
[306.056] (S)higashimurayama: 最速イス指しかえし
[312.172] balthazar000: 120%
[320.855] natuoman: 無敵の人は実際ああいう考えなんだろうなあ
[341.693] balthazar000: 拳にはイスで対応
[355.069] michi0482: 無敵の人はあそこまで取り組めないと思うけどね
[362.009] (S)triton11519: 全部スト2で返してきそう
[370.619] michi0482: 面白そう！
[380.761] tabibitox: 役に立たないけど面白いｗ
[382.465] momochan6: やってほしいなｗ
[385.696] mutuizumi: トガワリュウとは
[398.929] cafe_gondo: それは聞きたい...
[399.431] kakino: 全部暴論ぶっぱ
[401.774] Papapadad: なかなか面白そうだ
[405.365] (S)yamasa141414: クラハシさんの極論は聞いてて気持ちいいよねえ
[418.005] balthazar000: オフシーズンの終わりくらいにでもね
[424.286] kumatedd: いぶきってそうなのぉ？
[443.602] sdy_hs: クラハシジョークわっかんねー
[446.987] natuoman: リュウガイルが硬派にならないのが不思議だった
[447.557] (S)triton11519: 「いぶきは硬派」 藤村もニッコリ
[460.688] momochan6: ｗｗｗ
[460.831] balthazar000: 三重のノリ
[462.139] Kanquez05: 冗談のつもりじゃないと思ったけどｗ
[464.439] おじキッズ兄: 言ってるだけｗｗｗ
[486.295] burisuke: ウメちゃ～んCC２先っぽいぞ～
[513.253] momochan6: 婉曲的だなあｗ
[514.343] ぐのたお: へた
[517.781] ememeume: ememeume subscribed with Twitch Prime. They've subscribed for 12 months! 
[517.868] (M)Moobot: @EMEMEUMEさん、1年間のサブスクありがとうございます！12
[518.964] ememeume: ememeume's Sub shared rewards to 5 others in Chat! 
[520.270] (S)triton11519: ウメちゃんは2D格ゲーに全振りだから・・・
[527.586] burisuke: 下手っす・・
[529.992] cafe_gondo: www
[530.580] beastbeast: ＠ememeumeさん、HahaSweatをありがとう。
[531.713] samonyan: 「ヘタってこと？」（怒）
[532.049] jinkuMk: うーんｗ
[532.732] balthazar000: 発想を見るなぁ
[536.091] (S)triton11519: ガンストのウメちゃん・・・
[537.078] ememeume: ウメハラさんーーー
[540.784] 9211212a0105: パリィ超上手かったけど。
[544.845] hosp1990: 一つの奇跡だと思うの
[545.245] (S)papipopon: 結構下手だと思う
[546.769] kumatedd: すっごく上手かったらつまんない
[554.978] rhayader_alone: 極めるまでやり込む
[569.413] (S)triton11519: ももちもな
[577.799] (S)diediedying: 楽しいよね
[587.612] (S)rudolf1979: rudolf1979 subscribed with Twitch Prime. 
[587.863] (M)Moobot: @RUDOLF1979さんTwitch Prime登録ありがとうございます！
[588.797] (S)rudolf1979: rudolf1979's Sub shared rewards to 5 others in Chat! 
[606.229] (S)平本: 梅さん気ぃ悪くしたら帰って良いよ
[606.503] orange016: ボマー超面白いw
[612.041] ナイアガラ55: 当時は対戦ゲームと言えば格ゲー一択でしたからね
[615.318] tabibitox: 好きで努力して身に付いたスキルってことかな
[618.680] kumatedd: へえー
[630.627] sdy_hs: テッペンの試合数見る限りやりこみ具合が異常
[666.110] (S)diediedying: ギルティの初めもかなり煽られたらしいよね
[681.153] suginaka56: クラハシもウメちゃんは取り組み方が違ったと言ってたね
[684.451] esrever42: ハマったときの集中力が凄いんだと思う
[699.904] kuuso1: ゼルダに巧さとかない気がする
[721.810] kumatedd: 「誇り」
[743.762] tabibitox: 異色の食事会
[747.094] (S)平本: 倒してきたプレイヤーが乗ってるんだよね
[749.145] obo_006: sakoさんと釈迦さん達とですか
[750.164] (S)yamasa141414: おー
[750.946] 88ctr: ゼルダはうまくやろうと思ってないでしょ
[755.130] (S)sengoku_cyber: 高級店じゃん
[760.837] (S)triton11519: 高級料亭
[767.566] hosp1990: 交流した？
[776.299] momochan6: シャカいたね
[786.242] (S)triton11519: ツイッチの有名配信者といえばDTNとかかな
[788.038] ememeume: sakoさんと写ってたやつかな
[791.860] kumatedd: 有意義な交流があったんだ
[802.341] suginaka56: 確かに
[803.690] 65vr39: 音質が最重要だね
[805.357] tabibitox: 10分1秒やね
[810.585] (S)sengoku_cyber: 確かにね
[812.794] (S)yamasa141414: まあ、見るけどね
[818.699] matuzawa826: どんちゃん・・・
[820.658] hosp1990: 動画ぱくられてるよね
[821.016] valhalla5555: 釈迦さんと会ったんだ
[824.723] kakino: 入り口
[827.753] (S)平本: 長時間作業用としては長くて良いけど
[831.006] (S)papipopon: 編集された違法なのyoutubeに上がりまくってるからな・・・
[832.071] (S)kiku1133: 字幕つけてつべにあげて編集すればみるかも
[835.972] (S)triton11519: ツイッチで生放送やってyoutubeで動画載せる人多い
[836.642] heater55: 動画泥棒して編集してる奴の方が再生数多かったもんね
[838.737] (S)cubespin: ｗｗ
[842.084] kuchikey_7144: ww
[845.742] michi0482: そうそれ。編集しないから変なまとめチャンネル乱立しちゃってるからなぁ
[846.218] tabibitox: リスナーにたのめば誰かやってくれるよ
[848.664] (S)たたみぃ: ww
[861.385] (S)yamasa141414: おおー
[868.114] kumatedd: 泥棒の人が応募してくるかな？
[870.064] ebityper: まとめ動画作ってるやつ取り込めばいいよ
[871.706] (S)papipopon: 本家よりガンガン再生数稼いでますし
[877.768] (S)sengoku_cyber: 第二の折笠
[878.023] ememeume: でも飛ばし飛ばしでも見るけどな
[878.230] サラバア: シノビズムはゆうたつと説教を編集短く編集してupしてるよね
[879.187] hato_pizza: カワノがオレがやりたいくらいって言ってた
[879.329] (S)triton11519: ビースTVで編集外注スタッフか
[883.181] hato_pizza: 配信で
[886.576] hosp1990: ぱくり雇ってる人いるらしいね
[892.111] suginaka56: 折笠さん別にやばくなかったでしょw
[913.173] aryupaka: おい！
[913.427] coralbeaf: どんチャンネルが輝くとき、来たな
[914.565] (S)triton11519: 鷲巣麻雀とか？
[926.326] ememeume: umeSalute
[930.323] obo_006: カワノしかｗ
[930.720] hato_pizza: 数人の会社作った方がよくない？
[931.364] kumatedd: 17歩のやつテロップとか解説入りだとすごい見やすそうだね
[936.903] ememeume: いいなーーーー
[939.241] りあ仮称: カワノじゃダメなのかな
[945.123] samonyan: 純子亀
[947.034] (S)sengoku_cyber: 待遇次第よ
[949.972] tabibitox: リスナー使うのがベストやで。積極的な人は必ず居る
[950.729] (S)papipopon: シノビズムは最近上手く編集してかなり再生数稼いでるね
