[51.045] nomo321546: こんばんは！！
[71.452] sansiki205: あけうめ
[73.500] gnshot: 獣
[76.478] (S)shinichi_fukuda: あけましておめでとうございます！
[77.995] ohakonbanchiwa: 明けましておめでとうございます。
[79.994] (S)うつらん: 風邪大丈夫なのか
[80.390] tako6gtako: 明けましておめでとうございます
[83.123] umememe: ウメちゃんあけおめ！
[84.791] (S)キタちゃん: 風邪大丈夫ですか？
[86.779] tarantarantaran: umeYay
[86.799] NHK11NHK: あけおめ
[87.422] ame_do: あまけしておでめとう
[89.557] scarface0702: あけましておめでとうございます
[89.594] hiroro570: あけましておめでとうございます🎍
[92.320] (S)gajpmwtdpw: あけましておめでとう
[94.167] NHK11NHK: コトヨロ
[94.349] rukialove: アケウメ
[98.599] one596: あけましておめでとうございます。
[98.673] (S)gajpmwtdpw: ことよろ
[101.012] lPlayer5l: 梅さんあけおめですー
[101.526] (S)tktk0827: あけおめ！
[102.230] bananaKICKMAN: あけうめ
[103.187] とりあえずちさと: 元旦からご苦労様です
[104.253] shomarusan: umeLaugh
[104.882] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[105.924] _ねこた_: あけましておめでとうございます！
[108.392] NHK11NHK: アゲアゲ
[110.278] Maxxyy_m: うおーあけましておめでとう
[110.926] ぬちまーす: こんばんは あけましておめでとうございます
[112.160] kanegon7237: あけましておめでとうございまーーーーーす！
[112.278] may_show: happy new year Daigo:)
[113.245] るーらん: あけましておめでとうございます！
[113.526] (S)たあぼ0126: 梅ちゃんあけおめ
[114.206] とりあえずちさと: あけましておめでとうございます
[114.831] metalface_05: おおきたか
[115.947] megurun: あけましておめでとうございます
[116.741] ぴあにっしも: あけましておめでとうございます
[116.903] gnshot: あけましておめでとうございます。いつもウメハラさんの名言に励まされてますＸＤ
[117.095] crusade893: 明けましておめでとう！！
[117.887] habutaedango: 明けましておめでとうございます
[122.390] Aatyu: sakoRough
[123.900] cafe_gondo: あけましておめでとうございます！
[124.341] てつぼー: あけましておめでとうございます！
[124.358] ememeume: ウメハラさんーーー！！
[127.347] Mayumix1025: 明けましておめでとうございます！
[127.574] xxyba_: あけましておめでとうございます
[128.409] whitenoise86: あけおめです！
[128.433] (S)kouyamanodanna: PartyPopper
[128.834] (S)たあぼ0126: 風邪治ったのかな？
[133.979] ememeume: 風邪大丈夫だったかな？？
[134.243] (S)blackcoffee0821: FortOne
[137.228] takemaru18: あけましておめでとうございます。
[140.611] chvmploo: happy new year 
[140.995] Vitamin_Z7: What happened the daigo’s translator , i forgot his name jouana maybe ??
[141.115] kanoshimai: アケウメ！
[141.319] チー油: あけましておめでとうございます🎍
[143.904] suginaka56: umeGrin
[145.515] kumatedd: ビーストあけおめです！！
[145.904] cloudless46: あけましておめでとうございます
[148.018] asseternum1: owaaaaaaaa
[150.152] ねやみ: ウメちゃんあけおめ
[157.403] mako6912: 明けましておめでとうございます
[157.778] (S)ソルダ: あけおめ
[159.696] twitcher234: うおー
[159.918] (S)パパゲーノ: He’s Daigo!
[159.996] simple_geek: umeGuile
[161.031] 斉川: umeBoom
[161.295] ぴあにっしも: 写真w
[163.468] ememeume: 実家帰って戻ってきたところかな？？
[166.274] mojokung: あまけしておでめとう
[166.965] (S)juno0220: あけウメー
[168.709] osugi_bent: osugi_bent subscribed with Twitch Prime. They've subscribed for 14 months! 
[168.786] (M)Moobot: @OSUGI_BENT with the 14 months re-sub! 
[175.221] take00to: sakoAkiki
[175.855] (S)sensai1000: sensai1000 extended their Tier 1 subscription through February! 
[175.954] (M)Moobot: SENSAI1000さん、サブスク登録ありがとうございます！_(. _ .)_
[179.144] redbull_athlete_2020: あけおめことよろ
[179.651] kanegon7237: あけましておめでとうございまーーーーーす！
[182.752] firip6666: あけましておめでとうございます。
[186.303] 000105: うおーあけおめ
[201.714] sakuyatachibana: あけおめです
[219.350] tarantarantaran: jilLeft
[222.253] tyapa95: 原始人から逃げるな
[222.670] syu1213_: きたああああ
[237.219] ememeume: umeGrin
[245.421] nagoyan138: YouTubeのサムネがウメハラのイキ顔だらけなんだが
[246.727] metalface_05: きた
[250.847] (S)oraci0o: umeCat
[251.873] drinkpickle: where is daigo
[254.127] glasskyut: sakuraspSalute
[254.225] redbull_athlete_2020: 風邪なおったのかな
[255.321] 斉川: umeCat2
[255.558] (S)show_an: あけましておめでとうございます 
[257.999] dom0629: 実家から帰ってきたんですね
[258.142] (S)kaworuko19: 実家から戻ったんかウメちゃん
[261.445] shomarusan: 息が切れてる！？
[262.035] ~MISSING_COMMENTER_INFO~: うおー、体調大丈夫なんですか？
[262.228] metalface_05: ウメちゃんあけおめ！
[262.234] balthazar000: ダイゴ風邪？
[262.982] (S)tukumi07: ハァハァいってる！ 大丈夫？
[263.178] (S)higashimurayama: 風大丈夫なん?
[263.827] (S)さぶん: ﾊｧﾊｧ
[265.209] tarantarantaran: あけおめ〜 
[265.419] (S)たあぼ0126: umeYung
[265.420] くろせん: 風邪大丈夫なの？
[265.698] (S)kaworuko19: 体調だいじょうぶ？
[266.310] (S)ソルダ: 風邪大丈夫？
[267.413] sansiki205: 風呂上がり？
[267.658] avmajvm: うおー
[268.249] (S)king_ice23: 体調は大丈夫？
[269.017] ememeume: ウメハラさんーーー！！
[269.384] lun__01: どうしたウメちゃん
[269.649] ありぴっ: Jebaited
[269.803] 何も知らないジョンスノウ: うおー復活おめ
[270.357] kumatedd: きたあ
[271.930] crusade893: 風邪大丈夫ですか？
[273.027] Gamenhaji: 風呂上りw
[273.163] sansiki205: きけおる
[273.230] ボンクライ: あけおめ
[273.880] _ねこた_: あけましておめでとうございます！
[274.086] (S)ソルダ: 聞こえる
[274.454] (S)higashimurayama: ok
[276.275] sansiki205: きこえる
[276.444] yuiaog: umeSnooze
[276.874] bakkuriclub: あけおめ～
[277.078] twitcher234: うおー
[277.377] metalface_05: 大丈夫
[277.843] ys120: 風呂上がりハラダイゴ
[278.024] kumatedd: 風邪ちゃん大丈夫？
[278.367] (S)manabubb: ええやん
[278.754] scottiever06: 遅めのパブロンも意外と効くよ
[279.020] shomarusan: 声OK
[279.032] 桜風かなた: umeCat
[280.830] とりあえずちさと: TES
[280.943] crusade893: 声ok
[281.193] オルちゃん: 風呂上がりのおじさんかな
[281.643] サラバア: 風呂？
[283.002] くずやがやる: あけおめー
[283.245] ありぴっ: 風呂上りか
[284.191] menpati: あけおめー
[285.052] ememeume: 聞こえるー
[285.280] torasan201202: umeStretch
[285.840] may_show: are you ok?
[287.185] 何も知らないジョンスノウ: きこえる
[287.369] _ねこた_: 聞こえます！
[287.538] とりあえずちさと: YES
[287.602] Joker_plus237: オンラインしてる人いるの？
[287.863] ありぴっ: きこえる！
[288.054] arclamp01192: 聞こえてます
[289.056] kumatedd: さっぱりしてきたやつだ
[289.454] (S)hituji__: hituji__ subscribed with Twitch Prime. They've subscribed for 9 months! ノリノリなうめちゃんいいぞ
[289.547] (M)Moobot: Thanks for subbing for 9 months, @HITUJI__ 
[289.872] (S)nabenights: ウメちゃんあけおめ
[290.180] prosciu: あけおめー
[292.161] 斉川: あけおめめ
[292.526] redbull_athlete_2020: よかったー
