[39.776] juuuunation: umeSalute_BW
[59.650] 多抜深夜: お
[63.558] BananaMonkey1986: こんばんは
[67.560] shokatsu_koumei: だいご！ざびーすと
[67.714] Raynys: DAIGO SAMAAAAAAAAAAAA
[69.280] purupurukun03: やあ
[71.501] (S)shinichi_fukuda: こんばんは！
[72.889] metoro3: 配信頻度高い
[73.715] (S)acdcfandesu: ウマハラ
[76.325] syoten: FOOOOOOOOOOOOO!!!!
[76.577] myonchan_daisuki: こんばんわ！
[77.051] (S)shinichi_fukuda: 音大丈夫です
[79.798] Mogul_Kahn: omg Diego Umejuarez!!
[82.018] ナイアガラ55: ウメちゃんこんばんは
[85.038] (S)rotonz: おはようございます
[85.081] takuya896: おいすー
[85.265] (S)ふぁびかん: こんばんは
[86.408] kamisimeru: ストVしますツイートおじさん
[87.267] (S)yattunohoo: こんばんは
[88.790] xenys3: 待ってましたと言わざるを得ないなこれは
[88.857] (S)ragdoll303: うめちゃんおつです
[89.499] (S)ehong100: Hi daigo
[90.390] sahaha213: こんばんは
[91.916] lorifinegaming: test
[92.124] フッテン: umeSnooze
[95.823] funwarineko: こんばんは
[100.810] rkuuhaku: Kreygasm
[101.205] shiotama: こんばんはー
[102.306] baku2miser: こんばんは。影メインあるで。
[102.946] rhayader_alone: お仕事お疲れさまです
[103.182] (S)ふぁびかん: 最近、配信多い！
[107.517] purupurukun03: 梅ちゃんの配信を讃えよ
[109.043] カエル君: 今日は最初から見れる！
[114.254] usizura: ビール飲みながら昨日のアビ見てたらはじまったうれし～
[117.286] 多抜深夜: スト5しますbot
[117.567] 斉川: 対戦会行ったの？
[117.808] (S)ふぁびかん: ワイプて見ると痩せてきた？
[122.704] (S)べーこん118: 今日も元気にウメちゃん配信
[126.511] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[127.218] bomb_bomb_burine: こんばんは
[127.932] xenys3: 昨日何時までやってたんだろ
[130.939] pyamaaaa: 今日は何使いますかr
[132.317] umememe: ウメちゃんこんばんは～
[136.515] AleksandrSudak: 今日も遅くからですな
[137.302] kumatedd: 練習王こんばんは
[138.271] chankuri_kori: Kreygasm
[140.312] tibusa8: 昨日配信切るの忘れてましたね
[140.659] kamisimeru: お酒は控えてる男
[142.117] jigokunonekomatu: 今日もカゲかな？
[145.632] 斉川: umeCat2
[149.304] gazzakazu: やっぱり、カリスマ性あるよな。😊
[153.972] lorifinegaming: hi daigo genki kai?! greeting from australia
[157.376] pyamaaaa: 痩せました？
[157.591] testcrashdummy: im early
[158.981] (S)ふぁびかん: レッドブルをレッドブルに注いでた？
[162.694] (S)ウィルスミスビンタレベル8: HeyGuys
[164.888] balthazar000: こんばんカゲ
[165.989] aori37: 毎日配信
[166.104] フッテン: DarkMode
[173.583] hosp1990: の？
[178.306] ~MISSING_COMMENTER_INFO~: hello!
[179.669] (S)totomaru_chan: 対戦会でカゲ使ったりしないですか？？
[185.011] Raynys: @lorifinegaming man, how is the situation now in Australia?
[190.731] (S)rotonz: umeCat2
[190.997] (S)べーこん118: 面白さに気付いちまった
[197.892] fgs55: sakoさんありがとー
[198.189] kumatedd: カゲやめらんないんだけどぉ！
[198.819] (S)ウィルスミスビンタレベル8: やる気勢やん
[200.148] (S)ふぁびかん: サブガイル
[201.578] みっさん0004: こんばんは。今日も配信ありがとう
[201.742] hiya_dkr: なおくんありがとー
[205.384] Nenos4twc: まだ棒？
[211.777] LT123456: 1月って大会とかあったっけ？
[224.843] hosp1990: ガイルの翼次第
[240.015] kentama111: ニルヴァーナはもう使ってない？
[240.119] 乱火隊長: えぼじゃぱん
[240.792] (S)ふぁびかん: 本格的にヒットボックスのレバー付きを手に入れないと！
[241.647] (S)fapfapjpn: umeYay
[242.177] 0redgold0: hey daigo hey guys
[242.374] ﾃﾄﾗﾝ: このスト5大好きおじさんがよぉ～
[243.218] (S)べーこん118: 速くもキエエエエエ
[243.359] shupii0907: それぽい
[249.129] usizura: なおくん生発動も全然ありって言ってた
[249.326] (S)nagilay1: 開始2分でキエエエエエ
[249.712] syoten: キエエエエエエエエ
[250.350] Raynys: he's playing again with the hitbox?
[251.506] asseternum1: hey hey
[252.358] xenys3: これだね
[252.431] jigokunonekomatu: なおくんはトリガー1推しの模様
[257.250] ~MISSING_COMMENTER_INFO~: Where's cats? i want to see them
[261.525] (S)べーこん118: ヒトボにレバー付きなんてあるのねぇ
[281.837] 鉢植: momochocoOha
[285.314] shupii0907: 禁止じゃないの？
[288.596] (S)ふぁびかん: まだ、正式版出てないけどね
[292.479] LT123456: レバーレスジャナイコントローラ
[296.002] (S)べーこん118: ほえ～
[299.551] jigokunonekomatu: レバー付きヒトボってまだ日本で売ってないよね
[301.734] 不渡哲也: レバー付きは精神に反するんじゃ？
[302.479] (S)kak_999: 801ストライダーが使ってたやつ？
[314.013] (S)ふぁびかん: それそれ
[316.819] yuzu1988: 影はやっぱりレバーじゃないときつい？
[323.813] Raynys: PogChamp
[326.752] shupii0907: ４００
[327.037] (S)nagilay1: キエエエエエエ
[328.018] (S)fapfapjpn: umeYay
[328.420] (S)イルソイル: 相変わらず、お酒は飲んでない？
[329.534] syoten: キエエエエエエエエエエエエエ
[335.212] crusade893: キエエエエがずるい
[336.560] (S)べーこん118: 瞬獄殺に飢えてる
[340.448] jigokunonekomatu: レバー付きがダメならパッドもダメでしょ
[341.110] hosp1990: じゅびじゅび
[344.014] (S)tabibitox: レバー部分がパッドのアナログステッキならおｋだが残念ながら噂の品はスイッチ型なのでCPTアウトです
[348.921] jigokunonekomatu: キエエエエエエエ！
[350.791] らみはい: ありがたやー
[353.694] Gordstorm: ありが
[355.054] (S)べーこん118: ガイルに戻れなくなっちゃうううう
[355.078] showsbsp: きえええええええええええええええええ
[355.238] pyamaaaa: 痩せましたね！
[356.200] (S)ふぁびかん: 確定版も？
[357.078] gaogaoticket: myyudetamago subscribed at Tier 1. They've subscribed for 14 months! 
[357.172] (M)Moobot: @MYYUDETAMAGOさん、14ヶ月目のサブスク登録更新！ありがとうございます！
[357.468] shiroinferno31: さすがウメハラ
[359.447] (S)イルソイル: レッドブル、1日何本飲むんやろ。
[362.579] ~MISSING_COMMENTER_INFO~: カゲのモチベなんでそんなに高いの
[367.098] (S)65vr39: ジコケンで詳細言ってたけどレバー付きhitboxは精神に反するらしいんだよな
[367.114] shupii0907: 生ちゃう？
[373.256] ツカポン: 中身は
[376.810] Gordstorm: 差し合いしたいんやな
[381.264] shupii0907: そら反するやろな
[391.532] AleksandrSudak: レッドブルの中身がポカリにすり変わっていると良いんだが…
[397.759] terramystica: レッドブルって買ってるんかな
[399.466] (S)ふぁびかん: ジコケンのは先行版やで
[402.080] ツカポン: 甘すぎやろ！
[402.135] だんなびー: こんばんは
[405.261] (S)べーこん118: じゃあ801はKUMITEのみ使った感じかぁ
[409.111] ~MISSING_COMMENTER_INFO~: レッドブルの中身、実は酒らしいよ
[428.466] jigokunonekomatu: ポカリのカロリーも地味にヤバいし、なんなら塩分高い
[432.217] (S)ふぁびかん: レッドブルに何かを注いでた
[436.079] (S)イルソイル: @fakyu0707 そうなんや！あの缶に酒入れてんの？
[436.565] LT123456: タブルシコ
[438.347] なかしょう: レバーと方向ボタン同時入力出来なくてもダメ？
[438.944] (S)子亀の親分: さすがに支給されるしょ
[441.374] ツカポン: でも現実、全部ブルだったら逆に超人。
[449.150] videoneon: heyo!
[449.702] (S)noirebionic: 昇竜パナしても禊でカバーできなかったっけ
[456.669] AleksandrSudak: 塩分か、確かに…
[459.386] (S)イルソイル: ウメハラセンパイ、風呂上がりっぽいな。
[460.615] shupii0907: できないね
[461.141] usizura: 酒飲んで格ゲー無理でしょ
[465.092] asseternum1: yeye
[478.787] umememe: ウメちゃん顎破壊するの減ったね。善良な心芽生えた？
[481.932] Naonao765: レバーとボタンスイッチ切り替えで、で完全に排他的にしか使えないようにしたら、いいんじゃないの？
[488.130] ツカポン: コントレックスなんて水あったなー
[489.207] jigokunonekomatu: もうレッドブルの緑茶出したらええねん
[490.748] kanpell: 影とガイルってシナジーあるの?
[493.324] (S)tabibitox: 酒のんで格ゲー・・・カナダカップ・・・うっ
[501.111] (S)ふぁびかん: レッド太り
[507.671] balthazar000: アゴは無事だが、タコ殴りにして滅殺してるよ。
[511.852] フッテン: レッドブル何で割るとうまいんや？
[512.229] (S)べーこん118: カウボーイウメハラ
[539.711] say0uten: ウォッカ
[539.800] jigokunonekomatu: なおくんよりキエエエエエエエ！って言ってる
[541.600] AleksandrSudak: ブルウォッカは旨い
[544.297] (S)子亀の親分: ウメちゃん絶対3回目は投げないね
[544.987] (S)イルソイル: なんかしてる。
[546.000] (S)scottiever06: 練習部屋でカゲ使った？
[555.269] (S)イルソイル: なんや？
[555.611] 明日は我が身: 今日のウメハラさん綾野剛に似てる
[556.751] higatti: ブルはデブになる飲み物
[561.078] Nekotrap: HahaReindeer
[567.395] ymdmad: レッドブルカシスは咳止めシロップみたいでうまいよ
[568.324] itichan: umeMad
[571.775] (S)将門ゴルゴロ: レッドブル割
[571.969] kibayashi21: カゲ面白いですか～？☺️
[572.298] (S)イルソイル: どないしたんや？
[572.315] horikawa_r_i_k: 久保とアビ配信しない？
[578.151] dekamega: シュガーレスブルありがと～！！！
[584.835] ~MISSING_COMMENTER_INFO~: レッドブルって恐ろしく砂糖入ってるよね
[588.499] (S)poki35: umeCatGlare
[592.215] NURCUGDSO: Daigo funny man 😀
[594.396] byepush: what happens if you drink more than 10 redbulls a day
[603.779] Raynys: ^you can fly
[611.837] NURCUGDSO: Reddbull is dead 😀
[617.407] tencooooooooooo: 今日はえらく顔色がよくみえるな
[618.237] (S)イルソイル: まだ話さないウメハラセンパイ…
[618.736] byepush: i knew it! 
[624.315] (S)kak_999: umeCat2
[625.858] ymdmad: ガンファイトニキもやってるやーん
[627.896] (S)user81023: ウメちゃん！
[633.184] (S)yattunohoo: umeCat
[639.724] usizura: ガンファイトすきよ
[640.519] lunasolnars: 今日ラジオ？
[641.964] (S)べーこん118: ウメちゃんまだお酒抜いてるの？
[645.425] horikawa_r_i_k: 今の影の課題ってなに？
[646.869] doublepush_da: 憂鬱なん？
[647.373] ~MISSING_COMMENTER_INFO~: 2月の調整でカゲ強化されんかなー
[658.038] (S)dsadsa454654: umeFail
[659.139] kibayashi21: 灼熱
[668.735] hihirara_dayon: umeYay
[669.015] byepush: girl seth 
[671.416] shupii0907: リーチとか
[671.632] AleksandrSudak: we're discussing what's really inside those cans. main question is, what's the degree of alcohol inside
[672.986] (S)イルソイル: あ、話した。
[678.443] tencooooooooooo: CPT始まったらもうカゲって触らないん？
[678.931] (S)user81023: ちゃんウメ！
[686.573] yuzu1988: 風邪は治ったみたいですね
[689.586] 河合惣五郎: お疲れ様です
[690.588] jigokunonekomatu: セットプレイじゃない
[690.891] showsbsp: 我道拳がもうちょっと飛んだらなー
[717.233] (S)tabibitox: まぁそれは経験で
[726.740] ~MISSING_COMMENTER_INFO~: 波動拳飛べば短いリーチも少しはましになりそう
[730.052] (S)user81023: ヒトボですか？（一億回目
[739.515] 鉢植: ほいお疲れ様
[745.097] (S)tabibitox: 影は棒やで
[748.384] shupii0907: 灼熱があるし波動は飛ばなくてもいんじゃね
[751.209] metoro3: umeCatGlare
[757.269] (S)user81023: ありがとう！
[769.298] (S)ふぁびかん: 棒とヒトボ両方は遠征大変そう
[775.520] dopweb: ももちと2窓してるけどテンションの違いがすごいw
[780.341] あと1983: こんばんは。開幕カゲだあ
[796.657] (S)かふぇらて_: umeCat2
[799.484] kokuyoshi: ｷｴｴｴｴｴ
[800.058] honeta39: sakoRoughL
[800.144] (S)fapfapjpn: umeCatHope
[802.029] (S)将門ゴルゴロ: キエエエエ
[802.594] Raynys: PogChamp
[804.335] domontyan: リスナー確認
[805.926] 鉢植: す～ぐ滅
[807.397] kibayashi21: しゅんごくやっぱカッケー
[808.894] (S)redbull_daisuki: ウメちゃん、こんばんは！
[814.953] Raynys: BigPhish
[816.603] keydashonline: umeharaaaaa
[818.429] 栢木メイ: ウメちゃんエボジャパンでるん？
[818.505] keydashonline: :D
[819.548] (S)子亀の親分: sakoOk
[823.271] kamisimeru: その「あついあつい」ってなんなのｗｗ
[824.991] LT123456: ノルマ達成簡単だねぇカゲは
[827.604] byepush: diego 
[829.543] shupii0907: 禊後立弱K大竜爪で＋５だってさ
[829.573] (S)ふぁびかん: 何か吸った笑
[832.916] (S)イルソイル: 缶に熱いお茶？
[834.521] (S)kak_999: アチアチ
[837.597] フッテン: 熱燗か？
[840.238] jigokunonekomatu: 瞬獄はやっぱええな
[840.921] (S)イルソイル: 缶に、味噌汁？？
[843.526] (S)tabibitox: 爪後はもう知れ渡ってるから手前ですな
[844.962] (S)triskeal: 酒飲んでるから暑いんじゃない？
[846.281] (S)user81023: お紅茶
[846.388] あと1983: 灼熱だよ
[859.901] (S)redbull_daisuki: ホットブル？
[867.968] (S)イルソイル: 缶に熱燗？
[870.380] usizura: おちゃじゃね
[873.201] (S)イルソイル: 熱缶。
[874.981] ~MISSING_COMMENTER_INFO~: あったかい日本酒を空のブル缶に注入
[899.925] 黒虎えびお: ウメちゃんいたぁ！
[905.925] (S)ふぁびかん: ホットブル
[919.872] horikawa_r_i_k: スキル一一択に見える
[927.354] Gordstorm: ぷはー
[936.478] dekamega: レッドブルそこまで深く味わう？
[956.146] (S)tabibitox: なおくん「大昇竜うっとけばいい」
[956.354] (M)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[961.252] (S)~MISSING_COMMENTER_INFO~: TEPPENはもうやめたん？
[981.618] (S)FENR1SWOLF: Umehara san 
[981.860] AggressionJV: LUL
[983.668] (S)ホナウド: 今日は対戦部屋でガイルやってきたのですか？
[985.721] keydashonline: :P
[986.598] gaga328: ウメちゃん、顔色悪いな
[987.952] SCORPIONx218: LUL
[988.173] yoshinani11: LUL
[993.285] lutz001: ｗｗ
[994.032] asseternum1: demon missed
[994.751] Tessiuz: nice combo choice 
[995.734] horikawa_r_i_k: やっぱカリンの大パンのリターンっていかれてるなつまて思うな。
[996.675] keydashonline: nice
[1001.991] 多抜深夜: なおくん「空刃瞬獄が強すぎてゲーム下手なる」
[1003.888] AleksandrSudak: umeCat
[1006.887] highspeedwarakia: ６大Ｐクラカン大Ｋ昇竜追撃だった？さっき
[1007.057] ゅり: umeCatSleep
[1019.449] sukerousun: ちょっとやせた？
[1028.533] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[1033.779] balthazar000: 昇竜入りそうだったね
[1034.349] aquarium_tw: 今日かっこいいですね
[1040.101] 河合惣五郎: 明日ラジオあります？
[1049.723] 斉川: サブスク動画は今月？
[1049.910] Gordstorm: すと５やせ
[1052.647] kumatedd: 大成功風邪ダイエット
[1053.596] jony_avion: 年始から作画いいです
[1054.155] dekamega: 注いだ？
[1054.318] keawuot: それはやつれたって言うんだよ
[1057.953] (S)イルソイル: お酒は飲んでない？
[1058.689] shizuna1219: umeSnooze
[1060.890] ヒト: ex昇竜のおき攻め性能が大より悪いの何故なのか
[1066.844] (S)redbull_daisuki: 世の中も今日から通常営業なったからゼルダ配信でもええよ
[1071.968] mohumonn120: ウメハラダイゴさん 
