[31.579] ninsoku: 聞こえます
[32.230] (S)naka105: 来たよ
[36.149] (S)pem97476: ﾉｼ
[37.999] (S)verdict5557: umeCat2
[39.130] (S)nagilay1: おっけー
[39.386] kumatedd: こんばんは
[40.958] 風水ライダー: きた
[48.699] (S)naka105: 音OK
[49.256] lyo0822: お
[53.799] (S)tabibitox: おおーん
[65.876] Weegeepootis: :)
[69.014] (S)tamamura_jp: umeBoom
[70.667] (S)acdcfandesu: diego oo
[71.431] (S)pem97476: umeCatGlare
[71.631] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[71.923] lyo0822: おｋです
[74.771] koyabuogs: NotLikeThis
[77.642] (S)fapfapjpn: umeCatSleep
[77.947] ymdmad: スト5やります
[78.542] tarantarantaran: umeYay
[80.655] stren_jp: おつかれさまでした
[83.831] (S)kanegon7237: ウメさーーーーーん！！！
[87.520] (S)naka105: umeBoom
[90.702] (S)suigenius: おはうめ
[94.091] icyblue1985: ウメちゃんこんばんは
[102.564] (S)tabibitox: おー
[105.131] torasan201202: umeLaugh
[105.369] jinpace: こんなのだったっけ
[107.761] kumatedd: うわぁ？！
[107.853] 風水ライダー: さわやか～
[107.937] Kanquez05: あら新しい
[108.277] icyblue1985: BGMかわった
[112.368] umeharagodaigo: 変わった
[114.863] (S)kanegon7237: カッコイイーーーー
[115.374] (S)naka105: 新しいBGM
[116.071] (S)157655: エモOP
[121.259] lyo0822: おお
[123.974] (S)wahaha7788: おしゃれ
[131.637] icyblue1985: ヤス！
[131.828] i3m136: ウメちゃんー
[136.795] lyo0822: いいやん
[136.904] gomesu: 昨日の散歩配信面白かったです
[148.232] NURCUGDSO: Daigo speak english .
[163.841] Axidoz: SeemsGood
[169.242] じゃんじゃじゃん: 配信多すぎて追いつかなーい！
[174.375] (S)valhalla5555: いいBGM
[180.603] kumatedd: 声の素材がね
[192.415] icyblue1985: ｗｗ
[198.342] tokorozawabeast: う、う、うめはらじおだ～～！！
[204.276] icyblue1985: 喜怒哀楽
[204.925] kumatedd: ぶりっことか
[204.953] (S)redbull_daisuki: ウメラジ
[212.841] icyblue1985: 草
[214.694] (S)valhalla5555: 芸人かな？
[218.591] hachi_mitsu: マイクのレベルよくなったね
[218.949] おじキッズ兄: やりたくなさそうすぎて笑う
[220.566] mutuizumi: かぶき
[222.123] tokorozawabeast: ピッチを変えてハイテンションウメさんを合成で作ろう！
[224.010] kumatedd: もう照れてる
[224.283] (S)HAL_0120: こんばんは
[226.952] oinari6: あれ聞いててちょっと恥ずかしい
[227.308] Kanquez05: ビッツ貰った時くらい
[229.342] (S)chankuri_kori: ml7Sleeper
[229.488] lyo0822: ｗｗ
[232.194] borkh3js: HeyGuys
[233.955] icyblue1985: テレハラ
[235.333] jinpace: スト5やってるときあんなテンション高いのに
[239.281] mutuizumi: ウメビッツ
[241.098] じゃんじゃじゃん: やめろよ、ウメハラ嫌がってじゃん
[243.759] kumatedd: 練習してくるのかなｗ
[250.151] (S)wawawa1209: ウメハラいじめるな
[254.157] (S)matsu_zalem: 「サマソ！」みたいな感じで
[255.274] (S)redbull_daisuki: アールさんみたいな感じで
[256.666] (S)65vr39: ウメハラさんはそこまでやる必要は無いと思うんですけどぉーー(ﾁﾗﾁﾗ
[259.557] tokorozawabeast: ウメさんは若いからハイテンションでいくんだよね～
