[66.152] vovovoooooo: ぐへへ
[73.940] twtchid: umeCatHope
[103.968] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[112.232] yoshikawa_yo: ストVだああああ
[113.827] akiaki0612: あ
[116.754] (S)ぬちまーす: おはようございます☀
[124.405] ぱぱすぬわ: ストに命を捧げた男
[125.516] tabibitox: 声おｋ
[129.613] twtchid: OK
[136.237] (S)Novaprimexx: First !
[136.540] (S)anago69: おはようございます
[137.048] akiaki0612: 聞こえてたで
[137.076] オシュ: グラブルやりますだと思ってた
[140.245] satoukazuma777: スト5一本でいく
[141.608] 000105: グラブル今日発売日っすよ
[143.019] helloimlem: UMEHARA SAN
[145.185] あと1983: おはようございます
[145.706] シシガバ: グリブルやらないよ
[154.980] tabibitox: 安定のスト5bot
[156.559] (S)acdcfandesu: ダイゴー
[160.534] (S)po0oo0oq: 昨日は大丈夫でした？
[165.265] ninjin_v: 今起きおはようございます
[166.315] 座陰くん: おはようございます
[167.842] akiaki0612: 猫の鳴き声が聞こえてた
[168.524] girotin89: umeCatHope
[168.776] spring__thief: ダイゴはグラブラない
[169.057] ブルータリズム: スト５bot w
[171.903] twtchid: グラブ・・・
[173.054] lun__01: おはウメちゃんはスト5
[180.883] balthazar000: おはよう御座います
[183.474] blackie_1988: サイゲどうして
[184.186] mameneko1124: これ見ないとなんかなってなるから好き
[188.604] khide05: スト５botがグラブルやるわけあらず
[190.972] akiaki0612: サイゲの人のみスト5
[193.630] kumanobed: おはようございます
[197.108] igor_umechanchin: グラブルしません
[198.086] LSI1000: グラブルはdaigoには似合わない
[199.783] Nishi_Poteto: スト五しますか
[205.793] vcdva: だいぶまえにやったからそれでおわり
[216.968] hitohiranomaruki: グラブル配信すごいね。
[219.655] sh1zuku716: ストⅤあまりにも硬派
[221.385] twtchid: サイゲに怒られない？ 
[223.042] balthazar000: チャット欄地獄になる予感
[223.251] シシガバ: ッパスト5よ
[227.826] torasan201202: InuyoFace
[228.542] banchooonuking: ウメちゃんがグラブルやらないなら覇権取れないかな
[234.384] (S)wahaha7788: サイゲめっちゃ器でかいな
[236.510] balthazar000: 昨日間に合いました？
[240.820] Sorachan1144: 言質取ろうとするなｗ全てスルーよ
[242.354] akiaki0612: 今せっかくスト5熱高いのにグラブルやってられんよね
[246.053] (S)usamaru_noir: おはようございます、スト5ありがとうございます
[254.928] (S)booby_one: グラブル、思ったよりかーなり硬派だった
[257.779] varoshi: 昨日は何時間遅刻？
[262.657] 斉川: umeCat2
[264.776] abachildren: ウメ 流石すぎる
[267.402] vcdva: 片手間するとやばいんでしょ
[279.562] おいす_: このグラブル、かなりスト5っぽいね
[282.447] (S)kotatan_twitch: おはようございます
[284.681] yoshikawa_yo: なんにしろストV配信に飢えてたから嬉しい
[286.600] ninjin_v: 配信の通知で起きたわ
[295.546] ByrningLight: Oh, I made it in early this time.
[295.671] beepfanboy61: daigo fortnite stream when?
[297.662] (S)wahaha7788: ニコ生夜中なのにグラブル120くらい放送してたな
[301.686] 雨男: まぁグラブルはグラブルだった
[305.025] kimie_white: グラブルなんかに目もくれないところがかっこいい
[308.728] balthazar000: 今日は寒い
[310.770] nameless_xrd: ウメちゃんあまりにも硬派すぎる
[316.071] akiaki0612: 格ゲーは片手間にやれない人だからねぇ、ウメちゃんは
[323.197] genovo: Diego fortnite?
[334.445] (S)hatano_kuboya: おはようございますー！
[334.724] 寝るポイント: スト５bot安心するー
[341.197] genovo: !followage
[348.898] (S)feel2525: おはようございます
[353.846] nx009s: スト5やるんだろなーて思ったらほんとにスト5してた
[357.434] mikurut: ももちが2800人集めてるのむかついてた
[359.171] ninjin_v: Not diego He is daigo
[364.169] myonchan_daisuki: おはようございます！
[365.559] kimie_white: うるせええ
[366.496] umetoki55: ウメちゃんおはよー
[366.984] burisuke: 周りはグラブル配信の中、硬派にストV配信流石！
[367.117] balthazar000: 昨日の終わり方は中々劇的だった
