[10.059] recycle4: オッスオッス
[25.038] _こぺ_: 助かる
[31.638] (S)とおー: umeCatHope
[76.913] tabibitox: 定時と思ったのは私だけだろうかｗ
[82.548] miduki88: おはようございます😃
[85.211] (S)だいこん_: umeYay
[87.133] (S)tekiro800: しょうへい配信と二窓で
[88.605] lucentsnow: ウメちゃんおはよう
[92.398] takaomi676: umeJam
[93.185] matanitan: おはようございます
[94.266] kingejii: umeGrin_BW
[99.862] (S)shiroinferno31: おはようございます
[103.422] mococyoko: おはよう
[110.292] shiotama: ウメさん、おはようございます
[114.178] hisui_ss: おはようございます！
[117.365] condoru777: おはよう
[117.486] (S)king_ice23: そろそろ来そうな気がしたw
[117.832] shiotama: umeCatSleep
[119.135] (S)snooks55: umeYay_HE
[119.683] gajpmwtdpw: グラブル、そしてスト5をやる梅原大吾
[124.939] msfsa: umeJam
[131.009] bcontyan: あれウメハラさんやせた？
[134.885] miduki88: 待ってました！
[137.466] balthazar000: おはよーごぜぇます
[137.758] kumanobed: おはようございます
[140.849] poposuke: waya5desu
[153.109] (S)shiroinferno31: umeYay
[154.736] (S)acdcfandesu: daigoooooo
[172.262] (S)だいこん_: umeCat
[181.569] helloimlem: UMEHARA SAN!!!!!!!
[183.140] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[185.102] みっかぼうず: umeCatSleep
[188.577] 座陰くん: umeGuile
[189.095] FF7_Zack_Fair: Ohayou gozaimasu!
[210.224] 鉢植: momochocoOha
[219.502] 鉢植: momochocoOha
[219.715] (S)chris121014: umeBoom
[229.100] (S)ぬちまーす: おはようございます☀
[232.520] (S)zappnn: umeYay
[237.234] (S)157655: umeLaugh
[237.468] (S)ジノジュグ: umeYay
[247.245] kotaka02: おはようございます
[250.714] moch__ky: おはようございます
[276.886] ルミっぷぅ: おはようございます
[282.106] FF7_Zack_Fair: おはようございます
[290.134] FF7_Zack_Fair: ^ - ^
[295.848] _こぺ_: おやつ買ってこなきゃ
[298.963] 鉢植: umeYung_HE
[310.060] (S)snooks55: umeGrin_SG
[316.422] 鉢植: umeYung_HE
[319.919] (S)totomaru_chan: ちわーっす！
[324.079] (S)65vr39: ~MISSING_MESSAGE_INFO~
[326.691] sasimi96: 応援してます！
[326.895] (S)yamasa141414: umeGuile
[335.334] (S)kxiaofen: umeCatHope
[335.987] 斉川: umeCat2
[336.641] (S)zappnn: umeYay
[341.999] (S)guile_head: Kappu
