[16.222] (S)kotatan_twitch: キター
[57.097] kwsk3: Hello
[58.884] ehong100: hi daigo
[59.599] kanegon7237: こんにちはーーーー
[60.976] (S)65vr39: 早食いは
[63.011] keito_the_first: はよ戻ってこい
[63.119] takaomi676: umeJam
[63.827] umanohito: こんにちは
[66.991] 5don: He is Daigo
[68.375] tw_numa: うおお
[69.307] mumu2211: 早食いー
[72.356] おにぎりマンヘキョム: 待ってましたー
[73.726] (S)suzu_mushi: キター！
[73.994] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[74.389] nefilia: きたぁぁぁ
[75.503] (S)俺は大貫信者: うぉおおお
[75.733] (S)agyou_3e456: こんにちは
[75.755] (S)157655: 今日って決戦の日だっけ
[80.021] Eyonth: umeYay
[83.249] minimini3223: 楽しみ！
[85.170] TOPAKUMA: うおおおおおおお
[86.911] guest56: タグはスト5だが
[87.655] kwsk3: 決戦は日曜日
[91.015] (S)kxiaofen: umeCatHope
[96.229] 鉢植: momochocoOha
[99.439] _こぺ_: _こぺ_ subscribed with Twitch Prime. They've subscribed for 29 months! 
[99.542] (M)Moobot: @COPEPORDさん、29ヶ月目のサブスク登録更新！ありがとうございます！
[102.204] bearkirin: とうとうこの日が...
[102.428] kwsk3: レッドブルがいい味出してる
[102.449] mumu2211: ラーメンいってみましょおおおお
[102.911] (S)igor_umechanchin: はやいゆ
[103.917] (S)victorhod: umeYay
[105.207] (S)usamaru_noir: こんにちは、仕事中でずっとは見れないけど応援してます！
[108.688] (S)HAL_0120: umeSalute
[111.011] (S)guile_head: umeGrin
[112.461] しいたけもぐもぐ: ラーメン？
[114.076] (S)cubgasukidesu: everybody wants be a cat!
[114.091] おにぎりマンヘキョム: FBSpiral
[115.761] (S)サメカツ1999: umeCatHope
[120.533] ~MISSING_COMMENTER_INFO~: sakoOk
[123.292] (S)genpan1097: 早食い対策が遂に見れる
[124.391] 将門ゴルゴロ: 来たわー
[127.422] (S)girotin89: umeCatHope
[131.067] りりばる_: 昼飯から戻ってきてる最中かな
[132.113] NORIA_Gaming: メシ
[133.498] たあぼ0126: おは
[135.053] sugiyou: こんにちはー！
[135.802] ~MISSING_COMMENTER_INFO~: umeSad
[136.400] nameless_xrd: ウメちゃんまなかな？ウメちゃんまなかな？
[137.683] (S)doublepush_da: umeCatGlare
[138.917] (M)ayuha167: まだ全然始まりません
[151.245] bearkirin: はじまった？
[151.492] (S)genpan1097: 13時からですね
