[8.571] フﾄ: umetya-nn!
[16.451] (S)Bakobako1234: umeYay
[24.617] tabibitox: きたああああ
[31.936] (S)Bakobako1234: おはようございます
[44.853] (S)Novaprimexx: first?
[45.465] 不渡哲也: こんちは！
[46.444] かささぎ: 昼ツイッチ、夜ミルダムの２枚看板になるとは、たまげたなぁ
[48.511] りんごれっど: こんちは
[48.740] vibandum: こんちゃ
[51.359] (S)とぅーにー: おはー
[52.087] (S)kwsk3: こんにちは
[52.341] (S)パパゲーノ: こんにちわ
[53.138] (S)hannbaag: スイーパーウメハラさんこんにちはー
[53.853] ずんみみふわこ: こんにちは
[55.897] あるびす: はやい！
[64.267] あるびす: umeCatGlare
[65.121] tarantarantaran: jilLeft
[65.622] tabibitox: こえｋ
[66.557] takaomi676: こんちわ～
[68.300] oDa_wa: henlo
[68.985] kiraku08: 昨日はお疲れ様でした
[69.579] BananaMonkey1986: ごきげんよう
[70.683] 将門ゴルゴロ: ちわ
[71.950] legitan1104: おはようございます
[72.612] (S)kwsk3: マイク感度良好でさ
[72.935] CashiusClay604: HELLO
[73.935] garouakira: おはよー
[76.096] girotin89: ネゴシエーターウメハラ
[77.390] kurob1: こんにちは
[77.664] 不渡哲也: 毎日配信で色々起こって退屈しないですわ
[77.806] vovovoooooo: 床掃除お疲れ様です
[81.755] kanegon7237: こんにちはーーーー
[82.840] りんごれっど: 今日風邪で休んだからちょうどいい配信助かる
[82.962] infammerz: hello
[86.586] infammerz: good night chat
[86.799] yamato_0876: お昼何食べたんです？
[87.661] mohumonn120: 😾🤲
[88.095] Rank1BackShotterNA: sup
[88.394] nabinabee: oha
[95.478] (S)yamasa141414: 4本立て
[95.916] (S)kwsk3: おぉ！ぎっしり！
[96.996] (S)zappnn: kskｗ
[97.425] 将門ゴルゴロ: ラジオ！
[98.972] (S)Bakobako1234: 今日も40連勝ですか？
[99.975] ﾃﾄﾗﾝ: ラジオまでにカタン終わるの？
[100.162] kaigaizei: 多いな
[102.796] (S)うつらん: 忙しすぎわろた
[104.126] tabibitox: 12時間コースやｗ
[104.963] りんごれっど: 床掃除お疲れ様でした
[105.760] tarantarantaran: umeYay
[108.133] Rank1BackShotterNA: 11:43 pm
[112.702] ponponman: ストリームモンスターやん
[112.855] (S)highspeedwarakia2: 詰め込み凄いな‥
[113.162] u4e48c17s6m3: ラジオマジ？
[113.697] (S)kwsk3: 最後まであんこたっぷりやな
[114.377] りんごれっど: タイトやね
[115.268] 将門ゴルゴロ: ラジオ復活
[117.302] なかしょう: 事前に聞くと盛り沢山ですね
[118.683] 不渡哲也: ラジオってことは12時間w
[123.642] tibusa8: KSKさんアールこくとAPEXやってたね
[123.934] thunderstormoffloods: enigma7
[124.132] ~MISSING_COMMENTER_INFO~: ラジオも在宅？
[124.494] Lplp6lkhp: デルタルーンまだか?
[129.976] (S)xyz1648: こんぬつわ
[130.442] mmiiacha: 半日ウメちゃん配信だぁ
[131.863] 総フロ: KSK生きてたの！？？
[132.175] かささぎ: カタン練習途中でやめてたＫＳＫさん
[135.530] あと1983: テレワークってやむ
[135.643] 将門ゴルゴロ: 松浦さん復帰
[137.241] (S)kwsk3: もう仲良くなってんのなwww
[137.587] ﾃﾄﾗﾝ: ウメちゃんもAPEXやろうよ
[137.711] naosansan: 昨日より早いもんねはじまりが
[146.097] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[146.765] (S)kwsk3: 松浦さん復活よかったわ
[151.881] (S)yamasa141414: こくとKSKめっちゃ仲良くしてた
[159.570] かささぎ: 昨日はカタン始まるまで３時間くらいかかったから……
[162.812] (S)hannbaag: umeSalute
[166.535] (S)kwsk3: さくさくっと40連勝決めちゃいましょうよ！
[168.621] たあぼ0126: おはようございます
[169.480] (S)zappnn: 急に仲良くなるのすごいな
[184.146] かささぎ: idom超え目指してるのかな
[195.776] Rank1BackShotterNA: interesting
[200.102] mako6912: ラジオはミルダムですか？
[200.304] mohumonn120: なんか喧嘩してたの？
[201.230] (S)gajpmwtdpw: 5年ぶりは凄いなw
[202.412] kaigaizei: もともとの関係が深いからね
[214.287] une3333: こんにちは
[214.731] niemalsaufgeben: ウメちゃんとアールさんおかげ
[218.392] laila_12199: ウメちゃんチームゲーやったことある？
[219.439] tabibitox: こくにぃがつべにダイジェストあげてたよ
[225.714] かささぎ: 歳を重ねると丸くなりますけぇ
[226.203] ﾃﾄﾗﾝ: KSK一応カタンのテストプレイもやってたよ
[229.163] (S)kwsk3: こくにい仕事早いな
[234.209] 45tm83: 一瞬絶縁ルート入ったのヒヤヒヤした
[238.510] 不渡哲也: こくにい流石抱かれてるな
[243.946] (S)omedetroit: ん！？61win？？
[244.295] mohumonn120: よかったねぇ
[247.896] ホナウド: しょうへい氏との打ち合わせは終わったんですか？
[253.092] girotin89: 途中で野田が退場されられたのクソ笑った
[254.780] (S)hannbaag: こくにい仕事早いw
[255.515] avmajvm: Why!?出ねえ！
[258.518] 総フロ: こくはヴィジョンの店員だったんだっけ？
[261.963] (S)kwsk3: 昨日の続きだから、61から40連勝やな
[266.838] (S)zappnn: 連勝3日？続いてるのか
[277.749] Noromajiro: 最近座りすぎで太ももが痛い
[279.110] ﾃﾄﾗﾝ: ラジオに出た方のしょうへいさんは漢字にしないと分かりにくいな
[282.430] (S)omedetroit: ウメちゃんこくとKSK繋げてくれて嬉しいよ
[287.934] avmajvm: 負けなしなら１０１勝になるんかー
[289.281] shinhina: ラジオはやるの？
[293.882] (S)omedetroit: 野田さんにも感謝や
[298.459] shupii097: showheyさんにしよう
[305.548] (S)kwsk3: うめさんマジでひきあげてしてくれてありがとうね
[307.164] 88ctr: ウメちゃんの野田邪魔発言には笑った
[319.138] rrrslol: rank this high can still win 62 streak
[320.425] rrrslol: lol
[321.875] wahaha7788: お前も敵か？
[324.218] ﾃﾄﾗﾝ: おしのペペとおしのとしのさん間違える人も多い
[327.824] (S)kwsk3: そこから話動いたしなぁ
[335.755] kaigaizei: KSK嫌ってた人多かったけどこれで和解が進むと良いね
[349.865] AfuwaLLL: I really want to try this game out.. But idk if i'd be super into it.
[352.107] (S)kwsk3: それを今度はこくにいがしていくってさ
[355.765] girotin89: 舞台監督のしょうへいさんの方の漢字教えてください
[360.295] niemalsaufgeben: KSKはこく以外ともだからね。きっかけを作ったのはウメちゃんだけど、後はKSKしだい
[365.928] 将門ゴルゴロ: 丸く収めようとする野田氏に対して全部お互い喋らせろというウメさん流石でした
[370.150] nihonsyu_: こくkskで5年ってクラハシオゴウはどんだけすごかったんだｗ
[373.286] kbjn10mg: しかし何でKSKってそんな敵多いんだ
[377.391] (S)kwsk3: 落ち着いたらそういうのしたいって反省会でいってたよ
[382.800] ehong100: 62 win?
[383.190] wahaha7788: あのまま野田氏が話続けたらｋｓｋが爆発しそうだったからね
[387.468] ﾃﾄﾗﾝ: というかアールが丸く収めてるようで火に油そそぐシーンも
[389.446] infammerz: 62 wins, nice ! and alredy rank 694. he is serious now
[394.354] (S)blackcoffee0821: きのうの配信だとkskさん悪い人には思えない
[403.204] InstantRiot: lets go, 100 wins! 
