[3.727] tarantarantaran: jilLeft
[11.936] shomarusan: umeSmoosh
[18.473] (S)user81023: umeYay
[23.744] shomarusan: こんにちわ
[26.719] tabibitox: スト５みます
[28.840] みやもっさん: ウメさんこんにちは！
[29.447] (S)fumico: umeYay
[41.354] 不渡哲也: こんにちはー！
[42.217] oimo: HeyGuys
[48.979] だいこん_: ウメちゃんオッスオッス
[52.644] OtoshiPKMN: hiii!!! 
[64.445] (S)user81023: おｋです
[64.728] yamame: Kreygasm
[64.759] ericbeingeric: Diago-sama
[64.771] tabibitox: こえおｋ
[64.811] (S)zappnn: きこえまーす
[67.021] punipuni13: おっけー
[75.560] juuuunation: umeSmoosh_BN
[75.578] (S)zappnn: umeSmoosh
[75.858] Hitode_noko: うめちゃんヒゲ伸びたね
[77.359] jansy87: Hi caigo here from USA Arizona
[79.041] hisario: おっけー
[86.655] だいこん_: 配信開始早々無言ぶっぱ
[86.867] みやもっさん: roki8192 subscribed with Twitch Prime. They've subscribed for 12 months, currently on a 12 month streak! 
[87.002] (M)Moobot: Thanks @ROKI8192 with the 1 year subscription!
[90.275] woodmud: ペヤング大変だな
[93.836] papipopon: こんにちは
[100.699] knt_0283: 王様おはようございます
[100.805] lCH1Nl: :)
[102.526] ぴろぴろまる: 私はウメハラくんの配信
[103.063] kz403: ガチくんごめーん！！と移動
[104.040] adam_andujar_89: viva españa
[105.582] denden173: ウメちゃんおはよう
[106.326] ememeume: ウメハラさんーーーー 
[113.859] denden173: まーーーじかｗ
[116.075] adam_andujar_89: ratones
[117.479] ememeume: 昨日の麻雀見てたら始まった
[119.043] (S)zappnn: Amazonで買えるよ
[119.148] (S)ndieol: ないかあ
[119.661] damumeta: こんちわ
[130.414] ぴろぴろまる: コンビニだよ
[130.594] papipopon: ペヤング辛いの意外と売ってない
[131.626] kiraku08: こんにちは王様
[134.245] tx2hc: コンビニは？
[144.008] だいこん_: 送料だるそう
[145.397] adam_andujar_89: Calvo!!!
[150.476] (S)zappnn: いや3個とかっぽいね
[151.216] denden173: セブンでないかー
[152.099] (S)kanegon7237: こんにちはーーーー
[157.607] ohakonbanchiwa: umeNekorobu
[160.711] Ramen_soul: rickiCHUNLI
[164.574] みやもっさん: 単品は無理かなー
[166.598] ANGRA_09: ドラッグストアとかドンキに売ってそう
[168.830] ememeume: umeDuo
[169.909] woodmud: 3個も食うんだすごいね
[171.111] beer4649: こんにちは
[171.305] dummyjimmytim: LuvPeekL
[172.734] Hitode_noko: セブンは最近置いてないよー
[172.860] hausumf: ミルダムじゃなくてええの？
[176.957] hatomugi101: こんにちは
[177.975] ぴろぴろまる: あれ免疫力落ちるからな
[187.442] (S)sanshika: umeCatSleep
[189.434] torasan201202: ファミマによく置いてる
[191.064] (S)ndieol: たしかにドンキありそう
[191.967] ememeume: 2号スタンプ使えるからツイッチがいい〜
[193.728] mafrinrin: ストリーマーバトルの練習しないんですか？
[195.956] sg_1048596: こんにちは
[196.639] rotyokoro: umeOuroboros
[199.379] kz403: amazonあるけど高いなｗｗｗ
[210.197] syan8011: daigo your my icon!
[212.774] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[213.079] みやもっさん: umeNekorobu
[213.370] hausumf: ついっちの方でも大丈夫な
[214.719] だいこん_: 食が偏るとってことでしょ
[219.894] agarbotnet818: 構わん土方なんで
[223.648] kaname019: Hello from the Philippines 🇵🇭 good afternoon Daigo!☺️
[225.932] beer4649: ああー獄激辛明日食べるのか・・・・・命日
[228.993] syan8011: greetings from Utah
[230.304] (S)user81023: ラウンジ？
[241.305] rere0: こんにちは
[242.326] だいこん_: 今日の宿題は？
[247.977] lucentsnow: ウメちゃんこんにちは
[250.778] harasora: うす
[253.254] 電動マッサージ器: 激辛MAXENDのほう食べるの？
[254.261] (S)blackcoffee0821: umeNekoMiru
[255.187] もちおーん: ふーどやってるけど
[255.388] kz403: 獄激辛2個ストックあるので引き取って欲しいｗ
[259.795] kumatedd: 激辛どかちゃんこんにちは
[260.882] ぴろぴろまる: 先生は元気なウメハラくんが好きだな
[261.624] takaomi676: umeDuo
[263.332] sg_1048596: きょうは誰と組み手でしょう
[265.957] adam_andujar_89: Hello for Spain
[270.900] matsu_zalem: こんにちは
[275.279] kaname019: <3
[277.460] syan8011: umeCheer100 daigo is the best!
[277.634] (M)Moobot: syan8011 さん、ありがとうございます！ 
[277.903] kz403: そっか
[278.481] adam_andujar_89: : 
[279.558] (S)zappnn: umeSmoosh
[281.798] beer4649: なら余裕でしょ
[286.047] みやもっさん: 昨日のお絵かきめっちゃ笑った
[287.216] だいこん_: 食道逝きそう
[290.962] (S)fumico: 辛いの苦手?
[292.565] agarbotnet818: 食べ物で遊ぶなって4んだばあちゃんが言ってた
[293.384] (S)hannbaag: マックスエンド？
[299.464] kumatedd: 獄の方は真面目にとめてるひと多くて笑った
[302.551] (S)Bakobako1234: umeYay
[303.794] beer4649: 獄激辛はほんとヤバイ
[311.285] redredre1: umeSnooze
[312.902] tonyudx2025: いつ食べるの？
[320.171] natoooji: 翌朝のお尻がね
[326.242] (S)zappnn: 獄はコメ欄見た限りヤバそうだなあ
[326.959] tagane6: また麻雀やるなら接続不良起きないようにしたいね
[328.561] torasan201202: ファミマに置いてるの獄激辛の方だ
[329.151] woodmud: 獄はしばらく配信できなくなるかもしれないからな
[338.649] kumatedd: umeNekoMiru
[338.810] beer4649: １８禁カレーにしたら?
[342.604] (S)user81023: ペヤング配信
[344.517] ricardopara: DxCat
[348.920] だいこん_: マジで？劇物やんｗ
[350.326] ぴろぴろまる: ウメちゃんやめて獄辛だけは
[361.320] lucentsnow: ウメちゃん中本とか好きなの？
[363.672] Planetrollcall: ウメちゃんまた早食いやるの？
[365.978] natoooji: ソース水で薄めれば
[369.109] kumatedd: カレーのLEEもやばいね
