[49.886] えたーなるぶるー: culonyanKonChadoumodoumo
[52.292] ヒロトぽけ: こんにちは
[58.609] lucyjojo: 配信だーーーー
[63.400] 河合惣五郎: お疲れ様です
[64.707] こまお: こんにちは
[65.887] gomesu: こんにちは
[67.231] falaoh: イケメンこんにちは
[68.217] shoariki: こんにちは
[68.714] ゅり: umeNekoMiru
[70.952] kiraku08: こんにちは
[71.009] koj_koji: こんにちは
[74.597] (S)000105: umeCatGlare
[76.666] (S)~MISSING_COMMENTER_INFO~: こんにちは
[80.401] mmiiacha: umeYay
[81.856] (S)tabibitox: スト５みます
[85.167] 不渡哲也: umeDuo
[91.527] Professoroak13: What’s up my man 👍
[113.878] ememeume: ウメハラさんーーー 
[115.338] BananaMonkey1986: ok
[117.569] lucyjojo: ok
[117.827] DoctorBeck: professor carvalho
[118.350] (S)tabibitox: こえおｋ
[121.207] TeHFreeDoM: Kage!
[122.614] DoctorBeck: vc por aqui
[123.950] takaomi676: こんにちはー
[126.861] realStudoggydogg: KAGE
[138.985] ただのだいこん: こにちはー
[140.125] こまお: うめちゃん・・・三太郎さんのナンパレイドを掘ってみてくだっさい＞＜
[145.277] lucyjojo: 今日の反応はどうかな
[146.634] (S)hashking_bee: cheer100 毎日お疲れ様です
[146.808] (M)Moobot: Thanks for the support, @hashking_bee 
[147.735] (S)~MISSING_COMMENTER_INFO~: おおおおおーーーーー元気なウメちゃん
[157.036] ememeume: 睡眠大事定期！
[166.252] oinari6: 雪山やるのかい？
[174.352] (S)ホナウド: 半ズボン！
[186.526] ememeume: きゃー
[190.000] falaoh: 今日は寒いね
[192.158] _こぺ_: 来たっち
[192.585] (S)tabibitox: チェリ太郎のレイド相手はいつも女配信者やな
[195.573] matsu_zalem: お疲れ様ですー。
[200.980] akio_tam: 黒猫いるのかと思った
[201.478] 浅草四郎: ウメハラ ドフラミンゴ プッチ親父 オーベルシュタイン 同い年
[205.114] ememeume: umeOuroboros
[208.628] (S)TeHFreeDoM: TeHFreeDoM subscribed with Twitch Prime. They've subscribed for 2 months! 
[208.715] (M)Moobot: @TEHFREEDOMさん、サブスク登録2ヶ月目！
[213.830] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[218.657] (S)kaigaizei: そこに物を置かないって言われたでしょ
[236.513] ememeume: ぬこの毛だらけになりそう 
[246.246] (S)tabibitox: 2号が怒りそう
[256.377] lucyjojo: キレキレ
[265.173] ChrisChikage: VoHiYo
[270.149] (S)~MISSING_COMMENTER_INFO~: ネコの特等席がああ
[278.458] matsu_zalem: umeNekoMiru
[283.814] sasamibokura: おはゆ
[289.755] HeadshotToTheDick: VoHiYo
[306.432] (S)king_ice23: こんちゃっす
[320.988] ememeume: トパチャリで会った時も服にぬこの毛ついてた 
[331.446] (S)tabibitox: あらたなパートナーか
[352.091] ememeume: 次のステップはラシードですか
[358.565] ilm0806: さらに１Fはやく、見づらいキャラか
[387.269] lucyjojo: むず
[387.317] (S)ホナウド: 難しそう
[408.417] (S)inflamessx: umeNekoMiru
[421.111] sasugani: ちゃんウメ
[426.245] lucyjojo: 見るところ変わらないと
[427.760] ememeume: でもやればやるだけ進化していくんだなぁって
[431.046] HeadshotToTheDick: :(
[439.571] (S)うつらん: こんにちはn
[444.150] _こぺ_: 三太郎さんがsteamのフレンド申請を承認してくれっていってた気がする
[464.849] (S)kwsk3: こんちゃす
[470.227] ememeume: ゲームプレゼントするからか
[471.283] yuya0726: こんにちはー！
[518.952] galovan0: それかえすのはさすがにむりじゃね
[521.210] ilm0806: ホラゲープレゼントされても、やらんだろ
[538.652] ilm0806: これ、見やすいね
[548.273] 無心に: ギフトの文化いいね
[566.850] (S)つさつ: こんにちは 
[567.555] kimie_white: ギフトは押し付けになるから好きじゃない
[581.494] galovan0: ギフトされたらやらなきゃいけないじゃん
[581.627] (S)kwsk3: FortHype
[591.055] suzukinoko: こんにちはー
[598.176] hoehoeR: ギフト受け取らなければいいのよ
[614.859] HeadshotToTheDick: VoHiYo
[617.632] (S)rinze_chan: こんウメは。ネコのダンボールにある黒いものはなんですか？
[619.190] galovan0: さすがに雪山はなさげかな
[619.577] Qtaro_Kujoh: 何日か見ない間にだいぶ痩せましたね
[623.793] ilm0806: そのまま、アールに受け流せばええ
[630.512] accky: 今日も雪山ありますか？トレーターとして死者蘇生されたの面白すぎました！
[638.358] (S)tabibitox: まぁカゲロウはホラーというより相手がお化けぽい鬼ごっこ＆かくれんぼだしプレイできそうな気がする
[640.781] (S)kwsk3: 服？
[648.190] ilm0806: 洋服だと思われ
[661.587] kamimikuzuo: 初見です❗
[662.078] (S)kwsk3: 心霊系があかんのやで。うめちゃんは。
[667.576] (S)kaigaizei: ナウマンの動きを見て火が付いたなら今日もやりそう
[695.675] takatsushiba: ウメちゃんは反撃できるホラーがいいらしい
[714.623] pommedemer: こんにちは大吾ミックスアップjhp-cmp-hp-exshakunetsu-ashura-hdpについてどう思いますか？
[721.631] galovan0: dbdは反撃できない
[722.390] pommedemer: kage
[727.060] (S)新福菜館マン: 足立区には出るんだな・・・
[735.600] fulgie_18: Go Ryu!!
[737.722] keshiki4: うめちゃんチェリ太郎がやばいっす
[752.301] (S)kwsk3: チェリ太郎？
[754.493] 不渡哲也: 野良シュートは面白かった
[757.158] une3333: こんにちは
[760.709] (S)~MISSING_COMMENTER_INFO~: うめちゃんお化けダメなのかわいいなw
[781.795] Hujimakitaichi: お化けは格ゲーじゃ倒せないからね
[782.943] (S)ichigyo24: こんにちは～
[783.497] (S)~MISSING_COMMENTER_INFO~: 夜の森とか歩けば実害の方が怖くなるかおすすめだよ
[785.314] shiro_risu01: 三太郎さんは、昨日チェリ太郎にクラスアップしたんよ
[787.669] une3333: 寝床に上着置いてあるのはネコのため？ｗ
[794.645] ilm0806: 方向音痴やしな。
[800.320] thedragontactic: nerf rashid
[804.010] kimie_white: 三太郎モラルあかんやろあれｗ
[813.065] (S)kaigaizei: ホーンテッドマンションで全部目を閉じてる男だぞ
[821.367] (S)rinze_chan: チェリ太郎ってなんですか？童〇ってこと？
[824.968] une3333: でもこれを蹴れる日がいつかくるんだろうな....
[827.348] _こぺ_: あんまモーションかわんねぇ
[830.171] (S)ssheulnd: これは見えねえ
[840.619] ﾔﾐ: あれ猫の場所に服が
[851.755] balthazar000: 黒猫になったよ
[854.360] たあぼ0126: umeOuroboros
[855.868] hojihojidx: 一回スローでモーションよく確認してみては？
[857.255] (S)~MISSING_COMMENTER_INFO~: 着地した瞬間が若干違うけどそれくらい
[866.433] ﾔﾐ: ｗ
[866.756] neojapan01010: こんにちは
[875.723] matsu_zalem: 左手なのかなぁ。
[879.736] (S)tabibitox: 1回も蹴れないか
[889.844] (S)~MISSING_COMMENTER_INFO~: 左ていいカモ
[904.292] oden_tw: モチベ魔人
[905.344] kimie_white: ネットのラグも含めたらさすがにきつい
[914.629] HeadshotToTheDick: PunOko
[917.863] (S)~MISSING_COMMENTER_INFO~: 手が明確に違う
[921.306] (S)tabibitox: トレモや
[924.072] une3333: なるほど手をついてたら中足と
[927.834] shiro_risu01: チェリ太郎、経緯は覚えてないごめん…
[956.790] une3333: 見分けはできてるけど蹴りはできないと
[974.319] balthazar000: 蹴る足の角度が結構違うけど、面倒だな〜
[976.027] (S)~MISSING_COMMENTER_INFO~: そもそもコメント見てない可能性がある
[976.575] ilm0806: 確かに中足は 床に 手を付けてるな
[994.846] kimie_white: 今日のウメちゃんなんか作画変わった？
[1006.793] _こぺ_: 右手の方がわかりやすくない？
[1007.453] (S)tabibitox: いぶきは手が逆だから肩でわかったけど、これはわかりづらいｗ
[1008.715] hojihojidx: 足浮いてるか浮いてないかがいいんでない
[1009.797] (S)~MISSING_COMMENTER_INFO~: 目の周りが若干修正された
[1011.095] amagigoe: 毎日絵師違うから
[1014.218] une3333: あー間に中足かどうか確かめる
[1022.623] (S)新福菜館マン: スーパー40歳チェリーはパワーワード
[1025.432] une3333: のが入るから処理が遅れるのね
[1038.698] kimie_white: 目の周りが修正されてる
[1051.924] タイラーダーデン: タイラーダーデン subscribed with Twitch Prime. They've subscribed for 18 months! 
[1052.025] (M)Moobot: @TYLER_DURDEN_FC with the 18 months re-sub! 
[1057.116] 25thdays: can't whiff punish
[1092.976] balthazar000: 先ずは中足を目に焼き付ける
[1107.013] une3333: こーれはむずい
[1111.593] (S)ankoro123: これに小足混ざったらまーじ無理そう
[1116.257] (M)Moobot: Commercial break! Thanks for supporting the stream! 
