[3.544] alvinzors: woohoo
[43.424] (S)market_fujisaki: こんばんはー寒いっすね
[48.147] とりあえずちさと: ぬるぽ
[56.827] だいこん_: おｋです
[67.753] rxz_2017: ウメちゃんこんばんわ
[75.572] るぅの: こんばんは 
[83.426] vilkeisuke: こんちは！
[85.532] (S)ほうらい: こんばんは〜
[87.413] (S)うおおろーど: こんばんは！
[87.610] yougen1124: BegWan
[89.584] chachachakoma: こんばんはー
[91.133] gin123buck: こんばんは
[93.024] revanira0: やっとる
[93.527] whanatu_: poongkoEzman
[94.253] Gwadi: hi daigo !
[94.431] チー油: こんばんは！
[95.291] tapping777: 今日の髪型のテーマを聞きに来ました
[98.184] (S)miyako_t: こんばんは
[104.095] 河合惣五郎: お疲れ様です〜
[106.656] King_Wiley_: DAIGO 
[107.692] みっかぼうず: こんばんは
[113.692] mohikamu: こんばんは
[114.567] shinkitsura: こんにちは
[118.235] newgenerationcat: こんばんはー！！
[124.792] wahaha7788: ウメベガ楽しい
[133.723] (S)shi_e_n: Cheer100
[134.145] (M)Moobot: Thanks for the support, @shi_e_n 
[135.569] (S)kuboowy1110: kuboowy1110 subscribed with Prime. They've subscribed for 2 months, currently on a 1 month streak! こんにちは
[135.744] (M)Moobot: @KUBOOWY1110さん、サブスク登録2ヶ月目！
[144.528] あかの: loopskaters subscribed with Prime. They've subscribed for 30 months, currently on a 3 month streak! うめたそー
[144.672] (M)Moobot: @LOOPSKATERSさん、30ヶ月目のサブスク登録更新！ありがとうございます！
[149.589] (M)Moobot: Commercial break! Thanks for supporting the stream! 
[149.685] 虹のパパ: こんにちはー
[151.596] ganmatiojisan: umeSalute
[154.882] (S)HirocoT: こんばんは^^
[155.489] (S)keigunnoikkaku: umeSalute
[159.878] shinkitsura: ウメさん
[177.333] tabibitox: スト５みます
[182.974] 虹のパパ: スラダン映画化びっくりした。ウメラジの流れで実写化かと思った。
[183.015] juno0220: じゃんたまきたぁ
[183.121] wahaha7788: ポンニャ
[183.953] (S)kusare_gedou: こんばんわ
[189.196] maddy2623: ウメちゃんおはようございます
[203.246] (S)よるねこ族: まちゃ
[209.036] sei_6: 開幕
[210.285] P03Nekk0: 草
[212.668] (S)miyako_t: いきなりw
[214.492] (S)kusare_gedou: いきなりボス戦
[215.264] みっかぼうず: ｗｗｗ
[215.294] だいこん_: まちゃ！？
[215.502] chachachakoma: いきなりｗ
[216.546] (S)market_fujisaki: お、まちゃw
[217.835] juno0220: 開幕まちゃで草
[218.518] kaigaizei: ゴールドサブキャラ対決
[219.470] rxz_2017: 開幕やべーのきた
[221.193] sei_6: バウンティー
[221.306] tabibitox: まちゃｗ
[223.352] Bakobako1234: いきなり大物が釣れた
[228.442] (S)HirocoT: チーム練習
[228.634] mohikamu: いきなり
[237.275] (S)underground0714: かたい
[242.110] higan1983: まちゃ
[245.593] nacci516: まちゃやん
[245.946] だいこん_: ナリ君に次いで2人目の犠牲者が…
[255.704] (S)ラス爺: こんばんは、最初から凄いカードが
[257.096] とりあえずちさと: スズキ釣ろうとしたらマグロが釣れたな
[270.525] (S)boroborojean: ２月の調整でネカリ強くなるといいね
[271.402] heterotopia3: 波動対空
[273.337] akiaki0612: 初戦ボス戦のFF2式の負け確イベント
[299.475] juno0220: うおおお
[300.464] chachachakoma: おおお
[300.628] Bakobako1234: 危ねえ
[306.765] heterotopia3: あるのか…？
[332.121] upasu_: Hello Daigo
[351.422] upasu_: 演奏する Dhalsim
[356.080] haniwa09: キャラ変えてもすぐ勝てるのはやっぱ、プランがしっかりしてるからなんですかね。
[357.728] シャチクイーン: いきなりまちゃぼーさんと戦ってんのか
[358.273] eyeofalice: Wow DaigoSama plays my favorite character
[371.544] wahaha7788: サブベガでよくない？
[373.113] tabibitox: まちゃも配信開始したばかりかｗ
[378.038] (S)yujirosandayo: umeYay
[382.526] (S)jagajaga1943: まちゃぼーと戦ってるのかよｗ
[388.057] Ryufantastic: Used too strong character that was foul
[388.451] (S)keigunnoikkaku: 気炎万丈！
[395.122] シガテラ: ベガと本田どっち強いのんだろう
[424.274] kousen17: kousen17 subscribed with Prime. They've subscribed for 25 months! 
[424.405] (M)Moobot: @KOUSEN17 with the 25 months re-sub! 
[425.991] とりあえずちさと: 自分は分からないキャラ使うと暴れ多めになっちゃうから、新キャラ冷静に使える人すごいわ
[429.886] miharasan: ん？ベガ様？
[446.342] (S)cho_mu: まちゃぼーやん
[451.761] (S)cho_mu: umeYay
[462.696] だいこん_: あ
[463.454] Bakobako1234: あ
[464.413] (S)yujirosandayo: umeSnooze
[465.728] heterotopia3: あらら
[466.251] chachachakoma: おおお？ｗ
[467.663] P03Nekk0: あ
[468.146] (S)GG_sensay: ｗｗ
[468.738] ﾃﾄﾗﾝ: ラッキー
[469.099] highspeedwarakia2: 勝てるなぁ凄い
[470.516] るぅの: 最近豪鬼使わないねぇ
[472.680] wahaha7788: 勝つかね
[479.013] juno0220: ウメさんまずい、勝っちゃまずいよ
[489.290] ieni_itai_: 歩き波動化けたかな
[491.717] (S)bellabelle00: umeCat
[491.950] 国府田: 勝つんかーい
[505.171] Fkdso555: まちゃ「俺のベガよりうまいな…」
[537.385] rxz_2017: ときど豪鬼に出せるな！
[548.560] るぅの: 上は自動
[552.996] Bakobako1234: umeYay
[560.962] (S)udonsuki: 技振り難しくないすかベガ
[592.267] Bakobako1234: umeFail
[595.918] ~MISSING_COMMENTER_INFO~: ベガより簡単なキャラいるのか！？
[597.187] (S)keigunnoikkaku: umeSnooze
[603.321] (S)shiro_risu01: umeCatHope
[611.264] (S)kusare_gedou: ガン攻めできたね
[619.875] wahaha7788: 流石にプロ相手にはきついか？
[627.710] jonchantho: is daigo on hitbox
[628.419] lorigamiiii: そう言えば梅さん豪鬼最近使ってないですね。
[635.992] (S)jagajaga1943: 実質ウメハラゴールドの練習
[639.056] augustnull: こんばんは
[643.246] だいこん_: ファンも見てないなー
[647.963] f_muon: yes daigo is using hitbox
[653.179] (S)flashbacks18: いつの間にかフォロワー19万人になってる
[657.509] jonchantho: sick
[697.827] balthazar000: こんばんわ。
