[10.796] あかの: キター
[15.501] (S)nijiojisan: こんにちは
[21.708] みっかぼうず: お疲れ様です。
[22.228] セツリ: KonCha
[23.159] (S)erisuk: ほい
[30.392] チー油: おつかれさまです！
[30.926] 泣き虫サクラ: やぁ
[36.077] HirocoT: おつかれさまですー
[37.469] mmiiacha: umeYay
[39.591] 黒猫くん: こんちはー
[45.784] ganmatiojisan: umeSalute
[50.667] daizin0716: こんちわー今どこすか？
[53.196] (S)teruharu_: きたー
[54.614] めがちー: こんちは〜
[57.873] gaming8898: 🍩
[59.327] umeharadaigohaou: DAIGOどこ？
[63.170] piggy1022: こんにちわ
[67.045] eremin_39: 今日も歩くんか
[67.386] 泣き虫サクラ: 開始してから設置する
[68.189] falcanon: こんばんはー。
[68.383] enuemu3: こんにちは
[69.066] はちにゃん: 散歩配信だー。
[69.085] (S)めぐみさんだと: きたーこんにちは
[72.011] (S)moritarou41: moritarou41 subscribed with Prime. 
[72.086] (M)Moobot: @MORITAROU41さんTwitch Prime登録ありがとうございます！
[72.130] 刹那エフエイセイ: こんにちわ
[72.558] セツリ: Daigo in ??
[73.965] くおお: くおお subscribed at Tier 1. They've subscribed for 17 months! 外配信だ〜
[74.031] (M)Moobot: @SOM5F with the 17 months re-sub! 
[75.630] だいこん_: ﾎﾟｰﾝ
[79.142] tamagon_: こんばんは！
[79.184] dxhx521234: 寒く無いですか！？
[80.670] emixpanna: こんばんはー
[81.440] どらです: 散歩好き過ぎ
[84.699] (S)4444446666: こんな時間からか。
[87.805] Krizalid99999: umeYay
[89.353] 太陽のタルタルソース食堂: 雨上がったのね
[99.009] めがちー: 秋葉原→自由が丘ですか？
[99.153] umeharadaigohaou: 散歩🐕好き
[101.596] (S)4444446666: サブスクのアイコンできてら
[107.392] だいこん_: 散歩、お好きなんですねぇ～
[114.554] セツリ: ウメ散歩はアキバから始まる？
[115.363] prosciu: 今日もアキバから
[118.077] tamagon_: 今秋葉原？
[118.606] hinato8181: ナイス散歩
[119.115] gaming8898: ウメハラ散歩道
[126.778] ずんころもち: 今日めちゃんこ寒い
[130.953] あしゅらキング: 初見です、こんにちは
[132.531] (S)4444446666: この寒さでこの時間から散歩はガチ勢すぎ
[143.449] HirocoT: ｗ
[145.615] daizin0716: 秋葉から？マージか
[148.412] チョコットランド非公式: 雨止んだのか〜
[150.495] hachipochi: 秋葉原から自由が丘！？！？
[150.937] mmiiacha: アキバから自由が丘ですかい
[154.893] だいこん_: あと30分もしたら暗くなり始めそう
[157.372] piyopiyomaru555: え、秋葉から自由が丘w
[160.190] 太陽のタルタルソース食堂: あるくの？
[162.784] 小室友里: ウメちゃんウメちゃん
[164.408] 黒猫くん: それもまたよし
[165.011] yukimelon04: ウメハラさんこんにちは！
[166.407] okamasa456: 歩ける距離じゃなくね？ｗ
[169.163] same_no_obake: 何キロぐらい？
[171.488] gunzemaru: 遠すぎw
[173.476] ぽんです: すげー距離だわｗ
[181.846] 泣き虫サクラ: １５ｋｍ３．５時間
[183.640] yongi212: 俺より強いウメハラに会いに行く
[183.865] (S)4444446666: もはや住む場所を探すは建前なだけでただ歩きたいだけ説
[189.751] sinomori: うめちゃんさすがに距離感なさすぎぃ！！
[189.905] 泣き虫サクラ: まともに目指したらだが
[193.065] kaigaizei: 配信と配信の間にじゃんがら食ったのか
[194.964] okamasa456: 化け物じゃん
[199.834] めがちー: 秋葉原〜自由が丘間、自転車で2〜3時間だった記憶
[202.011] べネリ: 3号館！
[203.670] Ceciltaisa: アキバのウメちゃんじゃん
[208.459] はちにゃん: 散歩の目的地は基本的に行ったことないところなの？
[211.374] rapid_pierrot: 真似して4時間歩いたら下半身大体全部筋肉痛になりました
[213.082] prosciu: 昨日銀座のじゃんがら行きました
[217.050] 泣き虫サクラ: じゃんがら久しぶりに食べたくなった
[220.561] okamasa456: 多いな立ちんぼ
[222.269] 小室友里: ホント最近の秋葉は一昔前の歌舞伎町みたいだなw
[223.702] (S)v_harumi_v: 自由が丘は良く行きますが、秋葉原まで歩くなんて考えたこと無かったかも！
[230.540] (S)4444446666: 「ちょうどいい」
[242.070] (S)4444446666: 「今日の気温ちょうどいい」
[246.095] okamasa456: 自由が丘のゲーセンいこう
