[1.039] ニャンコロ助: 王の感想ｷﾀﾜｧ━━━━━━(n'∀')η━━━━━━ !!!!
[2.028] brutal9998: うん
[2.458] vorivoriman: あなたもしかして眠たい？
[9.984] blackie_1988: おっけー
[11.278] amato710: おｋ
[13.131] une3333: ハイおかえり
[14.137] 将門ゴルゴロ: おｋ
[16.023] omochi09: umeCheer100
[16.345] (M)Moobot: Thanks for the support, @omochi09 
[17.935] ememeume: umeCatSleep
[20.284] vorivoriman: びっくりしたぜ
[21.674] maddy2623: 1080はさすがにきつい
[23.048] vorivoriman: なおた
[25.372] vorivoriman: いい感じや
[26.323] ﾃﾄﾗﾝ: 直った
[27.453] brutal9998: なおった
[27.581] amato710: おっけー
[28.631] しっぷーー: 光ファイバー縛り、いいね
[29.659] celsior_chan: あれ？またTwitch？
[32.091] tabibitox: なおった
[34.535] げろげろまる: 久々に帽子なしで見た
[35.446] shiro_risu01: ツイッチだ！
[40.031] (S)kanzakinaochan: ウメちゃんきたああああ
[40.775] shiro_risu01: umeCat
[41.407] vorivoriman: もう決まったんやな
[42.192] reganfa: ちょっと触ったけどルークやっぱり強化じゃない？トリガー２がやばげ
[43.782] tesna_: 本田
[46.584] RaGB4R: RyuChamp
[47.701] une3333: 本田！？
[48.917] Artorius_jp: 本田とファン触るんだｗｗ
[50.786] vorivoriman: ガイルいこうぜ
[50.799] ame_do: 調整きましたねー
[52.242] 45tm83: 海外勢配慮のツイッチ
[52.392] falcanon: わこつ
[54.191] littlecurrybread: jay3Arrive
[58.826] vorivoriman: 王の見解
[58.863] nanmi__: umeYay
[59.030] une3333: そうね
[60.677] ememeume: おお！
[60.825] mmiiacha: そうねぇ
[61.746] ninsoku: ほうほう
[62.146] maddy2623: 王の気付き
[62.191] tabibitox: ガイルはかなりくらってる
[62.945] chipstar9: いいっすねぇ
[65.353] stabata54: ルークエディション
[65.865] reganfa: ルークエディション
[66.331] jojojoy001: はい 結論
[67.201] gaku_01: 本当にねえ
[67.907] fez_geburand: まぁまぁ
[69.053] bokaaan: きたあああああああああああ
[69.848] kinakobuta: kinakobuta subscribed at Tier 1. They've subscribed for 20 months! 
[69.945] (M)Moobot: @KINAKOBUTAさん、20ヶ月目のサブスク登録更新！ありがとうございます！
[70.300] Nepter105b: NotLikeThis
[71.023] vorivoriman: ルークやなあ
[71.290] みえけん: 本田ファンよりリュウ影のがいいかも
[71.556] brutal9998: 元も子もない
[71.600] haniwa09: そうなっちゃうよなぁ…
[72.979] (S)dj0d4y4k4: みんな思っちゃってる
[74.917] (S)Rodianis: Rodianis subscribed at Tier 1. They've subscribed for 8 months! ウメさん!!!　こんにちは!!!
[74.991] (M)Moobot: @RODIANISさん、サブスク登録8ヶ月目！
[75.047] kaigaizei: みんなルークになってまう
[76.183] cafe_gondo: ルーク強そうですねえ
[76.367] sei_6: 大会ルークだらけ
[76.505] nihonsyu_: 残念いただきました
[76.518] ememeume: なる
[76.547] (S)kanzakinaochan: ルークやめて
[76.734] vorivoriman: ルーク強いんだよな
[79.615] (S)burdockx: 今回つまんなそうですね
[80.412] ﾃﾄﾗﾝ: 他キャラで許されなかった通常技の強化版をルークが持ってるの意味不明すぎる
[80.783] tsubame5204: umeFail
[83.505] tabibitox: ネカリとか鬼強そう
[84.592] terry_man630: スト6への系譜
[87.800] (S)kanzakinaochan: ルークほんま嫌い
[88.692] ninsoku: umeCatGlare
[89.909] ememeume: 鉄拳の二の舞か
[92.566] IKEPON_: リュウは？
[92.644] vorivoriman: ルーク強いぜ
[93.212] しっぷーー: みんな、ルークには触れなかったのに・・
[93.384] auroradon5: ガイルのVトリ2ぶっ壊れちゃいました
