[29.069] gunzemaru: あいいいいいい
[62.447] gaga_u4x: 梅ちゃん右！
[70.241] rindy08: おっつ
[71.725] gaga_u4x: 音はおk
[98.280] capcomcupnoodles: DatSheffy
[119.874] Ramen_soul: sonochParipi
[123.382] pfl2: 1番か？
[123.400] fishland_: お散歩してるー
[129.343] ジノジュグ: うめさんほだ！
[129.983] チー油: こんにちは！
[130.176] (S)jgdmawtjpd777: こんにちは
[130.420] (S)じゅうしまる: ウメちゃんこんにちは〜♪
[131.367] kobi3070: こんにちは 散歩きたー
[138.861] ジノジュグ: こんにちは
[139.786] piyopiyomaru555: こんちは、ここどこ？
[144.661] FightSalad: Hey!
[152.791] jake_miuller: I love you Lord Daigod! 🙌❤️
[153.176] fishland_: したほうがいいと思います
[153.675] daizin0716: こんちわー
[155.633] kobi3070: いいかもです
[157.699] akiaki0612: 天気いいし散歩日和
[160.108] rindy08: ツイートしとこうか
[160.184] ぢょごぢゃん: お出かけですか？
[162.782] oimo: 桜
[164.232] チー油: せっかくだししたほうがいいかと
[167.071] akiaki0612: 桜見に行く
[185.397] Swojguy: swojguBossu
