[3.188] Ramen_soul: sonochParipi
[12.249] prosciu: 桜を見る会
[18.216] rindy08: おかえり
[35.209] はちにゃん: こんにちはー。特に目的なく歩く感じですか？
[46.266] SunnyGuile: FlipThis
[50.548] Mannedcub: HUG FROM BRAZIL!
[56.542] voyager029: こんにちは
[73.274] donekofg: こんにちはー
[77.736] tsubame5204: umeSalute
[92.357] (S)じゅうしまる: こんにちはウメちゃんー！
[101.362] (S)じゅうしまる: ツイートもきましたよー！！
[103.277] (S)若鶏の唐揚げ: コバトン subscribed with Prime. They've subscribed for 5 months, currently on a 1 month streak! umeYay
[103.386] (M)Moobot: Thanks for subbing for 5 months, @KOBATON108 
[106.894] celsior_chan: うめ散歩だー
[111.640] aranami0: うおおお
[122.211] gazesd: 花見だああ
[123.532] celsior_chan: どこ向かってるんです？
[123.623] jagajaga1943: こんにちは
[124.866] kiraku08: ウメちゃんと花見だー
[126.362] Netro_: Netro_ subscribed with Prime. 
[126.418] (M)Moobot: @NETRO_さんTwitch Prime登録ありがとうございます！
[127.281] (S)じゅうしまる: umeCheer100
[127.679] (M)Moobot: juushimaru5 さん、ありがとうございます！ 
[128.160] halfshironbodegenerate: yo
[130.114] (S)いがぐりころころ: こんにちは
[134.252] lapistaxx: こんちには〜、今日はどこ行くの？
[137.345] (S)Netro_: hai!
[138.871] psannnn: こんにちは
[140.847] (S)jyon613: こんにちは～
[141.855] yuki__0410: こんにちは！
[142.025] sora_neko09: こんにちは
[143.011] ねこざけ: うおおウメ散歩お久しぶり！！嬉しい！！
[143.533] hatomugi101: umeGoat
[145.301] ゴンべえ: こんにちは
[151.054] cafe_gondo: 🌸🌸🌸
[152.464] same_no_obake: さんぽきちゃー
[152.624] kiraku08: Cheer100
[152.880] (M)Moobot: kiraku08 さん、ありがとうございます！ 
[158.456] ねこざけ: 東京は満開ですか？🌸
[160.799] sora_neko09: お花見ですか
[164.048] kiton_taichi: こんにちはー
[166.403] HirocoT: こんにちは
[174.385] lapistaxx: 上野のサクラかぁ、いいねぇ！！
[176.297] bufuagi: 誰かと合流とかあります？
[178.119] blue_pollen: こんにちは〜
[185.578] ましこ: こんにちは 
[200.878] loopy000401: 梅ちゃんさんおはようございます
[211.522] yuki__0410: 寒くないですか？
[214.018] mogetasan: この週末がラスト桜かなぁ
[218.811] (S)v_harumi_v: こんにちはー🌸
[220.416] HirocoT: はい
[221.427] maddy2623: ウメちゃんおはようございます
[221.584] ジノジュグ: 土曜日です
[239.402] masalucky1: 皇居の方っすか?
[241.080] same_no_obake: 哲学
[242.917] はちにゃん: やっぱり曜日感覚無くなります？
[244.056] fishland_: <3
[247.807] ねこざけ: 儚さが美しく見せるのよ
[257.639] masalucky1: 花は結構エネルギー使うので
[264.571] ememeume: ウメハラさんーーー 
[265.466] loopy000401: すぐ枯れるから金出す気になれない花
[266.930] (S)v_harumi_v: 長持ちする花もありますけど、大体は早いですね
[272.382] はちにゃん: セミよりも早いイメージ。
[272.780] ゴンべえ: コメント見えてるんですね
[274.943] yuki__0410: 幸せな気持ちをたくさん分けてくれるからだと思います！
[276.646] dsadsa454654: 今日結構さむい
[277.041] donekofg: 人多くて休日やーね
[278.934] kobi3070: wwww
[279.648] しっぷーー: こんー
[280.819] ememeume: どこらへん行くのかな？？
[282.968] akiaki0612: 夢叶ったね
[286.861] pochichan11: VoHiYo
[289.917] esoracrow: Beast!!!!! umeCheer100 umeCheer100
[290.240] (M)Moobot: Thanks for the support, @esoracrow 
[292.571] しっぷーー: 上野？
[295.815] eryngi: 神田だ
[301.184] GaabNavarro: daigo, wich is better? arcade or PS4 joystick to play street fighter?
[301.366] kobi3070: そうすよね〜
[302.611] ddb365: こんにちは
[310.109] ねこざけ: 金曜日にカレー食べるようにして曜日感覚忘れないようにしよ
[310.946] donekofg: ガチくんと！
[314.420] ememeume: 平日があるから休日がある
[333.923] しっぷーー: 新宿も、意外と人いなかった
[339.474] はちにゃん: 曜日ごとのルーティン決めたりもしないんです？なかなか難しいとは思いますが。
[356.348] masalucky1: 皇居かと思ったら上野か
[356.582] ねこざけ: 木と電話BOXの間w
[364.087] (S)tabibitox: ガチくんはガイルとルーク両方やりたそうね
[370.895] piyopiyomaru555: 三太郎さんが24時間以上かけて作ったキャラランク見ました？
[371.479] ゴンべえ: あ、職場の近くだ
