[8.629] unlimited_teddy: おかえり
[13.635] ~MISSING_COMMENTER_INFO~: じょんばるってなんですか？
[14.804] Ramen_soul: PrideRise
[19.240] ComDeusTudoPosso: can you parry some insects in street for me? @DaigoTheBeasTV
[20.300] (S)v_harumi_v: おかえりなさーい
[22.431] ~MISSING_COMMENTER_INFO~: 復活
[24.845] (S)imokun888: スト２のスーファミのカセット思い出すサムネ
[27.722] kitsune_margiela: TheIlluminati
[37.422] shiro_risu01: MercyWing1
[44.138] glitchslap69: HSCheers
[65.909] EddieR42: :)
[71.140] kaigaizei: これは酔うわ
[71.955] だいこん_: ﾎﾞﾎﾞﾎﾞﾎﾞﾎﾞﾎﾞﾎﾞﾎﾞ
[75.476] blackcoffee0821: 🌪
[80.691] TOMATOKANA: 風切り音凄い
[82.297] gaia3333: ジンバルの偉大さがわかりますね
[83.440] (S)tabibitox: 揺れるし風の音もけっこうｗ
[86.111] (S)ほっきょく: コレは初台に向かうフラグ？
[86.137] HirocoT: 風まででてきちゃいましたね
[89.851] YuKi__SenSei: Boa tarde daigo 
[92.250] ねこざけ: これは想像以上 
[95.273] rm_rf__: やっぱ風防とると凄いね
[96.954] urinomo: うん、初台方面だよね。高円寺から遠ざかってる。
[97.180] leonhard_mage: 西に行けばあと環状何線かを北上すれば高円寺に行けるから適当で大丈夫
[106.224] ~MISSING_COMMENTER_INFO~: この辺は風強いしね
[108.345] danny_love_danny: 高円寺じゃなくて初台向かってる？
[110.199] (S)ichi_gatsu: あい
[111.653] マルい: 平気平気
[128.143] (S)ほっきょく: 大久保とか結構住みやすい
[131.516] balthazar000: 意外っすね
[134.976] ~MISSING_COMMENTER_INFO~: 期間とか決めて住むとかありかもですね
[151.686] (S)imokun888: iPhoneとかだとジンバルなくても結構補正効くんだけどねえ
[158.359] ~MISSING_COMMENTER_INFO~: 凸？？
[163.814] (S)v_harumi_v: おおー！
[169.700] 泣き虫サクラ: 毎日は放送してないだろｗ
[175.826] ぷーぬ: 凸いいなー。羨ましい
[179.194] akira_s_: ファンボ
[182.760] (S)ほっきょく: 野方ホープ行くのかな？
[187.086] x_abu_xx: 凸じゃなくて偶然遭遇だ
[191.526] ねこざけ: 予備ジンバル届ける人いる？
[191.661] (M)Moobot: Twitch Prime は30日ごとの更新が必要です。お忘れなく！
[193.730] junichitanaka: 散歩にファンボ
[195.346] yukmouth13: hello! from Los Angeles California
[197.965] (S)imokun888: 前リュックはいい人だという偏見がある
[199.679] だいこん_: 草
[200.157] x_abu_xx: 先生
[200.820] balthazar000: ほー
[201.255] ~MISSING_COMMENTER_INFO~: あいさつしに来たんすねｗ
[202.859] hiisan: よー覚えとるなウメちゃん
[206.735] momochan6: カラオケ大会懐かしい
[207.155] HirocoT: おー
[212.503] MightyGlaux: Silverhand
[215.729] balthazar000: 発音の専門家か
[226.200] ぷーぬ: 今北。今日はどこ散歩してるの？
[230.211] (S)v_harumi_v: 記憶力がすごい
[233.918] ねこざけ: もいきー
[234.745] (S)imokun888: モイキー
[235.398] terry_man630: よく覚えてるなぁ
[238.358] (S)クラクラ777: ボイトレの人は下手な歌手より全然うまい
[241.816] (S)ほっきょく: ここからは魔境です（めっちゃ迷子の可能性になる
[242.734] 泣き虫サクラ: それはキモイじゃなくて単純に頭いいからだろ
[248.208] x_abu_xx: 水道橋-新宿(いまここ)-高円寺 予定
[253.261] (S)v_harumi_v: キモくはないですね
[257.414] (S)neogreenlife: いや、覚えてるのえらいですよ
[261.022] ぷーぬ: さんくす
[263.574] (S)クラクラ777: たしかに
[267.286] junichitanaka: しのっち元気してる？
[273.809] (S)v_harumi_v: 覚えてくれているのは嬉しいことですよね
[278.501] ねこざけ: カリスマ性が必要か
[278.784] HirocoT: しのっちｗ
[282.880] hinokihinoki: 昔ここら辺に住んでたかもしれない。幡ヶ谷
[283.450] ~MISSING_COMMENTER_INFO~: こういう町並みすきやわー
[284.565] ぷーぬ: しのっちってしのさんとは別人か
[285.793] super_fluo: 下手な歌でも感動する時あるよね
[287.589] (S)imokun888: 芝居とかもそうで、ある程度美味いとそっから上の違いが判らんくなっていく
[337.222] junichitanaka: なんとかリア
[339.194] ぷーぬ: あれwでしたかw
[352.646] (S)クラクラ777: 持ってる何かなんだろうねぇ
[357.526] kajiryoji3310: 星野源あらゆる部門で成功してて凄いよな
[362.406] vespa127g: しょうへいがTwitchでナッシュ練習してる
[382.616] ぷーぬ: サッカーにもいるね、なんか勝たせる選手
[393.215] yakitori_potato: 見る側も経験すればわかるようになるのかね
[394.555] junichitanaka: ストリアだ。結婚式場
[402.842] (S)クラクラ777: 何か勝つ！？
[411.373] leonhard_mage: 芸能は広げないと広がらないから、僻地のゲーセンの猛者みたいなやつが平気でいる世界
[423.129] son_gokutsubushi: 華があるとか基準謎だもんね
[433.643] hinokihinoki: 売れてる人って不思議と周りのスタッフが自発的にその人のために100％以上の力出す印象がある。見てきた売れてる人達みんなそうだった
[458.104] ~MISSING_COMMENTER_INFO~: データ化、ねー
[461.965] ねこざけ: ビッグデータやね
[465.568] (S)murabito06: 電気信号だからね
[467.269] ~MISSING_COMMENTER_INFO~: 産まれた瞬間に向き不向き決められそう
[509.302] naginagi99: この世にスポーンしたときに既に環境差があるからなあ、人間
[516.051] ぷーぬ: ガタカだっけ？そんな映画あったね
[524.587] gorogorogorn: 不向きなことやってもいいじゃんね
[527.353] ぐのたお: 遺伝子云々って双子の調査とかでしょ
[529.222] 穴入亭快楽: 自分の可能性は自分で探したいですね
[530.897] donekofg: 赤ちゃんって個性的だしな
[532.127] ねこざけ: 環境と才能は関係あると思う？
[553.694] son_gokutsubushi: なんか、遺伝子でしかなんともならない分野と努力でしかなんともならない分野ってグラフででてたきがす
[559.829] momochan6: めちゃ酔う
[572.456] naginagi99: 遺伝子よりは後天的に獲得したもの、環境から獲得したものの方が大きい、みたいな研究あったような
[578.706] ~MISSING_COMMENTER_INFO~: 環境からの影響は大いにあると脳科学とかで言われてたりする
[599.312] (S)にゃんだろーりんぐ: 暑いけど水分補給大丈夫？
[600.174] pandascal: 親の階級で幼児の語彙力が倍くらい変わるから相当な運ゲー
[609.248] ぷーぬ: こんな狭い道で車すれ違えるんだろか
[611.911] 000105: 20がめっちゃ長く見えた
[616.562] x_abu_xx: さっき水飲んでたから大丈夫かと
[621.310] (S)neogreenlife: 住宅地ですな
[637.697] junichitanaka: トイレ行ったん？
[637.883] naginagi99: 急に暑くなったから体まだ慣れてないんよね
[647.566] ぐのたお: ヌキさんの子供はさすがにとアイイとウメハラしか言わない
[651.543] ~MISSING_COMMENTER_INFO~: マジ？
[655.225] (S)ほっきょく: もうどの方向進んでるのかわからない地域
[659.051] x_abu_xx: 公園のトイレにいきました
[661.151] (S)にゃんだろーりんぐ: それならよかったー
[666.617] yamayama0520: 4月でこの暑さはきつい
[670.388] (S)v_harumi_v: 暑いですよ。家でもタンクトップでちょうどいい
[691.985] x_abu_xx: 流石に冷房入れました
[692.407] 泣き虫サクラ: 中世の旅人の発想
[695.209] ぷーぬ: その後ざぶーんとお風呂
[699.098] shiro_risu01: 岩手で30度のニュースはびっくりした
[700.641] (S)v_harumi_v: たしかにー、そのビールは美味しい
[705.031] ~MISSING_COMMENTER_INFO~: ウメさん筋トレして汗流して風呂入ってからビールきめましょう
[708.323] junichitanaka: トイレ行ったんかありがとー
[711.667] 泣き虫サクラ: ウィンナーもつけよう
[717.526] (S)クラクラ777: うめえええ
[720.209] (S)v_harumi_v: いいですねー－－－－
[727.562] (S)吉田じんぎ: くぅううううう
[728.035] son_gokutsubushi: ビールは飲んでもつまみ食えねぇってなぁ
[731.749] Coedawg: カイジ
[734.486] (S)v_harumi_v: ひー－－、飲みたくなってくる
[738.212] mako6912: たまらんよね
[740.334] HirocoT: ｗ
[740.951] だいこん_: (≧Д≦)
[741.289] ~MISSING_COMMENTER_INFO~: ったあああああああ
[742.128] _ピート_: わかる
[743.279] ちいトラ: 仕事の後のビールの為に昼から水分とらないとかやる人もいるくらいだしな
[743.323] ぷーぬ: キリンさんスポンサードお待ちしてます！
[744.971] (S)imokun888: せやなあ
[751.139] (S)ほっきょく: あさひぃ～すーぱーどらぁい
[753.236] son_gokutsubushi: あれを生きてる喜びと呼びます
[755.526] gorogorogorn: ビールのマックスよね
[755.618] (S)neogreenlife: 飲みたくなるなぁ…
[756.904] degajun: ジムの後のビール最高
[762.598] (S)吉田じんぎ: 好きな銘柄あるの？
[763.148] sussy_int: あの瞬間に絶命したいまである
[768.349] (S)imokun888: ビールは口じゃなくて喉で飲むよね
[768.807] ~MISSING_COMMENTER_INFO~: アサヒ、キリン、サッポロ様おまちしてます
[770.889] junichitanaka: ファンタグレープでも俺それ出来るよ？
[771.259] (S)クラクラ777: 最初の一口が最高
[773.552] (S)ichi_gatsu: wwww
[774.183] だいこん_: 草
[775.288] super_fluo: w w w
[776.913] ジャンクばっち: ｗ
[778.871] 泣き虫サクラ: 行き止まりのテーマ
[780.770] 000105: 折笠さんも歩いてコンビニについての一杯目そんな感じよ
[782.071] (S)ほっきょく: さっき書いてあったでｗｗ
[782.124] ねこざけ: 迷い王
[787.397] パパゲーノ: 今年こそビアガーデン行きたいなぁ
[789.054] shiro_risu01: umeJam
[791.094] kame277: いつか動画の企画で究極のビールの飲み方やって
[791.336] leonhard_mage: 行き止まりは草
[791.877] ぐのたお: 体に沁みる
[795.623] (S)ほっきょく: ここらへんマジで迷子になる
[798.597] (S)にゃんだろーりんぐ: 美味しそうだからやってみたい
[806.481] (S)クラクラ777: 結構いりくんでるね
[816.549] だいこん_: 行き止まりの道とかしばらく歩いたことないわｗ
[816.733] (S)ほっきょく: タクシーでも迷う
[822.958] son_gokutsubushi: コオロギだかの実験で毎日豪華な飯食うやつと、毎日貧相な飯食うやつと、たまに豪華な飯食う奴だと、たまに豪華な飯のやつが1番長生きしたらしい
[826.206] leonhard_mage: 西新宿はキレそうな道が多かったなー
[827.845] ~MISSING_COMMENTER_INFO~: みえねー－ｗｗ
[833.363] x_abu_xx: こうしてみると、ジンバルってすげーんだなって思いますね
[838.987] (S)v_harumi_v: みえたよー
[839.396] ポンポン: ウメちゃん、今日暑いね
[840.606] あかの: 見えん  ！
[844.341] pugya7: いたぁ
[844.574] ~MISSING_COMMENTER_INFO~: おおおおお
[846.609] x_abu_xx: 飛行機だ
[849.165] (S)クラクラ777: でかｗ
[861.433] x_abu_xx: 羽田に降りるコースですね
[863.156] (S)にゃんだろーりんぐ: 飛行機
[869.171] kitsune_margiela: 手ぶらですか？
[871.839] kokuyoshi: ⊂二二二（ ＾ω＾）二⊃ﾌﾞｰﾝ
[880.813] guruguruwan: 文明開化
[882.072] ねこざけ: いつものリュック持ってないの？
[885.177] (S)yocto41: 今更？
[885.393] (S)ほっきょく: コレは山手通りに出れそうなフラグ
[885.733] (S)クラクラ777: ま、まあそういうための道具ですからｗ
[890.505] ~MISSING_COMMENTER_INFO~: バックパック便利でっせー
[891.708] だいこん_: そうだね、体へのバランスもいいね
[892.995] ぐのたお: 明日には便利なこと忘れてそう
[893.053] ポンポン: リュック考えたやつだれだ
[894.501] (S)imokun888: リュックTier１か
[895.879] khoa2610: i want to visit japan... wonder when they will let tourists in...
[903.864] kaikoma623: 今度山登りもやりましょうよ
[903.952] x_abu_xx: 背中が蒸れること以外完璧
[908.614] pandascal: 手を空ける道具は実際発明
[913.914] (S)v_harumi_v: リュックは便利だけど夏が暑い
[923.978] ぷーぬ: リュックもいいけどそのままするっと前にカバン持ってこれるボディバックも便利よ。ヘルシーのバックバッグとか。
[924.384] ~MISSING_COMMENTER_INFO~: １５：２５
[924.848] やきにくマン: ；；
[926.631] kobi3070: もうそんな時間
[929.831] ねこざけ: 登下校したい
[930.094] (S)クラクラ777: ゲーセンに直帰
[930.267] kitsune_margiela: 家からめっちゃ近いな
[931.438] 冷製カミス: gekoo
[931.514] ポンポン: ウメちゃんならそのままゲーセンだな
[931.652] (S)ima_son: 登山用で背中蒸れにくいのとかあるよ
[932.680] まじなさん: ゲコー
[933.198] hinokihinoki: 思ってたとこと全然違うとこ歩いてた
[935.172] junichitanaka: I saw the JP pm say they will consider
[935.982] mako6912: げこー
[944.429] (S)ほっきょく: 清水橋はまっすぐでも右折でもおｋ
[946.858] ~MISSING_COMMENTER_INFO~: 放課後
[947.402] hinokihinoki: 方南通りか
[948.565] (S)クラクラ777: つまってるねぇｗ
[952.742] donekofg: げこー
[954.319] nanakusan793: 下校からのゲーセン
[960.721] khoa2610: japan tourism in 2024! lol
