[13.960] hachi8ee: :(
[14.251] user81023: ひん
[27.073] matsu_zalem: umeStretch
[32.127] listerinem: ↑ ﾋﾟﾎﾟﾊﾟ →
[50.536] matsu_zalem: umeBoom
[61.702] yuki__0410: こんにちは❣
[89.915] (S)teruharu_: さっきよりマシに
[91.869] ememeume: umeCatHope
[94.914] jagajaga1943: もうこれでいいよ
[96.917] junpei_11: 良くなった気がする
[97.064] 太陽のタルタルソース食堂: 揺れてもいいよ
[99.995] balthazar000: 震度２くらいにおちついた
[101.975] (S)gyu_nyuu_pann: よくなってると思う
[108.520] 衰弱マサムネ: 問題ないです
[110.436] junpei_11: これでいいよ！
[115.874] (S)黒猫くん: 我慢できるよ別に
[121.104] 太陽のタルタルソース食堂: ジンバル新しいのね
[123.722] (S)teruharu_: umeSnooze
[126.413] tarantarantaran: shibuy4PipimiWota
[126.508] jagajaga1943: まだ新しいの買おう
[133.322] balthazar000: ウメさんジンバル何個もってるの、、、？
[135.390] ememeume: ループ
[138.399] 3_dots: 散歩配信ありがとうございます！
[138.882] 太陽のタルタルソース食堂: デカいけどDJIがいいよ
[140.364] balthazar000: そしてここはどこ
[157.135] (S)tabibitox: しまん・・・
[157.985] massaaan: コレクターかな？
[160.512] gedageda: 豪邸ばっかだ
[161.993] (S)シミズム: 上り坂かな
[164.422] balthazar000: ４つはチャリティ捗りそうですね。
[177.130] ememeume: 目黒・代官山とか家具屋あるイメージ
[179.708] enuemu3: ジンバルコレクターですな
[182.810] (S)シミズム: めってる
[185.232] 太陽のタルタルソース食堂: キャリブレーション取りにくいのか
[186.409] balthazar000: これがソニックを撃つ手か
[187.396] (S)黒猫くん: 控えめに言ってゴミですか？
[189.804] akiaki0612: 買い直そう
[199.510] ねこざけ: Feiyu Techのなんてやつ？
[207.224] kaigaizei: 説明書読めない人にはゴミ
[212.711] enuemu3: ﾋﾟﾊﾟﾎﾟ♪
[217.262] 太陽のタルタルソース食堂: フェイユーはスリムなの多いけどそれなり
[222.262] massaaan: ３軸ロックはずしたん？
[227.587] junpei_11: 各ゲーマーに説明書は無理
[240.241] (S)シミズム: 野良散歩人多いね
[277.317] kame277: 天気よす
[279.045] (S)gyu_nyuu_pann: 押してみよ
[279.113] 太陽のタルタルソース食堂: そば屋のバイクのほうが揺れないな
[289.328] akiaki0612: なにが決め手でそのジンバルにしたのですか？
[295.620] jagajaga1943: アマゾン使えない人にジンバル無理
[295.749] balthazar000: いいところじゃない
[302.557] (S)v_harumi_v: こんにちはー
[309.545] (S)gyu_nyuu_pann: やせるじゃんあ
[314.637] ememeume: 今日暑そう
[319.582] 3_dots: たくさんの緑
[320.706] junpei_11: 坂道だらけの街とかなんか憧れはあるけど住むと辛そう
[321.561] balthazar000: フンがファンに見えたぜ
[332.682] akiaki0612: 毎回失敗してるんだからしっかり選んだらいいのに…
[336.561] (S)v_harumi_v: スタスタ
[340.057] kame277: 坂登るためのパワーアーマー買わない？
[344.151] enuemu3: 迷子になっちゃう
[345.160] (S)teruharu_: 階段すご
[354.116] vitaminc0516: 今日はどこ目指してんの？
[354.517] 太陽のタルタルソース食堂: djiから提供くるといいな
[357.011] junpei_11: 脂肪燃焼してるね
[362.680] いーばら: いいところだ
[371.847] akiaki0612: 階段はウメちゃんの敵
[372.591] (S)シミズム: 高いなー
[382.843] akira_s_: いい天気だ
[385.615] mogugu67: きれい
[387.666] mako6912: きれいだねー
[388.441] (S)neogreenlife: お、めちゃくちゃキレイ
[389.937] akiaki0612: あら綺麗
[390.121] (S)gyu_nyuu_pann: うわ綺麗
[390.691] (S)teruharu_: きれい
[395.044] (S)シミズム: きれいじゃん
[395.192] niwakanoppo187: 八重桜だぁ
[395.339] ememeume: おおー
[396.421] (S)v_harumi_v: おおお、八重桜がめっちゃ綺麗
[399.348] enuemu3: 綺麗だぁ
[399.669] ememeume: umeLaugh
[404.601] (S)gyu_nyuu_pann: 気持ちいいね
[412.889] Eve_2468: 今履いてるのってクロックス？
[416.866] vagalume_7: e ai daigo
[444.728] Napolitano4SABOR: @vagalume_7 ele vai te responder em português sim, só confia e espera 
[444.895] (M)Moobot: Twitch Prime は30日ごとの更新が必要です。お忘れなく！
[451.960] えー氏: なんか地元来てるー
[471.270] ememeume: 地図の看板とかないのかな
[473.842] ねこざけ: 西郷山公園らしい
[478.713] balthazar000: クロックスじゃないウメさん、、、偽物か？
[480.417] mmiiacha: クロックスじゃないの珍しいねぇ
[481.120] akiaki0612: 太刀川さんの対談の時に履いていた靴はまだあるのですか？
[482.483] vagalume_7: @Napolitano4SABOR confia
[483.994] 太陽のタルタルソース食堂: てっぺんか
[490.479] (S)v_harumi_v: 偽物ってｗ
[493.027] helicom: 登山行く用の靴は今日は買わないの？
[500.170] balthazar000: 目的地は？
[500.898] yui_tang0307: あら、今日は代官山？
[501.531] enuemu3: クロックスじゃない…！？
[506.557] Napolitano4SABOR: @vagalume_7 quem confia digita 1 quem não confia para de respirar por 3 minutos xD
[519.067] 太陽のタルタルソース食堂: 目的地あるの？
[520.220] balthazar000: 代官山にも安全第一はあるんだな
[526.666] yuyu09250925: 反対側渡ってまたまっすぐ行ったほうがいいです
[533.150] メタルぱんだ: 登山！？
[534.226] akiaki0612: 何故か無くなる服や靴
[540.701] kame277: クロックスは置いてきた…この戦いに着いてこれそうになさそうだからな
[550.796] えー氏: 代官山は逆だね
[553.585] yuyu09250925: また神泉ルートにはいってる
[555.307] (S)neogreenlife: 青山のアペロというフランス料理店に向かい中らしいです
[555.968] balthazar000: クロックスZにすべきだな
[564.831] potocki1810: ただの文字です...
[564.936] メタルぱんだ: また？
[565.134] あかの: 映画に行くか散歩を見続けるかの2択で迷ってる
[570.411] balthazar000: おフランス料理とな
[574.099] Eve_2468: ウメさん若い頃は何履いてました？
[580.647] ねこざけ: その信号右に渡ってまっすぐかな
[585.926] 太陽のタルタルソース食堂: かなり遠くないか
[593.265] niwakanoppo187: 意外と天気どんよりしてるな
[594.574] Izac639: どこ行くの？
[599.068] akiaki0612: ジンバル機能してないな
[600.419] (S)v_harumi_v: ｗｗｗｗ
[600.706] yuyu09250925: そこ渡って！
[610.508] lapistaxx: こんちは〜、今日はどこ行くんですか？
[614.764] ねこざけ: みぎ
[617.675] ssk0409: アペロ オーガニックで有名なみせみたいやね
[618.452] ememeume: ww
[625.238] 太陽のタルタルソース食堂: 点滅見てから横断
[628.937] yuyu09250925: みぎ
[634.483] メタルぱんだ: え？右の道じゃないの！？
[644.070] (S)さいふぁ123: ちょっと遅延あるから
[648.012] 5don: @lapistaxx 中目黒スタート→青山(スト2フレンチ店)→新宿(ベッド＆額縁)
[651.800] helicom: 石井プロに売るやつ？
[654.168] adachikujin: チュートリアルしました？
[659.760] 食用ばるさみこす: また新しいジンバル買いそうw
[668.059] 太陽のタルタルソース食堂: 棒だもん
[668.210] indobazaar: 石井プロのお下がりか
[670.955] (S)v_harumi_v: スト2フレンチ？
[671.873] ememeume: 握りやすさ
[672.031] Eve_2468: 飯食った？
[672.181] (S)えすじー: 今日はどこかな
[672.848] yuyu09250925: 今マレーシア大使館の近くですね
[677.600] kaigaizei: ゴンタに偉そうに教えて自分はジンバル使えてないか
[679.825] massaaan: すぐジンバルのせいにするぅ
[680.743] balthazar000: 調整不要のワンタッチジンバルあれば売れそうだね
[685.459] メタルぱんだ: ｗ
[696.609] ssk0409: ジンバルの悪口言う人ってめずらしいなw
[699.195] ねこざけ: その道でOKです
[721.093] balthazar000: ジンバル評論家
[722.581] lapistaxx: 5donさん、丁寧にありがとうございます！
[724.717] はやーい: しまんジンバルとは別のやつもダメなのか…
[725.440] mmiiacha: 4マンの棒のセッティングより？
[727.018] akiaki0612: KSKとか詳しそうな人と一緒にジンバル買いに行けば？
[727.179] (S)neogreenlife: ジンバルってスマホを固定する以外なんかあるのかい？
[737.587] mogugu67: umeShave
[741.968] (S)ほっきょく: こんちわ
[746.321] niwakanoppo187: 手ブレ補正？
[752.259] yui_tang0307: あ、南青山向かってるのね、なるほど
[772.331] (S)teruharu_: 散歩日和
[780.485] balthazar000: 設定では？
[782.090] akiaki0612: これジンバルっていうかただの棒やな
[783.760] 太陽のタルタルソース食堂: ジャイロが全然生きてない
[785.908] sdy_hs: ひかるにぃー、はやくきてくれー
[790.056] はやーい: 今度買うときは石井プロにおすすめ聞きましょう
[792.350] suhifire: 前にガジェット詳しい人いたよねYOUTUBERで
[805.949] (S)若鶏の唐揚げ: umeYay
[815.766] niwakanoppo187: カメラが微妙に横向いてて酔いそうｗ
[817.332] ~MISSING_COMMENTER_INFO~: 大したことないな…
[824.603] 5don: 青山 vs 鹿浜
[826.174] (S)黒猫くん: 何がとは言わないがとにかくトップクラスの街
[830.780] balthazar000: これがトップなのか
[835.711] akiaki0612: 誰かジンバル差し入れしてくれー
[836.381] Izac639: なんか超近未来みたいな街があっても良いのにね
[844.504] (S)ほっきょく: 今日はどこでロケですか？
[854.696] ある_____: いけすかなさトップクラス
[855.855] 太陽のタルタルソース食堂: 【国内正規品】 DJI OM 4 SE スマートフォンジンバル 3軸スタビライザー 手ブレ補正 マグネット着脱式デザイン 携帯性 折りたたみ設計 分身パノラマ ジェスチャー操作 ActiveTrack 3.0 Vlog撮影 DynamicZoom iOS/Androidも対応 ***
[863.117] (S)v_harumi_v: いいよお
[863.669] ssk0409: ジンバルと喧嘩してるのまじくそおもろいw
[868.121] 太陽のタルタルソース食堂: こんなんでいい
[873.156] potocki1810: ｗｗｗ
[878.077] メタルぱんだ: ！？
[878.089] sei_6: 返品しよ
[878.735] (S)さいふぁ123: 首痛い
[880.252] yakizakanada: ｗｗ
[882.011] 5don: Amazonでテキトーに買い物するとトラップ踏みますよね…
[882.734] yuki__0410: お天気よくていいですね！
[883.208] (S)v_harumi_v: 横にならないと見れない
[883.343] user81023: wwww
[886.295] y0shiwo: ｗｗｗ
[886.791] jagajaga1943: 首おれる
[887.819] niwakanoppo187: 斬新やなーｗ
[888.403] 太陽のタルタルソース食堂: 切った？
[888.920] mmiiacha: umeCatSleep
[889.262] ﾃﾄﾗﾝ: 横向きになってる
[891.227] ssk0409: やめてええ
[895.252] papipopon: 首がグキッっていった
[896.441] folnarock: いやいやいや
[896.727] nop64: 酔う
[899.249] akiaki0612: ウメさんの使い方が悪い説…ないですかね？
[901.504] balthazar000: 俺は良いよ
[902.392] ememeume: 絶対的に使い方の問題ww
[903.879] lapistaxx: ウメ吉っつあん？
[907.358] YvDhFvmLvyxi: マンガの精神世界みたいになってる
[909.241] 5don: 画面が 90度 右回転しちゃってます
[909.906] kaigaizei: ジンバルをなめるな
[913.035] (S)シミズム: スマホ縦にすれば見れるけど
[915.198] 太陽のタルタルソース食堂: 変わらんくらい
[915.258] じゃむじゃむお: 首曲がり族になっちゃよ
[916.473] jagajaga1943: いやどう考えてもウメちゃんが使いこなせてないだけだと思うよｗ
[931.051] ssk0409: わいもウメさんの使い方が悪い説に賭けたい
[932.565] massaaan: 河原歩いた時もジンバルにそういってたよね
[932.750] akiaki0612: お
[937.046] (S)ほっきょく: 渋谷から？
[938.962] (S)kanjaneko: 前使えてたやつと同じの買ったら良かったのに
[939.185] Fazh: dittle1Jordancryy
[940.552] balthazar000: まともになった
[941.045] ememeume: 携帯側の方向ロックを外せばいいとかじゃないのかな？
[944.983] (S)ほっきょく: 鉢山じゃん
[946.355] NEALtt: SeemsGood
[953.737] massaaan: いったか？
[953.981] yuyu09250925: そこ渡ってまっすぐです
[959.264] shigepedia: ウメさん、オーダメイドで身体に合った枕を作ると首こりとか軽減しますよ
[960.348] (S)gyu_nyuu_pann: スマホつける向きとか合ってるの？
[963.220] (S)ほっきょく: 真っ直ぐ行くと渋谷っしょ
[986.649] ssk0409: しらんwww
[988.028] YvDhFvmLvyxi: 自撮り棒使ってるんですか？
[990.052] yakizakanada: 知らん！ｗ
[993.679] nikukuisugi333: しらんｗ
[997.926] balthazar000: ウメさんはここに住みたいとおもいます？
[997.957] (S)v_harumi_v: おおお
[999.943] (S)v_harumi_v: 楽しそう
[1002.029] (S)neogreenlife: しらんw
[1002.861] やっぱりマイペース: 東京？？
[1003.972] (S)v_harumi_v: のりたいのりたい
[1005.653] kinaklmoti: なにあれ
[1006.927] ねこざけ: いいもん乗ってるやん！
[1008.501] だいこん_: ｽｲｰ
[1008.947] ~MISSING_COMMENTER_INFO~: 奪え
[1009.181] une3333: こどもかww
[1009.595] ddb365: かおｗ
[1009.831] jagajaga1943: スケーター？
[1011.084] メタルぱんだ: ん？
[1013.145] (S)v_harumi_v: 原付免許必要なんだっけ？
[1013.747] mmiiacha: ｗｗ
[1014.524] nikukuisugi333: ウメちゃんあれ買おう
[1015.372] YvDhFvmLvyxi: 電動スクーター？
[1017.299] ある_____: 電動キックボード
[1018.526] balthazar000: 電動スクーター？
[1022.042] 淀ヘドロ: 電動キックボードか
[1022.854] らっぴ_: LUUP
[1023.624] 太陽のタルタルソース食堂: 最初にバランス取らなきゃいけないのとかもあるね
[1024.343] kitori_17: あれはスマホを使いこなせないと...
[1024.742] YvDhFvmLvyxi: キックボードか
[1026.508] ~MISSING_COMMENTER_INFO~: 電動キックボードだよね。俺も欲しい
[1026.735] (S)teruharu_: 乗りたい
[1031.635] nikukuisugi333: すげえ盗まれそう
[1031.852] (S)neogreenlife: あれ、ノーヘルダメだよね
[1033.336] ~MISSING_COMMENTER_INFO~: 高いのでも5万円くらいっしょ
[1033.595] yui_tang0307: LUUP(ループ
[1033.750] (S)ほっきょく: 電動自転車でおｋ
[1037.486] kaigaizei: ジンバル使えない人には無理
[1037.751] balthazar000: 免許ヘルメット不要じゃない？
[1038.744] ssk0409: 東京道せっっっっっま
[1052.847] ememeume: 渋谷から246歩く感じかな
[1053.577] arcadecabinet1985: lol still mask
[1054.713] imotarou1126: 最近改正されたよねあれ
[1058.347] だいこん_: 元から雑談メインに聴いてるから大丈夫
[1060.885] ねこざけ: Feiyuはウメちゃんを怒らせた
[1061.200] ~MISSING_COMMENTER_INFO~: 令和最新式
[1068.383] (S)teruharu_: umeSalute
[1071.127] (S)imokun888: iPhoneとかPixelの新しい奴だとジンバルなくても結構いけるけどねぇ
[1073.209] 太陽のタルタルソース食堂: フェイユー出禁
[1074.432] ememeume: モザイク画として見る
[1074.683] (S)gyu_nyuu_pann: おけよ
[1075.100] StrongToshimichi: 15キロまでしか出ないやつはメット無しでokになったｈじゃず
[1079.329] 5don: つぎはヨドバシやビックで相談しつつ買いましょ！
[1091.480] ancehutn: へー
[1093.417] balthazar000: 電動スクーターは貸出あるから簡単に乗れるや
[1096.142] (S)gyu_nyuu_pann: 新宿に行くの？
[1096.391] YvDhFvmLvyxi: 白線のボロさに味あるね
[1105.203] 落としぶた: ベッドはもう見終わった感じですか？
[1109.836] checker_od: Getting lunch?
[1117.763] balthazar000: 東方の都会の郊外がこんな感じ
[1127.744] arcadecabinet1985: people think covid will leave us on 30 year
[1129.869] (S)ほっきょく: 六本木かと
[1138.085] lapistaxx: この辺りから青山はトップティアっぽいね
[1138.367] yui_tang0307: 青山一丁目が一位
[1140.070] 太陽のタルタルソース食堂: エグい
[1140.392] kitori_17: まあどこも高いわよね
[1142.074] (S)imokun888: もう過ぎたけど近くに上手いサイダーとサンドイッチの店あったよ
[1143.726] akiaki0612: 別に便利さとか無いよね
[1143.952] (S)シミズム: のみ
[1150.085] YvDhFvmLvyxi: 自販機多いな
[1153.089] ﾃﾄﾗﾝ: 去年もそのまた去年もトップクラスだった
[1154.799] (S)teruharu_: 今日は青山のスト2フレンチ店→ベッド→額縁だそうです
[1160.626] 太陽のタルタルソース食堂: 家賃が高いってだけ
[1168.290] akiaki0612: ブルタイム
[1170.783] (S)neogreenlife: トップクラスです。何かが
[1171.801] Blowthat: guys is this tokyo?
[1172.278] (S)v_harumi_v: 水分補給大事
[1175.626] helicom: なんか（ブル）
[1177.199] 落としぶた: @teruharu_ 情報あざす～
[1178.648] ねこざけ: さすがです
[1178.654] rxz_2017: 翼を授ける
[1179.324] akasanz3x: ブル飲まねえとな
[1179.932] キタちゃん: rtaRedbull2
[1180.092] (S)ほっきょく: ここらへんは半グレがいっぱい住んでるよ
[1186.039] だいこん_: やっぱブルだよな！
[1190.973] akiaki0612: 珍しくちゃんと宣伝
[1191.058] ~MISSING_COMMENTER_INFO~: 砂糖水飲むか
[1191.284] mmiiacha: レッドブルっけい！
[1191.678] bo_kansha: 一瞬見たら酒のキリンレモン
[1192.725] lapistaxx: うおおおおおお！！
[1193.530] (S)シミズム: ブルだよねー
[1198.174] 太陽のタルタルソース食堂: ブル？
[1198.562] ememeume: umeJam
[1198.833] YvDhFvmLvyxi: 販促タイム
[1198.860] user81023: 紫ブル
[1199.218] 浣熊俠: rooThink
[1200.420] あかの: ブルインストール！
[1200.610] mako6912: ブル一択
[1200.964] Fazh: hehe Red Bull 
[1207.192] フﾄ: 反射でばれてんぞ！
[1207.780] (S)gyu_nyuu_pann: 紫ブルだ！
[1208.477] nikukuisugi333: 紫なんてあったっけ
[1209.340] (S)neogreenlife: やっぱブルなんすよね
[1209.579] (S)黒猫くん: やっぱトップクラスの飲み物レッドブルやな
[1210.656] arcadecabinet1985: dont drink red bull u will have  stroke
[1212.290] rxz_2017: はええ
[1213.220] (S)teruharu_: プロの鑑
[1213.326] enuemu3: レッドブルもこれにはにっこり
[1213.854] shigepedia: ブルをアップにして違うものを買ってそう
[1216.015] akiaki0612: レッドブル茶
[1216.788] ememeume: ボタンは見せない笑
[1217.806] yui_tang0307: Yes, near by Shibuya.
[1217.921] ~MISSING_COMMENTER_INFO~: ウメちゃんは監視されてるからね
[1221.713] 太陽のタルタルソース食堂: キリンレモン
[1225.270] (S)シミズム: 防犯カメラに撮られてたらおしまいよ
[1226.432] YvDhFvmLvyxi: 揺れがすごいｗ
[1227.111] ~MISSING_COMMENTER_INFO~: 水かｗ
[1233.019] ddb365: トップなのに100円
[1236.430] raurakd: 画面もブルブル
[1237.646] mutuizumi: ペットボトルｗ
[1239.161] (S)tukathunder: ペットボトルのレッドブル
[1241.854] ~MISSING_COMMENTER_INFO~: 黒いキャップだった
[1243.156] だいこん_: カシュッ…あれ？
[1243.353] lapistaxx: ブル見かけたらポチる体になっちまったか
[1247.037] kaigaizei: おやキャップが？
[1247.298] akiaki0612: フタ捨てんの？w
[1248.191] helicom: ペットボトルブル
[1251.515] (S)v_harumi_v: シーッ＞キャップ
[1253.408] (S)neogreenlife: 安い！100円！
[1254.252] ~MISSING_COMMENTER_INFO~: ブルのキャップだね
[1257.677] (S)gyu_nyuu_pann: 草
[1261.017] らっぴ_: キャップわろた
[1263.407] akiaki0612: 何故フタ捨てたw
[1263.980] une3333: ふた捨てる人初めてみたw
[1264.952] 宮藤ｨｨｨ: キックボード！？
[1266.024] mmiiacha: ｗｗｗｗ
[1267.116] arcadecabinet1985: u will shinei if u drink red  bulls
[1269.159] (S)シミズム: ポッケに入ってたんでしょギャップ
[1269.995] tokogonish: 地面に落ちてたんだよ
[1270.943] qwertyu4769: おはゆ
[1272.707] checker_od: Lunchtime soon
[1276.976] burisuke: ペットボブル
[1277.747] helicom: ボタンだよ
[1279.315] 太陽のタルタルソース食堂: スポドリ？
[1280.464] lapistaxx: やめーやww
[1280.992] 5don: 佐々木小次郎も決戦の前にカタナの鞘を捨てたらしい
[1296.777] kaigaizei: 買ってすぐのキャップ捨てるのウメちゃんとスギちゃんぐらいだよ
[1300.347] 太陽のタルタルソース食堂: bcaaの
[1300.378] (S)imokun888: じっくり見てると酔うな…
[1309.324] akiaki0612: なんかみんな子綺麗
[1312.645] ememeume: なんとなくで見ないと
[1314.249] 宮藤ｨｨｨ: ワイルド、だねぇ
[1323.268] balthazar000: 飲み切る覚悟
[1325.486] kame277: ウメ式ペットボトル方
[1328.724] une3333: 案外人いるもんですね
[1330.423] mutuizumi: ビ～ストだぜぇ
[1338.573] だいこん_: RedBullおいしいー？
[1340.326] ememeume: お昼時だからかな
[1353.359] だいこん_: 1237
[1353.483] (S)ほっきょく: 12：37
[1353.496] (M)Moobot: Twitch Prime に登録すると無料でたくさんの特典が得られます → https://bit.ly/2YE2nLB
