[35.791] tarantarantaran: umeYay
[36.169] ~MISSING_COMMENTER_INFO~: 物理的にねｗ
[49.377] Yaponjin: おかえり
[49.607] (M)Moobot: サブスクライバー限定Discord連携方法はこちらから！ https://sites.google.com/view/daigothebeastvsubhelp/
[50.358] げろげろまる: えいたマジ使えんな
[58.022] nitamago33: えいたのせいじゃないｗ
[63.707] buretan555: これで終わりかな？
[64.634] enuemu3: おかえり
[65.852] yut7xot8: 使えんのはうめちゃんでしょｗｗ
[66.030] fahmy0825: mifi?
[69.620] laponta: 池袋遠いね
[71.316] ハルキ10: お祓いいこうか
[74.149] toro0524: 一瞬えいた君のせいにされてておもしろかったｗ
[75.176] スーパー対魔人4: お
[76.080] アベ0206: 全部えいたのせいになる
[76.160] GelidiumJellyCat: 風強いな
[77.212] porcupinepine: 外配信の仕組みねｗ
[78.073] momiji4431: 無職しっかりしろ
[80.994] suzan_star: ゲーセンバッグ５マン円ぞ
[81.237] peperon17: えいた頭まるめろ
[82.151] takeiteasy55: 風の音だけで寒そう
[87.819] あさつき教: あさつき教 subscribed with Prime. They've subscribed for 49 months! 
[87.871] (M)Moobot: @FUZZBALL3312 with the 49 months re-sub! 
[88.469] スーパー対魔人4: もどったもどった
[90.229] nihonsyu_: 封筒確認はよ
[91.098] yuuubin: 封筒チェックしようぜ！
[92.206] keiji25nico: 見えてるよ
[92.794] suginaka56: 一瞬とは
[93.159] Coedawg: 封筒の中身確認よろ
[93.325] (S)redpeppar510: 一瞬じゃねえわｗ
[97.509] ~MISSING_COMMENTER_INFO~: 開封の義をお願いします
[98.063] GelidiumJellyCat: マァス
[99.069] ayataka33: 封筒・・・・
[99.242] hodanonn: えいたあああああ
[99.257] (S)エメドラ: 貢物の総額やばそうｗ
[102.157] darksiede: 車に戻る?
[103.238] momochan6: 服買おうよｗ
[103.384] chin_56_: ひいてる。。
[104.246] dswlm: さすがに？
[104.359] nitamago33: 封筒と新しいシノギ
[104.464] aranami0: 稀代の封筒好き
[105.530] feel2525: えぐい？
[105.875] くせげーむ: お？
[106.234] nihonsyu_: ｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
[107.096] shiro_risu01: ！？
[107.566] porcupinepine: ん？
[108.279] prosciu: 封筒www
[109.645] toro0524: 封筒？
