[1.280] Nishi_Poteto: ポンコツやんけ！
[2.027] (S)uwamonq: 封筒ＥＮＤ
[2.040] kaomoji3: ミートさん映った？
[2.164] nikukuisugi333: 封筒サムネｗ
[2.389] mmiiacha: kokuji3Kaki
[2.577] porcupinepine: ライトニング端子やっと終わってくれそうで俺嬉しいよ
[2.680] 5don: サムネｗｗｗ
[3.284] げろげろまる: どうなっとる
[3.859] (S)deadlykitten2525: KSKええ加減せぇよ
[4.793] クラクラ777: ミートがみきれたか
[5.340] Buizeru: PogChamp
[6.232] 5don: おかえりなさい
[7.108] wakky1114el: おかえり
[7.163] taroumaruh: おかえりー
[7.658] rm_rf__: ほんま早くtypecにしてほしい
[7.795] スーパー対魔人4: お
[9.473] yuuubin: お
[9.508] (S)成吉大: おかりー
[9.871] tama_zx61: サムネわろたｗ
[9.952] mememe10: 復活
[10.041] nitamago33: びびったー
[10.611] pot1111111: 長持ちするとか言ってた矢先に
[11.950] mmmabo: やっぱり封筒ないと視聴むりか
[12.256] no_name_0521: サムネ薔薇
[12.373] shishigamibungu: おっ
[12.496] スーパー対魔人4: せふせふ
[12.535] ~MISSING_COMMENTER_INFO~: ミートban
[13.808] ilm0806: 急なCMあたり
[14.580] katsuo73: ウメちゃんの冒険はまだおわらない！ウメハラダイゴ先生の次回作にご期待ください！！！
[14.750] tomitakun: NotLikeThis
[15.901] masin1124: もどった
[16.075] baibai29: 復活
[17.248] shikiso49: 封筒ｗ
[17.362] oguricapg1: おかえり
[18.733] furu13: ミートいた？
[18.804] tabibitox: おかえり
[20.681] 粉の民くんちゃん: ジンバルより本体が…
[22.315] 天然ベニテングダケ: 復活
[23.592] yoyo_443: 生き返った
[24.081] buretan555: 有料配信だからね
[24.479] 我がゴイチ: おかえり
[25.422] (S)dufushi: うひいいいいい
[25.871] triton11519: ミートさん横切った？
[30.527] hotokemax: またえいたがやらかしたかあ？？
[31.447] amaterasdesign: 復活しとった
[33.472] cozy312: くっとるけ?
[34.555] chin_56_: こわ
[36.325] lm312v04wo: アーカイブのサムネがw
[36.987] katsuo73: 復活のウメハラの
[37.901] suginaka56: ミートw
[38.715] gaga_u4x: wwww
[38.935] HirocoT: ？
[39.939] gomeeen: 厚い封筒に会いに行く
[39.962] 5don: トレーターの遅延か？
[43.319] kaigaizei: ミートの演奏聞こえたんじゃない？
[45.834] reganfa: あれ？急に人増えた？
[46.735] suzan_star: そういうとこだぞ
[48.170] chibaxx: ミートか、納得
[48.198] ハルキ10: 彼そういうとこあるよ
[57.589] tomitakun: NotLikeThis
[69.094] twitchyarutch: ミートさんだったらアカウント停止
[69.175] porcupinepine: 視聴者増やしちゃったかぁ
[72.001] nitamago33: さっきも４０００近くいたような
[81.840] miseumo: 格ゲーチェッカーでは3450人だね
[82.599] buretan555: 表示バグってたな 更新したら2000になった
[84.013] triton11519: 外配信はやっぱ良い
[84.625] (S)成吉大: 時間的に増えてきてはいるような
[84.723] げろげろまる: ガバっと減った
[86.580] ~MISSING_COMMENTER_INFO~: えいたくん効果
[87.642] jjjjjjjjjjjjejejejeejjej: 王のご帰還
[88.259] baibai29: 格ゲー勢Twitchに移動してきたからね
[88.722] redbull_daisuki: やっぱりTwitchはいいなぁ
[90.255] Coedawg: yucchoG
[90.298] tasuminn: 数字持ってるね
[90.427] kokusairengou: 封筒シーンだけ5000人行くらしい
[91.647] shiro_risu01: ツイッチたのしい 
[92.520] low_single: 瀕死勢みんな好きだね
[92.732] (S)uwamonq: 棒読みちゃん
[94.316] yoshiaki1986: えいたさんはガチでレア
[95.505] 65vr39: 1000人はワイやで
[95.558] ~MISSING_COMMENTER_INFO~: いっしょうしゃべってくれるから
[100.614] kokusairengou: 必要だよ(契約終了)
[101.558] kanjaneko: 一瞬、配信落ちてたよ
[113.348] porcupinepine: ほんとに昔のBeasTVみたいだね
[118.224] chin_56_: 矛盾してるねぇ
[122.487] nitamago33: 円満です
[123.840] ハルキ10: 辛辣w
[126.979] ilm0806: もともと３年契約ってこと？
[130.961] toshio0224: ビーストにアドバイザー欲しくないですか？？？
[132.017] ぺけ_ぺけ: 必要だよ(延長拒否)
[132.076] triton11519: シノビからシノギへ
[132.612] yuuubin: 新しいチームの予定は？
[132.850] バリーボンズ: さっき0になってたね
[136.365] millioniwashi: そう言うと余計にな
[136.395] アベ0206: ・・・・
[137.581] gomeeen: 仲が悪いやつもいたと
[138.335] ~MISSING_COMMENTER_INFO~: ももちに直接言われたのかな
[141.784] gorogorogorn: ももちさんと獣道は？
[143.388] Toshirokigai: これは東京ですか
[143.430] kaomoji3: いい話があればね〜
[144.410] furu13: てことにしとかないとね
[145.386] np2np: 仲はいいけど必要とされなかった
[146.682] (S)tibusa8: まあそういうしかないよなあ！
[146.919] feel2525: 話せば話すほどギクシャク
[148.242] twitchyarutch: 始まりあれば終わりあるし
[149.762] suginaka56: 仲”は“いいよね
[154.739] reganfa: まぁ戦力外通告と不仲は違うからね
[156.384] kurosaki_dayo: itsukickYhc
[157.086] buretan555: 前向きな卒業と聞いたが
[157.548] ~MISSING_COMMENTER_INFO~: えいた嫌い
[161.847] (S)redpeppar510: 不思議と抜け忍って言われないよね
[166.672] Toshirokigai: Sorry I didn't speak日本語
[166.750] shiro_risu01: MercyWing1
[170.129] (S)成吉大: またプロになる為の配信やってｗ
[172.422] hotokemax: へー
[172.991] kaomoji3: やらされた草
[173.140] triton11519: あったなあ・・・
[173.202] kokusairengou: やらされた
[173.228] baibai29: 操られてたかー
[173.469] あさつき教: されたｗ
[173.645] toshio0224: あれ？ｗ
[173.833] feel2525: やらされたのか
[176.046] chamomile21: やらされた
[176.524] mako6912: ！？
[176.716] 我がゴイチ: えいた、やったな
[177.222] ハルキ10: そういうこと
[178.901] yoshiaki1986: 強さは大事ですね
[178.974] DACKT711: えいたって、ライセンス持ってるんだっけ？
[179.292] 天然ベニテングダケ: された？
[179.700] millioniwashi: CAG頼むわ
[181.227] げろげろまる: 活躍はしてたよな
[182.244] (S)uwamonq: また視たいなあ折笠さんと
[182.991] ~MISSING_COMMENTER_INFO~: 折笠さんもスーツきてね
[186.752] 粉の民くんちゃん: 瀕死フェチ
[190.614] shishigamibungu: ｗｗｗｗ
[191.593] suzan_star: 頼み事 なし！
[195.496] ilm0806: ハイタニは、引き抜きなのかな
[197.465] 天然ベニテングダケ: 放置プレイされたのかｗ
[197.549] 何も知らないジョンスノウ: www
[197.831] latenight000: 瀕死フェチゆえに
[198.643] osipon: www
[200.748] 泣き虫サクラ: 俺のために命捨てる奴多いし
[202.268] ~MISSING_COMMENTER_INFO~: 瀕死フェチｗ
[203.496] valhalla5555: ｗｗ
[206.037] katsuo73: ビーストいれてやってよーー
[206.101] baibai29: ｗｗｗｗｗ
[206.458] yuuubin: えいたでもなんか昔より好きだわ
[208.203] ~MISSING_COMMENTER_INFO~: いいにほひ
[208.310] taroumaruh: 瀕死のプレゼンしよ
[208.466] okojo1991: 腐臭してきた？
[208.840] nitamago33: 瀕死ｗ
[210.099] porcupinepine: 面接でウメちゃんが熱心に推してたの懐かしい
[210.311] kokusairengou: 瀕死蒐集家
[210.403] げろげろまる: 強いだけでは30代はきついんちゃうか
[210.845] 天然ベニテングダケ: ハゲタカかｗ
[211.159] feel2525: 死臭がする・・・
[211.363] onyancoscratch: マイクラの羊毛集め
[212.310] ハルキ10: 匂うぞ？
[212.640] shikiso49: www
[213.452] shishigamibungu: 死臭ってこと？
[214.683] ishiwata1234: www
[214.841] chin_56_: いい香りが
[215.625] nitamago33: ｗｗｗｗ
[215.964] balthazar000: 死臭に敏感なハイエナのごとく
[217.915] chamomile21: 一回助けたのに
[218.027] as6623: もういっか
[218.187] triton11519: プロゲーマーにするつもりがyoutuberになったし
[218.952] ~MISSING_COMMENTER_INFO~: 一回助けたやつだった
[220.160] giguok: えいたくん何でスト5は頑張らなかったの？
[220.776] gomeeen: ビジ瀕
[222.343] taroumaruh: 一回クモの糸ひいたなぁ・・・
[223.902] 何も知らないジョンスノウ: KSKもそうじゃんw
[224.018] リエオ: 一回限りの
[224.882] porcupinepine: この魚さっきも釣ったなぁ
[226.514] valhalla5555: 腐敗臭
[227.164] (S)成吉大: 蜘蛛の糸って一本だったよね
[229.006] 有栖永真: 二度目の瀕死は対象外
[230.638] triton11519: 1アップ取ったえいた
[236.080] (S)uwamonq: ちゃんと毎度瀕死になるえいた偉い
[237.144] osipon: ゾンビフェチうめちゃん
[237.339] feel2525: 懐かしい
[237.804] kaomoji3: 壊れそうなものばかり集めてしまうよ
[240.092] triton11519: KSKはいつもしにかける
[242.080] millioniwashi: ICUに来たみたいだぜ テンション上がるなぁー
[242.280] mmiiacha: 不死鳥KSK
[243.805] バーニングチャーハン: それならKSKさんは何機だww
[248.436] suginaka56: 嫁さん有能だからまだまだ体力ある
[249.297] バリーボンズ: 三ちゃんも瀕死系
[249.686] chin_56_: 神父ウメハラ
[251.024] ilm0806: たしかにKSKも 助けられたか
[251.293] yoshiaki1986: 瀕死は楽しいです
[252.957] MN_HERO: ネクロマンサーすぎるｗ
[253.170] kokusairengou: えいたには素敵な奥さんいるから
[253.664] ハルキ10: 瀕死王ksk
[254.167] katsuo73: ウメちゃんはほんとにゾンビすき
[254.895] sariechan: ウメゲームだった
[256.408] shiro_risu01: umeCatHope
[256.743] usa451: オンゴッズ？
[260.018] okojo1991: ネクロマンサー
[261.258] kaigaizei: ゴッズとミルダムがな
[261.520] shishigamibungu: ネクロマンサーは草
[261.888] げろげろまる: キングオブおこぼれ
[265.009] porcupinepine: ニット帽の頃
[265.261] baibai29: 仲直りもウメさんいなかったらなかった
[265.877] millioniwashi: 甲子園面白かったわ
[265.995] (S)uwamonq: ウメちゃん居なかったらｋｓｋの人生やばくない？！
[266.317] hotokemax: こくとの和解もな
[266.520] 何も知らないジョンスノウ: こくと仲直り
[267.937] (S)deadlykitten2525: 生粋の
[268.181] triton11519: cisさんがウメ信者だったし
[274.792] ~MISSING_COMMENTER_INFO~: 放し飼いｗ
[274.885] (S)成吉大: 暴走型
[277.127] valhalla5555: ｗｗ
[278.232] どらです: 必死な方が魅力的に見えるんかな
[281.713] as6623: ウメハラ再生工場
[284.441] tosshy_type89: 起こすだけ起こして放置
[284.528] okojo1991: メリットなし！
[285.477] てべす1103: イタコいけるやん
[288.034] 有栖永真: 雪山の全ゲージ無くなってる状態
[289.195] kaigaizei: 瀕死→甦れ！→瀕死
[289.687] batorubaa: 辻蘇生
[289.886] usa451: アンダーテイカー
[293.472] mako_oswald: こくも再生した
[296.599] porcupinepine: 格ゲーのカミサマってそういう・・・
[297.327] yuuubin: すっかり暗くなったね
[299.510] twitwitwich17: ザオリクだけする
[302.677] (S)uwamonq: こくとも和解ｗ メチャクチャｋｓｋ助けてるウメちゃんｗｗ
[307.747] ilm0806: CISさんが、まだ格ゲー好きなら、スポンサーお願いできないかな
[311.160] footingmoizu: アンデット作って放置するやつｗ
[311.257] yoshiaki1986: 不死身なのは才能
[319.851] feel2525: 見事なまでに瀕死になったね
[321.240] raurakd: ちゃんともがいてないとね
[322.292] morinagasyuya: あがいた末の瀕死
[322.311] shiro_risu01: 事故がなぁ
[324.932] Coedawg: naru04Uooo
[326.775] nitamago33: 神の庭を
[328.854] tabibitox: シノギズム立ち上げか
[329.857] yuuubin: ゴッズガーデン2くるか？
[330.156] thunderbolt0422: いや...
[330.391] masin1124: 金がねぇ
[330.661] ~MISSING_COMMENTER_INFO~: いや？
[331.781] katsuo73: そうだなー、ksk.
[334.013] millioniwashi: いや、
[335.009] baibai29: ボランティアじゃないよ？
[335.071] kaomoji3: 結局金っていう
[336.618] kebiisi: シノギズム
[338.523] kokusairengou: KSK | えいた
[338.790] porcupinepine: ゲーミングチーム(無給)
[342.116] usa451: GGP
[342.637] donder112: シノキズムｗ
[343.555] れく太: ”封筒”
[344.339] thunderbolt0422: ８万
[345.802] twitwitwich17: そして引き抜きへ
[346.363] triton11519: ゴッズ･･･
[346.776] balthazar000: 儲かるのはKSKだけやん
[346.816] junjamaica: トラボが裏でこく劇に出てるｗ
[347.390] ハルキ10: すごw
[350.094] osipon: w
[351.421] kokusairengou: 嗚呼…
[354.038] baibai29: ｗｗｗｗｗ
[354.186] amaterasdesign: 借金あるのに無理やんw
[357.388] porcupinepine: GODSマジで全員無給だったの面白い
[357.809] リエオ: 無しかないw
[358.759] ~MISSING_COMMENTER_INFO~: えぐいね
[361.689] 65vr39: FUTOH
[364.817] kebiisi: プロゲームチーム（無償）
[366.365] triton11519: 無職を無報酬で使う
[366.835] katsuo73: Ksk.えいた.三太郎でヘイルメリー令和やろ
[368.771] thunderbolt0422: なるおとか数千人集めてたのになｗｗｗ
[377.377] kkshkk: 夜のドライブは楽しい
[378.253] sariechan: 雰囲気あっていいね
[389.329] triton11519: TMNかけよう
[390.272] porcupinepine: これからの季節はいいね
[390.407] furu13: 見やすいよね
[390.906] (S)成吉大: 田舎だと夜は恐ろしいんやで・・・
[392.464] shishigamibungu: ゆったりしてていいね
[392.787] ilm0806: えいた、三太郎を 養える業界になるんだろうか
[394.482] gorilla_osaka: 情報が少し減っていい感じ
[395.980] okojo1991: 事故きをつけてねー
[400.973] (S)シミズム: 都会の夜は明るいもん
[403.652] 有栖永真: 男だらけの夜デート配信
[411.269] twitchyarutch: 今大会開催中
[412.689] taroumaruh: ヴァロばっか たまにビジネスダクソ
[414.271] triton11519: こくはダクソもやってたな
[416.019] thunderbolt0422: ヴァロはゴルフ
[417.774] onyancoscratch: 今日はこく劇やってるよ
[417.993] gorogorogorn: 今日スト５の大会だよ
[421.065] 残り8万: みんな鉄拳やってるよ
[421.594] junjamaica: 友達のこく
[425.057] イゼット: ヴァロがご褒美になってる
[426.684] ~MISSING_COMMENTER_INFO~: やりたいのかな
[428.358] suginaka56: こく今売れてるんでしょ
[430.534] れく太: 寂しかった･･･？
[430.931] usa451: 人狼関係の人かな
[430.998] baibai29: 今日明日こく劇か
[433.747] やあああ: 呼ばれたかったんだろ
[433.991] shiro_risu01: umeCatHope
[434.044] kokusairengou: 売れかけ
[434.067] porcupinepine: え
[435.452] kkshkk: 一人で雪山…
[435.607] 泣き虫サクラ: こく、涙のソロ雪山・・・・
[435.690] nitamago33: 確かに
[437.456] ~MISSING_COMMENTER_INFO~: 誘われ待ち？
[437.784] thunderbolt0422: ！？
[438.030] foo_twitch: さみしい
[438.249] mako6912: え
[438.722] inkgran: こく・・・
[439.033] nail06k: やりたかったん
[439.535] (S)成吉大: 寂しい
[439.552] ゴン攻め: 練習か
[439.623] oh_yama329: え
[440.051] valhalla5555: ｗｗｗ
[440.241] wankoro_moti: え
[440.372] low_single: 一人ぼっちで？
[440.605] haicro_zm: こわ
[440.623] redbull_daisuki: 雪山に呼ばれなくて寂しかったのかね
[440.701] triton11519: こくは一生売れかけ
[441.234] てべす1103: あ
[441.307] np2np: 誘われ待ちか？
[441.743] chin_56_: 自殺かな
[441.951] blackcoffee0821: ！？？？
[442.735] tama_zx61: ！？
[442.817] toshio0224: 待ってるんだな
[442.862] mizu0525: 誘われ待ち？
[443.029] yuuubin: 寒しくなったか？
[443.403] gorogorogorn: こわ…
[443.491] アベ0206: チラチラ勢
[443.516] furu13: え？
[443.786] chamomile21: 寂しいかあ
[443.970] porcupinepine: なんか怖い
[444.013] mmiiacha: こく・・・
[444.160] kokusairengou: メンヘラ？
[444.231] 憂う者の弟子: こわい
[444.743] millioniwashi: 代打待ち
[444.831] pot1111111: まさか一人で…
[444.929] Coedawg: yucchoNaku
[445.373] kiku1133: ｗｗ
[446.377] ハルキ10: え？
[446.499] latenight000: こわ・・・
[446.536] nitamago33: ヘラってた？
[446.706] shishigamibungu: コソ練？
[446.726] sarah_0519: wwww
[447.310] ザワチョク: リザーバー狙ってた？
[447.508] shiro_risu01: BibleThump
[447.750] げろげろまる: 意味深なメッセージ
[448.462] Botamoti1: sakoさんの呼ばれなかったから...
[449.067] TUBE_MAN: メンヘラ
[449.607] 粉の民くんちゃん: BibleThump
[450.174] HirocoT: 誘われ待ちアプデ・・・？
[450.435] aranami0: メンヘラw
[451.625] morinagasyuya: 誘ってあげて 
[452.464] masabonchicken: リザーバーとして待機してたのかな
[452.655] enuemu3: チラチラ勢
[453.747] hiaaru: NotLikeThis
[454.684] (S)hiro_chan: サロンさん？
[455.147] suppappa: 怒るから？
[455.176] thunderbolt0422: こわいこわいこわい
[455.258] taroumaruh: こくは売れた
[456.266] triton11519: キレたからじゃね
[456.337] kaomoji3: 裏で営業頑張ってる感じ？
[456.485] foo_twitch: 雪山できれちゃうから
[457.110] woodmud: やなアピールだなｗ
[457.161] れく太: akikiさん毎回声かけてるけど都合が合わないみたい
[457.549] baystar9377: メンヘラ
[458.608] baibai29: ウメさんに呼ばれないと行けない？
[458.818] kokusairengou: こくは雪山でキレちまうからさ
[459.054] furu13: 仲悪いんか？
[459.493] kaigaizei: 昔しょうへいがやってたやつじゃねえか
[460.032] DancingSheep1119: 空気悪くなるから...
[460.054] donder112: なにそれｗ
[461.102] パンがなければパンはない: 粉営業
[461.306] inkgran: BibleThump
[461.561] MN_HERO: 離婚して一人でフラフラ雪山に・・・危ないな
[463.390] taroumaruh: あ
[463.973] mizu0525: あ・・・
[464.113] toshio0224: あ・・・
[464.294] feel2525: いつでもできますよアピール？
[464.310] yuuubin: 前回は家にいなかったと思う
[464.479] ~MISSING_COMMENTER_INFO~: あっ・・・
[464.656] Botamoti1: シュートより呼べそうでしょあのメンツならｗ
[464.824] celsior_chan: こくは雪山でガチ切れ事件が
[464.920] porcupinepine: ん
[464.925] くせげーむ: あ
[465.188] gomeeen: ん？
[465.228] クラクラ777: あ
[465.703] momiji4431: あ
[465.766] thunderbolt0422: あっ
[465.880] mmiiacha: あ・・・・
[465.881] 残り8万: あ
[465.911] イゼット: あっ
[465.962] suginaka56: 誘って欲しかったの 
[466.320] mako6912: あっ
[466.571] usa451: あ
[466.651] (S)成吉大: あ
[466.716] (S)deadlykitten2525: あ
[466.724] (S)dorayann: あ
[466.927] ハルキ10: あ…
[466.959] kaituburi: もしや、サロン兄の部屋ってコク…
[466.960] Coedawg: あ
[467.038] kakugedaisuki: あ
[467.057] れんぞね: あ
[467.170] 憂う者の弟子: ！！！！！！！！！
[467.181] tissuepaper857: あ
[467.201] chamomile21: あ
[467.345] kiku1133: えぬ…
[467.407] mevius003: あっ
[467.569] nurupo_3: あ
[467.768] ライム_: akikiに嫌われてる？？
[467.885] 将門ゴルゴロ: あ
[468.434] morinagasyuya: あ
[468.519] ゴン攻め: あ
[468.540] 有栖永真: あ…
[468.656] nail06k: こりゃあ・・・
[468.956] raurakd: やめな
[468.991] ザワチョク: あ
[468.998] ミジンコ隊長: あ
[469.489] ebikatsu39: あ
[469.820] wankoro_moti: BibleThump
[469.920] tama_zx61: ｗｗｗｗ
[469.938] blackcoffee0821: え
[470.777] nitamago33: ＮＧ出てる？
[471.186] suginaka56: ああああ
[471.879] ゴン攻め: しーーーーーー
[471.924] kokusairengou: 草
[472.733] akaao123: えいたもいない
[473.172] 将門ゴルゴロ: 紐解いた
[473.782] balthazar000: FPSに行ったんだから、邪魔しちゃ悪いよ
[474.056] やあああ: どういうことだ
[474.554] 我がゴイチ: あ
[475.424] aoi80085: ｗｗｗｗｗｗｗｗｗｗ
[475.435] johnnyppas: 共演NG
[475.492] gorogorogorn: 切れたからかなあ
[475.666] 粉の民くんちゃん: BibleThump
[475.809] egatyan: 雪山でコンプラ違反したから？
[475.918] porcupinepine: "都合が合わない"か
[476.421] junjamaica: あききさん誘ったけど都合合わなかったって
[476.762] Natsuri_k: つまり
[476.901] baibai29: 売れちまったか
[477.606] ilm0806: 昼間は、難しいかもね
[477.609] furu13: ほんと？
